entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations
2018-10-12T15:00:00.000000000,9974.0,-1,10,5000000.0,1.0,2018-10-16T13:35:00.000000000,9964.0,roll_blackout,4300.62,699.38,1000.0,2
2018-10-18T15:00:00.000000000,9872.0,-1,10,5004300.62,1.0,2018-11-20T13:35:00.000000000,9737.0,roll_blackout,66803.91,696.09,1000.0,58
2018-11-22T15:00:00.000000000,9719.0,-1,10,5071104.53,1.0,2018-12-18T13:35:00.000000000,9719.0,roll_blackout,-694.38,694.38,1000.0,240
2018-12-20T15:00:00.000000000,9649.0,-1,10,5070410.149999999,1.0,2019-01-15T13:35:00.000000000,9800.0,roll_blackout,-76194.49,694.49,1000.0,210
2020-03-19T15:00:00.000000000,8483.0,-1,11,4994215.659999999,1.0,2020-04-14T13:35:00.000000000,10339.0,roll_blackout,-1021557.042,757.042,1100.0,90
2022-04-26T15:00:00.000000000,16564.0,-1,4,3972658.617999999,1.0,2022-05-17T13:35:00.000000000,16071.0,roll_blackout,98269.46,330.53999999999996,400.0,12
2022-05-19T15:00:00.000000000,15896.0,-1,5,4070928.077999999,1.0,2022-06-14T13:35:00.000000000,16049.0,roll_blackout,-38659.725000000006,409.725,500.0,24
2022-06-16T15:00:00.000000000,15334.0,-1,5,4032268.3529999987,1.0,2022-07-19T13:35:00.000000000,14680.0,roll_blackout,163099.93,400.07000000000005,500.0,63
2022-07-21T15:00:00.000000000,14740.0,-1,5,4195368.282999999,1.0,2022-08-12T15:00:00.000000000,15276.0,signal_exit,-134400.08000000002,400.08000000000004,500.0,65
2022-09-02T15:00:00.000000000,14623.0,-1,5,4060968.202999999,1.0,2022-09-13T15:00:00.000000000,14887.0,signal_exit,-66397.55,397.55,500.0,46
2022-09-15T15:00:00.000000000,14649.0,-1,5,3994570.6529999985,1.0,2022-09-20T13:35:00.000000000,14552.0,roll_blackout,23853.995000000003,396.005,500.0,1
2022-09-22T15:00:00.000000000,14231.0,-1,5,4018424.6479999986,1.0,2022-10-18T13:35:00.000000000,13120.0,roll_blackout,277363.245,386.755,500.0,11
2022-10-20T15:00:00.000000000,12884.0,-1,6,4295787.892999999,1.0,2022-11-14T15:00:00.000000000,14129.0,signal_exit,-373962.078,462.07800000000003,600.0,14
2025-03-27T15:00:00.000000000,21954.0,-1,3,3921825.8149999995,1.0,2025-04-15T13:35:00.000000000,19789.0,roll_blackout,324474.77099999995,275.22900000000004,300.0,0
2025-04-17T15:00:00.000000000,19522.0,-1,4,4246300.585999999,1.0,2025-05-14T15:00:00.000000000,21803.0,signal_exit,-456565.3,365.3,400.0,0
