,equity
2021-01-04,5057961.92
2021-01-05,5088861.92
2021-01-06,5069061.92
2021-01-07,5164761.92
2021-01-08,5231961.92
2021-01-11,5255961.92
2021-01-12,5243661.92
2021-01-13,5324961.92
2021-01-14,5314461.92
2021-01-15,5285961.92
2021-01-18,5277561.92
2021-01-19,5362516.58
2021-01-20,5362516.58
2021-01-21,5362516.58
2021-01-22,5325069.932
2021-01-25,5303469.932
2021-01-26,5217669.932
2021-01-27,5227869.932
2021-01-28,5144769.932
2021-01-29,5052369.932
2021-02-01,5137869.932
2021-02-02,5256369.932
2021-02-03,5261469.932
2021-02-04,5240169.932
2021-02-05,5271125.102
2021-02-17,5271125.102
2021-02-18,5271125.102
2021-02-19,5259176.984
2021-02-22,5280476.984
2021-02-23,5296076.984
2021-02-24,5219576.984
2021-02-25,5281376.984
2021-02-26,5145476.984
2021-03-02,5137076.984
2021-03-03,5219276.984
2021-03-04,5142476.984
2021-03-05,5121476.984
2021-03-08,5109776.984
2021-03-09,5111576.984
2021-03-10,5129876.984
2021-03-11,5217176.984
2021-03-12,5231576.984
2021-03-15,5224976.984
2021-03-16,5255929.16
2021-03-17,5255929.16
2021-03-18,5255929.16
2021-03-19,5180981.594
2021-03-22,5219381.594
2021-03-23,5213381.594
2021-03-24,5172281.594
2021-03-25,5186981.594
2021-03-26,5263781.594
2021-03-29,5300681.594
2021-03-30,5333081.594
2021-03-31,5303981.594
2021-04-01,5342681.594
2021-04-06,5396681.594
2021-04-07,5407781.594
2021-04-08,5456381.594
2021-04-09,5429681.594
2021-04-12,5427581.594
2021-04-13,5415881.594
2021-04-14,5434181.594
2021-04-15,5498681.594
2021-04-16,5524781.594
2021-04-19,5558681.594
2021-04-20,5572527.686
2021-04-21,5572527.686
2021-04-22,5572527.686
2021-04-23,5619675.092
2021-04-26,5701575.092
2021-04-27,5713875.092
2021-04-28,5702475.092
2021-04-29,5713875.092
2021-05-03,5618475.092
2021-05-04,5522475.092
2021-05-05,5473275.092
2021-05-06,5525775.092
2021-05-07,5628675.092
2021-05-10,5610975.092
2021-05-11,5409375.092
2021-05-12,5150175.092
2021-05-13,5112375.092
2021-05-14,5117831.582
2021-05-17,5117831.582
2021-05-18,5117831.582
2021-05-19,5117831.582
2021-05-20,5117831.582
2021-05-21,5117831.582
2021-05-24,5117831.582
2021-05-25,5117831.582
2021-05-26,5117831.582
2021-05-27,5092681.88
2021-05-28,5191381.88
2021-05-31,5236381.88
2021-06-01,5271481.88
2021-06-02,5261881.88
2021-06-03,5301481.88
2021-06-04,5262481.88
2021-06-07,5259481.88
2021-06-08,5259481.88
2021-06-09,5221381.88
2021-06-10,5280181.88
2021-06-11,5298181.88
2021-06-15,5348627.552
2021-06-16,5348627.552
2021-06-17,5348627.552
2021-06-18,5340573.884
2021-06-21,5253573.884
2021-06-22,5273373.884
2021-06-23,5346573.884
2021-06-24,5365773.884
2021-06-25,5390673.884
2021-06-28,5425473.884
2021-06-29,5423673.884
2021-06-30,5479473.884
2021-07-01,5458773.884
2021-07-02,5460873.884
2021-07-05,5534373.884
2021-07-06,5528373.884
2021-07-07,5513973.884
2021-07-08,5512473.884
2021-07-09,5462373.884
2021-07-12,5512173.884
2021-07-13,5525673.884
2021-07-14,5527173.884
2021-07-15,5571573.884
2021-07-16,5542473.884
2021-07-19,5503173.884
2021-07-20,5426118.6559999995
2021-07-21,5426118.6559999995
2021-07-22,5426118.6559999995
2021-07-23,5420764.112
2021-07-26,5359264.112
2021-07-27,5350564.112
2021-07-28,5288164.112
2021-07-29,5397964.112
2021-07-30,5350564.112
2021-08-02,5439664.112
2021-08-03,5443864.112
2021-08-04,5469964.112
2021-08-05,5461264.112
2021-08-06,5429764.112
2021-08-09,5419864.112
2021-08-10,5388364.112
2021-08-11,5349964.112
2021-08-12,5345764.112
2021-08-13,5278864.112
2021-08-16,5282212.436
2021-08-17,5282212.436
2021-08-18,5282212.436
2021-08-19,5282212.436
2021-08-20,5282212.436
2021-08-23,5282212.436
2021-08-24,5282212.436
2021-08-25,5282212.436
2021-08-26,5282212.436
2021-08-27,5282212.436
2021-08-30,5282212.436
2021-08-31,5317658.408
2021-09-01,5323358.408
2021-09-02,5276558.408
2021-09-03,5333258.408
2021-09-06,5329358.408
2021-09-07,5307158.408
