,equity
2021-01-04,5058561.932
2021-01-05,5089461.932
2021-01-06,5069661.932
2021-01-07,5165361.932
2021-01-08,5232561.932
2021-01-11,5256561.932
2021-01-12,5244261.932
2021-01-13,5325561.932
2021-01-14,5315061.932
2021-01-15,5286561.932
2021-01-18,5278161.932
2021-01-19,5363716.58
2021-01-20,5363716.58
2021-01-21,5363716.58
2021-01-22,5326869.944
2021-01-25,5305269.944
2021-01-26,5219469.944
2021-01-27,5229669.944
2021-01-28,5146569.944
2021-01-29,5054169.944
2021-02-01,5139669.944
2021-02-02,5258169.944
2021-02-03,5263269.944
2021-02-04,5241969.944
2021-02-05,5273525.102
2021-02-17,5273525.102
2021-02-18,5273525.102
2021-02-19,5262176.996
2021-02-22,5283476.996
2021-02-23,5299076.996
2021-02-24,5222576.996
2021-02-25,5284376.996
2021-02-26,5148476.996
2021-03-02,5140076.996
2021-03-03,5222276.996
2021-03-04,5145476.996
2021-03-05,5124476.996
2021-03-08,5112776.996
2021-03-09,5114576.996
2021-03-10,5132876.996
2021-03-11,5220176.996
2021-03-12,5234576.996
2021-03-15,5227976.996
2021-03-16,5259529.16
2021-03-17,5259529.16
2021-03-18,5259529.16
2021-03-19,5185181.606
2021-03-22,5223581.606
2021-03-23,5217581.606
2021-03-24,5176481.606
2021-03-25,5191181.606
2021-03-26,5267981.606
2021-03-29,5304881.606
2021-03-30,5337281.606
2021-03-31,5308181.606
2021-04-01,5346881.606
2021-04-06,5400881.606
2021-04-07,5411981.606
2021-04-08,5460581.606
2021-04-09,5433881.606
2021-04-12,5431781.606
2021-04-13,5420081.606
2021-04-14,5438381.606
2021-04-15,5502881.606
2021-04-16,5528981.606
2021-04-19,5562881.606
2021-04-20,5577327.686
2021-04-21,5577327.686
2021-04-22,5577327.686
2021-04-23,5625075.104
2021-04-26,5706975.104
2021-04-27,5719275.104
2021-04-28,5707875.104
2021-04-29,5719275.104
2021-05-03,5623875.104
2021-05-04,5527875.104
2021-05-05,5478675.104
2021-05-06,5531175.104
2021-05-07,5634075.104
2021-05-10,5616375.104
2021-05-11,5414775.104
2021-05-12,5155575.104
2021-05-13,5117775.104
2021-05-14,5123831.582
2021-05-17,5123831.582
2021-05-18,5123831.582
2021-05-19,5123831.582
2021-05-20,5123831.582
2021-05-21,5123831.582
2021-05-24,5123831.582
2021-05-25,5123831.582
2021-05-26,5123831.582
2021-05-27,5099281.892
2021-05-28,5197981.892
2021-05-31,5242981.892
2021-06-01,5278081.892
2021-06-02,5268481.892
2021-06-03,5308081.892
2021-06-04,5269081.892
2021-06-07,5266081.892
2021-06-08,5266081.892
2021-06-09,5227981.892
2021-06-10,5286781.892
2021-06-11,5304781.892
2021-06-15,5355827.552
2021-06-16,5355827.552
2021-06-17,5355827.552
2021-06-18,5348373.896
2021-06-21,5261373.896
2021-06-22,5281173.896
2021-06-23,5354373.896
2021-06-24,5373573.896
2021-06-25,5398473.896
2021-06-28,5433273.896
2021-06-29,5431473.896
2021-06-30,5487273.896
2021-07-01,5466573.896
2021-07-02,5468673.896
2021-07-05,5542173.896
2021-07-06,5536173.896
2021-07-07,5521773.896
2021-07-08,5520273.896
2021-07-09,5470173.896
2021-07-12,5519973.896
2021-07-13,5533473.896
2021-07-14,5534973.896
2021-07-15,5579373.896
2021-07-16,5550273.896
2021-07-19,5510973.896
2021-07-20,5434518.6559999995
2021-07-21,5434518.6559999995
2021-07-22,5434518.6559999995
2021-07-23,5429764.124
2021-07-26,5368264.124
2021-07-27,5359564.124
2021-07-28,5297164.124
2021-07-29,5406964.124
2021-07-30,5359564.124
2021-08-02,5448664.124
2021-08-03,5452864.124
2021-08-04,5478964.124
2021-08-05,5470264.124
2021-08-06,5438764.124
2021-08-09,5428864.124
2021-08-10,5397364.124
2021-08-11,5358964.124
2021-08-12,5354764.124
2021-08-13,5287864.124
2021-08-16,5291812.436
2021-08-17,5291812.436
2021-08-18,5291812.436
2021-08-19,5291812.436
