,equity
2021-01-04,5009660.32
2021-01-05,5014810.32
2021-01-06,5011510.32
2021-01-07,5027460.32
2021-01-08,5038660.32
2021-01-11,5042660.32
2021-01-12,5040610.32
2021-01-13,5054160.32
2021-01-14,5052410.32
2021-01-15,5047660.32
2021-01-18,5046260.32
2021-01-19,5060419.43
2021-01-20,5060419.43
2021-01-21,5060419.43
2021-01-22,5054178.322
2021-01-25,5050578.322
2021-01-26,5036278.322
2021-01-27,5037978.322
2021-01-28,5024128.322
2021-01-29,5008728.322
2021-02-01,5022978.322
2021-02-02,5042728.322
2021-02-03,5043578.322
2021-02-04,5040028.322
2021-02-05,5045187.517
2021-02-17,5045187.517
2021-02-18,5045187.517
2021-02-19,5043196.164
2021-02-22,5046746.164
2021-02-23,5049346.164
2021-02-24,5036596.164
2021-02-25,5046896.164
2021-02-26,5024246.164
2021-03-02,5022846.164
2021-03-03,5036546.164
2021-03-04,5023746.164
2021-03-05,5020246.164
2021-03-08,5018296.164
2021-03-09,5018596.164
2021-03-10,5021646.164
2021-03-11,5036196.164
2021-03-12,5038596.164
2021-03-15,5037496.164
2021-03-16,5042654.86
2021-03-17,5042654.86
2021-03-18,5042654.86
2021-03-19,5030163.599
2021-03-22,5036563.599
2021-03-23,5035563.599
2021-03-24,5028713.599
2021-03-25,5031163.599
2021-03-26,5043963.599
2021-03-29,5050113.599
2021-03-30,5055513.599
2021-03-31,5050663.599
2021-04-01,5057113.599
2021-04-06,5066113.599
2021-04-07,5067963.599
2021-04-08,5076063.599
2021-04-09,5071613.599
2021-04-12,5071263.599
2021-04-13,5069313.599
2021-04-14,5072363.599
2021-04-15,5083113.599
2021-04-16,5087463.599
2021-04-19,5093113.599
2021-04-20,5095421.281
2021-04-21,5095421.281
2021-04-22,5095421.281
2021-04-23,5103279.182
2021-04-26,5116929.182
2021-04-27,5118979.182
2021-04-28,5117079.182
2021-04-29,5118979.182
2021-05-03,5103079.182
2021-05-04,5087079.182
2021-05-05,5078879.182
2021-05-06,5087629.182
2021-05-07,5104779.182
2021-05-10,5101829.182
2021-05-11,5068229.182
2021-05-12,5025029.182
2021-05-13,5018729.182
2021-05-14,5019638.597
2021-05-17,5019638.597
2021-05-18,5019638.597
2021-05-19,5019638.597
2021-05-20,5019638.597
2021-05-21,5019638.597
2021-05-24,5019638.597
2021-05-25,5019638.597
2021-05-26,5019638.597
2021-05-27,5015446.98
2021-05-28,5031896.98
2021-05-31,5039396.98
2021-06-01,5045246.98
2021-06-02,5043646.98
2021-06-03,5050246.98
2021-06-04,5043746.98
2021-06-07,5043246.98
2021-06-08,5043246.98
2021-06-09,5036896.98
2021-06-10,5046696.98
2021-06-11,5049696.98
2021-06-15,5058104.592
2021-06-16,5058104.592
2021-06-17,5058104.592
2021-06-18,5056762.314
2021-06-21,5042262.314
2021-06-22,5045562.314
2021-06-23,5057762.314
2021-06-24,5060962.314
2021-06-25,5065112.314
2021-06-28,5070912.314
2021-06-29,5070612.314
2021-06-30,5079912.314
2021-07-01,5076462.314
2021-07-02,5076812.314
2021-07-05,5089062.314
2021-07-06,5088062.314
2021-07-07,5085662.314
2021-07-08,5085412.314
2021-07-09,5077062.314
2021-07-12,5085362.314
2021-07-13,5087612.314
2021-07-14,5087862.314
2021-07-15,5095262.314
2021-07-16,5090412.314
2021-07-19,5083862.314
2021-07-20,5071019.776
2021-07-21,5071019.776
2021-07-22,5071019.776
2021-07-23,5070127.352
2021-07-26,5059877.352
2021-07-27,5058427.352
2021-07-28,5048027.352
2021-07-29,5066327.352
2021-07-30,5058427.352
2021-08-02,5073277.352
2021-08-03,5073977.352
2021-08-04,5078327.352
2021-08-05,5076877.352
2021-08-06,5071627.352
2021-08-09,5069977.352
2021-08-10,5064727.352
2021-08-11,5058327.352
2021-08-12,5057627.352
2021-08-13,5046477.352
2021-08-16,5047035.406
2021-08-17,5047035.406
2021-08-18,5047035.406
2021-08-19,5047035.406
2021-08-20,5047035.406
2021-08-23,5047035.406
2021-08-24,5047035.406
2021-08-25,5047035.406
2021-08-26,5047035.406
2021-08-27,5047035.406
2021-08-30,5047035.406
2021-08-31,5052943.068
2021-09-01,5053893.068
2021-09-02,5046093.068
2021-09-03,5055543.068
2021-09-06,5054893.068
2021-09-07,5051193.068
2021-09-08,5043193.068
2021-09-09,5041843.068
2021-09-10,5053743.068
2021-09-13,5052193.068
2021-09-14,5052350.622
2021-09-15,5052350.622
2021-09-16,5052350.622
2021-09-17,5055558.389
2021-09-22,5035658.389
2021-09-23,5044658.389
2021-09-24,5045216.297
2021-09-27,5045216.297
2021-09-28,5039774.019
2021-09-29,5022424.019
2021-09-30,5022482.194
2021-10-01,5022482.194
2021-10-04,5022482.194
2021-10-05,5022482.194
2021-10-06,5022482.194
2021-10-07,5022482.194
2021-10-08,5022482.194
2021-10-12,5022482.194
2021-10-13,5022482.194
2021-10-14,5022482.194
2021-10-15,5022482.194
2021-10-18,5022482.194
2021-10-19,5022482.194
2021-10-20,5022482.194
2021-10-21,5022482.194
2021-10-22,5022482.194
2021-10-25,5022482.194
2021-10-26,5022482.194
2021-10-27,5022482.194
2021-10-28,5020690.121
2021-10-29,5016040.121
2021-11-01,5022740.121
2021-11-02,5021140.121
2021-11-03,5023390.121
2021-11-04,5022540.121
2021-11-05,5032140.121
2021-11-08,5039990.121
2021-11-09,5046540.121
2021-11-10,5046540.121
2021-11-11,5042290.121
2021-11-12,5046140.121
2021-11-15,5051990.121
2021-11-16,5052897.438
2021-11-17,5052897.438
2021-11-18,5052897.438
2021-11-19,5052404.578
2021-11-22,5051654.578
2021-11-23,5042804.578
2021-11-24,5043804.578
