,equity
2017-07-03,5000000.0
2017-07-04,5000000.0
2017-07-05,5000000.0
2017-07-06,5000000.0
2017-07-07,5000000.0
2017-07-10,5000000.0
2017-07-11,5000000.0
2017-07-12,5000000.0
2017-07-13,5000000.0
2017-07-14,5000000.0
2017-07-17,5000000.0
2017-07-18,5000000.0
2017-07-19,5000000.0
2017-07-20,5000000.0
2017-07-21,5000000.0
2017-07-24,5000000.0
2017-07-25,5000000.0
2017-07-26,5000000.0
2017-07-27,5000000.0
2017-07-28,4947030.887
2017-07-31,4953780.887
2017-08-01,4959180.887
2017-08-02,4997880.887
2017-08-03,4976730.887
2017-08-04,4991580.887
2017-08-07,5032080.887
2017-08-08,5030730.887
2017-08-09,4997880.887
2017-08-10,4941630.887
2017-08-11,4929030.887
2017-08-14,4897980.887
2017-08-15,4928713.187
2017-08-16,4928713.187
2017-08-17,4928713.187
2017-08-18,4928713.187
2017-08-21,4928713.187
2017-08-22,4928713.187
2017-08-23,4928713.187
2017-08-24,4928713.187
2017-08-25,4928713.187
2017-08-28,4928713.187
2017-08-29,4928713.187
2017-08-30,4928713.187
2017-08-31,4928713.187
2017-09-01,4928713.187
2017-09-04,4928713.187
2017-09-05,4928713.187
2017-09-06,4928713.187
2017-09-07,4928713.187
2017-09-08,4928713.187
2017-09-11,4928713.187
2017-09-12,4928713.187
2017-09-13,4928713.187
2017-09-14,4928713.187
2017-09-15,4928713.187
2017-09-18,4928713.187
2017-09-19,4898822.252
2017-09-20,4898822.252
2017-09-21,4898822.252
2017-09-22,4898822.252
2017-09-25,4898822.252
2017-09-26,4898822.252
2017-09-27,4898822.252
2017-09-28,4898822.252
2017-09-29,4898822.252
2017-09-30,4898822.252
2017-10-02,4898822.252
2017-10-03,4898822.252
2017-10-05,4898822.252
2017-10-06,4898822.252
2017-10-11,4898822.252
2017-10-12,4898822.252
2017-10-13,4905700.997
2017-10-16,4926400.997
2017-10-17,4908979.526
2017-10-18,4908979.526
2017-10-19,4908979.526
2017-10-20,4908979.526
2017-10-23,4908979.526
2017-10-24,4908979.526
2017-10-25,4908979.526
2017-10-26,4908979.526
2017-10-27,4908979.526
2017-10-30,4908979.526
2017-10-31,4908979.526
2017-11-01,4908979.526
2017-11-02,4908979.526
2017-11-03,4908979.526
2017-11-06,4908979.526
2017-11-07,4908979.526
2017-11-08,4908979.526
2017-11-09,4908979.526
2017-11-10,4908979.526
2017-11-13,4908979.526
2017-11-14,4908979.526
2017-11-15,4908979.526
2017-11-16,4908979.526
2017-11-17,4908979.526
2017-11-20,4908979.526
2017-11-21,4908979.526
2017-11-22,4908979.526
2017-11-23,4918107.011
2017-11-24,4918107.011
2017-11-27,4870407.011
2017-11-28,4851507.011
2017-11-29,4860957.011
2017-11-30,4791207.011
2017-12-01,4804707.011
2017-12-04,4806186.539
2017-12-05,4806186.539
2017-12-06,4806186.539
2017-12-07,4806186.539
2017-12-08,4806186.539
2017-12-11,4806186.539
2017-12-12,4806186.539
2017-12-13,4806186.539
2017-12-14,4806186.539
2017-12-15,4806186.539
2017-12-18,4806186.539
