,equity
2021-01-04,5058561.932
2021-01-05,5089461.932
2021-01-06,5069661.932
2021-01-07,5165361.932
2021-01-08,5232561.932
2021-01-11,5256561.932
2021-01-12,5244261.932
2021-01-13,5325561.932
2021-01-14,5315061.932
2021-01-15,5286561.932
2021-01-18,5278161.932
2021-01-19,5363716.58
2021-01-20,5363716.58
2021-01-21,5363716.58
2021-01-22,5326869.944
2021-01-25,5305269.944
2021-01-26,5219469.944
2021-01-27,5229669.944
2021-01-28,5146569.944
2021-01-29,5054169.944
2021-02-01,5139669.944
2021-02-02,5258169.944
2021-02-03,5263269.944
2021-02-04,5241969.944
2021-02-05,5273525.102
2021-02-17,5273525.102
2021-02-18,5273525.102
2021-02-19,5273525.102
2021-02-22,5273525.102
2021-02-23,5273525.102
2021-02-24,5273525.102
2021-02-25,5273525.102
2021-02-26,5273525.102
2021-03-02,5273525.102
2021-03-03,5273525.102
2021-03-04,5273525.102
2021-03-05,5273525.102
2021-03-08,5273525.102
2021-03-09,5273525.102
2021-03-10,5273525.102
2021-03-11,5273525.102
2021-03-12,5273525.102
2021-03-15,5273525.102
2021-03-16,5273525.102
2021-03-17,5273525.102
2021-03-18,5273525.102
2021-03-19,5273525.102
2021-03-22,5273525.102
2021-03-23,5273525.102
2021-03-24,5273525.102
2021-03-25,5273525.102
2021-03-26,5273525.102
2021-03-29,5273525.102
2021-03-30,5301176.546
2021-03-31,5272076.546
2021-04-01,5310776.546
2021-04-06,5364776.546
2021-04-07,5375876.546
2021-04-08,5424476.546
2021-04-09,5397776.546
2021-04-12,5395676.546
2021-04-13,5383976.546
2021-04-14,5402276.546
2021-04-15,5466776.546
2021-04-16,5492876.546
2021-04-19,5526776.546
2021-04-20,5541222.626
2021-04-21,5541222.626
2021-04-22,5541222.626
2021-04-23,5541222.626
2021-04-26,5541222.626
2021-04-27,5553567.452
2021-04-28,5542167.452
2021-04-29,5553567.452
2021-05-03,5458167.452
2021-05-04,5362167.452
2021-05-05,5312967.452
2021-05-06,5365467.452
2021-05-07,5468367.452
2021-05-10,5450667.452
2021-05-11,5249067.452
2021-05-12,4989867.452
2021-05-13,4952067.452
2021-05-14,4958123.93
2021-05-17,4958123.93
2021-05-18,4958123.93
2021-05-19,4958123.93
2021-05-20,4958123.93
2021-05-21,4958123.93
2021-05-24,4958123.93
2021-05-25,4958123.93
2021-05-26,4958123.93
2021-05-27,4958123.93
2021-05-28,4958123.93
2021-05-31,4958123.93
2021-06-01,4958123.93
2021-06-02,4958123.93
2021-06-03,4958123.93
2021-06-04,4958123.93
2021-06-07,4958123.93
2021-06-08,4958123.93
2021-06-09,4958123.93
2021-06-10,4958123.93
2021-06-11,4958123.93
2021-06-15,4958123.93
2021-06-16,4958123.93
2021-06-17,4958123.93
2021-06-18,4958123.93
2021-06-21,4958123.93
2021-06-22,4958123.93
2021-06-23,4958123.93
2021-06-24,4958123.93
2021-06-25,4958123.93
2021-06-28,4986661.83
2021-06-29,4985161.83
2021-06-30,5031661.83
2021-07-01,5014411.83
2021-07-02,5016161.83
2021-07-05,5077411.83
2021-07-06,5072411.83
2021-07-07,5060411.83
2021-07-08,5059161.83
2021-07-09,5017411.83
2021-07-12,5058911.83
2021-07-13,5070161.83
2021-07-14,5071411.83
2021-07-15,5108411.83
2021-07-16,5084161.83
2021-07-19,5051411.83
2021-07-20,4987699.13
2021-07-21,4987699.13
2021-07-22,4987699.13
2021-07-23,4987699.13
2021-07-26,4987699.13
2021-07-27,4987699.13
2021-07-28,4987699.13
2021-07-29,4987699.13
2021-07-30,4987699.13
2021-08-02,4987699.13
2021-08-03,4987699.13
2021-08-04,4987699.13
2021-08-05,4987699.13
2021-08-06,4987699.13
2021-08-09,4987699.13
2021-08-10,4987699.13
2021-08-11,4987699.13
2021-08-12,4987699.13
2021-08-13,4987699.13
2021-08-16,4987699.13
2021-08-17,4987699.13
2021-08-18,4987699.13
2021-08-19,4987699.13
