entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations
2020-12-31T15:00:00.000000000,14680.0,1,6,5000000.0,1.0,2021-01-19T13:35:00.000000000,15890.0,roll_blackout,362516.57999999996,483.41999999999996,1800.0,140
2021-01-21T15:00:00.000000000,16108.0,1,6,5362516.58,1.0,2021-02-05T13:35:00.000000000,15805.0,roll_blackout,-91391.478,491.478,1800.0,56
2021-03-29T15:00:00.000000000,16428.0,1,6,5271125.102,1.0,2021-04-20T13:35:00.000000000,17318.0,roll_blackout,266497.524,502.476,1800.0,224
2021-04-26T15:00:00.000000000,17531.0,1,6,5537622.626,1.0,2021-05-13T15:00:00.000000000,15585.0,signal_exit,-584298.696,498.696,1800.0,81
2021-06-25T15:00:00.000000000,17422.0,1,5,4953323.930000001,1.0,2021-07-20T13:35:00.000000000,17538.0,roll_blackout,28575.2,424.79999999999995,1500.0,203
2021-11-08T15:00:00.000000000,17424.0,1,5,4981899.13,1.0,2021-11-16T13:35:00.000000000,17683.0,roll_blackout,64324.465,425.535,1500.0,86
2021-11-18T15:00:00.000000000,17860.0,1,5,5046223.595,1.0,2021-12-14T13:35:00.000000000,17597.0,roll_blackout,-66177.285,427.285,1500.0,194
2021-12-23T15:00:00.000000000,17957.0,1,5,4980046.31,1.0,2022-01-18T13:35:00.000000000,18362.0,roll_blackout,100818.405,431.595,1500.0,353
2023-03-06T15:00:00.000000000,15775.0,1,6,5080864.715,1.0,2023-03-14T13:35:00.000000000,15357.0,roll_blackout,-125886.792,486.79200000000003,1800.0,24
2023-03-23T15:00:00.000000000,15850.0,1,6,4954977.9229999995,1.0,2023-04-18T13:35:00.000000000,15887.0,roll_blackout,10609.578,490.422,1800.0,165
2023-05-18T15:00:00.000000000,16070.0,1,6,4965587.501,1.0,2023-06-20T13:35:00.000000000,17177.0,roll_blackout,331600.51800000004,499.4820000000001,1800.0,263
2023-07-14T15:00:00.000000000,17277.0,1,6,5297188.019,1.0,2023-07-18T13:35:00.000000000,17226.0,roll_blackout,-15807.018,507.01800000000003,1800.0,11
2023-09-15T15:00:00.000000000,16907.0,1,6,5281381.001000001,1.0,2023-09-19T13:35:00.000000000,16625.0,roll_blackout,-85101.192,501.192,1800.0,23
2023-11-13T15:00:00.000000000,16877.0,1,6,5196279.809000001,1.0,2023-11-14T13:35:00.000000000,16932.0,roll_blackout,15997.145999999999,502.85400000000004,1800.0,2
2023-11-21T15:00:00.000000000,17407.0,1,5,5212276.955000001,1.0,2023-12-19T13:35:00.000000000,17577.0,roll_blackout,42075.079999999994,424.91999999999996,1500.0,129
2023-12-27T15:00:00.000000000,17868.0,1,5,5254352.035000001,1.0,2023-12-29T13:44:00.000000000,17865.0,period_end,-1178.665,428.665,1500.0,31
