entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations,sizing_mode
2017-11-22T15:00:00.000000000,10833.0,1,1,5000000.0,1.0,2017-12-01T15:00:00.000000000,10610.0,signal_exit,-11221.443000000001,71.443,100.0,421,fixed_one
2018-01-03T15:00:00.000000000,10793.0,1,1,4988778.557,1.0,2018-01-16T13:35:00.000000000,10982.0,roll_blackout,9378.225,71.775,100.0,828,fixed_one
2018-01-18T15:00:00.000000000,11064.0,1,1,4998156.782000001,1.0,2018-02-07T15:00:00.000000000,10500.0,signal_exit,-28271.564,71.564,100.0,438,fixed_one
2018-10-25T15:00:00.000000000,9505.0,-1,1,4969885.218,1.0,2018-11-20T13:35:00.000000000,9737.0,roll_blackout,-11669.241999999998,69.242,100.0,47,fixed_one
2018-12-25T15:00:00.000000000,9480.0,-1,1,4958215.976000001,1.0,2019-01-15T13:35:00.000000000,9800.0,roll_blackout,-16069.279999999999,69.28,100.0,178,fixed_one
2019-05-03T15:00:00.000000000,11094.0,1,1,4942146.696,1.0,2019-05-14T13:35:00.000000000,10541.0,roll_blackout,-27721.635000000002,71.63499999999999,100.0,39,fixed_one
2019-07-15T15:00:00.000000000,10850.0,1,1,4914425.061000001,1.0,2019-07-16T13:35:00.000000000,10880.0,roll_blackout,1428.27,71.73,100.0,48,fixed_one
2019-10-01T15:00:00.000000000,10958.0,1,1,4915853.331000001,1.0,2019-10-15T13:35:00.000000000,11105.0,roll_blackout,7277.937000000001,72.063,100.0,153,fixed_one
2019-11-04T15:00:00.000000000,11550.0,1,1,4923131.268000001,1.0,2019-11-19T13:35:00.000000000,11646.0,roll_blackout,4726.804,73.196,100.0,300,fixed_one
2019-12-11T15:00:00.000000000,11710.0,1,1,4927858.072000002,1.0,2019-12-17T13:35:00.000000000,12093.0,roll_blackout,19076.197,73.803,100.0,82,fixed_one
2020-11-09T15:00:00.000000000,13114.0,1,1,4946934.269000001,1.0,2020-11-17T13:35:00.000000000,13604.0,roll_blackout,24423.282,76.718,100.0,13,fixed_one
2020-11-23T15:00:00.000000000,13875.0,1,1,4971357.551000001,1.0,2020-12-15T13:35:00.000000000,14059.0,roll_blackout,9122.066,77.934,100.0,173,fixed_one
2020-12-21T15:00:00.000000000,14319.0,1,1,4980479.617000001,1.0,2020-12-31T13:44:00.000000000,14677.0,period_end,17821.004,78.99600000000001,100.0,309,fixed_one
