entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations,raw_entry,raw_exit,mfe_points,mae_points,holding_calendar_days,holding_observation_minutes,mfe_mae_exit_bar_included
2017-11-22T15:00:00.000000000,10833.0,1,9,5000000.0,1.0,2017-12-01T15:00:00.000000000,10610.0,signal_exit,-100992.987,642.987,900.0,421,10832.0,10611.0,38.0,337.0,9.0,7345,False
2018-01-03T15:00:00.000000000,10793.0,1,9,4899007.012999999,1.0,2018-01-16T13:35:00.000000000,10982.0,roll_blackout,84404.025,645.9749999999999,900.0,828,10792.0,10983.0,193.0,27.0,12.940972222222221,9026,False
2018-01-18T15:00:00.000000000,11064.0,1,9,4983411.037999999,1.0,2018-02-07T15:00:00.000000000,10500.0,signal_exit,-254444.076,644.076,900.0,438,11063.0,10501.0,208.0,821.0,20.0,15433,False
2019-05-03T15:00:00.000000000,11094.0,1,8,4728966.961999998,1.0,2019-05-14T13:35:00.000000000,10541.0,roll_blackout,-221773.08,573.0799999999999,800.0,39,11093.0,10542.0,45.0,717.0,10.940972222222221,7929,False
2019-07-15T15:00:00.000000000,10850.0,1,8,4507193.881999998,1.0,2019-07-16T13:35:00.000000000,10880.0,roll_blackout,11426.16,573.84,800.0,48,10849.0,10881.0,43.0,9.0,0.9409722222222222,1066,False
2019-10-01T15:00:00.000000000,10958.0,1,8,4518620.0419999985,1.0,2019-10-15T13:35:00.000000000,11105.0,roll_blackout,58223.49600000001,576.504,800.0,153,10957.0,11106.0,165.0,186.0,13.940972222222221,8934,False
2019-11-04T15:00:00.000000000,11550.0,1,7,4576843.537999999,1.0,2019-11-19T13:35:00.000000000,11646.0,roll_blackout,33087.628000000004,512.372,700.0,300,11549.0,11647.0,133.0,136.0,14.940972222222221,12188,False
2019-12-11T15:00:00.000000000,11710.0,1,7,4609931.165999999,1.0,2019-12-17T13:35:00.000000000,12093.0,roll_blackout,133533.379,516.6210000000001,700.0,82,11709.0,12094.0,388.0,13.0,5.940972222222222,4457,False
2020-11-09T15:00:00.000000000,13114.0,1,7,4743464.545,1.0,2020-11-17T13:35:00.000000000,13604.0,roll_blackout,170962.974,537.0260000000001,700.0,13,13113.0,13605.0,655.0,103.0,7.940972222222222,6817,False
2020-11-23T15:00:00.000000000,13875.0,1,7,4914427.518999999,1.0,2020-12-15T13:35:00.000000000,14059.0,roll_blackout,63854.462,545.538,700.0,173,13874.0,14060.0,551.0,212.0,21.94097222222222,18033,False
2020-12-21T15:00:00.000000000,14319.0,1,6,4978281.981,1.0,2021-01-19T13:35:00.000000000,15892.0,roll_blackout,471418.734,481.2660000000001,600.0,449,14318.0,15893.0,1743.0,312.0,28.94097222222222,22190,False
2021-01-21T15:00:00.000000000,16106.0,1,6,5449700.715,1.0,2021-02-05T13:35:00.000000000,15807.0,roll_blackout,-90191.478,491.47800000000007,600.0,56,16105.0,15808.0,40.0,1068.0,14.940972222222221,12466,False
2021-04-06T15:00:00.000000000,16743.0,1,6,5359509.237,1.0,2021-04-20T13:35:00.000000000,17320.0,roll_blackout,172595.62199999997,504.378,600.0,176,16742.0,17321.0,581.0,150.0,13.940972222222221,11196,False
2021-04-26T15:00:00.000000000,17529.0,1,6,5532104.859,1.0,2021-05-13T15:00:00.000000000,15587.0,signal_exit,-583098.696,498.696,600.0,81,17528.0,15588.0,174.0,2501.0,17.0,13588,False
2022-01-04T15:00:00.000000000,18517.0,1,5,4949006.163000001,1.0,2022-01-18T13:35:00.000000000,18364.0,roll_blackout,-38684.405,434.405,500.0,61,18516.0,18365.0,134.0,494.0,13.940972222222221,11317,False
2023-03-06T15:00:00.000000000,15773.0,1,6,4910321.758,1.0,2023-03-14T13:35:00.000000000,15359.0,roll_blackout,-124686.792,486.792,600.0,24,15772.0,15360.0,122.0,462.0,7.940972222222222,6803,False
2023-05-18T15:00:00.000000000,16068.0,1,5,4785634.966,1.0,2023-06-20T13:35:00.000000000,17179.0,roll_blackout,277333.76499999996,416.235,500.0,263,16067.0,17180.0,1299.0,117.0,32.94097222222222,25852,False
2023-07-14T15:00:00.000000000,17275.0,1,5,5062968.731000001,1.0,2023-07-18T13:35:00.000000000,17228.0,roll_blackout,-12172.515,422.515,500.0,11,17274.0,17229.0,112.0,122.0,3.9409722222222223,2259,False
2023-11-13T15:00:00.000000000,16875.0,1,5,5050796.216000001,1.0,2023-11-14T13:35:00.000000000,16934.0,roll_blackout,14330.955,419.045,500.0,2,16874.0,16935.0,102.0,14.0,0.9409722222222222,1128,False
