,equity
2021-01-04,5000000.0
2021-01-05,5026160.666
2021-01-06,5006360.666
2021-01-07,5102060.666
2021-01-08,5169260.666
2021-01-11,5193260.666
2021-01-12,5180960.666
2021-01-13,5262260.666
2021-01-14,5251760.666
2021-01-15,5223260.666
2021-01-18,5214860.666
2021-01-19,5300415.314
2021-01-20,5300415.314
2021-01-21,5300415.314
2021-01-22,5263568.678
2021-01-25,5241968.678
2021-01-26,5156168.678
2021-01-27,5166368.678
2021-01-28,5083268.678
2021-01-29,4990868.678
2021-02-01,5076368.678
2021-02-02,5194868.678
2021-02-03,5199968.678
2021-02-04,5178668.678
2021-02-05,5210223.836
2021-02-17,5210223.836
2021-02-18,5210223.836
2021-02-19,5210223.836
2021-02-22,5210223.836
2021-02-23,5210223.836
2021-02-24,5210223.836
2021-02-25,5210223.836
2021-02-26,5210223.836
2021-03-02,5210223.836
2021-03-03,5210223.836
2021-03-04,5210223.836
2021-03-05,5210223.836
2021-03-08,5210223.836
2021-03-09,5210223.836
2021-03-10,5210223.836
2021-03-11,5210223.836
2021-03-12,5210223.836
2021-03-15,5210223.836
2021-03-16,5210223.836
2021-03-17,5210223.836
2021-03-18,5210223.836
2021-03-19,5210223.836
2021-03-22,5210223.836
2021-03-23,5210223.836
2021-03-24,5210223.836
2021-03-25,5210223.836
2021-03-26,5210223.836
2021-03-29,5210223.836
2021-03-30,5210223.836
2021-03-31,5210223.836
2021-04-01,5210223.836
2021-04-06,5210223.836
2021-04-07,5217473.378
2021-04-08,5266073.378
2021-04-09,5239373.378
2021-04-12,5237273.378
2021-04-13,5225573.378
2021-04-14,5243873.378
2021-04-15,5308373.378
2021-04-16,5334473.378
2021-04-19,5368373.378
2021-04-20,5382819.458
2021-04-21,5382819.458
2021-04-22,5382819.458
2021-04-23,5382819.458
2021-04-26,5382819.458
2021-04-27,5395164.284
2021-04-28,5383764.284
2021-04-29,5395164.284
2021-05-03,5299764.284
2021-05-04,5203764.284
2021-05-05,5154564.284
2021-05-06,5207064.284
2021-05-07,5309964.284
2021-05-10,5292264.284
2021-05-11,5090664.284
2021-05-12,4831464.284
2021-05-13,4793664.284
2021-05-14,4799720.762
2021-05-17,4799720.762
2021-05-18,4799720.762
2021-05-19,4799720.762
2021-05-20,4799720.762
2021-05-21,4799720.762
2021-05-24,4799720.762
2021-05-25,4799720.762
2021-05-26,4799720.762
2021-05-27,4799720.762
2021-05-28,4799720.762
2021-05-31,4799720.762
2021-06-01,4799720.762
2021-06-02,4799720.762
2021-06-03,4799720.762
2021-06-04,4799720.762
2021-06-07,4799720.762
2021-06-08,4799720.762
2021-06-09,4799720.762
2021-06-10,4799720.762
2021-06-11,4799720.762
2021-06-15,4799720.762
2021-06-16,4799720.762
2021-06-17,4799720.762
