,equity
2021-01-04,5000000.0
2021-01-05,5025560.654
2021-01-06,5005760.654
2021-01-07,5101460.654
2021-01-08,5168660.654
2021-01-11,5192660.654
2021-01-12,5180360.654
2021-01-13,5261660.654
2021-01-14,5251160.654
2021-01-15,5222660.654
2021-01-18,5214260.654
2021-01-19,5299215.314
2021-01-20,5299215.314
2021-01-21,5299215.314
2021-01-22,5261768.666
2021-01-25,5240168.666
2021-01-26,5154368.666
2021-01-27,5164568.666
2021-01-28,5081468.666
2021-01-29,4989068.666
2021-02-01,5074568.666
2021-02-02,5193068.666
2021-02-03,5198168.666
2021-02-04,5176868.666
2021-02-05,5207823.836
2021-02-17,5207823.836
2021-02-18,5207823.836
2021-02-19,5207823.836
2021-02-22,5207823.836
2021-02-23,5207823.836
2021-02-24,5207823.836
2021-02-25,5207823.836
2021-02-26,5207823.836
2021-03-02,5207823.836
2021-03-03,5207823.836
2021-03-04,5207823.836
2021-03-05,5207823.836
2021-03-08,5207823.836
2021-03-09,5207823.836
2021-03-10,5207823.836
2021-03-11,5207823.836
2021-03-12,5207823.836
2021-03-15,5207823.836
2021-03-16,5207823.836
2021-03-17,5207823.836
2021-03-18,5207823.836
2021-03-19,5207823.836
2021-03-22,5207823.836
2021-03-23,5207823.836
2021-03-24,5207823.836
2021-03-25,5207823.836
2021-03-26,5207823.836
2021-03-29,5207823.836
2021-03-30,5207823.836
2021-03-31,5207823.836
2021-04-01,5207823.836
2021-04-06,5207823.836
2021-04-07,5214473.366
2021-04-08,5263073.366
2021-04-09,5236373.366
2021-04-12,5234273.366
2021-04-13,5222573.366
2021-04-14,5240873.366
2021-04-15,5305373.366
2021-04-16,5331473.366
2021-04-19,5365373.366
2021-04-20,5379219.458
2021-04-21,5379219.458
2021-04-22,5379219.458
2021-04-23,5379219.458
2021-04-26,5379219.458
2021-04-27,5390964.272
2021-04-28,5379564.272
2021-04-29,5390964.272
2021-05-03,5295564.272
2021-05-04,5199564.272
2021-05-05,5150364.272
2021-05-06,5202864.272
2021-05-07,5305764.272
2021-05-10,5288064.272
2021-05-11,5086464.272
2021-05-12,4827264.272
2021-05-13,4789464.272
2021-05-14,4794920.762
2021-05-17,4794920.762
2021-05-18,4794920.762
2021-05-19,4794920.762
2021-05-20,4794920.762
2021-05-21,4794920.762
2021-05-24,4794920.762
2021-05-25,4794920.762
2021-05-26,4794920.762
2021-05-27,4794920.762
2021-05-28,4794920.762
2021-05-31,4794920.762
2021-06-01,4794920.762
2021-06-02,4794920.762
2021-06-03,4794920.762
2021-06-04,4794920.762
2021-06-07,4794920.762
2021-06-08,4794920.762
2021-06-09,4794920.762
2021-06-10,4794920.762
2021-06-11,4794920.762
2021-06-15,4794920.762
2021-06-16,4794920.762
2021-06-17,4794920.762
2021-06-18,4794920.762
2021-06-21,4794920.762
2021-06-22,4794920.762
2021-06-23,4794920.762
2021-06-24,4794920.762
2021-06-25,4794920.762
2021-06-28,4794920.762
2021-06-29,4794920.762
2021-06-30,4794920.762
2021-07-01,4794920.762
2021-07-02,4794920.762
2021-07-05,4794920.762
2021-07-06,4794920.762
2021-07-07,4794920.762
2021-07-08,4794920.762
2021-07-09,4794920.762
2021-07-12,4794920.762
2021-07-13,4794920.762
2021-07-14,4794920.762
2021-07-15,4794920.762
2021-07-16,4794920.762
2021-07-19,4794920.762
2021-07-20,4794920.762
2021-07-21,4794920.762
2021-07-22,4794920.762
2021-07-23,4794920.762
2021-07-26,4794920.762
2021-07-27,4794920.762
2021-07-28,4794920.762
2021-07-29,4794920.762
2021-07-30,4794920.762
2021-08-02,4794920.762
2021-08-03,4794920.762
2021-08-04,4794920.762
2021-08-05,4794920.762
2021-08-06,4794920.762
2021-08-09,4794920.762
2021-08-10,4794920.762
2021-08-11,4794920.762
2021-08-12,4794920.762
2021-08-13,4794920.762
2021-08-16,4794920.762
2021-08-17,4794920.762
2021-08-18,4794920.762
2021-08-19,4794920.762
2021-08-20,4794920.762
2021-08-23,4794920.762
2021-08-24,4794920.762
2021-08-25,4794920.762
2021-08-26,4794920.762
2021-08-27,4794920.762
2021-08-30,4794920.762
2021-08-31,4794920.762
2021-09-01,4794920.762
2021-09-02,4794920.762
2021-09-03,4794920.762
2021-09-06,4794920.762
2021-09-07,4794920.762
2021-09-08,4794920.762
2021-09-09,4794920.762
2021-09-10,4794920.762
2021-09-13,4794920.762
2021-09-14,4794920.762
2021-09-15,4794920.762
2021-09-16,4794920.762
2021-09-17,4794920.762
2021-09-22,4794920.762
2021-09-23,4794920.762
2021-09-24,4794920.762
2021-09-27,4794920.762
2021-09-28,4794920.762
2021-09-29,4794920.762
2021-09-30,4794920.762
2021-10-01,4794920.762
2021-10-04,4794920.762
2021-10-05,4794920.762
2021-10-06,4794920.762
2021-10-07,4794920.762
2021-10-08,4794920.762
2021-10-12,4794920.762
2021-10-13,4794920.762
2021-10-14,4794920.762
2021-10-15,4794920.762
2021-10-18,4794920.762
2021-10-19,4794920.762
2021-10-20,4794920.762
2021-10-21,4794920.762
2021-10-22,4794920.762
2021-10-25,4794920.762
2021-10-26,4794920.762
2021-10-27,4794920.762
2021-10-28,4794920.762
2021-10-29,4794920.762
2021-11-01,4794920.762
2021-11-02,4794920.762
2021-11-03,4794920.762
2021-11-04,4794920.762
2021-11-05,4794920.762
2021-11-08,4794920.762
2021-11-09,4794920.762
2021-11-10,4794920.762
2021-11-11,4794920.762
2021-11-12,4794920.762
2021-11-15,4794920.762
2021-11-16,4794920.762
2021-11-17,4794920.762
2021-11-18,4794920.762
2021-11-19,4794920.762
2021-11-22,4794920.762
2021-11-23,4794920.762
2021-11-24,4794920.762
2021-11-25,4794920.762
2021-11-26,4794920.762
2021-11-29,4794920.762
2021-11-30,4794920.762
2021-12-01,4794920.762
2021-12-02,4794920.762
2021-12-03,4794920.762
2021-12-06,4794920.762
2021-12-07,4794920.762
2021-12-08,4794920.762
2021-12-09,4794920.762
2021-12-10,4794920.762
2021-12-13,4794920.762
2021-12-14,4794920.762
2021-12-15,4794920.762
2021-12-16,4794920.762
2021-12-17,4794920.762
2021-12-20,4794920.762
2021-12-21,4794920.762
2021-12-22,4794920.762
2021-12-23,4794920.762
2021-12-24,4794920.762
2021-12-27,4794920.762
2021-12-28,4794920.762
2021-12-29,4794920.762
2021-12-30,4794920.762
2022-01-03,4794920.762
2022-01-04,4794920.762
2022-01-05,4784953.167
2022-01-06,4748703.167
2022-01-07,4700703.167
2022-01-10,4729453.167
2022-01-11,4734953.167
2022-01-12,4758703.167
2022-01-13,4771203.167
2022-01-14,4754203.167
2022-01-17,4792203.167
2022-01-18,4755236.357
2022-01-19,4755236.357
2022-01-20,4755236.357
2022-01-21,4755236.357
2022-01-24,4755236.357
2022-01-25,4755236.357
2022-01-26,4755236.357
2022-02-07,4755236.357
2022-02-08,4755236.357
2022-02-09,4755236.357
2022-02-10,4755236.357
2022-02-11,4755236.357
2022-02-14,4755236.357
2022-02-15,4755236.357
2022-02-16,4755236.357
2022-02-17,4755236.357
2022-02-18,4755236.357
2022-02-21,4755236.357
2022-02-22,4755236.357
2022-02-23,4755236.357
2022-02-24,4755236.357
2022-02-25,4755236.357
2022-03-01,4755236.357
2022-03-02,4755236.357
2022-03-03,4755236.357
2022-03-04,4755236.357
2022-03-07,4755236.357
2022-03-08,4755236.357
2022-03-09,4755236.357
2022-03-10,4755236.357
2022-03-11,4755236.357
2022-03-14,4755236.357
2022-03-15,4755236.357
2022-03-16,4755236.357
2022-03-17,4755236.357
2022-03-18,4755236.357
2022-03-21,4755236.357
2022-03-22,4755236.357
2022-03-23,4755236.357
2022-03-24,4755236.357
2022-03-25,4755236.357
2022-03-28,4755236.357
2022-03-29,4755236.357
2022-03-30,4755236.357
2022-03-31,4755236.357
2022-04-01,4755236.357
2022-04-06,4755236.357
2022-04-07,4755236.357
2022-04-08,4755236.357
2022-04-11,4755236.357
2022-04-12,4755236.357
2022-04-13,4755236.357
2022-04-14,4755236.357
2022-04-15,4755236.357
2022-04-18,4755236.357
2022-04-19,4755236.357
2022-04-20,4755236.357
2022-04-21,4755236.357
2022-04-22,4755236.357
2022-04-25,4755236.357
2022-04-26,4755236.357
2022-04-27,4755236.357
2022-04-28,4755236.357
2022-04-29,4755236.357
2022-05-03,4755236.357
2022-05-04,4755236.357
2022-05-05,4755236.357
2022-05-06,4755236.357
2022-05-09,4755236.357
2022-05-10,4755236.357
2022-05-11,4755236.357
2022-05-12,4755236.357
2022-05-13,4755236.357
2022-05-16,4755236.357
2022-05-17,4755236.357
2022-05-18,4755236.357
2022-05-19,4755236.357
2022-05-20,4755236.357
2022-05-23,4755236.357
2022-05-24,4755236.357
2022-05-25,4755236.357
2022-05-26,4755236.357
2022-05-27,4755236.357
2022-05-30,4755236.357
2022-05-31,4755236.357
2022-06-01,4755236.357
2022-06-02,4755236.357
2022-06-06,4755236.357
2022-06-07,4755236.357
2022-06-08,4755236.357
2022-06-09,4755236.357
2022-06-10,4755236.357
2022-06-13,4755236.357
2022-06-14,4755236.357
2022-06-15,4755236.357
2022-06-16,4755236.357
2022-06-17,4755236.357
2022-06-20,4755236.357
2022-06-21,4755236.357
2022-06-22,4755236.357
2022-06-23,4755236.357
2022-06-24,4755236.357
2022-06-27,4755236.357
2022-06-28,4755236.357
2022-06-29,4755236.357
2022-06-30,4755236.357
2022-07-01,4755236.357
2022-07-04,4755236.357
2022-07-05,4755236.357
2022-07-06,4755236.357
2022-07-07,4755236.357
2022-07-08,4755236.357
2022-07-11,4755236.357
2022-07-12,4755236.357
2022-07-13,4755236.357
2022-07-14,4755236.357
2022-07-15,4755236.357
2022-07-18,4755236.357
2022-07-19,4755236.357
2022-07-20,4755236.357
2022-07-21,4755236.357
2022-07-22,4755236.357
2022-07-25,4755236.357
2022-07-26,4755236.357
2022-07-27,4755236.357
2022-07-28,4755236.357
2022-07-29,4755236.357
2022-08-01,4755236.357
2022-08-02,4755236.357
2022-08-03,4755236.357
2022-08-04,4755236.357
2022-08-05,4755236.357
2022-08-08,4755236.357
2022-08-09,4755236.357
2022-08-10,4755236.357
2022-08-11,4755236.357
2022-08-12,4755236.357
2022-08-15,4755236.357
2022-08-16,4755236.357
2022-08-17,4755236.357
2022-08-18,4755236.357
2022-08-19,4755236.357
2022-08-22,4755236.357
2022-08-23,4755236.357
2022-08-24,4755236.357
2022-08-25,4755236.357
2022-08-26,4755236.357
2022-08-29,4755236.357
2022-08-30,4755236.357
2022-08-31,4755236.357
2022-09-01,4755236.357
2022-09-02,4755236.357
2022-09-05,4755236.357
2022-09-06,4755236.357
2022-09-07,4755236.357
2022-09-08,4755236.357
2022-09-12,4755236.357
2022-09-13,4755236.357
2022-09-14,4755236.357
2022-09-15,4755236.357
2022-09-16,4755236.357
2022-09-19,4755236.357
2022-09-20,4755236.357
2022-09-21,4755236.357
2022-09-22,4755236.357
2022-09-23,4755236.357
2022-09-26,4755236.357
2022-09-27,4755236.357
2022-09-28,4755236.357
2022-09-29,4755236.357
2022-09-30,4755236.357
2022-10-03,4755236.357
2022-10-04,4755236.357
2022-10-05,4755236.357
2022-10-06,4755236.357
2022-10-07,4755236.357
2022-10-11,4755236.357
2022-10-12,4755236.357
2022-10-13,4755236.357
2022-10-14,4755236.357
2022-10-17,4755236.357
2022-10-18,4755236.357
2022-10-19,4755236.357
2022-10-20,4755236.357
2022-10-21,4755236.357
2022-10-24,4755236.357
2022-10-25,4755236.357
2022-10-26,4755236.357
2022-10-27,4755236.357
2022-10-28,4755236.357
2022-10-31,4755236.357
2022-11-01,4755236.357
2022-11-02,4755236.357
2022-11-03,4755236.357
2022-11-04,4755236.357
2022-11-07,4755236.357
2022-11-08,4755236.357
2022-11-09,4755236.357
2022-11-10,4755236.357
2022-11-11,4755236.357
2022-11-14,4755236.357
2022-11-15,4755236.357
2022-11-16,4755236.357
2022-11-17,4755236.357
2022-11-18,4755236.357
2022-11-21,4755236.357
2022-11-22,4755236.357
2022-11-23,4755236.357
2022-11-24,4755236.357
2022-11-25,4755236.357
2022-11-28,4755236.357
2022-11-29,4755236.357
2022-11-30,4755236.357
2022-12-01,4755236.357
2022-12-02,4755236.357
2022-12-05,4755236.357
2022-12-06,4755236.357
2022-12-07,4755236.357
2022-12-08,4755236.357
2022-12-09,4755236.357
2022-12-12,4755236.357
2022-12-13,4755236.357
2022-12-14,4755236.357
2022-12-15,4755236.357
2022-12-16,4755236.357
2022-12-19,4755236.357
2022-12-20,4755236.357
2022-12-21,4755236.357
2022-12-22,4755236.357
2022-12-23,4755236.357
2022-12-26,4755236.357
2022-12-27,4755236.357
2022-12-28,4755236.357
2022-12-29,4755236.357
2022-12-30,4755236.357
2023-01-03,4755236.357
2023-01-04,4755236.357
2023-01-05,4755236.357
2023-01-06,4755236.357
2023-01-09,4755236.357
2023-01-10,4755236.357
2023-01-11,4755236.357
2023-01-12,4755236.357
2023-01-13,4755236.357
2023-01-16,4755236.357
2023-01-17,4755236.357
2023-01-30,4755236.357
2023-01-31,4755236.357
2023-02-01,4755236.357
2023-02-02,4755236.357
2023-02-03,4755236.357
2023-02-06,4755236.357
2023-02-07,4755236.357
2023-02-08,4755236.357
2023-02-09,4755236.357
2023-02-10,4755236.357
2023-02-13,4755236.357
2023-02-14,4755236.357
2023-02-15,4755236.357
2023-02-16,4755236.357
2023-02-17,4755236.357
2023-02-20,4755236.357
2023-02-21,4755236.357
2023-02-22,4755236.357
2023-02-23,4755236.357
2023-02-24,4755236.357
2023-03-01,4755236.357
2023-03-02,4755236.357
2023-03-03,4755236.357
2023-03-06,4755236.357
2023-03-07,4784691.707
2023-03-08,4757991.707
2023-03-09,4752591.707
2023-03-10,4667691.707
2023-03-13,4678491.707
2023-03-14,4629349.565
2023-03-15,4629349.565
2023-03-16,4629349.565
2023-03-17,4629349.565
2023-03-20,4629349.565
2023-03-21,4629349.565
2023-03-22,4629349.565
2023-03-23,4629349.565
2023-03-24,4629349.565
2023-03-27,4629349.565
2023-03-28,4629349.565
2023-03-29,4629349.565
2023-03-30,4629349.565
2023-03-31,4629349.565
2023-04-06,4629349.565
2023-04-07,4629349.565
2023-04-10,4629349.565
2023-04-11,4629349.565
2023-04-12,4629349.565
2023-04-13,4629349.565
2023-04-14,4629349.565
2023-04-17,4629349.565
2023-04-18,4629349.565
2023-04-19,4629349.565
2023-04-20,4629349.565
2023-04-21,4629349.565
2023-04-24,4629349.565
2023-04-25,4629349.565
2023-04-26,4629349.565
2023-04-27,4629349.565
2023-04-28,4629349.565
2023-05-02,4629349.565
2023-05-03,4629349.565
2023-05-04,4629349.565
2023-05-05,4629349.565
2023-05-08,4629349.565
2023-05-09,4629349.565
2023-05-10,4629349.565
2023-05-11,4629349.565
2023-05-12,4629349.565
2023-05-15,4629349.565
2023-05-16,4629349.565
2023-05-17,4629349.565
2023-05-18,4629349.565
2023-05-19,4643894.215
2023-05-22,4640644.215
2023-05-23,4644894.215
2023-05-24,4629644.215
2023-05-25,4663394.215
2023-05-26,4720394.215
2023-05-29,4754144.215
2023-05-30,4755644.215
2023-05-31,4733894.215
2023-06-01,4729144.215
2023-06-02,4789144.215
2023-06-05,4781894.215
2023-06-06,4798394.215
2023-06-07,4833894.215
2023-06-08,4791394.215
2023-06-09,4833644.215
2023-06-12,4847144.215
2023-06-13,4916644.215
2023-06-14,4912394.215
2023-06-15,4945894.215
2023-06-16,4928644.215
2023-06-19,4925394.215
2023-06-20,4905683.33
2023-06-21,4905683.33
2023-06-26,4905683.33
2023-06-27,4905683.33
2023-06-28,4905683.33
2023-06-29,4905683.33
2023-06-30,4905683.33
2023-07-03,4905683.33
2023-07-04,4905683.33
2023-07-05,4905683.33
2023-07-06,4905683.33
2023-07-07,4905683.33
2023-07-10,4905683.33
2023-07-11,4905683.33
2023-07-12,4905683.33
2023-07-13,4905683.33
2023-07-14,4905683.33
2023-07-17,4908971.945
2023-07-18,4892510.815
2023-07-19,4892510.815
2023-07-20,4892510.815
2023-07-21,4892510.815
2023-07-24,4892510.815
2023-07-25,4892510.815
2023-07-26,4892510.815
2023-07-27,4892510.815
2023-07-28,4892510.815
2023-07-31,4892510.815
2023-08-01,4892510.815
2023-08-02,4892510.815
2023-08-04,4892510.815
2023-08-07,4892510.815
2023-08-08,4892510.815
2023-08-09,4892510.815
2023-08-10,4892510.815
2023-08-11,4892510.815
