entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations,sizing_mode
2017-07-27T15:00:00.000000000,10457.0,1,1,5000000.0,1.0,2017-08-11T15:00:00.000000000,10308.0,signal_exit,-7520.765,70.765,300.0,853,fixed_one
2017-09-18T15:00:00.000000000,10640.0,1,1,4992479.234999999,1.0,2017-09-19T13:35:00.000000000,10575.0,roll_blackout,-3321.2149999999997,71.215,300.0,119,fixed_one
2017-10-12T15:00:00.000000000,10695.0,1,1,4989158.02,1.0,2017-10-17T13:35:00.000000000,10719.0,roll_blackout,1128.586,71.414,300.0,369,fixed_one
2017-11-22T15:00:00.000000000,10835.0,1,1,4990286.606,1.0,2017-12-01T15:00:00.000000000,10608.0,signal_exit,-11421.443,71.44300000000001,300.0,421,fixed_one
2018-01-03T15:00:00.000000000,10795.0,1,1,4978865.163,1.0,2018-01-16T13:35:00.000000000,10980.0,roll_blackout,9178.225,71.775,300.0,828,fixed_one
2018-01-18T15:00:00.000000000,11066.0,1,1,4988043.387999999,1.0,2018-02-06T15:00:00.000000000,10415.0,signal_exit,-32621.481,71.481,300.0,438,fixed_one
2018-06-04T15:00:00.000000000,11095.0,1,1,4955421.907,1.0,2018-06-19T13:35:00.000000000,10881.0,roll_blackout,-10771.975999999999,71.976,300.0,216,fixed_one
2018-07-20T15:00:00.000000000,10841.0,1,1,4944649.931,1.0,2018-08-14T13:35:00.000000000,10817.0,roll_blackout,-1271.658,71.658,300.0,629,fixed_one
2018-08-29T15:00:00.000000000,11049.0,1,1,4943378.273,1.0,2018-09-11T15:00:00.000000000,10733.0,signal_exit,-15871.782000000001,71.78200000000001,300.0,183,fixed_one
2018-10-25T15:00:00.000000000,9503.0,-1,1,4927506.491,1.0,2018-11-08T15:00:00.000000000,9921.0,signal_exit,-20969.424,69.424,300.0,30,fixed_one
2018-12-25T15:00:00.000000000,9478.0,-1,1,4906537.067000001,1.0,2019-01-10T15:00:00.000000000,9695.0,signal_exit,-10919.172999999999,69.173,300.0,143,fixed_one
2019-04-10T15:00:00.000000000,10864.0,1,1,4895617.894,1.0,2019-04-16T13:35:00.000000000,10919.0,roll_blackout,2678.217,71.783,300.0,130,fixed_one
2019-05-03T15:00:00.000000000,11096.0,1,1,4898296.1110000005,1.0,2019-05-09T15:00:00.000000000,10726.0,signal_exit,-18571.822,71.822,300.0,39,fixed_one
2019-07-11T15:00:00.000000000,10818.0,1,1,4879724.289000001,1.0,2019-07-16T13:35:00.000000000,10878.0,roll_blackout,2928.3039999999996,71.696,300.0,101,fixed_one
2019-07-19T15:00:00.000000000,10748.0,1,1,4882652.593000001,1.0,2019-08-02T15:00:00.000000000,10469.0,signal_exit,-14021.216999999999,71.21700000000001,300.0,259,fixed_one
2019-09-04T15:00:00.000000000,10693.0,1,1,4868631.376000002,1.0,2019-09-17T13:35:00.000000000,10860.0,roll_blackout,8278.447,71.553,300.0,292,fixed_one
2019-10-01T15:00:00.000000000,10960.0,1,1,4876909.823000002,1.0,2019-10-15T13:35:00.000000000,11103.0,roll_blackout,7077.937,72.063,300.0,153,fixed_one
2019-10-24T15:00:00.000000000,11297.0,1,1,4883987.760000002,1.0,2019-11-19T13:35:00.000000000,11644.0,roll_blackout,17277.059,72.941,300.0,553,fixed_one
2019-12-11T15:00:00.000000000,11712.0,1,1,4901264.819000001,1.0,2019-12-17T13:35:00.000000000,12091.0,roll_blackout,18876.197,73.803,300.0,82,fixed_one
2020-03-19T15:00:00.000000000,8481.0,-1,1,4920141.016000001,1.0,2020-04-07T15:00:00.000000000,10088.0,signal_exit,-80418.569,68.569,300.0,2,fixed_one
2020-04-30T15:00:00.000000000,10941.0,1,1,4839722.447000001,1.0,2020-05-19T13:35:00.000000000,10871.0,roll_blackout,-3571.812,71.81200000000001,300.0,26,fixed_one
2020-06-02T15:00:00.000000000,11115.0,1,1,4836150.635000001,1.0,2020-06-16T13:35:00.000000000,11510.0,roll_blackout,19677.375,72.625,300.0,25,fixed_one
2020-07-02T15:00:00.000000000,11732.0,1,1,4855828.010000001,1.0,2020-07-14T13:35:00.000000000,12178.0,roll_blackout,22226.09,73.91,300.0,76,fixed_one
2020-07-21T15:00:00.000000000,12301.0,1,1,4878054.100000001,1.0,2020-08-18T13:35:00.000000000,12872.0,roll_blackout,28474.827,75.173,300.0,93,fixed_one
2020-11-09T15:00:00.000000000,13116.0,1,1,4906528.927,1.0,2020-11-17T13:35:00.000000000,13602.0,roll_blackout,24223.282,76.718,300.0,13,fixed_one
2020-11-23T15:00:00.000000000,13877.0,1,1,4930752.209,1.0,2020-12-15T13:35:00.000000000,14057.0,roll_blackout,8922.065999999999,77.934,300.0,173,fixed_one
2020-12-21T15:00:00.000000000,14321.0,1,1,4939674.274999999,1.0,2020-12-31T13:44:00.000000000,14675.0,period_end,17621.004,78.996,300.0,309,fixed_one
