,equity
2017-07-03,5000000.0
2017-07-04,5000000.0
2017-07-05,5000000.0
2017-07-06,5000000.0
2017-07-07,5000000.0
2017-07-10,5000000.0
2017-07-11,5000000.0
2017-07-12,5000000.0
2017-07-13,5000000.0
2017-07-14,5000000.0
2017-07-17,5000000.0
2017-07-18,5000000.0
2017-07-19,5000000.0
2017-07-20,5000000.0
2017-07-21,5000000.0
2017-07-24,5000000.0
2017-07-25,5000000.0
2017-07-26,5000000.0
2017-07-27,5000000.0
2017-07-28,4947930.905
2017-07-31,4954680.905
2017-08-01,4960080.905
2017-08-02,4998780.905
2017-08-03,4977630.905
2017-08-04,4992480.905
2017-08-07,5032980.905
2017-08-08,5031630.905
2017-08-09,4998780.905
2017-08-10,4942530.905
2017-08-11,4929930.905
2017-08-14,4934113.115
2017-08-15,4934113.115
2017-08-16,4934113.115
2017-08-17,4934113.115
2017-08-18,4934113.115
2017-08-21,4934113.115
2017-08-22,4934113.115
2017-08-23,4934113.115
2017-08-24,4934113.115
2017-08-25,4934113.115
2017-08-28,4934113.115
2017-08-29,4934113.115
2017-08-30,4934113.115
2017-08-31,4934113.115
2017-09-01,4934113.115
2017-09-04,4934113.115
2017-09-05,4934113.115
2017-09-06,4934113.115
2017-09-07,4934113.115
2017-09-08,4934113.115
2017-09-11,4934113.115
2017-09-12,4934113.115
2017-09-13,4934113.115
2017-09-14,4934113.115
2017-09-15,4934113.115
2017-09-18,4934113.115
2017-09-19,4906022.18
2017-09-20,4906022.18
2017-09-21,4906022.18
2017-09-22,4906022.18
2017-09-25,4906022.18
2017-09-26,4906022.18
2017-09-27,4906022.18
2017-09-28,4906022.18
2017-09-29,4906022.18
2017-09-30,4906022.18
2017-10-02,4906022.18
2017-10-03,4906022.18
2017-10-05,4906022.18
2017-10-06,4906022.18
2017-10-11,4906022.18
2017-10-12,4906022.18
2017-10-13,4913800.943
2017-10-16,4934500.943
2017-10-17,4917979.454
2017-10-18,4917979.454
2017-10-19,4917979.454
2017-10-20,4917979.454
2017-10-23,4917979.454
2017-10-24,4917979.454
2017-10-25,4917979.454
2017-10-26,4917979.454
2017-10-27,4917979.454
2017-10-30,4917979.454
2017-10-31,4917979.454
2017-11-01,4917979.454
2017-11-02,4917979.454
2017-11-03,4917979.454
2017-11-06,4917979.454
2017-11-07,4917979.454
2017-11-08,4917979.454
2017-11-09,4917979.454
2017-11-10,4917979.454
2017-11-13,4917979.454
2017-11-14,4917979.454
2017-11-15,4917979.454
2017-11-16,4917979.454
2017-11-17,4917979.454
2017-11-20,4917979.454
2017-11-21,4917979.454
2017-11-22,4917979.454
2017-11-23,4928006.957
2017-11-24,4928006.957
2017-11-27,4880306.957
2017-11-28,4861406.957
2017-11-29,4870856.957
2017-11-30,4801106.957
2017-12-01,4814606.957
2017-12-04,4816986.467
2017-12-05,4816986.467
2017-12-06,4816986.467
2017-12-07,4816986.467
2017-12-08,4816986.467
2017-12-11,4816986.467
2017-12-12,4816986.467
2017-12-13,4816986.467
2017-12-14,4816986.467
2017-12-15,4816986.467
2017-12-18,4816986.467
