entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations,raw_entry,raw_exit,mfe_points,mae_points,holding_calendar_days,holding_observation_minutes,mfe_mae_exit_bar_included
2017-07-27T15:00:00.000000000,10455.0,1,9,5000000.0,1.0,2017-08-11T15:00:00.000000000,10310.0,signal_exit,-65886.885,636.885,900.0,853,10454.0,10311.0,113.0,1046.0,15.0,11301,False
2017-09-18T15:00:00.000000000,10638.0,1,9,4934113.115,1.0,2017-09-19T13:35:00.000000000,10577.0,roll_blackout,-28090.935,640.9350000000001,900.0,119,10637.0,10578.0,21.0,69.0,0.9409722222222222,942,False
2017-10-12T15:00:00.000000000,10693.0,1,9,4906022.180000001,1.0,2017-10-17T13:35:00.000000000,10721.0,roll_blackout,11957.274,642.726,900.0,369,10692.0,10722.0,89.0,22.0,4.940972222222222,2793,False
2017-11-22T15:00:00.000000000,10833.0,1,9,4917979.454000001,1.0,2017-12-01T15:00:00.000000000,10610.0,signal_exit,-100992.987,642.987,900.0,421,10832.0,10611.0,38.0,337.0,9.0,7345,False
2018-01-03T15:00:00.000000000,10793.0,1,8,4816986.467,1.0,2018-01-16T13:35:00.000000000,10982.0,roll_blackout,75025.8,574.2,800.0,828,10792.0,10983.0,193.0,27.0,12.940972222222221,9026,False
2018-01-18T15:00:00.000000000,11064.0,1,8,4892012.267000001,1.0,2018-02-06T15:00:00.000000000,10417.0,signal_exit,-259371.848,571.848,800.0,438,11063.0,10418.0,208.0,821.0,19.0,14293,False
2018-06-04T15:00:00.000000000,11093.0,1,8,4632640.419000001,1.0,2018-06-19T13:35:00.000000000,10883.0,roll_blackout,-84575.808,575.808,800.0,216,11092.0,10884.0,161.0,213.0,14.940972222222221,11149,False
2018-07-20T15:00:00.000000000,10839.0,1,8,4548064.6110000005,1.0,2018-08-14T13:35:00.000000000,10819.0,roll_blackout,-8573.264,573.264,800.0,629,10838.0,10820.0,232.0,146.0,24.94097222222222,18627,False
2018-08-29T15:00:00.000000000,11047.0,1,8,4539491.347,1.0,2018-09-11T15:00:00.000000000,10735.0,signal_exit,-125374.256,574.256,800.0,183,11046.0,10736.0,89.0,364.0,13.0,10043,False
2019-04-10T15:00:00.000000000,10862.0,1,8,4414117.091,1.0,2019-04-16T13:35:00.000000000,10921.0,roll_blackout,23025.736,574.264,800.0,130,10861.0,10922.0,66.0,86.0,5.940972222222222,4387,False
2019-05-03T15:00:00.000000000,11094.0,1,7,4437142.8270000005,1.0,2019-05-09T15:00:00.000000000,10728.0,signal_exit,-128602.754,502.754,700.0,39,11093.0,10729.0,45.0,377.0,6.0,4519,False
2019-07-11T15:00:00.000000000,10816.0,1,7,4308540.073000001,1.0,2019-07-16T13:35:00.000000000,10880.0,roll_blackout,21898.128,501.87200000000007,700.0,101,10815.0,10881.0,77.0,85.0,4.940972222222222,3282,False
2019-07-19T15:00:00.000000000,10746.0,1,8,4330438.201,1.0,2019-08-02T15:00:00.000000000,10471.0,signal_exit,-110569.736,569.7360000000001,800.0,259,10745.0,10472.0,91.0,304.0,14.0,11096,False
2019-09-04T15:00:00.000000000,10691.0,1,7,4219868.465,1.0,2019-09-17T13:35:00.000000000,10862.0,roll_blackout,59349.129,500.871,700.0,292,10690.0,10863.0,223.0,15.0,12.940972222222221,8755,False
2019-10-01T15:00:00.000000000,10958.0,1,7,4279217.594,1.0,2019-10-15T13:35:00.000000000,11105.0,roll_blackout,50945.559,504.441,700.0,153,10957.0,11106.0,165.0,186.0,13.940972222222221,8934,False
2019-10-24T15:00:00.000000000,11295.0,1,7,4330163.152999999,1.0,2019-11-19T13:35:00.000000000,11646.0,roll_blackout,122339.413,510.587,700.0,553,11294.0,11647.0,388.0,30.0,25.94097222222222,19864,False
