,equity
2021-01-04,5009760.322
2021-01-05,5014910.322
2021-01-06,5011610.322
2021-01-07,5027560.322
2021-01-08,5038760.322
2021-01-11,5042760.322
2021-01-12,5040710.322
2021-01-13,5054260.322
2021-01-14,5052510.322
2021-01-15,5047760.322
2021-01-18,5046360.322
2021-01-19,5060619.43
2021-01-20,5060619.43
2021-01-21,5060619.43
2021-01-22,5054478.324
2021-01-25,5050878.324
2021-01-26,5036578.324
2021-01-27,5038278.324
2021-01-28,5024428.324
2021-01-29,5009028.324
2021-02-01,5012188.185
2021-02-02,5012188.185
2021-02-03,5012188.185
2021-02-04,5012188.185
2021-02-05,5012188.185
2021-02-17,5012188.185
2021-02-18,5012188.185
2021-02-19,5012188.185
2021-02-22,5012188.185
2021-02-23,5012188.185
2021-02-24,5012188.185
2021-02-25,5012188.185
2021-02-26,5012188.185
2021-03-02,5012188.185
2021-03-03,5012188.185
2021-03-04,5012188.185
2021-03-05,5012188.185
2021-03-08,5012188.185
2021-03-09,5012188.185
2021-03-10,5012188.185
2021-03-11,5012188.185
2021-03-12,5012188.185
2021-03-15,5012188.185
2021-03-16,5012188.185
2021-03-17,5012188.185
2021-03-18,5012188.185
2021-03-19,5012188.185
2021-03-22,5012188.185
2021-03-23,5012188.185
2021-03-24,5012188.185
2021-03-25,5012188.185
2021-03-26,5012188.185
2021-03-29,5012188.185
2021-03-30,5016796.759
2021-03-31,5011946.759
2021-04-01,5018396.759
2021-04-06,5027396.759
2021-04-07,5029246.759
2021-04-08,5037346.759
2021-04-09,5032896.759
2021-04-12,5032546.759
2021-04-13,5030596.759
2021-04-14,5033646.759
2021-04-15,5044396.759
2021-04-16,5048746.759
2021-04-19,5054396.759
2021-04-20,5056804.439
2021-04-21,5056804.439
2021-04-22,5056804.439
2021-04-23,5056804.439
2021-04-26,5056804.439
2021-04-27,5058861.91
2021-04-28,5056961.91
2021-04-29,5058861.91
2021-05-03,5042961.91
2021-05-04,5026961.91
2021-05-05,5018761.91
2021-05-06,5019470.126
2021-05-07,5019470.126
2021-05-10,5019470.126
2021-05-11,5019470.126
2021-05-12,5019470.126
2021-05-13,5019470.126
2021-05-14,5019470.126
2021-05-17,5019470.126
2021-05-18,5019470.126
2021-05-19,5019470.126
2021-05-20,5019470.126
2021-05-21,5019470.126
2021-05-24,5019470.126
2021-05-25,5019470.126
2021-05-26,5019470.126
2021-05-27,5019470.126
2021-05-28,5019470.126
2021-05-31,5019470.126
2021-06-01,5019470.126
2021-06-02,5019470.126
2021-06-03,5019470.126
2021-06-04,5019470.126
2021-06-07,5019470.126
2021-06-08,5019470.126
2021-06-09,5019470.126
2021-06-10,5019470.126
2021-06-11,5019470.126
2021-06-15,5019470.126
2021-06-16,5019470.126
2021-06-17,5019470.126
