,equity
2021-01-04,5057961.92
2021-01-05,5088861.92
2021-01-06,5069061.92
2021-01-07,5164761.92
2021-01-08,5231961.92
2021-01-11,5255961.92
2021-01-12,5243661.92
2021-01-13,5324961.92
2021-01-14,5314461.92
2021-01-15,5285961.92
2021-01-18,5277561.92
2021-01-19,5362516.58
2021-01-20,5362516.58
2021-01-21,5362516.58
2021-01-22,5325069.932
2021-01-25,5303469.932
2021-01-26,5217669.932
2021-01-27,5227869.932
2021-01-28,5144769.932
2021-01-29,5052369.932
2021-02-01,5070729.11
2021-02-02,5070729.11
2021-02-03,5070729.11
2021-02-04,5070729.11
2021-02-05,5070729.11
2021-02-17,5070729.11
2021-02-18,5070729.11
2021-02-19,5070729.11
2021-02-22,5070729.11
2021-02-23,5070729.11
2021-02-24,5070729.11
2021-02-25,5070729.11
2021-02-26,5070729.11
2021-03-02,5070729.11
2021-03-03,5070729.11
2021-03-04,5070729.11
2021-03-05,5070729.11
2021-03-08,5070729.11
2021-03-09,5070729.11
2021-03-10,5070729.11
2021-03-11,5070729.11
2021-03-12,5070729.11
2021-03-15,5070729.11
2021-03-16,5070729.11
2021-03-17,5070729.11
2021-03-18,5070729.11
2021-03-19,5070729.11
2021-03-22,5070729.11
2021-03-23,5070729.11
2021-03-24,5070729.11
2021-03-25,5070729.11
2021-03-26,5070729.11
2021-03-29,5070729.11
2021-03-30,5097780.542
2021-03-31,5068680.542
2021-04-01,5107380.542
2021-04-06,5161380.542
2021-04-07,5172480.542
2021-04-08,5221080.542
2021-04-09,5194380.542
2021-04-12,5192280.542
2021-04-13,5180580.542
2021-04-14,5198880.542
2021-04-15,5263380.542
2021-04-16,5289480.542
2021-04-19,5323380.542
2021-04-20,5337226.634
2021-04-21,5337226.634
2021-04-22,5337226.634
2021-04-23,5337226.634
2021-04-26,5337226.634
2021-04-27,5348971.448
2021-04-28,5337571.448
2021-04-29,5348971.448
2021-05-03,5253571.448
2021-05-04,5157571.448
2021-05-05,5108371.448
2021-05-06,5112020.756
2021-05-07,5112020.756
2021-05-10,5112020.756
2021-05-11,5112020.756
2021-05-12,5112020.756
2021-05-13,5112020.756
2021-05-14,5112020.756
2021-05-17,5112020.756
2021-05-18,5112020.756
2021-05-19,5112020.756
2021-05-20,5112020.756
2021-05-21,5112020.756
2021-05-24,5112020.756
2021-05-25,5112020.756
2021-05-26,5112020.756
2021-05-27,5112020.756
2021-05-28,5112020.756
2021-05-31,5112020.756
2021-06-01,5112020.756
2021-06-02,5112020.756
2021-06-03,5112020.756
2021-06-04,5112020.756
2021-06-07,5112020.756
2021-06-08,5112020.756
2021-06-09,5112020.756
2021-06-10,5112020.756
2021-06-11,5112020.756
2021-06-15,5112020.756
2021-06-16,5112020.756
2021-06-17,5112020.756
2021-06-18,5112020.756
2021-06-21,5112020.756
2021-06-22,5112020.756
2021-06-23,5112020.756
2021-06-24,5112020.756
2021-06-25,5112020.756
2021-06-28,5140058.646
2021-06-29,5138558.646
2021-06-30,5185058.646
2021-07-01,5167808.646
2021-07-02,5169558.646
2021-07-05,5230808.646
2021-07-06,5225808.646
2021-07-07,5213808.646
2021-07-08,5212558.646
2021-07-09,5170808.646
2021-07-12,5212308.646
2021-07-13,5223558.646
2021-07-14,5224808.646
2021-07-15,5261808.646
2021-07-16,5237558.646
2021-07-19,5204808.646
2021-07-20,5140595.956
2021-07-21,5140595.956
2021-07-22,5140595.956
2021-07-23,5140595.956
2021-07-26,5140595.956
2021-07-27,5140595.956
2021-07-28,5140595.956
2021-07-29,5140595.956
2021-07-30,5140595.956
2021-08-02,5140595.956
2021-08-03,5140595.956
2021-08-04,5140595.956
2021-08-05,5140595.956
2021-08-06,5140595.956
2021-08-09,5140595.956
2021-08-10,5140595.956
2021-08-11,5140595.956
2021-08-12,5140595.956
2021-08-13,5140595.956
2021-08-16,5140595.956
2021-08-17,5140595.956
2021-08-18,5140595.956
2021-08-19,5140595.956
2021-08-20,5140595.956
2021-08-23,5140595.956
2021-08-24,5140595.956
2021-08-25,5140595.956
2021-08-26,5140595.956
2021-08-27,5140595.956
2021-08-30,5140595.956
2021-08-31,5140595.956
2021-09-01,5140595.956
2021-09-02,5140595.956
2021-09-03,5140595.956
2021-09-06,5140595.956
2021-09-07,5140595.956
2021-09-08,5140595.956
