entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations,sizing_mode
2024-01-25T15:00:00.000000000,18012.0,1,1,5000000.0,1.0,2024-02-20T13:35:00.000000000,18744.0,roll_blackout,36513.244,86.756,300.0,0,fixed_one
2024-02-22T15:00:00.000000000,18891.0,1,1,5036513.244,1.0,2024-03-19T13:35:00.000000000,19862.0,roll_blackout,48461.246999999996,88.75300000000001,300.0,0,fixed_one
2024-03-21T15:00:00.000000000,20278.0,1,1,5084974.491,1.0,2024-04-16T13:35:00.000000000,19925.0,roll_blackout,-17740.202999999998,90.203,300.0,0,fixed_one
2024-05-10T15:00:00.000000000,20837.0,1,1,5067234.288000001,1.0,2024-05-14T13:35:00.000000000,20996.0,roll_blackout,7858.1669999999995,91.833,300.0,0,fixed_one
2024-05-22T15:00:00.000000000,21579.0,1,1,5075092.455,1.0,2024-06-18T13:35:00.000000000,22785.0,roll_blackout,60205.636,94.364,300.0,0,fixed_one
2024-06-20T15:00:00.000000000,23357.0,1,1,5135298.091,1.0,2024-07-16T13:35:00.000000000,23966.0,roll_blackout,30352.677,97.32300000000001,300.0,0,fixed_one
2024-09-25T15:00:00.000000000,22769.0,1,1,5165650.768,1.0,2024-09-30T15:00:00.000000000,22331.0,signal_exit,-21995.1,95.10000000000001,300.0,0,fixed_one
2024-10-18T15:00:00.000000000,23689.0,1,1,5143655.668,1.0,2024-11-18T15:00:00.000000000,22585.0,signal_exit,-55296.274,96.274,300.0,0,fixed_one
2025-03-28T15:00:00.000000000,21573.0,-1,1,5088359.393999999,1.0,2025-04-15T13:35:00.000000000,19791.0,roll_blackout,89008.636,91.364,300.0,0,fixed_one
2025-07-17T15:00:00.000000000,23330.0,1,1,5177368.029999999,1.0,2025-08-19T13:35:00.000000000,24353.0,roll_blackout,51052.316999999995,97.68299999999999,300.0,0,fixed_one
2025-09-08T15:00:00.000000000,24573.0,1,1,5228420.346999999,1.0,2025-09-16T13:35:00.000000000,25616.0,roll_blackout,52049.811,100.189,300.0,0,fixed_one
2025-09-18T15:00:00.000000000,25710.0,1,1,5280470.157999999,1.0,2025-10-14T13:35:00.000000000,26807.0,roll_blackout,54747.483,102.517,300.0,0,fixed_one
2025-10-16T15:00:00.000000000,27785.0,1,1,5335217.640999999,1.0,2025-11-18T13:35:00.000000000,26806.0,roll_blackout,-49054.591,104.59100000000001,300.0,0,fixed_one
2025-12-08T15:00:00.000000000,28288.0,1,1,5286163.049999999,1.0,2025-12-16T13:35:00.000000000,27602.0,roll_blackout,-34405.89,105.89000000000001,300.0,0,fixed_one
2025-12-31T15:00:00.000000000,29018.0,1,1,5251757.159999999,1.0,2026-01-20T13:35:00.000000000,31707.0,roll_blackout,134339.275,110.72500000000001,300.0,0,fixed_one
2026-01-23T15:00:00.000000000,32187.0,1,1,5386096.434999999,1.0,2026-02-11T13:35:00.000000000,33679.0,roll_blackout,74484.13399999999,115.86600000000001,300.0,0,fixed_one
2026-02-24T15:00:00.000000000,34847.0,1,1,5460580.568999998,1.0,2026-03-17T13:35:00.000000000,33836.0,roll_blackout,-50668.683000000005,118.683,300.0,0,fixed_one
2026-04-08T15:00:00.000000000,35003.0,1,1,5409911.885999998,1.0,2026-04-14T13:35:00.000000000,36357.0,roll_blackout,67578.64,121.36000000000001,300.0,21,fixed_one
2026-04-16T15:00:00.000000000,37553.0,1,1,5477490.525999999,1.0,2026-05-19T13:35:00.000000000,40240.0,roll_blackout,134222.207,127.793,300.0,103,fixed_one
2026-05-25T15:00:00.000000000,43873.0,1,1,5611712.732999998,1.0,2026-06-16T13:35:00.000000000,45760.0,roll_blackout,94210.367,139.633,300.0,78,fixed_one
2026-06-22T15:00:00.000000000,48534.0,1,1,5705923.099999999,1.0,2026-07-14T13:35:00.000000000,44824.0,roll_blackout,-185643.358,143.358,300.0,58,fixed_one
2026-09-01T15:00:00.000000000,47204.0,1,1,5520279.741999999,1.0,2026-09-09T13:44:00.000000000,47184.0,period_end,-1144.388,144.388,300.0,113,fixed_one
