variant,window,direction,slippage_per_side,sizing,period,return,ending_equity
baseline,early,joint,1,notional_one,2017-07,0.015739016399999972,5078695.082
baseline,early,joint,1,notional_one,2017-08,0.017241547796469803,5166259.646
baseline,early,joint,1,notional_one,2017-09,-0.025009934624567243,5037051.83
baseline,early,joint,1,notional_one,2017-10,0.025716945024963245,5166589.415
baseline,early,joint,1,notional_one,2017-11,-0.013537314344534646,5096647.67
baseline,early,joint,1,notional_one,2017-12,0.003115677407616424,5112527.18
baseline,early,joint,1,notional_one,2018-01,0.0194384196897317,5211906.629
baseline,early,joint,1,notional_one,2018-02,-0.05408613048274924,4930014.767
baseline,early,joint,1,notional_one,2018-03,-0.008018934195618388,4890481.303
baseline,early,joint,1,notional_one,2018-04,-0.009955347333632458,4841794.863
baseline,early,joint,1,notional_one,2018-05,-0.0033171715147900516,4825733.799
baseline,early,joint,1,notional_one,2018-06,-0.008191180791653041,4786205.341
baseline,early,joint,1,notional_one,2018-07,0.041543595987558746,4985041.522
baseline,early,joint,1,notional_one,2018-08,0.014946006702489356,5059547.986
baseline,early,joint,1,notional_one,2018-09,-0.02053315183242921,4955659.519
baseline,early,joint,1,notional_one,2018-10,-0.026134341454138954,4826146.621
baseline,early,joint,1,notional_one,2018-11,-0.013836111756207692,4759371.517
baseline,early,joint,1,notional_one,2018-12,0.010458458185541142,4809147.205
baseline,early,joint,1,notional_one,2019-01,-0.012135873058599866,4750784.005
baseline,early,joint,1,notional_one,2019-02,0.0,4750784.005
baseline,early,joint,1,notional_one,2019-03,0.0,4750784.005
baseline,early,joint,1,notional_one,2019-04,0.005712364100628253,4777922.213
baseline,early,joint,1,notional_one,2019-05,-0.034467770854853974,4613237.885
baseline,early,joint,1,notional_one,2019-06,-0.0020560014975251617,4603753.061
baseline,early,joint,1,notional_one,2019-07,0.03211024354288239,4751580.693
baseline,early,joint,1,notional_one,2019-08,-0.036580911328321974,4577763.541
baseline,early,joint,1,notional_one,2019-09,0.01903579667659372,4664904.917
baseline,early,joint,1,notional_one,2019-10,0.039319520389701434,4848326.741
baseline,early,joint,1,notional_one,2019-11,0.017617301094353,4933741.173
baseline,early,joint,1,notional_one,2019-12,0.04714615701223779,5166348.109
baseline,early,joint,1,notional_one,2020-01,-0.03232340455516136,4999354.149
baseline,early,joint,1,notional_one,2020-02,-0.012337382422154985,4937675.205
baseline,early,joint,1,notional_one,2020-03,-0.12404994001625513,4325156.892
baseline,early,joint,1,notional_one,2020-04,-0.09457199801389315,3916118.1629999997
baseline,early,joint,1,notional_one,2020-05,-0.009845063503003404,3877563.7309999997
baseline,early,joint,1,notional_one,2020-06,0.0582684251437775,4103503.263
baseline,early,joint,1,notional_one,2020-07,0.1074278543835534,4544333.814
baseline,early,joint,1,notional_one,2020-08,0.045479451655441094,4751007.624
baseline,early,joint,1,notional_one,2020-09,-0.024255870148020664,4635767.8
baseline,early,joint,1,notional_one,2020-10,-0.006890445418771818,4603825.295
baseline,early,joint,1,notional_one,2020-11,0.052680483827959756,4846357.039
baseline,early,joint,1,notional_one,2020-12,0.060277153880572865,5138481.648
baseline,early,joint,1,fixed_one,2017-07,0.0017487795999999722,5008743.898
baseline,early,joint,1,fixed_one,2017-08,0.001942482226708453,5018473.294
baseline,early,joint,1,fixed_one,2017-09,-0.0028607154325527295,5004116.87
baseline,early,joint,1,fixed_one,2017-10,0.002876244774834724,5018509.935
baseline,early,joint,1,fixed_one,2017-11,-0.0015485283681120343,5010738.63
baseline,early,joint,1,fixed_one,2017-12,0.00035212173898591104,5012503.02
baseline,early,joint,1,fixed_one,2018-01,0.0022029235605329767,5023545.181
baseline,early,joint,1,fixed_one,2018-02,-0.0062349032150568195,4992223.863
baseline,early,joint,1,fixed_one,2018-03,-0.0007799089357463096,4988330.383
baseline,early,joint,1,fixed_one,2018-04,-0.0012200084061674277,4982244.578
baseline,early,joint,1,fixed_one,2018-05,-0.00040295753622066055,4980236.945
baseline,early,joint,1,fixed_one,2018-06,-0.0008648482085424902,4975929.796
baseline,early,joint,1,fixed_one,2018-07,0.004439955928992267,4998022.705
baseline,early,joint,1,fixed_one,2018-08,0.001656354220183509,5006301.201
baseline,early,joint,1,fixed_one,2018-09,-0.0023057268303583456,4994758.038
baseline,early,joint,1,fixed_one,2018-10,-0.0028810849075207035,4980367.716
baseline,early,joint,1,fixed_one,2018-11,-0.0014897406021174842,4972948.26
baseline,early,joint,1,fixed_one,2018-12,0.001112143483270378,4978478.892
baseline,early,joint,1,fixed_one,2019-01,-0.0013025665350153703,4971994.092
baseline,early,joint,1,fixed_one,2019-02,0.0,4971994.092
baseline,early,joint,1,fixed_one,2019-03,0.0,4971994.092
baseline,early,joint,1,fixed_one,2019-04,0.0006822767560117349,4975386.368
baseline,early,joint,1,fixed_one,2019-05,-0.004137475861653583,4954800.827
baseline,early,joint,1,fixed_one,2019-06,-0.00023928368493408847,4953615.224
baseline,early,joint,1,fixed_one,2019-07,0.0037302965943888378,4972093.678
baseline,early,joint,1,fixed_one,2019-08,-0.004369817909130824,4950366.534
baseline,early,joint,1,fixed_one,2019-09,0.002200376866073883,4961259.206
baseline,early,joint,1,fixed_one,2019-10,0.004621352573611182,4984186.934
baseline,early,joint,1,fixed_one,2019-11,0.002142135546154389,4994863.738
baseline,early,joint,1,fixed_one,2019-12,0.0058211531935890015,5023939.605
baseline,early,joint,1,fixed_one,2020-01,-0.004154955401777793,5003065.36
baseline,early,joint,1,fixed_one,2020-02,-0.0015410288383681525,4995355.492
baseline,early,joint,1,fixed_one,2020-03,-0.011147051113614692,4939672.009
baseline,early,joint,1,fixed_one,2020-04,-0.0075278963729269455,4902486.67
baseline,early,joint,1,fixed_one,2020-05,-0.0011234657778272927,4896978.894
baseline,early,joint,1,fixed_one,2020-06,0.006591222200190927,4929255.97
baseline,early,joint,1,fixed_one,2020-07,0.012775922651060867,4992231.763
baseline,early,joint,1,fixed_one,2020-08,0.005914154510778813,5021756.593
baseline,early,joint,1,fixed_one,2020-09,-0.0032783014658552823,5005293.761
baseline,early,joint,1,fixed_one,2020-10,-0.0009116777591667846,5000730.546
baseline,early,joint,1,fixed_one,2020-11,0.00692846608736275,5035377.938
baseline,early,joint,1,fixed_one,2020-12,0.008287776511285205,5077110.025
baseline,early,joint,3,notional_one,2017-07,0.015199012800000133,5075995.064
baseline,early,joint,3,notional_one,2017-08,0.016896108628682294,5161759.628
baseline,early,joint,3,notional_one,2017-09,-0.025554812216451284,5029851.83
baseline,early,joint,3,notional_one,2017-10,0.025216958925806,5156689.397
baseline,early,joint,3,notional_one,2017-11,-0.013912364983963754,5084947.652
baseline,early,joint,3,notional_one,2017-12,0.0029458568750668768,5099927.18
baseline,early,joint,3,notional_one,2018-01,0.018957021853006184,5196606.611
baseline,early,joint,3,notional_one,2018-02,-0.054591752510088076,4912914.749
baseline,early,joint,3,notional_one,2018-03,-0.008718543713529536,4870081.287
baseline,early,joint,3,notional_one,2018-04,-0.010161313761250068,4820594.863
baseline,early,joint,3,notional_one,2018-05,-0.003829626949507059,4802133.783
baseline,early,joint,3,notional_one,2018-06,-0.008772858879762646,4760005.341
baseline,early,joint,3,notional_one,2018-07,0.03953935584460089,4948212.886
