entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations
2017-07-03T16:00:00.000000000,10297.0,1,1,5000000.0,1.0,2017-07-04T10:45:00.000000000,10273.0,signal_exit,-1270.5700000000002,70.57000000000001,100.0,73
2017-07-05T16:00:00.000000000,10312.0,1,1,4998729.43,1.0,2017-07-06T10:45:00.000000000,10249.0,signal_exit,-3220.561,70.56099999999999,100.0,71
2017-07-11T10:45:00.000000000,10333.0,1,1,4995508.869,1.0,2017-07-18T13:35:00.000000000,10462.0,roll_blackout,6379.204999999999,70.795,100.0,460
2017-07-20T09:45:00.000000000,10398.0,1,1,5001888.074,1.0,2017-07-21T23:00:00.000000000,10288.0,signal_exit,-5570.686,70.68599999999999,100.0,112
2017-07-24T10:45:00.000000000,10344.0,1,1,4996317.388,1.0,2017-07-28T11:45:00.000000000,10344.0,signal_exit,-70.688,70.688,100.0,380
2017-08-01T10:45:00.000000000,10411.0,1,1,4996246.7,1.0,2017-08-10T10:45:00.000000000,10345.0,signal_exit,-3370.756,70.75600000000001,100.0,597
2017-08-22T10:45:00.000000000,10358.0,1,1,4992875.944,1.0,2017-09-07T12:45:00.000000000,10500.0,signal_exit,7029.142,70.858,100.0,879
2017-09-08T11:45:00.000000000,10549.0,1,1,4999905.086,1.0,2017-09-13T11:45:00.000000000,10538.0,signal_exit,-621.087,71.08699999999999,100.0,217
2017-09-15T15:00:00.000000000,10567.0,1,1,4999283.999,1.0,2017-09-19T13:35:00.000000000,10577.0,roll_blackout,428.856,71.144,100.0,213
2017-09-21T11:45:00.000000000,10576.0,1,1,4999712.8549999995,1.0,2017-09-22T10:45:00.000000000,10452.0,signal_exit,-6271.028,71.02799999999999,100.0,112
2017-10-11T10:45:00.000000000,10631.0,1,1,4993441.827,1.0,2017-10-17T13:35:00.000000000,10721.0,roll_blackout,4428.648,71.352,100.0,497
2017-10-19T09:45:00.000000000,10777.0,1,1,4997870.475,1.0,2017-10-26T00:00:00.000000000,10703.0,signal_exit,-3771.48,71.47999999999999,100.0,356
2017-10-26T11:45:00.000000000,10739.0,1,1,4994098.994999999,1.0,2017-10-27T15:00:00.000000000,10711.0,signal_exit,-1471.4499999999998,71.45,100.0,91
2017-10-30T09:45:00.000000000,10752.0,1,1,4992627.544999999,1.0,2017-11-09T15:00:00.000000000,10732.0,signal_exit,-1071.484,71.484,100.0,777
2017-11-17T17:00:00.000000000,10717.0,1,1,4991556.060999999,1.0,2017-11-20T15:00:00.000000000,10661.0,signal_exit,-2871.378,71.378,100.0,59
2017-11-21T11:45:00.000000000,10758.0,1,1,4988684.682999999,1.0,2017-11-28T10:45:00.000000000,10725.0,signal_exit,-1721.483,71.483,100.0,356
2018-01-04T12:45:00.000000000,10807.0,1,1,4986963.199999999,1.0,2018-01-16T13:35:00.000000000,10982.0,roll_blackout,8678.211,71.789,100.0,720
2018-01-18T08:45:00.000000000,11064.0,1,1,4995641.410999999,1.0,2018-01-25T03:00:00.000000000,11119.0,signal_exit,2677.817,72.18299999999999,100.0,181
2018-01-25T10:45:00.000000000,11158.0,1,1,4998319.227999999,1.0,2018-01-26T10:45:00.000000000,11129.0,signal_exit,-1522.2869999999998,72.287,100.0,28
2018-01-29T10:45:00.000000000,11189.0,1,1,4996796.941,1.0,2018-01-30T12:45:00.000000000,11100.0,signal_exit,-4522.289000000001,72.289,100.0,57
2018-02-01T10:45:00.000000000,11181.0,1,1,4992274.652,1.0,2018-02-02T10:45:00.000000000,11097.0,signal_exit,-4272.277999999999,72.27799999999999,100.0,23
2018-03-06T12:45:00.000000000,10765.0,1,1,4988002.374,1.0,2018-03-16T10:45:00.000000000,10941.0,signal_exit,8728.294000000002,71.706,100.0,90
2018-03-22T09:45:00.000000000,11116.0,1,1,4996730.668,1.0,2018-03-22T17:00:00.000000000,10956.0,signal_exit,-8072.072,72.072,100.0,0
2018-04-10T01:00:00.000000000,10945.0,1,1,4988658.596,1.0,2018-04-12T18:00:00.000000000,10915.0,signal_exit,-1571.86,71.86,100.0,33
2018-04-13T16:00:00.000000000,10966.0,1,1,4987086.736,1.0,2018-04-16T09:45:00.000000000,10915.0,signal_exit,-2621.881,71.881,100.0,20
2018-04-19T10:45:00.000000000,10958.0,1,1,4984464.8549999995,1.0,2018-04-20T00:00:00.000000000,10868.0,signal_exit,-4571.826,71.826,100.0,0
2018-05-10T23:00:00.000000000,10798.0,1,1,4979893.028999999,1.0,2018-05-15T13:35:00.000000000,10864.0,roll_blackout,3228.338,71.662,100.0,53
2018-05-17T09:45:00.000000000,10875.0,1,1,4983121.367,1.0,2018-05-17T11:45:00.000000000,10865.0,signal_exit,-571.74,71.74000000000001,100.0,0
2018-05-21T10:45:00.000000000,10942.0,1,1,4982549.626999999,1.0,2018-05-23T16:00:00.000000000,10821.0,signal_exit,-6121.763,71.763,100.0,87
2018-05-24T04:00:00.000000000,10892.0,1,1,4976427.863999999,1.0,2018-05-29T17:00:00.000000000,10892.0,signal_exit,-71.784,71.784,100.0,143
2018-06-01T10:45:00.000000000,10920.0,1,1,4976356.079999999,1.0,2018-06-08T16:00:00.000000000,11090.0,signal_exit,8427.99,72.01,100.0,110
2018-07-12T10:45:00.000000000,10728.0,1,1,4984784.069999999,1.0,2018-07-17T13:35:00.000000000,10773.0,roll_blackout,2178.4990000000003,71.501,100.0,150
2018-07-19T09:45:00.000000000,10782.0,1,1,4986962.568999999,1.0,2018-08-02T11:45:00.000000000,10903.0,signal_exit,5978.315,71.685,100.0,289
2018-08-03T12:45:00.000000000,10971.0,1,1,4992940.884,1.0,2018-08-10T16:00:00.000000000,10963.0,signal_exit,-471.93399999999997,71.93400000000001,100.0,298
2018-08-28T23:00:00.000000000,10978.0,1,1,4992468.949999999,1.0,2018-09-03T11:45:00.000000000,10934.0,signal_exit,-2271.912,71.91199999999999,100.0,57
2018-09-04T16:00:00.000000000,11009.0,1,1,4990197.038,1.0,2018-09-04T18:00:00.000000000,10972.0,signal_exit,-1921.981,71.981,100.0,0
2018-09-05T10:45:00.000000000,11008.0,1,1,4988275.057,1.0,2018-09-05T12:45:00.000000000,10983.0,signal_exit,-1321.991,71.99100000000001,100.0,0
2018-10-01T10:45:00.000000000,11013.0,1,1,4986953.066,1.0,2018-10-02T10:45:00.000000000,10898.0,signal_exit,-5821.911,71.911,100.0,67
2018-11-02T18:00:00.000000000,9898.0,1,1,4981131.154999999,1.0,2018-11-06T11:45:00.000000000,9762.0,signal_exit,-6869.66,69.66000000000001,100.0,4
2018-11-07T19:00:00.000000000,9889.0,1,1,4974261.494999999,1.0,2018-11-09T10:45:00.000000000,9785.0,signal_exit,-5269.674,69.674,100.0,7
2018-11-15T15:00:00.000000000,9844.0,1,1,4968991.8209999995,1.0,2018-11-16T16:00:00.000000000,9779.0,signal_exit,-3319.623,69.62299999999999,100.0,1
2018-11-28T20:00:00.000000000,9892.0,1,1,4965672.198,1.0,2018-12-05T03:00:00.000000000,9929.0,signal_exit,1780.1789999999999,69.821,100.0,37
2018-12-13T01:00:00.000000000,9864.0,1,1,4967452.376999999,1.0,2018-12-14T10:45:00.000000000,9687.0,signal_exit,-8919.551,69.551,100.0,5
2019-01-09T10:45:00.000000000,9733.0,1,1,4958532.825999999,1.0,2019-01-14T11:45:00.000000000,9671.0,signal_exit,-3169.4040000000005,69.404,100.0,18
2019-01-15T10:45:00.000000000,9790.0,1,1,4955363.421999999,1.0,2019-01-15T13:35:00.000000000,9798.0,roll_blackout,330.412,69.58800000000001,100.0,0
2019-01-17T11:45:00.000000000,9788.0,1,1,4955693.833999999,1.0,2019-01-23T03:00:00.000000000,9814.0,signal_exit,1230.398,69.602,100.0,91
2019-01-23T10:45:00.000000000,9838.0,1,1,4956924.231999999,1.0,2019-01-23T15:00:00.000000000,9818.0,signal_exit,-1069.656,69.656,100.0,0
2019-01-23T23:00:00.000000000,9856.0,1,1,4955854.5759999985,1.0,2019-01-24T02:00:00.000000000,9822.0,signal_exit,-1769.6779999999999,69.67800000000001,100.0,0
2019-01-24T10:45:00.000000000,9839.0,1,1,4954084.897999998,1.0,2019-01-29T11:45:00.000000000,9899.0,signal_exit,2930.262,69.738,100.0,47
2019-01-29T18:00:00.000000000,9938.0,1,1,4957015.159999998,1.0,2019-01-30T02:00:00.000000000,9915.0,signal_exit,-1219.853,69.85300000000001,100.0,4
2019-01-30T12:45:00.000000000,9930.0,1,1,4955795.306999998,1.0,2019-01-31T00:00:00.000000000,9926.0,signal_exit,-269.856,69.856,100.0,23
2019-01-31T04:00:00.000000000,10029.0,1,1,4955525.4509999985,1.0,2019-02-19T13:35:00.000000000,10142.0,roll_blackout,5579.829000000001,70.17099999999999,100.0,227
2019-02-21T09:45:00.000000000,10250.0,1,1,4961105.279999998,1.0,2019-02-28T01:00:00.000000000,10307.0,signal_exit,2779.443,70.557,100.0,127
2019-03-06T23:00:00.000000000,10330.0,1,1,4963884.722999998,1.0,2019-03-07T01:00:00.000000000,10314.0,signal_exit,-870.644,70.644,100.0,0
2019-03-12T10:45:00.000000000,10365.0,1,1,4963014.078999998,1.0,2019-03-19T13:35:00.000000000,10502.0,roll_blackout,6779.133,70.86700000000002,100.0,196
2019-03-21T08:45:00.000000000,10539.0,1,1,4969793.211999998,1.0,2019-03-25T10:45:00.000000000,10459.0,signal_exit,-4070.9980000000005,70.99799999999999,100.0,28
2019-03-26T23:00:00.000000000,10567.0,1,1,4965722.213999999,1.0,2019-03-27T03:00:00.000000000,10519.0,signal_exit,-2471.086,71.086,100.0,0
2019-03-28T17:00:00.000000000,10529.0,1,1,4963251.127999999,1.0,2019-04-16T13:35:00.000000000,10921.0,roll_blackout,19528.550000000003,71.45,100.0,310
2019-04-18T09:45:00.000000000,11013.0,1,1,4982779.677999998,1.0,2019-04-24T22:00:00.000000000,10975.0,signal_exit,-1971.9879999999998,71.988,100.0,210
2019-04-25T10:45:00.000000000,11021.0,1,1,4980807.689999999,1.0,2019-04-25T23:00:00.000000000,10990.0,signal_exit,-1622.011,72.011,100.0,4
2019-05-02T10:45:00.000000000,10973.0,1,1,4979185.678999999,1.0,2019-05-03T01:00:00.000000000,10957.0,signal_exit,-871.93,71.93,100.0,7
2019-05-03T10:45:00.000000000,11028.0,1,1,4978313.748999999,1.0,2019-05-06T10:45:00.000000000,10855.0,signal_exit,-8721.883,71.88300000000001,100.0,16
