,equity
2017-07-03,5000000.0
2017-07-04,4998529.43
2017-07-05,4998529.43
2017-07-06,4995108.869
2017-07-07,4995108.869
2017-07-10,4995108.869
2017-07-11,4995423.534
2017-07-12,4995273.534
2017-07-13,4999323.534
2017-07-14,4998473.534
2017-07-17,5000123.534
2017-07-18,5001288.074
2017-07-19,5001288.074
2017-07-20,5000752.674
2017-07-21,4997702.674
2017-07-24,4996282.042
2017-07-25,4996332.042
2017-07-26,4994632.042
2017-07-27,5000582.042
2017-07-28,4995246.7
2017-07-31,4995246.7
2017-08-01,4992911.287
2017-08-02,4997211.287
2017-08-03,4994861.287
2017-08-04,4996511.287
2017-08-07,5001011.287
2017-08-08,5000861.287
2017-08-09,4997211.287
2017-08-10,4991675.944
2017-08-11,4991675.944
2017-08-14,4991675.944
2017-08-15,4991675.944
2017-08-16,4991675.944
2017-08-17,4991675.944
2017-08-18,4991675.944
2017-08-21,4991675.944
2017-08-22,4991140.584
2017-08-23,4991690.584
2017-08-24,4996090.584
2017-08-25,4997990.584
2017-08-28,4998140.584
2017-08-29,4996790.584
2017-08-30,5000190.584
2017-08-31,5001190.584
2017-09-01,5002440.584
2017-09-04,5001240.584
2017-09-05,5002740.584
2017-09-06,4999590.584
2017-09-07,4998505.086
2017-09-08,4998719.535
2017-09-11,4999169.535
2017-09-12,5000419.535
2017-09-13,4997683.999
2017-09-14,4997683.999
2017-09-15,4997683.999
2017-09-18,5000998.43
2017-09-19,4997912.855
2017-09-20,4997912.855
2017-09-21,4997727.277
2017-09-22,4991441.827
2017-09-25,4991441.827
2017-09-26,4991441.827
2017-09-27,4991441.827
2017-09-28,4991441.827
2017-09-29,4991441.827
2017-09-30,4991441.827
2017-10-02,4991441.827
2017-10-03,4991441.827
2017-10-05,4991441.827
2017-10-06,4991441.827
2017-10-11,4991406.194
2017-10-12,4994606.194
2017-10-13,4995306.194
2017-10-16,4997606.194
2017-10-17,4995670.475
2017-10-18,4995670.475
2017-10-19,4994734.696
2017-10-20,4993284.696
2017-10-23,4993484.696
2017-10-24,4993884.696
2017-10-25,4993634.696
2017-10-26,4991013.254
2017-10-27,4990113.254
2017-10-30,4989691.791
2017-10-31,4991441.791
2017-11-01,4992741.791
2017-11-02,4991341.791
2017-11-03,4991691.791
2017-11-06,4990841.791
2017-11-07,4993541.791
2017-11-08,4992491.791
2017-11-09,4988441.791
2017-11-10,4988756.061
2017-11-13,4988756.061
2017-11-14,4988756.061
2017-11-15,4988756.061
2017-11-16,4988756.061
2017-11-17,4988756.061
2017-11-20,4986120.342
2017-11-21,4987048.923
2017-11-22,4988998.923
2017-11-23,4990448.923
2017-11-24,4990448.923
2017-11-27,4985148.923
2017-11-28,4983763.2
2017-11-29,4983763.2
2017-11-30,4983763.2
2017-12-01,4983763.2
2017-12-04,4983763.2
2017-12-05,4983763.2
2017-12-06,4983763.2
2017-12-07,4983763.2
2017-12-08,4983763.2
2017-12-11,4983763.2
2017-12-12,4983763.2
2017-12-13,4983763.2
2017-12-14,4983763.2
2017-12-15,4983763.2
2017-12-18,4983763.2
2017-12-19,4983763.2
2017-12-20,4983763.2
2017-12-21,4983763.2
2017-12-22,4983763.2
2017-12-25,4983763.2
2017-12-26,4983763.2
2017-12-27,4983763.2
2017-12-28,4983763.2
2017-12-29,4983763.2
2018-01-02,4983763.2
2018-01-03,4983763.2
2018-01-04,4985127.391
2018-01-05,4986127.391
2018-01-08,4987577.391
2018-01-09,4987327.391
2018-01-10,4983727.391
2018-01-11,4983327.391
2018-01-12,4987077.391
2018-01-15,4991027.391
2018-01-16,4992241.411
2018-01-17,4992241.411
2018-01-18,4991605.345
2018-01-19,4995855.345
2018-01-22,5000005.345
2018-01-23,5000155.345
2018-01-24,4995205.345
2018-01-25,4994383.068
2018-01-26,4992996.941
2018-01-29,4993210.75
2018-01-30,4988274.652
2018-01-31,4988274.652
2018-02-01,4987088.469
2018-02-02,4983802.374
2018-02-05,4983802.374
2018-02-06,4983802.374
2018-02-07,4983802.374
2018-02-08,4983802.374
2018-02-09,4983802.374
2018-02-12,4983802.374
2018-02-21,4983802.374
2018-02-22,4983802.374
2018-02-23,4983802.374
2018-02-26,4983802.374
2018-02-27,4983802.374
2018-03-01,4983802.374
2018-03-02,4983802.374
2018-03-05,4983802.374
2018-03-06,4984766.607
2018-03-07,4981016.607
2018-03-08,4986866.607
2018-03-09,4988666.607
2018-03-12,4996616.607
2018-03-13,5000416.607
2018-03-14,4996966.607
2018-03-15,4997466.607
2018-03-16,4992330.668
2018-03-19,4992330.668
2018-03-20,4992330.668
2018-03-21,4992330.668
2018-03-22,4985844.55
2018-03-23,4984058.596
2018-03-26,4984058.596
2018-03-27,4984058.596
2018-03-28,4984058.596
2018-03-29,4984058.596
2018-03-30,4984058.596
2018-03-31,4984058.596
2018-04-02,4984058.596
2018-04-03,4984058.596
2018-04-09,4984058.596
2018-04-10,4984122.649
2018-04-11,4985622.649
2018-04-12,4983822.649
2018-04-13,4982286.736
2018-04-16,4979464.855
2018-04-17,4979464.855
2018-04-18,4979464.855
2018-04-19,4979878.895
2018-04-20,4974693.029
2018-04-23,4974693.029
2018-04-24,4974693.029
2018-04-25,4974693.029
2018-04-26,4974693.029
2018-04-27,4974693.029
2018-04-30,4974693.029
2018-05-02,4974693.029
2018-05-03,4974693.029
2018-05-04,4974693.029
2018-05-07,4974693.029
2018-05-08,4974693.029
2018-05-09,4974693.029
2018-05-10,4974693.029
2018-05-11,4977707.229
2018-05-14,4982557.229
2018-05-15,4977721.367
2018-05-16,4977721.367
2018-05-17,4976949.627
2018-05-18,4976949.627
2018-05-21,4977963.683
2018-05-22,4975813.683
2018-05-23,4972613.683
2018-05-24,4971741.97
2018-05-25,4972491.97
2018-05-28,4975041.97
2018-05-29,4972291.97
2018-05-30,4970356.08
2018-05-31,4970356.08
2018-06-01,4969970.158
2018-06-04,4978470.158
2018-06-05,4977670.158
2018-06-06,4984220.158
2018-06-07,4985570.158
2018-06-08,4980470.158
2018-06-11,4978584.07
2018-06-12,4978584.07
2018-06-13,4978584.07
2018-06-14,4978584.07
2018-06-15,4978584.07
2018-06-19,4978584.07
2018-06-20,4978584.07
2018-06-21,4978584.07
2018-06-22,4978584.07
2018-06-25,4978584.07
2018-06-26,4978584.07
2018-06-27,4978584.07
2018-06-28,4978584.07
2018-06-29,4978584.07
2018-07-02,4978584.07
2018-07-03,4978584.07
2018-07-04,4978584.07
2018-07-05,4978584.07
2018-07-06,4978584.07
2018-07-09,4978584.07
2018-07-10,4978584.07
2018-07-11,4978584.07
2018-07-12,4979048.34
2018-07-13,4984448.34
2018-07-16,4982798.34
2018-07-17,4980562.569
2018-07-18,4980562.569
2018-07-19,4977376.785
2018-07-20,4982526.785
2018-07-23,4982826.785
2018-07-24,4984876.785
2018-07-25,4984576.785
2018-07-26,4987076.785
2018-07-27,4990926.785
2018-07-30,4988326.785
2018-07-31,4990776.785
2018-08-01,4993676.785
2018-08-02,4986340.884
2018-08-03,4986154.911
2018-08-06,4986754.911
2018-08-07,4986054.911
2018-08-08,4990104.911
2018-08-09,4988504.911
2018-08-10,4985604.911
2018-08-13,4985668.95
2018-08-14,4985668.95
2018-08-15,4985668.95
2018-08-16,4985668.95
2018-08-17,4985668.95
2018-08-20,4985668.95
2018-08-21,4985668.95
2018-08-22,4985668.95
2018-08-23,4985668.95
2018-08-24,4985668.95
2018-08-27,4985668.95
2018-08-28,4985668.95
2018-08-29,4988832.97
2018-08-30,4987782.97
2018-08-31,4987732.97
2018-09-03,4983197.038
2018-09-04,4983197.038
2018-09-05,4979553.066
2018-09-06,4979553.066
2018-09-07,4979553.066
2018-09-10,4979553.066
2018-09-11,4979553.066
2018-09-12,4979553.066
2018-09-13,4979553.066
2018-09-14,4979553.066
2018-09-17,4979553.066
2018-09-18,4979553.066
2018-09-19,4979553.066
2018-09-20,4979553.066
2018-09-21,4979553.066
2018-09-25,4979553.066
2018-09-26,4979553.066
2018-09-27,4979553.066
2018-09-28,4979553.066
2018-10-01,4979067.051
2018-10-02,4973531.155
2018-10-03,4973531.155
2018-10-04,4973531.155
2018-10-05,4973531.155
2018-10-08,4973531.155
2018-10-09,4973531.155
2018-10-11,4973531.155
2018-10-12,4973531.155
2018-10-15,4973531.155
2018-10-16,4973531.155
2018-10-17,4973531.155
2018-10-18,4973531.155
2018-10-19,4973531.155
2018-10-22,4973531.155
2018-10-23,4973531.155
2018-10-24,4973531.155
2018-10-25,4973531.155
2018-10-26,4973531.155
2018-10-29,4973531.155
2018-10-30,4973531.155
2018-10-31,4973531.155
2018-11-01,4973531.155
2018-11-02,4973531.155
2018-11-05,4969346.255
2018-11-06,4966461.495
2018-11-07,4966461.495
2018-11-08,4968076.604
2018-11-09,4960991.821
2018-11-12,4960991.821
2018-11-13,4960991.821
2018-11-14,4960991.821
2018-11-15,4960991.821
2018-11-16,4957806.975
2018-11-19,4957472.198
2018-11-20,4957472.198
2018-11-21,4957472.198
2018-11-22,4957472.198
2018-11-23,4957472.198
2018-11-26,4957472.198
2018-11-27,4957472.198
2018-11-28,4957472.198
2018-11-29,4956587.304
2018-11-30,4955387.304
2018-12-03,4968837.304
2018-12-04,4964837.304
2018-12-05,4959052.377
2018-12-06,4959052.377
