entry_time,exit_time,side,contracts,entry,exit,net_ntd,fees_ntd,slippage_ntd,reason,gap_observations,entry_nav
2020-12-31T15:00:00.000000000,2021-01-16T01:00:00.000000000,1,1,14678.0,15681.0,50069.641,80.359,100.0,signal_exit,87,5000000.0
2021-01-19T10:45:00.000000000,2021-01-19T13:35:00.000000000,1,1,15797.0,15892.0,4668.311000000001,81.68900000000001,100.0,roll_blackout,0,5050069.641
2021-01-21T10:45:00.000000000,2021-01-22T19:00:00.000000000,1,1,16079.0,15826.0,-12731.905,81.905,100.0,signal_exit,11,5054737.952
2021-01-23T00:00:00.000000000,2021-01-25T10:45:00.000000000,1,1,15907.0,15900.0,-431.807,81.807,100.0,signal_exit,3,5042006.046999999
2021-01-28T11:45:00.000000000,2021-02-01T18:00:00.000000000,-1,1,15347.0,15403.0,-2880.75,80.75,100.0,signal_exit,0,5041574.239999999
2021-02-04T16:00:00.000000000,2021-02-05T13:35:00.000000000,1,1,15745.0,15807.0,3018.448,81.552,100.0,roll_blackout,11,5038693.489999999
2021-02-18T09:45:00.000000000,2021-02-23T09:45:00.000000000,1,1,16295.0,16323.0,1317.3819999999998,82.618,100.0,signal_exit,13,5041711.937999999
2021-02-23T15:00:00.000000000,2021-02-23T19:00:00.000000000,1,1,16417.0,16310.0,-5432.727,82.727,100.0,signal_exit,0,5043029.319999999
2021-02-25T09:45:00.000000000,2021-02-26T02:00:00.000000000,1,1,16352.0,16198.0,-7782.55,82.55,100.0,signal_exit,0,5037596.592999999
2021-03-05T04:00:00.000000000,2021-03-09T19:00:00.000000000,-1,1,15740.0,15866.0,-6381.606000000001,81.606,100.0,signal_exit,0,5029814.043
2021-03-18T08:45:00.000000000,2021-03-18T21:00:00.000000000,1,1,16256.0,16197.0,-3032.453,82.453,100.0,signal_exit,0,5023432.437
2021-03-22T23:00:00.000000000,2021-03-23T16:00:00.000000000,1,1,16196.0,16129.0,-3432.3250000000003,82.325,100.0,signal_exit,3,5020399.984
2021-03-26T15:00:00.000000000,2021-04-13T16:00:00.000000000,1,1,16301.0,16821.0,25916.877999999997,83.122,100.0,signal_exit,150,5016967.659
2021-04-14T16:00:00.000000000,2021-04-15T04:00:00.000000000,1,1,16887.0,16842.0,-2333.729,83.729,100.0,signal_exit,10,5042884.537
2021-04-15T10:45:00.000000000,2021-04-20T13:35:00.000000000,1,1,16923.0,17320.0,19765.757,84.24300000000001,100.0,roll_blackout,48,5040550.807999999
2021-04-22T08:45:00.000000000,2021-04-22T15:00:00.000000000,1,1,17259.0,17095.0,-8284.354,84.354,100.0,signal_exit,0,5060316.5649999995
2021-04-23T11:45:00.000000000,2021-05-03T10:45:00.000000000,1,1,17200.0,17321.0,5965.479,84.521,100.0,signal_exit,76,5052032.210999999
2021-05-04T23:00:00.000000000,2021-05-07T00:00:00.000000000,-1,1,16729.0,17041.0,-15683.77,83.77,100.0,signal_exit,10,5057997.6899999995
2021-05-11T04:00:00.000000000,2021-05-14T21:00:00.000000000,-1,1,17038.0,15853.0,59167.109,82.891,100.0,signal_exit,2,5042313.92
2021-05-17T10:45:00.000000000,2021-05-18T10:45:00.000000000,-1,1,15441.0,16001.0,-28081.442000000003,81.44200000000001,100.0,signal_exit,1,5101481.029
2021-05-26T21:00:00.000000000,2021-06-04T10:45:00.000000000,1,1,16582.0,17103.0,25966.315,83.685,100.0,signal_exit,58,5073399.587
2021-06-04T23:00:00.000000000,2021-06-07T10:45:00.000000000,1,1,17183.0,16988.0,-9834.171,84.171,100.0,signal_exit,0,5099365.902000001
2021-06-07T17:00:00.000000000,2021-06-08T01:00:00.000000000,1,1,17175.0,17131.0,-2284.306,84.306,100.0,signal_exit,2,5089531.731000001
