,equity
2021-01-04,5058561.932
2021-01-05,5089461.932
2021-01-06,5069661.932
2021-01-07,5165361.932
2021-01-08,5232561.932
2021-01-11,5256561.932
2021-01-12,5244261.932
2021-01-13,5325561.932
2021-01-14,5315061.932
2021-01-15,5286561.932
2021-01-18,5300417.846
2021-01-19,5328427.712
2021-01-20,5328427.712
2021-01-21,5343181.238
2021-01-22,5299681.238
2021-01-25,5249445.4399999995
2021-01-26,5249445.4399999995
2021-01-27,5249445.4399999995
2021-01-28,5238403.358
2021-01-29,5330803.358
2021-02-01,5245303.358
2021-02-02,5232160.9399999995
2021-02-03,5232160.9399999995
2021-02-04,5232160.9399999995
2021-02-05,5250271.628
2021-02-17,5250271.628
2021-02-18,5275523.858
2021-02-19,5255723.858
2021-02-22,5277023.858
2021-02-23,5258175.92
2021-02-24,5225579.558
2021-02-25,5236131.4459999995
2021-02-26,5178884.258
2021-03-02,5178884.258
2021-03-03,5178884.258
2021-03-04,5178884.258
2021-03-05,5144139.818
2021-03-08,5155839.818
2021-03-09,5154039.818
2021-03-10,5140594.6219999995
2021-03-11,5140594.6219999995
2021-03-12,5140594.6219999995
2021-03-15,5140594.6219999995
2021-03-16,5140594.6219999995
2021-03-17,5140594.6219999995
2021-03-18,5135247.086
2021-03-19,5122399.904
2021-03-22,5122399.904
2021-03-23,5099352.728
2021-03-24,5101805.954
2021-03-25,5101805.954
2021-03-26,5101805.954
2021-03-29,5134558.148
2021-03-30,5166958.148
2021-03-31,5137858.148
2021-04-01,5176558.148
2021-04-06,5230558.148
2021-04-07,5241658.148
2021-04-08,5290258.148
2021-04-09,5263558.148
2021-04-12,5261458.148
2021-04-13,5249758.148
2021-04-14,5257307.222
2021-04-15,5287453.31
2021-04-16,5313553.31
2021-04-19,5347453.31
2021-04-20,5361899.39
2021-04-21,5361899.39
2021-04-22,5316645.836
2021-04-23,5329040.066
2021-04-26,5410940.066
2021-04-27,5423240.066
2021-04-28,5411840.066
2021-04-29,5423240.066
2021-05-03,5347986.14
2021-05-04,5347986.14
2021-05-05,5335735.766
2021-05-06,5283235.766
2021-05-07,5253883.52
2021-05-10,5253883.52
2021-05-11,5398231.292
2021-05-12,5657431.292
2021-05-13,5695231.292
2021-05-14,5633431.292
2021-05-17,5670903.086999999
2021-05-18,5412316.08
2021-05-19,5412316.08
2021-05-20,5412316.08
2021-05-21,5412316.08
2021-05-24,5412316.08
2021-05-25,5412316.08
2021-05-26,5412316.08
2021-05-27,5397666.5879999995
2021-05-28,5496366.5879999995
2021-05-31,5541366.5879999995
2021-06-01,5576466.5879999995
2021-06-02,5566866.5879999995
2021-06-03,5606466.5879999995
2021-06-04,5568113.97
2021-06-07,5509108.944
2021-06-08,5495403.108
2021-06-09,5495403.108
2021-06-10,5495403.108
2021-06-11,5513450.16
2021-06-15,5564495.82
2021-06-16,5564495.82
2021-06-17,5597842.71
2021-06-18,5584342.71
2021-06-21,5594637.21
2021-06-22,5574837.21
2021-06-23,5516130.245999999
2021-06-24,5535330.245999999
2021-06-25,5560230.245999999
2021-06-28,5595030.245999999
2021-06-29,5593230.245999999
2021-06-30,5649030.245999999
2021-07-01,5628330.245999999
2021-07-02,5630430.245999999
2021-07-05,5703930.245999999
2021-07-06,5697930.245999999
2021-07-07,5683530.245999999
2021-07-08,5674273.4459999995
2021-07-09,5657860.427999999
2021-07-12,5650103.334
2021-07-13,5663603.334
2021-07-14,5665103.334
2021-07-15,5709503.334
2021-07-16,5661846.149999999
2021-07-19,5655031.392
2021-07-20,5688120.216
2021-07-21,5688120.216
2021-07-22,5697765.575999999
2021-07-23,5681101.8719999995
2021-07-26,5703948.198
2021-07-27,5712648.198
2021-07-28,5775048.198
2021-07-29,5692294.757999999
2021-07-30,5692294.757999999
2021-08-02,5692294.757999999
2021-08-03,5692294.757999999
2021-08-04,5692294.757999999
2021-08-05,5689939.464
2021-08-06,5659384.818
2021-08-09,5659384.818
