,equity
2021-01-04,5009660.32
2021-01-05,5014810.32
2021-01-06,5011510.32
2021-01-07,5027460.32
2021-01-08,5038660.32
2021-01-11,5042660.32
2021-01-12,5040610.32
2021-01-13,5054160.32
2021-01-14,5052410.32
2021-01-15,5047660.32
2021-01-18,5049869.641
2021-01-19,5054337.952
2021-01-20,5054337.952
2021-01-21,5056696.871
2021-01-22,5049446.871
2021-01-25,5040774.24
2021-01-26,5040774.24
2021-01-27,5040774.24
2021-01-28,5038833.895
2021-01-29,5054233.895
2021-02-01,5039983.895
2021-02-02,5037693.49
2021-02-03,5037693.49
2021-02-04,5037693.49
2021-02-05,5040511.938
2021-02-17,5040511.938
2021-02-18,5044620.641
2021-02-19,5041320.641
2021-02-22,5044870.641
2021-02-23,5041629.32
2021-02-24,5035996.593
2021-02-25,5037655.239
2021-02-26,5028014.043
2021-03-02,5028014.043
2021-03-03,5028014.043
2021-03-04,5028014.043
2021-03-05,5022123.305
2021-03-08,5024073.305
2021-03-09,5023773.305
2021-03-10,5021432.437
2021-03-11,5021432.437
2021-03-12,5021432.437
2021-03-15,5021432.437
2021-03-16,5021432.437
2021-03-17,5021432.437
2021-03-18,5020441.179
2021-03-19,5018199.984
2021-03-22,5018199.984
2021-03-23,5014258.786
2021-03-24,5014567.659
2021-03-25,5014567.659
2021-03-26,5014567.659
2021-03-29,5019926.356
2021-03-30,5025326.356
2021-03-31,5020476.356
2021-04-01,5026926.356
2021-04-06,5035926.356
2021-04-07,5037776.356
2021-04-08,5045876.356
2021-04-09,5041426.356
2021-04-12,5041076.356
2021-04-13,5039126.356
2021-04-14,5040284.537
2021-04-15,5045008.883
2021-04-16,5049358.883
2021-04-19,5055008.883
2021-04-20,5057316.565
2021-04-21,5057316.565
2021-04-22,5049674.304
2021-04-23,5051540.009
2021-04-26,5065190.009
2021-04-27,5067240.009
2021-04-28,5065340.009
2021-04-29,5067240.009
2021-05-03,5054597.69
2021-05-04,5054597.69
2021-05-05,5052455.963
2021-05-06,5043705.963
2021-05-07,5038713.92
2021-05-10,5038713.92
2021-05-11,5062671.884
2021-05-12,5105871.884
2021-05-13,5112171.884
2021-05-14,5101871.884
2021-05-17,5106440.59
2021-05-18,5069399.587
2021-05-19,5069399.587
2021-05-20,5069399.587
2021-05-21,5069399.587
2021-05-24,5069399.587
2021-05-25,5069399.587
2021-05-26,5069399.587
2021-05-27,5066858.003
2021-05-28,5083308.003
2021-05-31,5090808.003
2021-06-01,5096658.003
2021-06-02,5095058.003
2021-06-03,5101658.003
2021-06-04,5095165.902
2021-06-07,5085131.731
2021-06-08,5082647.425
2021-06-09,5082647.425
2021-06-10,5082647.425
2021-06-11,5085555.265
2021-06-15,5093962.877
2021-06-16,5093962.877
2021-06-17,5099420.69
2021-06-18,5097170.69
2021-06-21,5098686.444
2021-06-22,5095386.444
2021-06-23,5085401.946
2021-06-24,5088601.946
2021-06-25,5092751.946
2021-06-28,5098551.946
2021-06-29,5098251.946
2021-06-30,5107551.946
2021-07-01,5104101.946
2021-07-02,5104451.946
2021-07-05,5116701.946
2021-07-06,5115701.946
2021-07-07,5113301.946
2021-07-08,5111659.148
2021-07-09,5108723.645
2021-07-12,5107330.794
2021-07-13,5109580.794
2021-07-14,5109830.794
2021-07-15,5117230.794
2021-07-16,5109187.932
2021-07-19,5107852.139
2021-07-20,5113166.943
2021-07-21,5113166.943
2021-07-22,5114674.505
2021-07-23,5111597.219
2021-07-26,5115304.942
2021-07-27,5116754.942
2021-07-28,5127154.942
2021-07-29,5113262.7
2021-07-30,5113262.7
2021-08-02,5113262.7
2021-08-03,5113262.7
2021-08-04,5113262.7
2021-08-05,5112770.149
2021-08-06,5107577.71
2021-08-09,5107577.71
2021-08-10,5107577.71
2021-08-11,5104035.609
2021-08-12,5104735.609
2021-08-13,5115885.609
2021-08-16,5123985.609
2021-08-17,5131493.988
2021-08-18,5131493.988
2021-08-19,5145402.38
2021-08-20,5152202.38
2021-08-23,5128310.71
2021-08-24,5128310.71
2021-08-25,5128310.71
2021-08-26,5128310.71
2021-08-27,5128310.71
2021-08-30,5130568.417
2021-08-31,5136468.417
2021-09-01,5137418.417
2021-09-02,5129618.417
2021-09-03,5139068.417
2021-09-06,5138418.417
2021-09-07,5132876.031
2021-09-08,5132876.031
2021-09-09,5132876.031
2021-09-10,5134483.591
2021-09-13,5132933.591
2021-09-14,5133091.145
2021-09-15,5133091.145
2021-09-16,5133091.145
2021-09-17,5133091.145
2021-09-22,5126249.381
2021-09-23,5117249.381
2021-09-24,5113157.22
2021-09-27,5113157.22
2021-09-28,5110615.1
2021-09-29,5127965.1
2021-09-30,5123265.1
2021-10-01,5143265.1
2021-10-04,5151215.1
2021-10-05,5149215.1
2021-10-06,5151165.1
2021-10-07,5134423.407
2021-10-08,5134423.407
2021-10-12,5135131.974
2021-10-13,5140131.974
2021-10-14,5135781.974
2021-10-15,5129990.454
2021-10-18,5129990.454
2021-10-19,5128956.627
2021-10-20,5128956.627
2021-10-21,5120264.641
2021-10-22,5118880.91
2021-10-25,5115347.187
2021-10-26,5123347.187
2021-10-27,5124497.187
2021-10-28,5122847.187
2021-10-29,5117755.25
2021-11-01,5119213.201
2021-11-02,5117613.201
2021-11-03,5119863.201
2021-11-04,5119013.201
2021-11-05,5128613.201
2021-11-08,5136463.201
2021-11-09,5143013.201
2021-11-10,5143013.201
2021-11-11,5134378.261
2021-11-12,5136943.273
2021-11-15,5142793.273
2021-11-16,5143700.59
2021-11-17,5143700.59
2021-11-18,5146607.789
2021-11-19,5146157.789
2021-11-22,5141572.232
2021-11-23,5138829.45
2021-11-24,5138829.45
