,equity
2021-01-04,5009760.322
2021-01-05,5014910.322
2021-01-06,5011610.322
2021-01-07,5027560.322
2021-01-08,5038760.322
2021-01-11,5042760.322
2021-01-12,5040710.322
2021-01-13,5054260.322
2021-01-14,5052510.322
2021-01-15,5047760.322
2021-01-18,5050069.641
2021-01-19,5054737.952
2021-01-20,5054737.952
2021-01-21,5057196.873
2021-01-22,5049946.873
2021-01-25,5041574.24
2021-01-26,5041574.24
2021-01-27,5041574.24
2021-01-28,5041574.24
2021-01-29,5041574.24
2021-02-01,5041574.24
2021-02-02,5041574.24
2021-02-03,5041574.24
2021-02-04,5041574.24
2021-02-05,5044592.688
2021-02-17,5044592.688
2021-02-18,5048801.393
2021-02-19,5045501.393
2021-02-22,5049051.393
2021-02-23,5045910.07
2021-02-24,5040477.343
2021-02-25,5042235.991
2021-02-26,5032694.793
2021-03-02,5032694.793
2021-03-03,5032694.793
2021-03-04,5032694.793
2021-03-05,5032694.793
2021-03-08,5032694.793
2021-03-09,5032694.793
2021-03-10,5032694.793
2021-03-11,5032694.793
2021-03-12,5032694.793
2021-03-15,5032694.793
2021-03-16,5032694.793
2021-03-17,5032694.793
2021-03-18,5031803.537
2021-03-19,5029662.34
2021-03-22,5029662.34
2021-03-23,5025821.144
2021-03-24,5026230.015
2021-03-25,5026230.015
2021-03-26,5026230.015
2021-03-29,5031688.714
2021-03-30,5037088.714
2021-03-31,5032238.714
2021-04-01,5038688.714
2021-04-06,5047688.714
2021-04-07,5049538.714
2021-04-08,5057638.714
2021-04-09,5053188.714
2021-04-12,5052838.714
2021-04-13,5050888.714
2021-04-14,5052146.893
2021-04-15,5057171.241
2021-04-16,5061521.241
2021-04-19,5067171.241
2021-04-20,5069578.921
2021-04-21,5069578.921
2021-04-22,5062036.662
2021-04-23,5064102.367
2021-04-26,5077752.367
2021-04-27,5079802.367
2021-04-28,5077902.367
2021-04-29,5079802.367
2021-05-03,5067260.046
2021-05-04,5067260.046
2021-05-05,5067260.046
2021-05-06,5067260.046
2021-05-07,5067260.046
2021-05-10,5067260.046
2021-05-11,5067260.046
2021-05-12,5067260.046
2021-05-13,5067260.046
2021-05-14,5067260.046
2021-05-17,5067260.046
2021-05-18,5067260.046
2021-05-19,5067260.046
2021-05-20,5067260.046
2021-05-21,5067260.046
2021-05-24,5067260.046
2021-05-25,5067260.046
2021-05-26,5067260.046
2021-05-27,5064818.464
2021-05-28,5081268.464
2021-05-31,5088768.464
2021-06-01,5094618.464
2021-06-02,5093018.464
2021-06-03,5099618.464
2021-06-04,5093226.361
2021-06-07,5083392.19
2021-06-08,5081107.884
2021-06-09,5081107.884
2021-06-10,5081107.884
2021-06-11,5084115.726
2021-06-15,5092623.336
2021-06-16,5092623.336
2021-06-17,5098181.151
