,equity
2021-01-04,5000000.0
2021-01-05,5000000.0
2021-01-06,5000000.0
2021-01-07,5000000.0
2021-01-08,5000000.0
2021-01-11,5000000.0
2021-01-12,5000000.0
2021-01-13,5000000.0
2021-01-14,5000000.0
2021-01-15,5000000.0
2021-01-18,5000000.0
2021-01-19,5000000.0
2021-01-20,5000000.0
2021-01-21,5000000.0
2021-01-22,5000000.0
2021-01-25,5000000.0
2021-01-26,5000000.0
2021-01-27,5000000.0
2021-01-28,4988957.918
2021-01-29,5081357.918
2021-02-01,4995857.918
2021-02-02,4982715.5
2021-02-03,4982715.5
2021-02-04,4982715.5
2021-02-05,4982715.5
2021-02-17,4982715.5
2021-02-18,4982715.5
2021-02-19,4982715.5
2021-02-22,4982715.5
2021-02-23,4982715.5
2021-02-24,4982715.5
2021-02-25,4982715.5
2021-02-26,4982715.5
2021-03-02,4982715.5
2021-03-03,4982715.5
2021-03-04,4982715.5
2021-03-05,4947971.06
2021-03-08,4959671.06
2021-03-09,4957871.06
2021-03-10,4944425.864
2021-03-11,4944425.864
2021-03-12,4944425.864
2021-03-15,4944425.864
2021-03-16,4944425.864
2021-03-17,4944425.864
2021-03-18,4944425.864
2021-03-19,4944425.864
2021-03-22,4944425.864
2021-03-23,4944425.864
2021-03-24,4944425.864
2021-03-25,4944425.864
2021-03-26,4944425.864
2021-03-29,4944425.864
2021-03-30,4944425.864
2021-03-31,4944425.864
2021-04-01,4944425.864
2021-04-06,4944425.864
2021-04-07,4944425.864
2021-04-08,4944425.864
2021-04-09,4944425.864
2021-04-12,4944425.864
2021-04-13,4944425.864
2021-04-14,4944425.864
2021-04-15,4944425.864
2021-04-16,4944425.864
2021-04-19,4944425.864
2021-04-20,4944425.864
2021-04-21,4944425.864
2021-04-22,4944425.864
2021-04-23,4944425.864
2021-04-26,4944425.864
2021-04-27,4944425.864
2021-04-28,4944425.864
2021-04-29,4944425.864
2021-05-03,4944425.864
2021-05-04,4944425.864
2021-05-05,4934217.219
2021-05-06,4890467.219
2021-05-07,4866007.014
2021-05-10,4866007.014
2021-05-11,4986296.824
2021-05-12,5202296.824
2021-05-13,5233796.824
2021-05-14,5182296.824
2021-05-17,5214999.913
2021-05-18,4993353.907
2021-05-19,4993353.907
2021-05-20,4993353.907
2021-05-21,4993353.907
2021-05-24,4993353.907
2021-05-25,4993353.907
2021-05-26,4993353.907
2021-05-27,4993353.907
2021-05-28,4993353.907
2021-05-31,4993353.907
2021-06-01,4993353.907
2021-06-02,4993353.907
2021-06-03,4993353.907
2021-06-04,4993353.907
2021-06-07,4993353.907
2021-06-08,4993353.907
2021-06-09,4993353.907
2021-06-10,4993353.907
2021-06-11,4993353.907
2021-06-15,4993353.907
2021-06-16,4993353.907
2021-06-17,4993353.907
2021-06-18,4993353.907
2021-06-21,5014393.672
2021-06-22,4997893.672
2021-06-23,4942932.437
2021-06-24,4942932.437
2021-06-25,4942932.437
2021-06-28,4942932.437
2021-06-29,4942932.437
2021-06-30,4942932.437
2021-07-01,4942932.437
2021-07-02,4942932.437
2021-07-05,4942932.437
2021-07-06,4942932.437
2021-07-07,4942932.437
2021-07-08,4942932.437
2021-07-09,4942932.437
2021-07-12,4942932.437
2021-07-13,4942932.437
2021-07-14,4942932.437
2021-07-15,4942932.437
2021-07-16,4942932.437
2021-07-19,4942932.437
2021-07-20,4970506.457
2021-07-21,4970506.457
2021-07-22,4978544.257
2021-07-23,4964657.837
2021-07-26,4983696.442
2021-07-27,4990946.442
2021-07-28,5042946.442
2021-07-29,4973985.242
2021-07-30,4973985.242
2021-08-02,4973985.242
2021-08-03,4973985.242
2021-08-04,4973985.242
2021-08-05,4973985.242
2021-08-06,4973985.242
2021-08-09,4973985.242
2021-08-10,4973985.242
2021-08-11,4956774.727
2021-08-12,4960274.727
2021-08-13,5016024.727
2021-08-16,5056524.727
2021-08-17,5094566.632
2021-08-18,5094566.632
2021-08-19,5178616.972
2021-08-20,5219416.972
2021-08-23,5076666.964
2021-08-24,5076666.964
2021-08-25,5076666.964
2021-08-26,5076666.964
2021-08-27,5076666.964
2021-08-30,5076666.964
2021-08-31,5076666.964
2021-09-01,5076666.964
2021-09-02,5076666.964
2021-09-03,5076666.964
2021-09-06,5076666.964
2021-09-07,5076666.964
2021-09-08,5076666.964
2021-09-09,5076666.964
2021-09-10,5076666.964
2021-09-13,5076666.964
2021-09-14,5076666.964
2021-09-15,5076666.964
2021-09-16,5076666.964
2021-09-17,5076666.964
2021-09-22,5036216.368
2021-09-23,4982216.368
2021-09-24,4958263.414
2021-09-27,4958263.414
2021-09-28,4946052.804
2021-09-29,5032802.804
2021-09-30,5009302.804
2021-10-01,5109302.804
2021-10-04,5149052.804
2021-10-05,5139052.804
2021-10-06,5148802.804
2021-10-07,5065594.349
2021-10-08,5065594.349
2021-10-12,5070445.739
2021-10-13,5100445.739
2021-10-14,5074345.739
2021-10-15,5040196.631
2021-10-18,5040196.631
2021-10-19,5040196.631
2021-10-20,5040196.631
2021-10-21,5040196.631
2021-10-22,5040196.631
2021-10-25,5040196.631
2021-10-26,5040196.631
2021-10-27,5040196.631
2021-10-28,5040196.631
2021-10-29,5040196.631
2021-11-01,5040196.631
2021-11-02,5040196.631
2021-11-03,5040196.631
2021-11-04,5040196.631
2021-11-05,5040196.631
2021-11-08,5040196.631
2021-11-09,5040196.631
2021-11-10,5040196.631
2021-11-11,5040196.631
2021-11-12,5040196.631
2021-11-15,5040196.631
2021-11-16,5040196.631
2021-11-17,5040196.631
2021-11-18,5040196.631
2021-11-19,5040196.631
2021-11-22,5040196.631
2021-11-23,5040196.631
2021-11-24,5040196.631
2021-11-25,5040196.631
2021-11-26,5040196.631
2021-11-29,5003235.826
2021-11-30,4961273.451
2021-12-01,4909349.631
2021-12-02,4909349.631
2021-12-03,4909349.631
2021-12-06,4909349.631
2021-12-07,4909349.631
2021-12-08,4909349.631
2021-12-09,4909349.631
2021-12-10,4909349.631
2021-12-13,4909349.631
2021-12-14,4910923.581
2021-12-15,4910923.581
2021-12-16,4910923.581
