entry_time,exit_time,side,contracts,entry,exit,net_ntd,fees_ntd,slippage_ntd,reason,gap_observations
2023-12-29T15:00:00.000000000,2024-01-02T11:45:00.000000000,1,5,17872.0,17766.0,-26928.19,428.19000000000005,500.0,signal_exit,13
2024-01-02T16:00:00.000000000,2024-01-02T19:00:00.000000000,1,5,17803.0,17780.0,-6177.915,427.915,500.0,signal_exit,0
2024-01-04T02:00:00.000000000,2024-01-06T01:00:00.000000000,-1,5,17570.0,17571.0,-675.705,425.705,500.0,signal_exit,0
2024-01-08T08:45:00.000000000,2024-01-08T10:45:00.000000000,-1,5,17571.0,17607.0,-9425.89,425.89,500.0,signal_exit,0
2024-01-09T15:00:00.000000000,2024-01-11T12:45:00.000000000,-1,5,17543.0,17588.0,-11675.655,425.655,500.0,signal_exit,0
2024-01-11T23:00:00.000000000,2024-01-12T11:45:00.000000000,-1,5,17503.0,17545.0,-10925.24,425.24,500.0,signal_exit,0
2024-01-12T15:00:00.000000000,2024-01-15T10:45:00.000000000,-1,5,17486.0,17597.0,-28175.415,425.415,500.0,signal_exit,0
2024-01-16T10:45:00.000000000,2024-01-16T13:35:00.000000000,-1,5,17389.0,17348.0,9826.315,423.68500000000006,500.0,roll_blackout,0
2024-01-18T08:45:00.000000000,2024-01-18T19:00:00.000000000,-1,5,17239.0,17407.0,-42423.23,423.23,500.0,signal_exit,0
2024-01-19T12:45:00.000000000,2024-01-30T17:00:00.000000000,1,5,17672.0,18046.0,93071.41,428.59,500.0,signal_exit,0
2024-02-02T03:00:00.000000000,2024-02-20T13:35:00.000000000,1,5,18032.0,18746.0,178066.11,433.89,500.0,roll_blackout,0
2024-02-22T10:45:00.000000000,2024-02-27T11:45:00.000000000,1,5,18797.0,18832.0,8311.855,438.145,500.0,signal_exit,0
2024-02-29T15:00:00.000000000,2024-03-11T11:45:00.000000000,1,5,18962.0,19739.0,193806.495,443.505,500.0,signal_exit,0
2024-03-12T10:45:00.000000000,2024-03-14T23:00:00.000000000,1,5,19848.0,19877.0,6801.375,448.625,500.0,signal_exit,0
2024-03-18T19:00:00.000000000,2024-03-19T13:35:00.000000000,1,5,19936.0,19864.0,-18449.0,449.0,500.0,roll_blackout,0
2024-03-21T10:45:00.000000000,2024-03-26T12:45:00.000000000,1,5,20180.0,20187.0,1298.165,451.835,500.0,signal_exit,0
2024-03-27T12:45:00.000000000,2024-03-28T00:00:00.000000000,1,5,20274.0,20199.0,-19202.365,452.365,500.0,signal_exit,0
2024-03-28T08:45:00.000000000,2024-03-28T12:45:00.000000000,1,5,20239.0,20212.0,-7202.255,452.255,500.0,signal_exit,0
2024-03-29T00:00:00.000000000,2024-04-03T10:45:00.000000000,1,5,20241.0,20358.0,28797.004999999997,452.995,500.0,signal_exit,0
2024-04-03T12:45:00.000000000,2024-04-03T16:00:00.000000000,1,5,20380.0,20357.0,-6203.6849999999995,453.685,500.0,signal_exit,0
2024-04-04T00:00:00.000000000,2024-04-11T18:00:00.000000000,1,5,20461.0,20699.0,59044.2,455.8,500.0,signal_exit,0
2024-04-12T08:45:00.000000000,2024-04-12T16:00:00.000000000,1,5,20746.0,20746.0,-457.46,457.46,500.0,signal_exit,0
2024-04-16T10:45:00.000000000,2024-04-16T13:35:00.000000000,-1,5,19952.0,19929.0,5300.594999999999,449.405,500.0,roll_blackout,0
2024-04-18T08:45:00.000000000,2024-04-18T11:45:00.000000000,-1,5,20069.0,20260.0,-48201.645,451.645,500.0,signal_exit,0
2024-04-18T22:00:00.000000000,2024-04-19T00:00:00.000000000,-1,5,19986.0,20063.0,-19700.245,450.245,500.0,signal_exit,0
2024-04-19T02:00:00.000000000,2024-04-23T19:00:00.000000000,-1,5,19967.0,19757.0,52051.38,448.62,500.0,signal_exit,0
2024-04-25T22:00:00.000000000,2024-04-26T01:00:00.000000000,-1,5,19779.0,19977.0,-49948.78,448.78,500.0,signal_exit,0
2024-04-29T16:00:00.000000000,2024-05-02T08:45:00.000000000,1,5,20535.0,20249.0,-71953.92,453.92,500.0,signal_exit,0
2024-05-03T03:00:00.000000000,2024-05-03T11:45:00.000000000,1,5,20488.0,20426.0,-15954.57,454.57,500.0,signal_exit,0
2024-05-03T22:00:00.000000000,2024-05-09T16:00:00.000000000,1,5,20568.0,20600.0,7544.16,455.84,500.0,signal_exit,0
2024-05-10T03:00:00.000000000,2024-05-14T13:35:00.000000000,1,5,20709.0,20998.0,71791.465,458.535,500.0,roll_blackout,0
2024-05-16T08:45:00.000000000,2024-05-20T12:45:00.000000000,1,4,21466.0,21249.0,-43770.86,370.86,400.0,signal_exit,0
2024-05-21T08:45:00.000000000,2024-05-21T10:45:00.000000000,1,4,21325.0,21259.0,-13570.336,370.336,400.0,signal_exit,0
2024-05-22T10:45:00.000000000,2024-05-24T03:00:00.000000000,1,4,21522.0,21403.0,-24171.7,371.7000000000001,400.0,signal_exit,0
