,equity
2024-01-02,4994414.362
2024-01-03,4992978.779
2024-01-04,4994036.211
2024-01-05,4995386.211
2024-01-08,4990558.46
2024-01-09,4990558.46
2024-01-10,4994665.919
2024-01-11,4988023.329
2024-01-12,4985638.281
2024-01-15,4979803.198
2024-01-16,4981568.461
2024-01-17,4981568.461
2024-01-18,4979376.224
2024-01-19,4973041.141
2024-01-22,4979991.141
2024-01-23,4982641.141
2024-01-24,4984291.141
2024-01-25,4988891.141
2024-01-26,4989091.141
2024-01-29,4995391.141
2024-01-30,4993191.141
2024-01-31,4991298.097
2024-02-01,4991298.097
2024-02-02,4993755.063
2024-02-05,4993855.063
2024-02-15,5022905.063
2024-02-16,5021255.063
2024-02-19,5023105.063
2024-02-20,5026711.319
2024-02-21,5026711.319
2024-02-22,5031167.52
2024-02-23,5032367.52
2024-02-26,5034867.52
2024-02-27,5028173.69
2024-02-29,5028173.69
2024-03-01,5027979.726
2024-03-04,5045629.726
2024-03-05,5049379.726
2024-03-06,5055379.726
2024-03-07,5065379.726
2024-03-08,5069479.726
2024-03-11,5066734.989
2024-03-12,5071940.139
2024-03-13,5070540.139
2024-03-14,5071140.139
2024-03-15,5067895.264
2024-03-18,5067895.264
2024-03-19,5064005.464
2024-03-20,5064005.464
2024-03-21,5068060.282
2024-03-22,5066960.282
2024-03-25,5066410.282
2024-03-26,5064065.097
2024-03-27,5063269.821
2024-03-28,5058384.173
2024-03-29,5060188.93
2024-04-01,5060588.93
2024-04-02,5072338.93
2024-04-03,5062248.192
2024-04-08,5061807.374
2024-04-09,5083007.374
2024-04-10,5081857.374
2024-04-11,5076957.374
2024-04-12,5074415.929
2024-04-15,5073820.185
2024-04-16,5074680.304
2024-04-17,5074680.304
2024-04-18,5064839.975
2024-04-19,5081604.961
2024-04-22,5082704.961
2024-04-23,5075054.961
2024-04-24,5070910.202
2024-04-25,5070910.202
2024-04-26,5060720.4459999995
2024-04-29,5060720.4459999995
2024-04-30,5054474.909
2024-05-02,5046129.662
2024-05-03,5042738.748
2024-05-06,5044293.178
2024-05-07,5046693.178
2024-05-08,5050443.178
2024-05-09,5044793.178
2024-05-10,5048901.869
2024-05-13,5052601.869
2024-05-14,5058205.873
2024-05-15,5058205.873
2024-05-16,5053259.405
2024-05-17,5051559.405
2024-05-20,5047063.158
2024-05-21,5043470.574
2024-05-22,5046374.05
2024-05-23,5047424.05
2024-05-24,5038631.113
2024-05-27,5054131.113
2024-05-28,5058081.113
2024-05-29,5047834.363
2024-05-30,5047834.363
2024-05-31,5047834.363
2024-06-03,5027644.74
2024-06-04,5014598.346
2024-06-05,5005505.69
2024-06-06,5003258.771
2024-06-07,5004358.771
2024-06-11,4999408.771
2024-06-12,4995665.086
2024-06-13,5009515.086
2024-06-14,5018915.086
2024-06-17,5017215.086
2024-06-18,5032567.301
2024-06-19,5032567.301
2024-06-20,5043619.145
2024-06-21,5035219.145
2024-06-24,5021371.211
2024-06-25,5021371.211
2024-06-26,5016123.235
2024-06-27,5010475.475
2024-06-28,5010475.475
2024-07-01,5005027.376
2024-07-02,4996779.549
2024-07-03,5008331.596
2024-07-04,5030281.596
2024-07-05,5027581.596
2024-07-08,5044731.596
2024-07-09,5042981.596
2024-07-10,5049081.596
2024-07-11,5067431.596
2024-07-12,5046032.656
2024-07-15,5046234.486
2024-07-16,5046234.486
2024-07-17,5046234.486
2024-07-18,5041586.195
2024-07-19,5065286.195
2024-07-22,5091786.195
2024-07-23,5069236.195
2024-07-26,5062245.85
2024-07-29,5053945.85
2024-07-30,5054695.85
2024-07-31,5038104.277
2024-08-01,5038104.277
2024-08-02,5070507.095
2024-08-05,5178457.095
2024-08-06,5126157.095
2024-08-07,5086910.891
2024-08-08,5086910.891
2024-08-09,5086910.891
2024-08-12,5086910.891
2024-08-13,5086910.891
2024-08-14,5086910.891
2024-08-15,5076913.852
2024-08-16,5078566.978
2024-08-19,5078019.607
2024-08-20,5081222.181
2024-08-21,5081222.181
2024-08-22,5081222.181
2024-08-23,5081222.181
2024-08-26,5079824.948
2024-08-27,5072527.887
2024-08-28,5072527.887
2024-08-29,5068580.789
2024-08-30,5062036.161
2024-09-02,5051391.822
2024-09-03,5059241.822
2024-09-04,5115391.822
2024-09-05,5103591.822
2024-09-06,5096791.822
2024-09-09,5109091.822
2024-09-10,5106049.352
2024-09-11,5100407.146
2024-09-12,5093361.001
2024-09-13,5093361.001
2024-09-16,5093361.001
2024-09-18,5093361.001
2024-09-19,5093361.001
2024-09-20,5099213.899
2024-09-23,5105113.899
2024-09-24,5112763.899
2024-09-25,5127813.899
2024-09-26,5136063.899
2024-09-27,5132413.899
2024-09-30,5126116.14
2024-10-01,5126116.14
2024-10-04,5126116.14
2024-10-07,5126116.14
2024-10-08,5126116.14
2024-10-09,5126116.14
2024-10-11,5120418.115
2024-10-14,5125218.115
2024-10-15,5137069.869
2024-10-16,5137069.869
2024-10-17,5135775.492
2024-10-18,5155825.492
2024-10-21,5151325.492
2024-10-22,5142679.9690000005
2024-10-23,5142679.9690000005
