,equity
2024-01-02,4994614.362
2024-01-03,4993378.779
2024-01-04,4993378.779
2024-01-05,4993378.779
2024-01-08,4993378.779
2024-01-09,4993378.779
2024-01-10,4993378.779
2024-01-11,4993378.779
2024-01-12,4993378.779
2024-01-15,4993378.779
2024-01-16,4993378.779
2024-01-17,4993378.779
2024-01-18,4993378.779
2024-01-19,4993636.107
2024-01-22,5000586.107
2024-01-23,5003236.107
2024-01-24,5004886.107
2024-01-25,5009486.107
2024-01-26,5009686.107
2024-01-29,5015986.107
2024-01-30,5013786.107
2024-01-31,5011993.061
2024-02-01,5011993.061
2024-02-02,5014550.029
2024-02-05,5014650.029
2024-02-15,5043700.029
2024-02-16,5042050.029
2024-02-19,5043900.029
2024-02-20,5047606.283
2024-02-21,5047606.283
2024-02-22,5052162.486
2024-02-23,5053362.486
2024-02-26,5055862.486
2024-02-27,5049268.654
2024-02-29,5049268.654
2024-03-01,5049174.692
2024-03-04,5066824.692
2024-03-05,5070574.692
2024-03-06,5076574.692
2024-03-07,5086574.692
2024-03-08,5090674.692
2024-03-11,5088029.953
2024-03-12,5093335.105
2024-03-13,5091935.105
2024-03-14,5092535.105
2024-03-15,5089390.228
2024-03-18,5089390.228
2024-03-19,5085700.428
2024-03-20,5085700.428
2024-03-21,5089855.248
2024-03-22,5088755.248
2024-03-25,5088205.248
2024-03-26,5085960.061
2024-03-27,5085264.7870000005
2024-03-28,5080679.137
2024-03-29,5082583.896
2024-04-01,5082983.896
2024-04-02,5094733.896
2024-04-03,5084843.158
2024-04-08,5084602.34
2024-04-09,5105802.34
2024-04-10,5104652.34
2024-04-11,5099752.34
2024-04-12,5097410.8950000005
2024-04-15,5096915.149
2024-04-16,5096915.149
2024-04-17,5096915.149
2024-04-18,5096915.149
2024-04-19,5096915.149
2024-04-22,5096915.149
2024-04-23,5096915.149
2024-04-24,5096915.149
2024-04-25,5096915.149
2024-04-26,5096915.149
2024-04-29,5096915.149
2024-04-30,5090769.614
2024-05-02,5082524.365
2024-05-03,5079333.451
2024-05-06,5080987.883
2024-05-07,5083387.883
2024-05-08,5087137.883
2024-05-09,5081487.883
2024-05-10,5085796.574
2024-05-13,5089496.574
2024-05-14,5095200.576
2024-05-15,5095200.576
2024-05-16,5090354.11
2024-05-17,5088654.11
2024-05-20,5084257.861
2024-05-21,5080865.277
2024-05-22,5083868.755
2024-05-23,5084918.755
2024-05-24,5076325.818
2024-05-27,5091825.818
2024-05-28,5095775.818
