,equity
2024-01-02,4972071.81
2024-01-03,4964893.895
2024-01-04,4964893.895
2024-01-05,4964893.895
2024-01-08,4964893.895
2024-01-09,4964893.895
2024-01-10,4964893.895
2024-01-11,4964893.895
2024-01-12,4964893.895
2024-01-15,4964893.895
2024-01-16,4964893.895
2024-01-17,4964893.895
2024-01-18,4964893.895
2024-01-19,4965680.525
2024-01-22,5000430.525
2024-01-23,5013680.525
2024-01-24,5021930.525
2024-01-25,5044930.525
2024-01-26,5045930.525
2024-01-29,5077430.525
2024-01-30,5066430.525
2024-01-31,5056965.305
2024-02-01,5056965.305
2024-02-02,5069250.135
2024-02-05,5069750.135
2024-02-15,5215000.135
2024-02-16,5206750.135
2024-02-19,5216000.135
2024-02-20,5234031.415
2024-02-21,5234031.415
2024-02-22,5256312.42
2024-02-23,5262312.42
2024-02-26,5274812.42
2024-02-27,5241343.27
2024-02-29,5241343.27
2024-03-01,5240373.45
2024-03-04,5328623.45
2024-03-05,5347373.45
2024-03-06,5377373.45
2024-03-07,5427373.45
2024-03-08,5447873.45
2024-03-11,5434149.765
2024-03-12,5460175.515
2024-03-13,5453175.515
2024-03-14,5456175.515
2024-03-15,5439951.14
2024-03-18,5439951.14
2024-03-19,5420502.14
2024-03-20,5420502.14
2024-03-21,5440776.23
2024-03-22,5435276.23
2024-03-25,5432526.23
2024-03-26,5420800.305
2024-03-27,5416823.925
2024-03-28,5392395.6850000005
2024-03-29,5401419.47
2024-04-01,5403419.47
2024-04-02,5462169.47
2024-04-03,5411715.78
2024-04-08,5409511.69
2024-04-09,5515511.69
2024-04-10,5509761.69
2024-04-11,5485261.69
2024-04-12,5472554.465
2024-04-15,5469575.745
2024-04-16,5469575.745
2024-04-17,5469575.745
2024-04-18,5469575.745
2024-04-19,5469575.745
2024-04-22,5469575.745
2024-04-23,5469575.745
2024-04-24,5469575.745
2024-04-25,5469575.745
2024-04-26,5469575.745
2024-04-29,5469575.745
2024-04-30,5438348.0600000005
2024-05-02,5396621.825
2024-05-03,5379667.255
2024-05-06,5387439.405
2024-05-07,5399439.405
2024-05-08,5418189.405
2024-05-09,5389939.405
2024-05-10,5410482.86
2024-05-13,5428982.86
2024-05-14,5457002.88
2024-05-15,5457002.88
2024-05-16,5432270.54
2024-05-17,5423770.54
2024-05-20,5401289.305
2024-05-21,5383326.385
2024-05-22,5397843.765000001
2024-05-23,5403093.765000001
2024-05-24,5357725.616
2024-05-27,5419725.616
2024-05-28,5435525.616
2024-05-29,5394538.616
2024-05-30,5394538.616
2024-05-31,5394538.616
2024-06-03,5391951.9520000005
2024-06-04,5339766.376
2024-06-05,5339766.376
2024-06-06,5330778.7
2024-06-07,5335178.7
2024-06-11,5315378.7
2024-06-12,5300403.96
2024-06-13,5355803.96
2024-06-14,5393403.96
2024-06-17,5386603.96
2024-06-18,5448012.82
2024-06-19,5448012.82
2024-06-20,5492220.196
2024-06-21,5458620.196
2024-06-24,5403228.46
2024-06-25,5403228.46
2024-06-26,5382236.556
2024-06-27,5359645.516000001
2024-06-28,5359645.516000001
2024-07-01,5337853.12
2024-07-02,5304861.812
2024-07-03,5351070.0
2024-07-04,5438870.0
2024-07-05,5428070.0
2024-07-08,5496670.0
2024-07-09,5489670.0
2024-07-10,5514070.0
2024-07-11,5587470.0
2024-07-12,5501874.24
2024-07-15,5502681.5600000005
2024-07-16,5502681.5600000005
2024-07-17,5502681.5600000005
