,equity
2024-01-02,5000000.0
2024-01-03,5000000.0
2024-01-04,5005287.16
2024-01-05,5012037.16
2024-01-08,4987898.405
2024-01-09,4987898.405
2024-01-10,5008435.7
2024-01-11,4975222.75
2024-01-12,4963297.51
2024-01-15,4934122.095
2024-01-16,4942948.41
2024-01-17,4942948.41
2024-01-18,4931987.225
2024-01-19,4899525.18
2024-01-22,4899525.18
2024-01-23,4899525.18
2024-01-24,4899525.18
2024-01-25,4899525.18
2024-01-26,4899525.18
2024-01-29,4899525.18
2024-01-30,4899525.18
2024-01-31,4899525.18
2024-02-01,4899525.18
2024-02-02,4899525.18
2024-02-05,4899525.18
2024-02-15,4899525.18
2024-02-16,4899525.18
2024-02-19,4899525.18
2024-02-20,4899525.18
2024-02-21,4899525.18
2024-02-22,4899525.18
2024-02-23,4899525.18
2024-02-26,4899525.18
2024-02-27,4899525.18
2024-02-29,4899525.18
2024-03-01,4899525.18
2024-03-04,4899525.18
2024-03-05,4899525.18
2024-03-06,4899525.18
2024-03-07,4899525.18
2024-03-08,4899525.18
2024-03-11,4899525.18
2024-03-12,4899525.18
2024-03-13,4899525.18
2024-03-14,4899525.18
2024-03-15,4899525.18
2024-03-18,4899525.18
2024-03-19,4899525.18
2024-03-20,4899525.18
2024-03-21,4899525.18
2024-03-22,4899525.18
2024-03-25,4899525.18
2024-03-26,4899525.18
2024-03-27,4899525.18
2024-03-28,4899525.18
2024-03-29,4899525.18
2024-04-01,4899525.18
2024-04-02,4899525.18
2024-04-03,4899525.18
2024-04-08,4899525.18
2024-04-09,4899525.18
2024-04-10,4899525.18
2024-04-11,4899525.18
2024-04-12,4899525.18
2024-04-15,4899525.18
2024-04-16,4902965.656
2024-04-17,4902965.656
2024-04-18,4863604.34
2024-04-19,4930664.284
2024-04-22,4935064.284
2024-04-23,4904464.284
2024-04-24,4887885.248
2024-04-25,4887885.248
2024-04-26,4847126.224
2024-04-29,4847126.224
2024-04-30,4847126.224
2024-05-02,4847126.224
2024-05-03,4847126.224
2024-05-06,4847126.224
2024-05-07,4847126.224
2024-05-08,4847126.224
2024-05-09,4847126.224
2024-05-10,4847126.224
2024-05-13,4847126.224
2024-05-14,4847126.224
2024-05-15,4847126.224
2024-05-16,4847126.224
2024-05-17,4847126.224
2024-05-20,4847126.224
2024-05-21,4847126.224
2024-05-22,4847126.224
2024-05-23,4847126.224
2024-05-24,4847126.224
2024-05-27,4847126.224
2024-05-28,4847126.224
2024-05-29,4847126.224
2024-05-30,4847126.224
2024-05-31,4847126.224
2024-06-03,4768954.396
2024-06-04,4768954.396
2024-06-05,4732583.772
2024-06-06,4732583.772
2024-06-07,4732583.772
2024-06-11,4732583.772
2024-06-12,4732583.772
2024-06-13,4732583.772
2024-06-14,4732583.772
2024-06-17,4732583.772
2024-06-18,4732583.772
2024-06-19,4732583.772
2024-06-20,4732583.772
2024-06-21,4732583.772
2024-06-24,4732583.772
2024-06-25,4732583.772
2024-06-26,4732583.772
2024-06-27,4732583.772
2024-06-28,4732583.772
2024-07-01,4732583.772
2024-07-02,4732583.772
2024-07-03,4732583.772
2024-07-04,4732583.772
