,equity
2017-07-03,5000000.0
2017-07-04,4998729.43
2017-07-05,4998729.43
2017-07-06,4998729.43
2017-07-07,4998729.43
2017-07-10,4998729.43
2017-07-11,4999144.097
2017-07-12,4998994.097
2017-07-13,5003044.097
2017-07-14,5002194.097
2017-07-17,5003844.097
2017-07-18,5005108.635
2017-07-19,5005108.635
2017-07-20,5005108.635
2017-07-21,5005108.635
2017-07-24,5005108.635
2017-07-25,5005108.635
2017-07-26,5000923.223
2017-07-27,5006873.223
2017-07-28,5001637.879
2017-07-31,5001637.879
2017-08-01,5001637.879
2017-08-02,5001902.432
2017-08-03,4999552.432
2017-08-04,5001202.432
2017-08-07,5005702.432
2017-08-08,5005552.432
2017-08-09,5001902.432
2017-08-10,4996467.087
2017-08-11,4996467.087
2017-08-14,4996467.087
2017-08-15,4996467.087
2017-08-16,4996467.087
2017-08-17,4996467.087
2017-08-18,4996467.087
2017-08-21,4996467.087
2017-08-22,4996467.087
2017-08-23,4995181.701
2017-08-24,4999581.701
2017-08-25,5001481.701
2017-08-28,5001631.701
2017-08-29,5000281.701
2017-08-30,5003681.701
2017-08-31,5004681.701
2017-09-01,5005931.701
2017-09-04,5004731.701
2017-09-05,5006231.701
2017-09-06,5003081.701
2017-09-07,5002096.201
2017-09-08,5002096.201
2017-09-11,5001160.618
2017-09-12,5002410.618
2017-09-13,4999775.08
2017-09-14,4999775.08
2017-09-15,4999775.08
2017-09-18,5000089.451
2017-09-19,4997103.874
2017-09-20,4997103.874
2017-09-21,4997103.874
2017-09-22,4997103.874
2017-09-25,4997103.874
2017-09-26,4998018.591
2017-09-27,4995268.591
2017-09-28,4996268.591
2017-09-29,4995168.591
2017-09-30,4992218.591
2017-10-02,4989733.162
2017-10-03,4989733.162
2017-10-05,4989733.162
2017-10-06,4989733.162
2017-10-11,4989733.162
2017-10-12,4990897.489
2017-10-13,4991597.489
2017-10-16,4993897.489
2017-10-17,4992061.768
2017-10-18,4992061.768
2017-10-19,4990675.98
2017-10-20,4989225.98
2017-10-23,4989425.98
2017-10-24,4989825.98
2017-10-25,4989575.98
2017-10-26,4987740.277
2017-10-27,4987740.277
2017-10-30,4987740.277
2017-10-31,4987740.277
2017-11-01,4987740.277
2017-11-02,4987740.277
2017-11-03,4987740.277
2017-11-06,4987740.277
2017-11-07,4987740.277
2017-11-08,4987740.277
2017-11-09,4987740.277
2017-11-10,4987740.277
2017-11-13,4987740.277
2017-11-14,4987740.277
2017-11-15,4987740.277
2017-11-16,4987740.277
2017-11-17,4987740.277
2017-11-20,4987740.277
2017-11-21,4989204.519
2017-11-22,4991154.519
2017-11-23,4992604.519
2017-11-24,4992604.519
2017-11-27,4987304.519
2017-11-28,4986018.794
2017-11-29,4986018.794
2017-11-30,4989583.148
2017-12-01,4988083.148
2017-12-04,4985833.148
2017-12-05,4989633.148
2017-12-06,4998983.148
2017-12-07,5000283.148
2017-12-08,4998433.148
2017-12-11,4993597.655
2017-12-12,4993597.655
2017-12-13,4993597.655
2017-12-14,4993597.655
2017-12-15,4993597.655
2017-12-18,4993597.655
2017-12-19,4993597.655
2017-12-20,4993597.655
2017-12-21,4993597.655
2017-12-22,4993597.655
2017-12-25,4993597.655
2017-12-26,4994812.214
2017-12-27,4991812.214
2017-12-28,4987576.654
2017-12-29,4987576.654
2018-01-02,4987576.654
2018-01-03,4987576.654
2018-01-04,4987576.654
2018-01-05,4988840.823
2018-01-08,4990290.823
2018-01-09,4990040.823
2018-01-10,4986440.823
2018-01-11,4986040.823
2018-01-12,4989790.823
2018-01-15,4993740.823
2018-01-16,4995054.841
2018-01-17,4995054.841
2018-01-18,4994518.777
2018-01-19,4998768.777
2018-01-22,5002918.777
2018-01-23,5003068.777
2018-01-24,4998118.777
2018-01-25,4997732.658
2018-01-26,4997732.658
2018-01-29,4997732.658
2018-01-30,4997732.658
2018-01-31,4997732.658
2018-02-01,4997732.658
2018-02-02,4997732.658
2018-02-05,4997732.658
2018-02-06,5006097.091
2018-02-07,5000197.091
2018-02-08,5000147.091
2018-02-09,5008397.091
2018-02-12,5005561.682
2018-02-21,5005561.682
2018-02-22,5005561.682
2018-02-23,5005561.682
2018-02-26,5005561.682
2018-02-27,5005561.682
2018-03-01,5005561.682
2018-03-02,5005561.682
2018-03-05,5005561.682
2018-03-06,5005561.682
2018-03-07,5001425.888
2018-03-08,5007275.888
2018-03-09,5009075.888
2018-03-12,5017025.888
2018-03-13,5020825.888
2018-03-14,5017375.888
2018-03-15,5017875.888
2018-03-16,5012839.947
2018-03-19,5012839.947
2018-03-20,5012839.947
2018-03-21,5012839.947
2018-03-22,5006453.831
2018-03-23,5004767.875
2018-03-26,5004767.875
2018-03-27,5004767.875
2018-03-28,5004767.875
2018-03-29,5004767.875
2018-03-30,5004767.875
2018-03-31,5004767.875
2018-04-02,5004767.875
2018-04-03,5005482.076
2018-04-09,5002696.237
2018-04-10,5002696.237
2018-04-11,5002696.237
2018-04-12,5002696.237
2018-04-13,5002696.237
2018-04-16,5002696.237
2018-04-17,5002696.237
2018-04-18,5002696.237
2018-04-19,5003210.279
2018-04-20,4998124.411
2018-04-23,4998738.704
2018-04-24,5004288.704
2018-04-25,5006688.704
2018-04-26,5009638.704
2018-04-27,5005388.704
2018-04-30,5004653.129
2018-05-02,5004653.129
2018-05-03,5006267.59
2018-05-04,5005417.59
2018-05-07,5002982.019
2018-05-08,5002982.019
2018-05-09,5002982.019
2018-05-10,5002982.019
2018-05-11,5006096.221
2018-05-14,5010946.221
2018-05-15,5006210.357
2018-05-16,5006210.357
2018-05-17,5006210.357
2018-05-18,5006210.357
2018-05-21,5007324.415
2018-05-22,5005174.415
2018-05-23,5001974.415
2018-05-24,5000088.594
2018-05-25,4999552.652
2018-05-28,5002102.652
2018-05-29,4999352.652
2018-05-30,4997516.76
2018-05-31,4997516.76
2018-06-01,4997230.84
2018-06-04,5005730.84
2018-06-05,5004930.84
2018-06-06,5011480.84
2018-06-07,5012830.84
2018-06-08,5007730.84
2018-06-11,5005944.75
2018-06-12,5005944.75
2018-06-13,5005944.75
2018-06-14,5005944.75
2018-06-15,5005944.75
2018-06-19,5005944.75
2018-06-20,5005944.75
2018-06-21,5005944.75
2018-06-22,5005944.75
2018-06-25,5005944.75
2018-06-26,5003909.198
2018-06-27,5005809.198
2018-06-28,5007359.198
2018-06-29,5002723.583
2018-07-02,5002723.583
2018-07-03,5002723.583
2018-07-04,5002723.583
2018-07-05,5004288.051
2018-07-06,5002338.051
2018-07-09,4996452.395
2018-07-10,4996452.395
2018-07-11,4996452.395
2018-07-12,4996452.395
2018-07-13,5000516.629
2018-07-16,4998866.629
2018-07-17,4996730.856
2018-07-18,4996730.856
2018-07-19,4993645.074
2018-07-20,4998795.074
2018-07-23,4999095.074
2018-07-24,5001145.074
2018-07-25,5000845.074
2018-07-26,5003345.074
2018-07-27,5007195.074
2018-07-30,5004595.074
2018-07-31,5007045.074
2018-08-01,5009945.074
2018-08-02,5002709.171
2018-08-03,5002709.171
2018-08-06,5000773.151
2018-08-07,5000073.151
2018-08-08,5004123.151
2018-08-09,5002523.151
2018-08-10,4999623.151
2018-08-13,4999787.188
2018-08-14,4999787.188
2018-08-15,4999787.188
2018-08-16,4999787.188
2018-08-17,4999787.188
2018-08-20,4996965.873
2018-08-21,4996965.873
2018-08-22,4996965.873
2018-08-23,4996965.873
2018-08-24,4996965.873
2018-08-27,4996965.873
2018-08-28,4996965.873
2018-08-29,4998779.866
2018-08-30,4997729.866
2018-08-31,4997679.866
2018-09-03,4993243.932
2018-09-04,4993243.932
2018-09-05,4993243.932
2018-09-06,4993243.932
2018-09-07,4993243.932
2018-09-10,4993243.932
2018-09-11,4993243.932
2018-09-12,4993243.932
2018-09-13,4993243.932
2018-09-14,4993243.932
2018-09-17,4993243.932
2018-09-18,4993243.932
2018-09-19,4993243.932
2018-09-20,4993243.932
2018-09-21,4993243.932
2018-09-25,4993243.932
2018-09-26,4993243.932
2018-09-27,4993243.932
2018-09-28,4993243.932
2018-10-01,4993243.932
2018-10-02,4993243.932
2018-10-03,4993243.932
2018-10-04,5000258.097
2018-10-05,5009658.097
2018-10-08,5011908.097
2018-10-09,5011958.097
2018-10-11,5052858.097
2018-10-12,5037558.097
2018-10-15,5041958.097
2018-10-16,5036673.132
2018-10-17,5036673.132
2018-10-18,5036673.132
2018-10-19,5031188.336
2018-10-22,5029553.399
2018-10-23,5030018.661
2018-10-24,5030668.661
2018-10-25,5042118.661
2018-10-26,5045218.661
2018-10-29,5042768.661
2018-10-30,5038984.113
2018-10-31,5038984.113
2018-11-01,5038984.113
2018-11-02,5038984.113
2018-11-05,5033449.186
2018-11-06,5030664.424
2018-11-07,5030664.424
2018-11-08,5031279.513
2018-11-09,5024294.728
2018-11-12,5024294.728
2018-11-13,5024294.728
2018-11-14,5024294.728
2018-11-15,5024294.728
2018-11-16,5019959.859
2018-11-19,5019725.08
2018-11-20,5019725.08
2018-11-21,5019725.08
2018-11-22,5019725.08
2018-11-23,5021990.414
2018-11-26,5013855.632
2018-11-27,5013855.632
2018-11-28,5013855.632
2018-11-29,5013070.74
2018-11-30,5011870.74
2018-12-03,5025320.74
2018-12-04,5021320.74
2018-12-05,5015635.811
2018-12-06,5016301.123
2018-12-07,5012701.123
2018-12-10,5018701.123
