entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations
2017-07-03T16:00:00.000000000,10297.0,1,1,5000000.0,1.0,2017-07-04T10:45:00.000000000,10273.0,signal_exit,-1270.5700000000002,70.57000000000001,100.0,73
2017-07-11T10:45:00.000000000,10333.0,1,1,4998729.43,1.0,2017-07-18T13:35:00.000000000,10462.0,roll_blackout,6379.204999999999,70.795,100.0,460
2017-07-26T09:45:00.000000000,10412.0,1,1,5005108.635,1.0,2017-07-28T11:45:00.000000000,10344.0,signal_exit,-3470.756,70.756,100.0,172
2017-08-02T09:45:00.000000000,10447.0,1,1,5001637.879,1.0,2017-08-10T10:45:00.000000000,10345.0,signal_exit,-5170.792,70.792,100.0,510
2017-08-22T22:00:00.000000000,10386.0,1,1,4996467.086999999,1.0,2017-09-07T12:45:00.000000000,10500.0,signal_exit,5629.114,70.88600000000001,100.0,844
2017-09-11T09:45:00.000000000,10583.0,1,1,5002096.200999999,1.0,2017-09-13T11:45:00.000000000,10538.0,signal_exit,-2321.121,71.121,100.0,150
2017-09-18T10:45:00.000000000,10629.0,1,1,4999775.079999999,1.0,2017-09-19T13:35:00.000000000,10577.0,roll_blackout,-2671.206,71.206,100.0,119
2017-09-26T00:00:00.000000000,10283.0,-1,1,4997103.873999999,1.0,2017-10-02T09:45:00.000000000,10429.0,signal_exit,-7370.712000000001,70.712,100.0,313
2017-10-12T09:45:00.000000000,10673.0,1,1,4989733.161999999,1.0,2017-10-17T13:35:00.000000000,10721.0,roll_blackout,2328.606,71.394,100.0,369
2017-10-19T10:45:00.000000000,10788.0,1,1,4992061.767999998,1.0,2017-10-26T00:00:00.000000000,10703.0,signal_exit,-4321.490999999999,71.491,100.0,356
2017-11-21T11:45:00.000000000,10758.0,1,1,4987740.276999998,1.0,2017-11-28T10:45:00.000000000,10725.0,signal_exit,-1721.483,71.483,100.0,356
2017-11-30T01:00:00.000000000,10646.0,-1,1,4986018.793999998,1.0,2017-12-11T11:45:00.000000000,10493.0,signal_exit,7578.861,71.139,100.0,237
2017-12-26T10:45:00.000000000,10441.0,-1,1,4993597.6549999975,1.0,2017-12-28T10:45:00.000000000,10560.0,signal_exit,-6021.001,71.001,100.0,176
2018-01-04T15:00:00.000000000,10831.0,1,1,4987576.653999997,1.0,2018-01-16T13:35:00.000000000,10982.0,roll_blackout,7478.186999999999,71.813,100.0,720
2018-01-18T08:45:00.000000000,11064.0,1,1,4995054.840999997,1.0,2018-01-25T03:00:00.000000000,11119.0,signal_exit,2677.817,72.18299999999999,100.0,181
2018-02-06T09:45:00.000000000,10567.0,-1,1,4997732.657999997,1.0,2018-02-12T13:35:00.000000000,10409.0,roll_blackout,7829.024,70.976,100.0,2
2018-03-06T15:00:00.000000000,10794.0,1,1,5005561.681999997,1.0,2018-03-16T10:45:00.000000000,10941.0,signal_exit,7278.265000000001,71.735,100.0,90
2018-03-22T09:45:00.000000000,11116.0,1,1,5012839.946999997,1.0,2018-03-22T17:00:00.000000000,10956.0,signal_exit,-8072.072,72.072,100.0,0
2018-04-02T23:00:00.000000000,10799.0,-1,1,5004767.874999997,1.0,2018-04-09T08:45:00.000000000,10839.0,signal_exit,-2071.638,71.63799999999999,100.0,9
2018-04-19T10:45:00.000000000,10958.0,1,1,5002696.236999997,1.0,2018-04-20T00:00:00.000000000,10868.0,signal_exit,-4571.826,71.826,100.0,0
2018-04-20T16:00:00.000000000,10707.0,-1,1,4998124.410999997,1.0,2018-04-27T17:00:00.000000000,10575.0,signal_exit,6528.718,71.282,100.0,5
2018-05-03T09:45:00.000000000,10539.0,-1,1,5004653.128999997,1.0,2018-05-05T01:00:00.000000000,10571.0,signal_exit,-1671.11,71.11,100.0,9
2018-05-10T23:00:00.000000000,10798.0,1,1,5002982.018999997,1.0,2018-05-15T13:35:00.000000000,10864.0,roll_blackout,3228.3379999999997,71.662,100.0,53
2018-05-21T10:45:00.000000000,10942.0,1,1,5006210.356999997,1.0,2018-05-23T16:00:00.000000000,10821.0,signal_exit,-6121.763000000001,71.76299999999999,100.0,87
2018-05-24T16:00:00.000000000,10942.0,1,1,5000088.593999997,1.0,2018-05-29T17:00:00.000000000,10892.0,signal_exit,-2571.834,71.834,100.0,143
2018-06-01T10:45:00.000000000,10920.0,1,1,4997516.759999997,1.0,2018-06-08T16:00:00.000000000,11090.0,signal_exit,8427.99,72.01000000000002,100.0,110
2018-06-25T23:00:00.000000000,10552.0,-1,1,5005944.749999997,1.0,2018-06-29T10:45:00.000000000,10615.0,signal_exit,-3221.167,71.167,100.0,25
2018-07-05T12:45:00.000000000,10532.0,-1,1,5002723.582999997,1.0,2018-07-09T10:45:00.000000000,10656.0,signal_exit,-6271.188,71.188,100.0,22
