entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations
2017-07-03T16:00:00.000000000,10297.0,1,9,5000000.0,1.0,2017-07-04T10:45:00.000000000,10273.0,signal_exit,-11435.13,635.1300000000001,900.0,73
2017-07-11T10:45:00.000000000,10333.0,1,9,4988564.869999999,1.0,2017-07-18T13:35:00.000000000,10462.0,roll_blackout,57412.844999999994,637.155,900.0,460
2017-07-26T09:45:00.000000000,10412.0,1,9,5045977.714999999,1.0,2017-07-28T11:45:00.000000000,10344.0,signal_exit,-31236.804,636.804,900.0,172
2017-08-02T09:45:00.000000000,10447.0,1,9,5014740.910999999,1.0,2017-08-10T10:45:00.000000000,10345.0,signal_exit,-46537.128,637.128,900.0,510
2017-08-22T22:00:00.000000000,10386.0,1,9,4968203.782999999,1.0,2017-09-07T12:45:00.000000000,10500.0,signal_exit,50662.026,637.974,900.0,844
2017-09-11T09:45:00.000000000,10583.0,1,9,5018865.8089999985,1.0,2017-09-13T11:45:00.000000000,10538.0,signal_exit,-20890.089,640.0889999999999,900.0,150
2017-09-18T10:45:00.000000000,10629.0,1,9,4997975.719999998,1.0,2017-09-19T13:35:00.000000000,10577.0,roll_blackout,-24040.854,640.854,900.0,119
2017-09-26T00:00:00.000000000,10283.0,-1,9,4973934.865999998,1.0,2017-10-02T09:45:00.000000000,10429.0,signal_exit,-66336.40800000001,636.408,900.0,313
2017-10-12T09:45:00.000000000,10673.0,1,9,4907598.457999998,1.0,2017-10-17T13:35:00.000000000,10721.0,roll_blackout,20957.454,642.546,900.0,369
2017-10-19T10:45:00.000000000,10788.0,1,9,4928555.911999998,1.0,2017-10-26T00:00:00.000000000,10703.0,signal_exit,-38893.418999999994,643.419,900.0,356
2017-11-21T11:45:00.000000000,10758.0,1,9,4889662.492999998,1.0,2017-11-28T10:45:00.000000000,10725.0,signal_exit,-15493.347,643.347,900.0,356
2017-11-30T01:00:00.000000000,10646.0,-1,9,4874169.145999998,1.0,2017-12-11T11:45:00.000000000,10493.0,signal_exit,68209.749,640.251,900.0,237
2017-12-26T10:45:00.000000000,10441.0,-1,9,4942378.894999998,1.0,2017-12-28T10:45:00.000000000,10560.0,signal_exit,-54189.009,639.009,900.0,176
2018-01-04T15:00:00.000000000,10831.0,1,9,4888189.885999998,1.0,2018-01-16T13:35:00.000000000,10982.0,roll_blackout,67303.68299999999,646.317,900.0,720
2018-01-18T08:45:00.000000000,11064.0,1,8,4955493.568999997,1.0,2018-01-25T03:00:00.000000000,11119.0,signal_exit,21422.536,577.4639999999999,800.0,181
2018-02-06T09:45:00.000000000,10567.0,-1,9,4976916.104999998,1.0,2018-02-12T13:35:00.000000000,10409.0,roll_blackout,70461.216,638.784,900.0,2
2018-03-06T15:00:00.000000000,10794.0,1,9,5047377.320999998,1.0,2018-03-16T10:45:00.000000000,10941.0,signal_exit,65504.38500000001,645.615,900.0,90
2018-03-22T09:45:00.000000000,11116.0,1,9,5112881.705999998,1.0,2018-03-22T17:00:00.000000000,10956.0,signal_exit,-72648.648,648.648,900.0,0
2018-04-02T23:00:00.000000000,10799.0,-1,9,5040233.057999998,1.0,2018-04-09T08:45:00.000000000,10839.0,signal_exit,-18644.742,644.742,900.0,9
2018-04-19T10:45:00.000000000,10958.0,1,9,5021588.315999999,1.0,2018-04-20T00:00:00.000000000,10868.0,signal_exit,-41146.434,646.434,900.0,0
2018-04-20T16:00:00.000000000,10707.0,-1,9,4980441.881999998,1.0,2018-04-27T17:00:00.000000000,10575.0,signal_exit,58758.462,641.538,900.0,5
2018-05-03T09:45:00.000000000,10539.0,-1,9,5039200.343999999,1.0,2018-05-05T01:00:00.000000000,10571.0,signal_exit,-15039.99,639.99,900.0,9
2018-05-10T23:00:00.000000000,10798.0,1,9,5024160.353999998,1.0,2018-05-15T13:35:00.000000000,10864.0,roll_blackout,29055.042,644.9580000000001,900.0,53
2018-05-21T10:45:00.000000000,10942.0,1,9,5053215.395999999,1.0,2018-05-23T16:00:00.000000000,10821.0,signal_exit,-55095.867000000006,645.867,900.0,87
2018-05-24T16:00:00.000000000,10942.0,1,9,4998119.528999998,1.0,2018-05-29T17:00:00.000000000,10892.0,signal_exit,-23146.506,646.5060000000001,900.0,143
2018-06-01T10:45:00.000000000,10920.0,1,9,4974973.022999998,1.0,2018-06-08T16:00:00.000000000,11090.0,signal_exit,75851.91,648.0900000000001,900.0,110
2018-06-25T23:00:00.000000000,10552.0,-1,9,5050824.932999998,1.0,2018-06-29T10:45:00.000000000,10615.0,signal_exit,-28990.503,640.503,900.0,25
2018-07-05T12:45:00.000000000,10532.0,-1,9,5021834.429999998,1.0,2018-07-09T10:45:00.000000000,10656.0,signal_exit,-56440.692,640.692,900.0,22
2018-07-12T20:00:00.000000000,10766.0,1,9,4965393.737999998,1.0,2018-07-17T13:35:00.000000000,10773.0,roll_blackout,2506.149,643.8510000000001,900.0,143
2018-07-19T09:45:00.000000000,10782.0,1,9,4967899.886999997,1.0,2018-08-02T11:45:00.000000000,10903.0,signal_exit,53804.835,645.165,900.0,289
2018-08-03T20:00:00.000000000,11020.0,1,9,5021704.721999997,1.0,2018-08-10T16:00:00.000000000,10963.0,signal_exit,-26297.847,647.847,900.0,295
2018-08-17T18:00:00.000000000,10630.0,-1,9,4995406.874999997,1.0,2018-08-18T04:00:00.000000000,10685.0,signal_exit,-25391.835,641.835,900.0,3
2018-08-29T09:45:00.000000000,11007.0,1,9,4970015.039999997,1.0,2018-09-03T11:45:00.000000000,10934.0,signal_exit,-33497.469000000005,647.469,900.0,36
2018-10-04T04:00:00.000000000,10835.0,-1,9,4936517.570999997,1.0,2018-10-16T10:45:00.000000000,9965.0,signal_exit,390862.8,637.2,900.0,31
2018-10-19T00:00:00.000000000,9796.0,-1,10,5327380.3709999975,1.0,2018-10-19T21:00:00.000000000,9937.0,signal_exit,-71197.33,697.3299999999999,1000.0,2
2018-10-23T11:45:00.000000000,9738.0,-1,10,5256183.040999997,1.0,2018-10-29T20:00:00.000000000,9548.0,signal_exit,94307.14,692.86,1000.0,1
2018-11-02T20:00:00.000000000,9927.0,1,10,5350490.180999997,1.0,2018-11-06T11:45:00.000000000,9762.0,signal_exit,-83196.89,696.89,1000.0,3
2018-11-08T00:00:00.000000000,9911.0,1,10,5267293.290999997,1.0,2018-11-09T10:45:00.000000000,9785.0,signal_exit,-63696.96,696.96,1000.0,2
2018-11-15T16:00:00.000000000,9869.0,1,10,5203596.330999997,1.0,2018-11-16T16:00:00.000000000,9779.0,signal_exit,-45696.48,696.48,1000.0,1
2018-11-23T09:45:00.000000000,9666.0,-1,10,5157899.850999997,1.0,2018-11-26T10:45:00.000000000,9782.0,signal_exit,-58694.48,694.4799999999999,1000.0,24
2018-11-28T20:00:00.000000000,9892.0,1,10,5099205.370999997,1.0,2018-12-05T03:00:00.000000000,9929.0,signal_exit,17801.79,698.21,1000.0,37
2018-12-06T10:45:00.000000000,9688.0,-1,10,5117007.160999997,1.0,2018-12-11T17:00:00.000000000,9687.0,signal_exit,-193.75,693.75,1000.0,10
2018-12-13T01:00:00.000000000,9864.0,1,10,5116813.410999997,1.0,2018-12-14T10:45:00.000000000,9687.0,signal_exit,-89195.51,695.51,1000.0,5
2018-12-25T02:00:00.000000000,9520.0,-1,10,5027617.900999997,1.0,2018-12-27T09:45:00.000000000,9576.0,signal_exit,-28690.96,690.96,1000.0,130
2019-01-02T17:00:00.000000000,9487.0,-1,10,4998926.940999997,1.0,2019-01-07T09:45:00.000000000,9504.0,signal_exit,-9189.910000000002,689.9100000000001,1000.0,2
2019-01-09T10:45:00.000000000,9733.0,1,10,4989737.030999997,1.0,2019-01-14T11:45:00.000000000,9671.0,signal_exit,-31694.04,694.04,1000.0,18
2019-01-15T10:45:00.000000000,9790.0,1,10,4958042.990999997,1.0,2019-01-15T13:35:00.000000000,9798.0,roll_blackout,3304.12,695.88,1000.0,0
2019-01-18T23:00:00.000000000,9857.0,1,10,4961347.110999996,1.0,2019-01-23T03:00:00.000000000,9814.0,signal_exit,-22196.71,696.71,1000.0,74
2019-01-25T00:00:00.000000000,9897.0,1,9,4939150.400999996,1.0,2019-01-29T11:45:00.000000000,9899.0,signal_exit,271.836,628.164,900.0,36
2019-01-31T04:00:00.000000000,10029.0,1,9,4939422.236999996,1.0,2019-02-19T13:35:00.000000000,10142.0,roll_blackout,50218.461,631.539,900.0,227
2019-02-21T15:00:00.000000000,10307.0,1,9,4989640.697999996,1.0,2019-02-28T01:00:00.000000000,10307.0,signal_exit,-635.5260000000001,635.5260000000001,900.0,127
2019-03-12T10:45:00.000000000,10365.0,1,9,4989005.171999996,1.0,2019-03-19T13:35:00.000000000,10502.0,roll_blackout,61012.197,637.8030000000001,900.0,196
2019-03-21T10:45:00.000000000,10577.0,1,9,5050017.368999995,1.0,2019-03-25T10:45:00.000000000,10459.0,signal_exit,-53739.324,639.3240000000001,900.0,28
2019-03-26T23:00:00.000000000,10567.0,1,9,4996278.044999995,1.0,2019-03-27T03:00:00.000000000,10519.0,signal_exit,-22239.774,639.774,900.0,0
2019-03-28T18:00:00.000000000,10536.0,1,9,4974038.270999995,1.0,2019-04-16T13:35:00.000000000,10921.0,roll_blackout,172606.88700000002,643.113,900.0,310
2019-04-24T00:00:00.000000000,11050.0,1,9,5146645.157999995,1.0,2019-04-24T22:00:00.000000000,10975.0,signal_exit,-34398.225,648.225,900.0,28
2019-05-03T11:45:00.000000000,11057.0,1,9,5112246.932999995,1.0,2019-05-06T10:45:00.000000000,10855.0,signal_exit,-91547.208,647.2080000000001,900.0,16
2019-05-09T11:45:00.000000000,10729.0,-1,9,5020699.724999994,1.0,2019-05-14T13:35:00.000000000,10543.0,roll_blackout,83058.552,641.448,900.0,0
2019-05-17T11:45:00.000000000,10448.0,-1,9,5103758.276999994,1.0,2019-05-21T11:45:00.000000000,10491.0,signal_exit,-19988.451,638.451,900.0,8
2019-05-23T16:00:00.000000000,10280.0,-1,9,5083769.825999995,1.0,2019-05-30T10:45:00.000000000,10346.0,signal_exit,-30335.634,635.634,900.0,117
2019-06-10T10:45:00.000000000,10537.0,1,9,5053434.191999995,1.0,2019-06-14T21:00:00.000000000,10494.0,signal_exit,-19989.279,639.279,900.0,104
2019-06-20T16:00:00.000000000,10625.0,1,9,5033444.912999995,1.0,2019-06-26T00:00:00.000000000,10551.0,signal_exit,-33940.584,640.5840000000001,900.0,118
2019-07-01T09:45:00.000000000,10760.0,1,9,4999504.328999995,1.0,2019-07-05T23:00:00.000000000,10661.0,signal_exit,-45192.789,642.789,900.0,224
2019-07-10T21:00:00.000000000,10780.0,1,9,4954311.539999995,1.0,2019-07-16T13:35:00.000000000,10880.0,roll_blackout,44355.060000000005,644.94,900.0,114
2019-07-19T03:00:00.000000000,10723.0,1,9,4998666.599999996,1.0,2019-07-29T10:45:00.000000000,10762.0,signal_exit,16906.635,643.365,900.0,161
2019-08-02T18:00:00.000000000,10439.0,-1,9,5015573.234999996,1.0,2019-08-07T18:00:00.000000000,10397.0,signal_exit,18262.476,637.524,900.0,9
2019-08-07T22:00:00.000000000,10283.0,-1,9,5033835.7109999955,1.0,2019-08-08T03:00:00.000000000,10371.0,signal_exit,-40235.886,635.886,900.0,0
2019-08-13T04:00:00.000000000,10358.0,-1,9,4993599.8249999955,1.0,2019-08-13T23:00:00.000000000,10452.0,signal_exit,-42937.29,637.29,900.0,2
2019-08-15T00:00:00.000000000,10294.0,-1,9,4950662.5349999955,1.0,2019-08-16T11:45:00.000000000,10402.0,signal_exit,-49236.264,636.2639999999999,900.0,3
2019-08-29T16:00:00.000000000,10471.0,1,9,4901426.270999996,1.0,2019-09-17T13:35:00.000000000,10862.0,roll_blackout,175308.003,641.9970000000001,900.0,392
2019-10-01T10:45:00.000000000,10946.0,1,9,5076734.273999996,1.0,2019-10-02T23:00:00.000000000,10842.0,signal_exit,-47446.092,646.092,900.0,19
2019-10-07T09:45:00.000000000,10927.0,1,9,5029288.181999995,1.0,2019-10-09T16:00:00.000000000,10875.0,signal_exit,-24046.218,646.2180000000001,900.0,42
2019-10-14T09:45:00.000000000,11063.0,1,9,5005241.963999995,1.0,2019-10-15T13:35:00.000000000,11105.0,roll_blackout,18250.488,649.5120000000001,900.0,49
2019-10-17T16:00:00.000000000,11197.0,1,8,5023492.451999995,1.0,2019-11-08T22:00:00.000000000,11585.0,signal_exit,154617.744,582.2560000000001,800.0,502
2019-11-18T10:45:00.000000000,11566.0,1,8,5178110.195999995,1.0,2019-11-19T13:35:00.000000000,11646.0,roll_blackout,31414.304,585.696,800.0,53
2019-11-26T09:45:00.000000000,11641.0,1,8,5209524.499999995,1.0,2019-11-29T10:45:00.000000000,11535.0,signal_exit,-42985.408,585.408,800.0,138
2019-12-05T16:00:00.000000000,11620.0,1,8,5166539.0919999955,1.0,2019-12-10T18:00:00.000000000,11574.0,signal_exit,-18985.552,585.552,800.0,72
2019-12-11T12:45:00.000000000,11685.0,1,8,5147553.539999995,1.0,2019-12-17T13:35:00.000000000,12093.0,roll_blackout,162609.77599999998,590.224,800.0,82
2020-01-02T22:00:00.000000000,12125.0,1,8,5310163.315999995,1.0,2020-01-03T11:45:00.000000000,12029.0,signal_exit,-38993.232,593.232,800.0,9
2020-01-13T09:45:00.000000000,12082.0,1,8,5271170.083999995,1.0,2020-01-14T13:35:00.000000000,12178.0,roll_blackout,37805.92,594.0799999999999,800.0,27
2020-01-30T10:45:00.000000000,11524.0,-1,9,5308976.003999995,1.0,2020-02-04T11:45:00.000000000,11536.0,signal_exit,-6057.54,657.54,900.0,15
2020-02-07T19:00:00.000000000,11527.0,-1,9,5302918.463999995,1.0,2020-02-11T10:45:00.000000000,11688.0,signal_exit,-73108.935,658.935,900.0,10
2020-02-24T17:00:00.000000000,11454.0,-1,9,5229809.528999995,1.0,2020-03-03T10:45:00.000000000,11321.0,signal_exit,59195.024999999994,654.975,900.0,0
2020-03-06T16:00:00.000000000,11253.0,-1,9,5289004.553999995,1.0,2020-03-11T08:45:00.000000000,10980.0,signal_exit,122199.903,650.097,900.0,0
2020-03-11T15:00:00.000000000,10820.0,-1,10,5411204.456999995,1.0,2020-03-17T13:35:00.000000000,9401.0,roll_blackout,708797.79,702.21,1000.0,0
2020-03-19T10:45:00.000000000,8503.0,-1,14,6120002.246999995,1.0,2020-03-20T10:45:00.000000000,8978.0,signal_exit,-333444.734,944.734,1400.0,0
2020-03-31T01:00:00.000000000,9653.0,1,11,5786557.512999995,1.0,2020-04-01T16:00:00.000000000,9512.0,signal_exit,-78310.815,760.815,1100.0,0
2020-04-06T22:00:00.000000000,9878.0,1,11,5708246.697999994,1.0,2020-04-10T04:00:00.000000000,9998.0,signal_exit,65231.364,768.6360000000001,1100.0,2
2020-04-10T16:00:00.000000000,10162.0,1,11,5773478.061999994,1.0,2020-04-13T16:00:00.000000000,10075.0,signal_exit,-48622.607,772.607,1100.0,83
2020-04-14T09:45:00.000000000,10257.0,1,11,5724855.4549999945,1.0,2020-04-14T13:35:00.000000000,10337.0,roll_blackout,43223.466,776.5340000000001,1100.0,0
2020-04-16T16:00:00.000000000,10384.0,1,11,5768078.9209999945,1.0,2020-04-20T21:00:00.000000000,10380.0,signal_exit,-2978.404,778.404,1100.0,5
2020-04-27T10:45:00.000000000,10515.0,1,10,5765100.516999994,1.0,2020-05-04T10:45:00.000000000,10671.0,signal_exit,77288.14,711.8599999999999,1000.0,6
2020-05-07T10:45:00.000000000,10823.0,1,10,5842388.656999994,1.0,2020-05-12T11:45:00.000000000,10816.0,signal_exit,-4216.39,716.3900000000001,1000.0,9
2020-05-13T19:00:00.000000000,10952.0,1,10,5838172.2669999935,1.0,2020-05-14T00:00:00.000000000,10856.0,signal_exit,-48718.079999999994,718.0799999999999,1000.0,0
2020-05-18T23:00:00.000000000,10894.0,1,10,5789454.186999994,1.0,2020-05-19T13:35:00.000000000,10873.0,roll_blackout,-11217.67,717.6700000000001,1000.0,1
2020-05-21T09:45:00.000000000,10963.0,1,10,5778236.5169999935,1.0,2020-05-22T10:45:00.000000000,10793.0,signal_exit,-85717.56,717.56,1000.0,4
2020-05-22T16:00:00.000000000,10708.0,-1,10,5692518.956999994,1.0,2020-05-25T18:00:00.000000000,10863.0,signal_exit,-78215.71,715.71,1000.0,6
2020-05-26T09:45:00.000000000,11013.0,1,10,5614303.246999994,1.0,2020-05-28T15:00:00.000000000,10913.0,signal_exit,-50719.259999999995,719.26,1000.0,3
2020-06-01T09:45:00.000000000,11097.0,1,10,5563583.986999994,1.0,2020-06-11T12:45:00.000000000,11520.0,signal_exit,210773.83,726.1700000000001,1000.0,29
2020-06-18T17:00:00.000000000,11463.0,1,10,5774357.816999994,1.0,2020-06-20T02:00:00.000000000,11360.0,signal_exit,-52228.23,728.23,1000.0,19
2020-06-24T02:00:00.000000000,11542.0,1,9,5722129.586999995,1.0,2020-06-25T00:00:00.000000000,11412.0,signal_exit,-59156.586,656.586,900.0,2
2020-07-01T11:45:00.000000000,11614.0,1,9,5662973.0009999955,1.0,2020-07-10T10:45:00.000000000,12034.0,signal_exit,188337.168,662.8320000000001,900.0,77
2020-07-13T15:00:00.000000000,12192.0,1,9,5851310.168999996,1.0,2020-07-14T13:35:00.000000000,12180.0,roll_blackout,-6069.348,669.348,900.0,5
2020-07-17T10:45:00.000000000,12120.0,1,9,5845240.820999996,1.0,2020-07-17T15:00:00.000000000,12047.0,signal_exit,-33517.503000000004,667.503,900.0,0
2020-07-21T09:45:00.000000000,12208.0,1,9,5811723.317999995,1.0,2020-07-24T02:00:00.000000000,12209.0,signal_exit,-219.753,669.7529999999999,900.0,5
2020-07-24T23:00:00.000000000,12355.0,1,9,5811503.564999995,1.0,2020-07-28T23:00:00.000000000,12378.0,signal_exit,9677.403,672.597,900.0,3
2020-07-29T23:00:00.000000000,12546.0,1,9,5821180.967999995,1.0,2020-07-30T22:00:00.000000000,12475.0,signal_exit,-32625.189,675.1890000000001,900.0,1
2020-08-04T15:00:00.000000000,12663.0,1,9,5788555.7789999945,1.0,2020-08-08T01:00:00.000000000,12758.0,signal_exit,42071.211,678.789,900.0,13
2020-08-13T00:00:00.000000000,12803.0,1,9,5830626.989999995,1.0,2020-08-13T10:45:00.000000000,12743.0,signal_exit,-27679.914,679.914,900.0,5
2020-08-17T16:00:00.000000000,12964.0,1,8,5802947.075999995,1.0,2020-08-18T13:35:00.000000000,12874.0,roll_blackout,-36606.704,606.704,800.0,14
2020-08-26T16:00:00.000000000,12802.0,1,9,5766340.371999995,1.0,2020-08-28T11:45:00.000000000,12713.0,signal_exit,-40729.635,679.635,900.0,13
2020-08-31T15:00:00.000000000,12566.0,-1,9,5725610.736999994,1.0,2020-09-02T00:00:00.000000000,12704.0,signal_exit,-62777.43,677.4300000000001,900.0,13
2020-09-02T08:45:00.000000000,12766.0,1,8,5662833.306999994,1.0,2020-09-02T11:45:00.000000000,12608.0,signal_exit,-63802.992,602.9920000000001,800.0,0
2020-09-04T00:00:00.000000000,12572.0,-1,8,5599030.314999995,1.0,2020-09-08T11:45:00.000000000,12663.0,signal_exit,-37001.88,601.88,800.0,39
2020-09-15T11:45:00.000000000,12836.0,1,8,5562028.434999995,1.0,2020-09-15T13:35:00.000000000,12840.0,roll_blackout,994.592,605.408,800.0,0
2020-09-24T03:00:00.000000000,12408.0,-1,8,5563023.026999995,1.0,2020-09-28T10:45:00.000000000,12382.0,signal_exit,9801.68,598.32,800.0,5
2020-10-07T23:00:00.000000000,12818.0,1,8,5572824.706999995,1.0,2020-10-14T20:00:00.000000000,12872.0,signal_exit,20994.48,605.52,800.0,28
2020-10-28T21:00:00.000000000,12613.0,-1,8,5593819.186999995,1.0,2020-11-02T19:00:00.000000000,12580.0,signal_exit,12598.456,601.544,800.0,0
2020-11-05T00:00:00.000000000,12915.0,1,8,5606417.6429999955,1.0,2020-11-17T13:35:00.000000000,13604.0,roll_blackout,274987.848,612.152,800.0,19
2020-11-23T09:45:00.000000000,13920.0,1,8,5881405.490999995,1.0,2020-11-25T12:45:00.000000000,13724.0,signal_exit,-79021.152,621.152,800.0,19
2020-11-27T12:45:00.000000000,13877.0,1,8,5802384.338999994,1.0,2020-11-30T16:00:00.000000000,13745.0,signal_exit,-53420.976,620.9760000000001,800.0,26
2020-12-02T00:00:00.000000000,13917.0,1,8,5748963.362999994,1.0,2020-12-10T12:45:00.000000000,14220.0,signal_exit,120574.904,625.096,800.0,63
2020-12-21T15:00:00.000000000,14319.0,1,8,5869538.266999994,1.0,2020-12-22T16:00:00.000000000,14084.0,signal_exit,-94627.224,627.224,800.0,0
2020-12-25T00:00:00.000000000,14307.0,1,8,5774911.042999994,1.0,2020-12-31T13:44:00.000000000,14677.0,period_end,147368.128,631.8720000000001,800.0,252
