,equity
2017-07-03,5000000.0
2017-07-04,4998729.43
2017-07-05,4998729.43
2017-07-06,4998729.43
2017-07-07,4998729.43
2017-07-10,4998729.43
2017-07-11,4999144.097
2017-07-12,4998994.097
2017-07-13,5003044.097
2017-07-14,5002194.097
2017-07-17,5003844.097
2017-07-18,5005108.635
2017-07-19,5005108.635
2017-07-20,5005108.635
2017-07-21,5005108.635
2017-07-24,5005108.635
2017-07-25,5005108.635
2017-07-26,5000923.223
2017-07-27,5006873.223
2017-07-28,5001637.879
2017-07-31,5001637.879
2017-08-01,5001637.879
2017-08-02,5001902.432
2017-08-03,4999552.432
2017-08-04,5001202.432
2017-08-07,5005702.432
2017-08-08,5005552.432
2017-08-09,5001902.432
2017-08-10,4996467.087
2017-08-11,4996467.087
2017-08-14,4996467.087
2017-08-15,4996467.087
2017-08-16,4996467.087
2017-08-17,4996467.087
2017-08-18,4996467.087
2017-08-21,4996467.087
2017-08-22,4996467.087
2017-08-23,4995181.701
2017-08-24,4999581.701
2017-08-25,5001481.701
2017-08-28,5001631.701
2017-08-29,5000281.701
2017-08-30,5003681.701
2017-08-31,5004681.701
2017-09-01,5005931.701
2017-09-04,5004731.701
2017-09-05,5006231.701
2017-09-06,5003081.701
2017-09-07,5002096.201
2017-09-08,5002096.201
2017-09-11,5001160.618
2017-09-12,5002410.618
2017-09-13,4999775.08
2017-09-14,4999775.08
2017-09-15,4999775.08
2017-09-18,5000089.451
2017-09-19,4997103.874
2017-09-20,4997103.874
2017-09-21,4997103.874
2017-09-22,4997103.874
2017-09-25,4997103.874
2017-09-26,4997103.874
2017-09-27,4997103.874
2017-09-28,4997103.874
2017-09-29,4997103.874
2017-09-30,4997103.874
2017-10-02,4997103.874
2017-10-03,4997103.874
2017-10-05,4997103.874
2017-10-06,4997103.874
2017-10-11,4997103.874
2017-10-12,4998268.201
2017-10-13,4998968.201
2017-10-16,5001268.201
2017-10-17,4999432.48
2017-10-18,4999432.48
2017-10-19,4998046.692
2017-10-20,4996596.692
2017-10-23,4996796.692
2017-10-24,4997196.692
2017-10-25,4996946.692
2017-10-26,4995110.989
2017-10-27,4995110.989
2017-10-30,4995110.989
2017-10-31,4995110.989
2017-11-01,4995110.989
2017-11-02,4995110.989
2017-11-03,4995110.989
2017-11-06,4995110.989
2017-11-07,4995110.989
2017-11-08,4995110.989
2017-11-09,4995110.989
2017-11-10,4995110.989
2017-11-13,4995110.989
2017-11-14,4995110.989
2017-11-15,4995110.989
2017-11-16,4995110.989
2017-11-17,4995110.989
2017-11-20,4995110.989
2017-11-21,4996575.231
2017-11-22,4998525.231
2017-11-23,4999975.231
2017-11-24,4999975.231
2017-11-27,4994675.231
2017-11-28,4993389.506
2017-11-29,4993389.506
2017-11-30,4993389.506
2017-12-01,4993389.506
2017-12-04,4993389.506
2017-12-05,4993389.506
2017-12-06,4993389.506
2017-12-07,4993389.506
2017-12-08,4993389.506
2017-12-11,4993389.506
2017-12-12,4993389.506
2017-12-13,4993389.506
2017-12-14,4993389.506
2017-12-15,4993389.506
2017-12-18,4993389.506
2017-12-19,4993389.506
2017-12-20,4993389.506
2017-12-21,4993389.506
2017-12-22,4993389.506
2017-12-25,4993389.506
2017-12-26,4993389.506
2017-12-27,4993389.506
2017-12-28,4993389.506
2017-12-29,4993389.506
2018-01-02,4993389.506
2018-01-03,4993389.506
2018-01-04,4993389.506
2018-01-05,4994653.675
2018-01-08,4996103.675
2018-01-09,4995853.675
2018-01-10,4992253.675
2018-01-11,4991853.675
2018-01-12,4995603.675
2018-01-15,4999553.675
2018-01-16,5000867.693
2018-01-17,5000867.693
2018-01-18,5000331.629
2018-01-19,5004581.629
2018-01-22,5008731.629
2018-01-23,5008881.629
2018-01-24,5003931.629
2018-01-25,5003545.51
2018-01-26,5003545.51
2018-01-29,5003545.51
2018-01-30,5003545.51
2018-01-31,5003545.51
2018-02-01,5003545.51
2018-02-02,5003545.51
2018-02-05,5003545.51
2018-02-06,5003545.51
2018-02-07,5003545.51
2018-02-08,5003545.51
2018-02-09,5003545.51
2018-02-12,5003545.51
2018-02-21,5003545.51
2018-02-22,5003545.51
2018-02-23,5003545.51
2018-02-26,5003545.51
2018-02-27,5003545.51
2018-03-01,5003545.51
2018-03-02,5003545.51
2018-03-05,5003545.51
2018-03-06,5003545.51
2018-03-07,4999409.716
2018-03-08,5005259.716
2018-03-09,5007059.716
2018-03-12,5015009.716
2018-03-13,5018809.716
2018-03-14,5015359.716
2018-03-15,5015859.716
2018-03-16,5010823.775
2018-03-19,5010823.775
2018-03-20,5010823.775
2018-03-21,5010823.775
2018-03-22,5004437.659
2018-03-23,5002751.703
2018-03-26,5002751.703
2018-03-27,5002751.703
2018-03-28,5002751.703
2018-03-29,5002751.703
2018-03-30,5002751.703
2018-03-31,5002751.703
2018-04-02,5002751.703
2018-04-03,5002751.703
2018-04-09,5002751.703
2018-04-10,5002751.703
2018-04-11,5002751.703
2018-04-12,5002751.703
2018-04-13,5002751.703
2018-04-16,5002751.703
2018-04-17,5002751.703
2018-04-18,5002751.703
2018-04-19,5003265.745
2018-04-20,4998179.877
2018-04-23,4998179.877
2018-04-24,4998179.877
2018-04-25,4998179.877
2018-04-26,4998179.877
2018-04-27,4998179.877
2018-04-30,4998179.877
2018-05-02,4998179.877
2018-05-03,4998179.877
2018-05-04,4998179.877
2018-05-07,4998179.877
2018-05-08,4998179.877
2018-05-09,4998179.877
2018-05-10,4998179.877
2018-05-11,5001294.079
2018-05-14,5006144.079
2018-05-15,5001408.215
2018-05-16,5001408.215
2018-05-17,5001408.215
2018-05-18,5001408.215
2018-05-21,5002522.273
2018-05-22,5000372.273
2018-05-23,4997172.273
2018-05-24,4995286.452
2018-05-25,4994750.51
2018-05-28,4997300.51
2018-05-29,4994550.51
2018-05-30,4992714.618
2018-05-31,4992714.618
2018-06-01,4992428.698
2018-06-04,5000928.698
2018-06-05,5000128.698
2018-06-06,5006678.698
2018-06-07,5008028.698
2018-06-08,5002928.698
2018-06-11,5001142.608
2018-06-12,5001142.608
2018-06-13,5001142.608
2018-06-14,5001142.608
2018-06-15,5001142.608
2018-06-19,5001142.608
2018-06-20,5001142.608
2018-06-21,5001142.608
2018-06-22,5001142.608
2018-06-25,5001142.608
2018-06-26,5001142.608
2018-06-27,5001142.608
2018-06-28,5001142.608
2018-06-29,5001142.608
2018-07-02,5001142.608
2018-07-03,5001142.608
2018-07-04,5001142.608
2018-07-05,5001142.608
2018-07-06,5001142.608
2018-07-09,5001142.608
2018-07-10,5001142.608
2018-07-11,5001142.608
2018-07-12,5001142.608
2018-07-13,5005206.842
2018-07-16,5003556.842
2018-07-17,5001421.069
2018-07-18,5001421.069
2018-07-19,4998335.287
2018-07-20,5003485.287
2018-07-23,5003785.287
2018-07-24,5005835.287
2018-07-25,5005535.287
2018-07-26,5008035.287
2018-07-27,5011885.287
2018-07-30,5009285.287
2018-07-31,5011735.287
2018-08-01,5014635.287
2018-08-02,5007399.384
2018-08-03,5007399.384
2018-08-06,5005463.364
2018-08-07,5004763.364
2018-08-08,5008813.364
2018-08-09,5007213.364
2018-08-10,5004313.364
2018-08-13,5004477.401
2018-08-14,5004477.401
2018-08-15,5004477.401
2018-08-16,5004477.401
2018-08-17,5004477.401
2018-08-20,5004477.401
2018-08-21,5004477.401
2018-08-22,5004477.401
2018-08-23,5004477.401
2018-08-24,5004477.401
2018-08-27,5004477.401
2018-08-28,5004477.401
2018-08-29,5006291.394
2018-08-30,5005241.394
2018-08-31,5005191.394
2018-09-03,5000755.46
2018-09-04,5000755.46
2018-09-05,5000755.46
2018-09-06,5000755.46
2018-09-07,5000755.46
2018-09-10,5000755.46
2018-09-11,5000755.46
2018-09-12,5000755.46
2018-09-13,5000755.46
2018-09-14,5000755.46
2018-09-17,5000755.46
2018-09-18,5000755.46
2018-09-19,5000755.46
2018-09-20,5000755.46
2018-09-21,5000755.46
2018-09-25,5000755.46
2018-09-26,5000755.46
2018-09-27,5000755.46
2018-09-28,5000755.46
2018-10-01,5000755.46
2018-10-02,5000755.46
2018-10-03,5000755.46
2018-10-04,5000755.46
2018-10-05,5000755.46
2018-10-08,5000755.46
2018-10-09,5000755.46
2018-10-11,5000755.46
2018-10-12,5000755.46
2018-10-15,5000755.46
2018-10-16,5000755.46
2018-10-17,5000755.46
2018-10-18,5000755.46
2018-10-19,5000755.46
2018-10-22,5000755.46
2018-10-23,5000755.46
2018-10-24,5000755.46
2018-10-25,5000755.46
2018-10-26,5000755.46
2018-10-29,5000755.46
2018-10-30,5000755.46
2018-10-31,5000755.46
2018-11-01,5000755.46
2018-11-02,5000755.46
2018-11-05,4995220.533
2018-11-06,4992435.771
2018-11-07,4992435.771
2018-11-08,4993050.86
2018-11-09,4986066.075
2018-11-12,4986066.075
2018-11-13,4986066.075
2018-11-14,4986066.075
2018-11-15,4986066.075
2018-11-16,4981731.206
2018-11-19,4981496.427
2018-11-20,4981496.427
2018-11-21,4981496.427
2018-11-22,4981496.427
2018-11-23,4981496.427
2018-11-26,4981496.427
2018-11-27,4981496.427
2018-11-28,4981496.427
2018-11-29,4980711.535
2018-11-30,4979511.535
2018-12-03,4992961.535
2018-12-04,4988961.535
2018-12-05,4983276.606
2018-12-06,4983276.606
2018-12-07,4983276.606
2018-12-10,4983276.606
