,equity
2021-01-04,5038461.53
2021-01-05,5069361.53
2021-01-06,5049561.53
2021-01-07,5145261.53
2021-01-08,5212461.53
2021-01-11,5236461.53
2021-01-12,5224161.53
2021-01-13,5305461.53
2021-01-14,5294961.53
2021-01-15,5266461.53
2021-01-18,5280317.444
2021-01-19,5287926.902
2021-01-20,5287926.902
2021-01-21,5302680.428
2021-01-22,5259180.428
2021-01-25,5211535.472
2021-01-26,5211535.472
2021-01-27,5211535.472
2021-01-28,5211535.472
2021-01-29,5267093.906
2021-02-01,5181593.906
2021-02-02,5168451.488
2021-02-03,5168451.488
2021-02-04,5168451.488
2021-02-05,5168451.488
2021-02-17,5168451.488
2021-02-18,5168451.488
2021-02-19,5168451.488
2021-02-22,5146302.74
2021-02-23,5127454.802
2021-02-24,5127454.802
2021-02-25,5127454.802
2021-02-26,5127454.802
2021-03-02,5127454.802
2021-03-03,5127454.802
2021-03-04,5127454.802
2021-03-05,5127454.802
2021-03-08,5127454.802
2021-03-09,5071710.98
2021-03-10,5058265.784
2021-03-11,5058265.784
2021-03-12,5058265.784
2021-03-15,5058265.784
2021-03-16,5058265.784
2021-03-17,5058265.784
2021-03-18,5016017.51
2021-03-19,5003170.328
2021-03-22,5003170.328
2021-03-23,4980123.152
2021-03-24,4982576.3780000005
2021-03-25,4982576.3780000005
2021-03-26,4982576.3780000005
2021-03-29,5014428.5540000005
2021-03-30,5046828.5540000005
2021-03-31,5017728.5540000005
2021-04-01,5056428.5540000005
2021-04-06,5110428.5540000005
2021-04-07,5121528.5540000005
2021-04-08,5170128.5540000005
2021-04-09,5143428.5540000005
2021-04-12,5141328.5540000005
2021-04-13,5129628.5540000005
2021-04-14,5137177.6280000005
2021-04-15,5170225.868
2021-04-16,5196325.868
2021-04-19,5230225.868
2021-04-20,5244671.948
2021-04-21,5244671.948
2021-04-22,5199418.394
2021-04-23,5194965.824
2021-04-26,5259511.94
2021-04-27,5271811.94
2021-04-28,5260411.94
2021-04-29,5271811.94
2021-05-03,5196558.014
2021-05-04,5196558.014
2021-05-05,5196558.014
2021-05-06,5196558.014
2021-05-07,5196558.014
2021-05-10,5196558.014
2021-05-11,5340905.786
2021-05-12,5600105.786
2021-05-13,5637905.786
