,equity
2021-01-04,5006310.253
2021-01-05,5011460.253
2021-01-06,5008160.253
2021-01-07,5024110.253
2021-01-08,5035310.253
2021-01-11,5039310.253
2021-01-12,5037260.253
2021-01-13,5050810.253
2021-01-14,5049060.253
2021-01-15,5044310.253
2021-01-18,5046519.574
2021-01-19,5047587.817
2021-01-20,5047587.817
2021-01-21,5049946.736
2021-01-22,5042696.736
2021-01-25,5034655.912
2021-01-26,5034655.912
2021-01-27,5034655.912
2021-01-28,5034655.912
2021-01-29,5043815.653
2021-02-01,5029565.653
2021-02-02,5027275.248
2021-02-03,5027275.248
2021-02-04,5027275.248
2021-02-05,5027275.248
2021-02-17,5027275.248
2021-02-18,5027275.248
2021-02-19,5027275.248
2021-02-22,5023483.788
2021-02-23,5020242.467
2021-02-24,5020242.467
2021-02-25,5020242.467
2021-02-26,5020242.467
2021-03-02,5020242.467
2021-03-03,5020242.467
2021-03-04,5020242.467
2021-03-05,5020242.467
2021-03-08,5020242.467
2021-03-09,5010851.832
2021-03-10,5008510.964
2021-03-11,5008510.964
2021-03-12,5008510.964
2021-03-15,5008510.964
2021-03-16,5008510.964
2021-03-17,5008510.964
2021-03-18,5001369.583
2021-03-19,4999128.388
2021-03-22,4999128.388
2021-03-23,4995187.19
2021-03-24,4995496.063
2021-03-25,4995496.063
2021-03-26,4995496.063
2021-03-29,5000704.757
2021-03-30,5006104.757
2021-03-31,5001254.757
2021-04-01,5007704.757
2021-04-06,5016704.757
2021-04-07,5018554.757
2021-04-08,5026654.757
2021-04-09,5022204.757
2021-04-12,5021854.757
2021-04-13,5019904.757
2021-04-14,5021062.938
2021-04-15,5026470.976
2021-04-16,5030820.976
2021-04-19,5036470.976
2021-04-20,5038778.658
2021-04-21,5038778.658
2021-04-22,5031136.397
2021-04-23,5030294.3040000005
2021-04-26,5040951.988
2021-04-27,5043001.988
2021-04-28,5041101.988
2021-04-29,5043001.988
2021-05-03,5030359.669
2021-05-04,5030359.669
2021-05-05,5030359.669
2021-05-06,5030359.669
2021-05-07,5030359.669
2021-05-10,5030359.669
2021-05-11,5054317.633
2021-05-12,5097517.633
2021-05-13,5103817.633
2021-05-14,5093517.633
2021-05-17,5089326.778
2021-05-18,5089326.778
2021-05-19,5089326.778
2021-05-20,5089326.778
2021-05-21,5089326.778
2021-05-24,5089326.778
2021-05-25,5089326.778
2021-05-26,5089326.778
2021-05-27,5089326.778
2021-05-28,5094685.023
2021-05-31,5102185.023
2021-06-01,5108035.023
2021-06-02,5106435.023
2021-06-03,5113035.023
2021-06-04,5106542.922
2021-06-07,5094258.706
2021-06-08,5094258.706
2021-06-09,5094258.706
