entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations
2021-01-04T09:45:00.000000000,14747.0,1,6,5000000.0,1.0,2021-01-16T01:00:00.000000000,15679.0,signal_exit,279117.44399999996,482.556,1800.0,49
2021-01-19T11:45:00.000000000,15867.0,1,6,5279117.444,1.0,2021-01-19T13:35:00.000000000,15890.0,roll_blackout,6409.458,490.542,1800.0,0
2021-01-21T10:45:00.000000000,16081.0,1,6,5285526.902000001,1.0,2021-01-22T19:00:00.000000000,15824.0,signal_exit,-77591.43000000001,491.43,1800.0,11
2021-01-28T17:00:00.000000000,15259.0,-1,6,5207935.472000001,1.0,2021-02-01T18:00:00.000000000,15405.0,signal_exit,-44283.984,483.984,1800.0,0
2021-02-20T00:00:00.000000000,16460.0,1,6,5163651.488000002,1.0,2021-02-23T09:45:00.000000000,16321.0,signal_exit,-42196.686,496.686,1800.0,6
2021-03-09T09:45:00.000000000,15635.0,-1,6,5121454.802000002,1.0,2021-03-09T19:00:00.000000000,15868.0,signal_exit,-70389.018,489.018,1800.0,0
2021-03-18T09:45:00.000000000,16381.0,1,6,5051065.784000003,1.0,2021-03-18T21:00:00.000000000,16195.0,signal_exit,-56295.456,495.456,1800.0,0
2021-03-22T23:00:00.000000000,16198.0,1,6,4994770.328000003,1.0,2021-03-23T16:00:00.000000000,16127.0,signal_exit,-21793.949999999997,493.95,1800.0,3
2021-03-26T16:00:00.000000000,16306.0,1,6,4972976.378000002,1.0,2021-04-13T16:00:00.000000000,16819.0,signal_exit,153401.25,498.75,1800.0,150
2021-04-15T11:45:00.000000000,16962.0,1,6,5126377.628000002,1.0,2021-04-20T13:35:00.000000000,17318.0,roll_blackout,106294.32,505.68,1800.0,48
2021-04-22T08:45:00.000000000,17261.0,1,6,5232671.948000003,1.0,2021-04-22T15:00:00.000000000,17093.0,signal_exit,-50906.124,506.124,1800.0,0
2021-04-23T23:00:00.000000000,17316.0,1,5,5181765.824000003,1.0,2021-05-03T10:45:00.000000000,17319.0,signal_exit,326.82499999999993,423.17500000000007,1500.0,69
2021-05-11T04:00:00.000000000,17036.0,-1,6,5182092.649000003,1.0,2021-05-14T21:00:00.000000000,15855.0,signal_exit,353802.654,497.346,1800.0,2
2021-05-28T09:45:00.000000000,16755.0,1,6,5535895.303000003,1.0,2021-06-04T10:45:00.000000000,17101.0,signal_exit,103296.864,503.136,1800.0,50
