,equity
2021-01-04,5037861.518
2021-01-05,5068761.518
2021-01-06,5048961.518
2021-01-07,5144661.518
2021-01-08,5211861.518
2021-01-11,5235861.518
2021-01-12,5223561.518
2021-01-13,5304861.518
2021-01-14,5294361.518
2021-01-15,5265861.518
2021-01-18,5279117.444
2021-01-19,5285526.902
2021-01-20,5285526.902
2021-01-21,5299680.416
2021-01-22,5256180.416
2021-01-25,5207935.472
2021-01-26,5207935.472
2021-01-27,5207935.472
2021-01-28,5207935.472
2021-01-29,5207935.472
2021-02-01,5207935.472
2021-02-02,5207935.472
2021-02-03,5207935.472
2021-02-04,5207935.472
2021-02-05,5207935.472
2021-02-17,5207935.472
2021-02-18,5207935.472
2021-02-19,5207935.472
2021-02-22,5185186.712
2021-02-23,5165738.786
2021-02-24,5165738.786
2021-02-25,5165738.786
2021-02-26,5165738.786
2021-03-02,5165738.786
2021-03-03,5165738.786
2021-03-04,5165738.786
2021-03-05,5165738.786
2021-03-08,5165738.786
2021-03-09,5165738.786
2021-03-10,5165738.786
2021-03-11,5165738.786
2021-03-12,5165738.786
2021-03-15,5165738.786
2021-03-16,5165738.786
2021-03-17,5165738.786
2021-03-18,5122890.5
2021-03-19,5109443.33
2021-03-22,5109443.33
2021-03-23,5085796.142
2021-03-24,5087649.38
2021-03-25,5087649.38
2021-03-26,5087649.38
2021-03-29,5118901.544
2021-03-30,5151301.544
2021-03-31,5122201.544
2021-04-01,5160901.544
2021-04-06,5214901.544
2021-04-07,5226001.544
2021-04-08,5274601.544
2021-04-09,5247901.544
2021-04-12,5245801.544
2021-04-13,5234101.544
2021-04-14,5241050.63
2021-04-15,5273498.858
2021-04-16,5299598.858
2021-04-19,5333498.858
2021-04-20,5347344.95
2021-04-21,5347344.95
2021-04-22,5301491.384
2021-04-23,5296438.826
2021-04-26,5360384.93
2021-04-27,5372684.93
2021-04-28,5361284.93
2021-04-29,5372684.93
2021-05-03,5296831.016
2021-05-04,5296831.016
2021-05-05,5296831.016
2021-05-06,5296831.016
2021-05-07,5296831.016
2021-05-10,5296831.016
2021-05-11,5296831.016
2021-05-12,5296831.016
2021-05-13,5296831.016
2021-05-14,5296831.016
2021-05-17,5296831.016
2021-05-18,5296831.016
2021-05-19,5296831.016
2021-05-20,5296831.016
2021-05-21,5296831.016
2021-05-24,5296831.016
2021-05-25,5296831.016
2021-05-26,5296831.016
2021-05-27,5296831.016
2021-05-28,5328980.486
2021-05-31,5373980.486
2021-06-01,5409080.486
2021-06-02,5399480.486
2021-06-03,5439080.486
2021-06-04,5400127.88
2021-06-07,5326422.584
2021-06-08,5326422.584
2021-06-09,5326422.584
2021-06-10,5326422.584
2021-06-11,5307568.898
2021-06-15,5358014.57
2021-06-16,5358014.57
2021-06-17,5358014.57
2021-06-18,5340960.722
2021-06-21,5325407.516
2021-06-22,5325407.516
2021-06-23,5332054.022
2021-06-24,5351254.022
2021-06-25,5376154.022
2021-06-28,5410954.022
2021-06-29,5409154.022
2021-06-30,5464954.022
2021-07-01,5444254.022
2021-07-02,5446354.022
2021-07-05,5519854.022
2021-07-06,5513854.022
2021-07-07,5499454.022
2021-07-08,5489597.234
2021-07-09,5489597.234
2021-07-12,5481240.128
2021-07-13,5494740.128
2021-07-14,5496240.128
2021-07-15,5540640.128
2021-07-16,5492382.956
2021-07-19,5492382.956
2021-07-20,5492382.956
2021-07-21,5492382.956
2021-07-22,5492382.956
2021-07-23,5492382.956
2021-07-26,5492382.956
2021-07-27,5492382.956
2021-07-28,5492382.956
2021-07-29,5492382.956
2021-07-30,5492382.956
2021-08-02,5492382.956
2021-08-03,5492382.956
2021-08-04,5492382.956
2021-08-05,5492382.956
2021-08-06,5492382.956
2021-08-09,5492382.956
2021-08-10,5492382.956
2021-08-11,5492382.956
2021-08-12,5492382.956
2021-08-13,5492382.956
2021-08-16,5492382.956
2021-08-17,5492382.956
2021-08-18,5492382.956
2021-08-19,5492382.956
2021-08-20,5492382.956
2021-08-23,5492382.956
2021-08-24,5492382.956
2021-08-25,5492382.956
2021-08-26,5492382.956
2021-08-27,5492382.956
2021-08-30,5492382.956
2021-08-31,5527828.928
2021-09-01,5533528.928
2021-09-02,5486728.928
2021-09-03,5543428.928
2021-09-06,5539528.928
2021-09-07,5506274.612
2021-09-08,5506274.612
2021-09-09,5506274.612
2021-09-10,5506274.612
2021-09-13,5500319.846
2021-09-14,5501265.17
2021-09-15,5501265.17
2021-09-16,5501265.17
2021-09-17,5501265.17
2021-09-22,5501265.17
2021-09-23,5501265.17
2021-09-24,5501265.17
2021-09-27,5501265.17
2021-09-28,5501265.17
2021-09-29,5501265.17
2021-09-30,5501265.17
2021-10-01,5501265.17
2021-10-04,5501265.17
2021-10-05,5501265.17
2021-10-06,5501265.17
2021-10-07,5501265.17
2021-10-08,5501265.17
2021-10-12,5501265.17
2021-10-13,5501265.17
2021-10-14,5501265.17
2021-10-15,5501265.17
2021-10-18,5501265.17
2021-10-19,5495062.208
2021-10-20,5495062.208
2021-10-21,5442910.291999999
2021-10-22,5448359.3
2021-10-25,5448359.3
2021-10-26,5479607.642
2021-10-27,5486507.642
2021-10-28,5476607.642
2021-10-29,5446056.02
2021-11-01,5446056.02
2021-11-02,5403502.892
2021-11-03,5417002.892
2021-11-04,5411902.892
2021-11-05,5469502.892
2021-11-08,5516602.892
2021-11-09,5555902.892
2021-11-10,5555902.892
2021-11-11,5517248.33
2021-11-12,5495392.616
2021-11-15,5530492.616
2021-11-16,5535936.518
2021-11-17,5535936.518
2021-11-18,5541679.478
2021-11-19,5538979.478
2021-11-22,5505723.032
2021-11-23,5505723.032
2021-11-24,5505723.032
2021-11-25,5505723.032
2021-11-26,5505723.032
2021-11-29,5505723.032
2021-11-30,5505723.032
2021-12-01,5505723.032
2021-12-02,5505723.032
2021-12-03,5505723.032
2021-12-06,5505723.032
2021-12-07,5505723.032
2021-12-08,5517166.16
2021-12-09,5535166.16
2021-12-10,5507266.16
2021-12-13,5505209.288
2021-12-14,5505209.288
2021-12-15,5505209.288
2021-12-16,5505209.288
2021-12-17,5495952.392
2021-12-20,5434796.894
2021-12-21,5434796.894
2021-12-22,5434796.894
2021-12-23,5450739.494
2021-12-24,5451939.494
2021-12-27,5484939.494
2021-12-28,5526639.494
2021-12-29,5547339.494
2021-12-30,5528139.494
2022-01-03,5546439.494
2022-01-04,5619339.494
2022-01-05,5608539.494
2022-01-06,5553979.7
2022-01-07,5553979.7
2022-01-10,5553979.7
2022-01-11,5553979.7
2022-01-12,5553119.438
2022-01-13,5568119.438
2022-01-14,5535459.536
2022-01-17,5535459.536
2022-01-18,5490275.021
2022-01-19,5490275.021
2022-01-20,5490275.021
2022-01-21,5490275.021
2022-01-24,5490275.021
2022-01-25,5490275.021
2022-01-26,5490275.021
2022-02-07,5490275.021
2022-02-08,5490275.021
2022-02-09,5490275.021
2022-02-10,5490275.021
2022-02-11,5490275.021
2022-02-14,5490275.021
2022-02-15,5490275.021
2022-02-16,5490275.021
2022-02-17,5490275.021
2022-02-18,5490275.021
2022-02-21,5490275.021
2022-02-22,5490275.021
2022-02-23,5490275.021
2022-02-24,5490275.021
2022-02-25,5490275.021
2022-03-01,5490275.021
2022-03-02,5490275.021
2022-03-03,5490275.021
2022-03-04,5490275.021
2022-03-07,5490275.021
2022-03-08,5490275.021
2022-03-09,5490275.021
2022-03-10,5490275.021
2022-03-11,5490275.021
2022-03-14,5490275.021
2022-03-15,5490275.021
2022-03-16,5490275.021
2022-03-17,5490275.021
2022-03-18,5490275.021
2022-03-21,5490275.021
2022-03-22,5490275.021
2022-03-23,5518219.373
2022-03-24,5508919.373
2022-03-25,5491263.695
2022-03-28,5491263.695
2022-03-29,5491263.695
2022-03-30,5526407.957
2022-03-31,5495807.957
2022-04-01,5486252.309
2022-04-06,5486252.309
2022-04-07,5486252.309
2022-04-08,5486252.309
2022-04-11,5486252.309
2022-04-12,5486252.309
2022-04-13,5486252.309
2022-04-14,5486252.309
2022-04-15,5486252.309
2022-04-18,5486252.309
2022-04-19,5486252.309
2022-04-20,5486252.309
2022-04-21,5486252.309
2022-04-22,5486252.309
