entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations
2021-01-28T17:00:00.000000000,15261.0,-1,6,5000000.0,1.0,2021-02-01T18:00:00.000000000,15403.0,signal_exit,-43083.984,483.98400000000004,600.0,0
2021-03-09T09:45:00.000000000,15637.0,-1,6,4956916.016000001,1.0,2021-03-09T19:00:00.000000000,15866.0,signal_exit,-69189.018,489.01800000000003,600.0,0
2021-05-11T04:00:00.000000000,17038.0,-1,5,4887726.998000002,1.0,2021-05-14T21:00:00.000000000,15853.0,signal_exit,295835.545,414.45500000000004,500.0,2
2021-06-21T08:45:00.000000000,17047.0,-1,6,5183562.543000001,1.0,2021-06-23T10:45:00.000000000,17247.0,signal_exit,-60505.764,505.764,600.0,7
2021-07-19T22:00:00.000000000,17617.0,-1,5,5123056.779000002,1.0,2021-07-20T13:35:00.000000000,17542.0,roll_blackout,18324.205,425.7950000000001,500.0,0
2021-07-26T11:45:00.000000000,17279.0,-1,5,5141380.984000002,1.0,2021-07-29T12:45:00.000000000,17240.0,signal_exit,9327.404999999999,422.595,500.0,9
2021-08-11T12:45:00.000000000,17103.0,-1,6,5150708.389000002,1.0,2021-08-17T13:35:00.000000000,16619.0,roll_blackout,144697.668,502.332,600.0,51
2021-08-19T16:00:00.000000000,16154.0,-1,6,5295406.057000003,1.0,2021-08-23T10:45:00.000000000,16668.0,signal_exit,-154696.932,496.932,600.0,4
2021-09-22T10:45:00.000000000,16766.0,-1,6,5140709.125000003,1.0,2021-09-24T00:00:00.000000000,17159.0,signal_exit,-118403.55,503.55000000000007,600.0,14
2021-09-28T23:00:00.000000000,16973.0,-1,5,5022305.575000003,1.0,2021-10-07T09:45:00.000000000,16691.0,signal_exit,70081.68,418.32000000000005,500.0,14
2021-11-27T01:00:00.000000000,17161.0,-1,5,5092387.255000003,1.0,2021-11-30T10:45:00.000000000,17475.0,signal_exit,-78923.18,423.18,500.0,12
2022-01-21T09:45:00.000000000,17932.0,-1,5,5013464.075000003,1.0,2022-02-07T10:45:00.000000000,17722.0,signal_exit,52071.729999999996,428.27000000000004,500.0,1
2022-02-24T09:45:00.000000000,17737.0,-1,5,5065535.8050000025,1.0,2022-02-26T02:00:00.000000000,17717.0,signal_exit,4572.73,427.27,500.0,0
2022-03-05T04:00:00.000000000,17512.0,-1,5,5070108.535000003,1.0,2022-03-09T19:00:00.000000000,17111.0,signal_exit,99826.88500000001,423.115,500.0,0
2022-03-12T04:00:00.000000000,17156.0,-1,6,5169935.420000004,1.0,2022-03-14T10:45:00.000000000,17230.0,signal_exit,-22706.316000000003,506.31600000000003,600.0,0
2022-03-15T02:00:00.000000000,17088.0,-1,6,5147229.104000004,1.0,2022-03-15T13:35:00.000000000,16900.0,roll_blackout,55896.072,503.92800000000005,600.0,1
2022-04-07T11:45:00.000000000,17248.0,-1,6,5203125.176000004,1.0,2022-04-13T10:45:00.000000000,17236.0,signal_exit,3093.096,506.90400000000005,600.0,4
2022-04-15T08:45:00.000000000,17101.0,-1,6,5206218.272000004,1.0,2022-04-19T13:35:00.000000000,16998.0,roll_blackout,30395.406,504.59400000000005,600.0,47
