entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations
2024-01-05T19:00:00.000000000,17476.0,-1,1,5000000.0,1.0,2024-01-06T01:00:00.000000000,17571.0,signal_exit,-4835.0470000000005,85.047,100.0,0
2024-01-09T16:00:00.000000000,17517.0,-1,1,4995164.953,1.0,2024-01-11T12:45:00.000000000,17588.0,signal_exit,-3635.105,85.10499999999999,100.0,0
2024-01-12T00:00:00.000000000,17439.0,-1,1,4991529.847999999,1.0,2024-01-12T11:45:00.000000000,17545.0,signal_exit,-5384.9839999999995,84.98400000000001,100.0,0
2024-01-19T12:45:00.000000000,17672.0,1,1,4986144.863999999,1.0,2024-01-30T17:00:00.000000000,18046.0,signal_exit,18614.282,85.718,100.0,0
2024-02-02T08:45:00.000000000,18101.0,1,1,5004759.145999999,1.0,2024-02-20T13:35:00.000000000,18746.0,roll_blackout,32163.153,86.84700000000001,100.0,0
2024-02-22T16:00:00.000000000,18922.0,1,1,5036922.298999999,1.0,2024-02-27T11:45:00.000000000,18832.0,signal_exit,-4587.754,87.75399999999999,100.0,0
2024-02-29T15:00:00.000000000,18962.0,1,1,5032334.544999999,1.0,2024-03-11T11:45:00.000000000,19739.0,signal_exit,38761.299,88.701,100.0,0
2024-03-12T10:45:00.000000000,19848.0,1,1,5071095.843999999,1.0,2024-03-14T23:00:00.000000000,19877.0,signal_exit,1360.275,89.725,100.0,0
2024-03-18T20:00:00.000000000,19952.0,1,1,5072456.118999999,1.0,2024-03-19T13:35:00.000000000,19864.0,roll_blackout,-4489.816,89.816,100.0,0
2024-03-21T10:45:00.000000000,20180.0,1,1,5067966.302999999,1.0,2024-03-26T12:45:00.000000000,20187.0,signal_exit,259.633,90.367,100.0,0
2024-03-29T09:45:00.000000000,20275.0,1,1,5068225.936,1.0,2024-04-03T10:45:00.000000000,20358.0,signal_exit,4059.367,90.633,100.0,0
2024-04-08T10:45:00.000000000,20515.0,1,1,5072285.302999999,1.0,2024-04-11T18:00:00.000000000,20699.0,signal_exit,9108.786,91.214,100.0,0
2024-04-16T10:45:00.000000000,19952.0,-1,1,5081394.089,1.0,2024-04-16T13:35:00.000000000,19929.0,roll_blackout,1060.119,89.881,100.0,0
2024-04-19T09:45:00.000000000,19537.0,-1,1,5082454.208,1.0,2024-04-23T19:00:00.000000000,19757.0,signal_exit,-11089.294,89.29400000000001,100.0,0
2024-05-03T03:00:00.000000000,20488.0,1,1,5071364.914,1.0,2024-05-03T11:45:00.000000000,20426.0,signal_exit,-3190.914,90.914,100.0,0
2024-05-04T02:00:00.000000000,20644.0,1,1,5068174.0,1.0,2024-05-09T16:00:00.000000000,20600.0,signal_exit,-2291.2439999999997,91.244,100.0,0
2024-05-10T12:45:00.000000000,20753.0,1,1,5065882.756,1.0,2024-05-14T13:35:00.000000000,20998.0,roll_blackout,12158.249,91.751,100.0,0
2024-05-16T09:45:00.000000000,21554.0,1,1,5078041.005,1.0,2024-05-20T12:45:00.000000000,21249.0,signal_exit,-15342.803,92.803,100.0,0
2024-05-22T10:45:00.000000000,21522.0,1,1,5062698.202,1.0,2024-05-24T03:00:00.000000000,21403.0,signal_exit,-6042.925,92.925,100.0,0
2024-05-27T09:45:00.000000000,21872.0,1,1,5056655.277,1.0,2024-05-29T12:45:00.000000000,21752.0,signal_exit,-6093.624000000001,93.624,100.0,0
2024-05-31T15:00:00.000000000,21286.0,-1,1,5050561.653,1.0,2024-06-03T10:45:00.000000000,21671.0,signal_exit,-19342.957,92.957,100.0,0
2024-06-04T16:00:00.000000000,21240.0,-1,1,5031218.6959999995,1.0,2024-06-05T11:45:00.000000000,21416.0,signal_exit,-8892.655999999999,92.656,100.0,0
2024-06-12T12:45:00.000000000,22001.0,1,1,5022326.039999999,1.0,2024-06-18T13:35:00.000000000,22787.0,roll_blackout,39205.21200000001,94.788,100.0,0
2024-06-20T12:45:00.000000000,23311.0,1,1,5061531.251999999,1.0,2024-06-21T17:00:00.000000000,22936.0,signal_exit,-18846.247000000003,96.247,100.0,0
2024-06-26T10:45:00.000000000,22974.0,1,1,5042685.004999999,1.0,2024-06-26T20:00:00.000000000,22762.0,signal_exit,-10695.736,95.736,100.0,0
2024-07-03T02:00:00.000000000,23038.0,1,1,5031989.268999999,1.0,2024-07-12T10:45:00.000000000,23942.0,signal_exit,45103.02,96.98,100.0,0
2024-07-19T00:00:00.000000000,22906.0,-1,1,5077092.288999999,1.0,2024-07-23T20:00:00.000000000,22847.0,signal_exit,2854.247,95.753,100.0,0
2024-07-26T09:45:00.000000000,22032.0,-1,1,5079946.535999999,1.0,2024-07-30T21:00:00.000000000,22288.0,signal_exit,-12894.32,94.32,100.0,0
2024-08-02T01:00:00.000000000,22184.0,-1,1,5067052.215999999,1.0,2024-08-07T10:45:00.000000000,21202.0,signal_exit,49006.614,93.386,100.0,0
2024-08-20T02:00:00.000000000,22543.0,1,1,5116058.829999999,1.0,2024-08-20T13:35:00.000000000,22428.0,roll_blackout,-5844.971,94.971,100.0,0
2024-09-03T22:00:00.000000000,21812.0,-1,1,5110213.858999999,1.0,2024-09-10T01:00:00.000000000,21299.0,signal_exit,25556.889000000003,93.11100000000002,100.0,0
2024-09-11T00:00:00.000000000,20853.0,-1,1,5135770.748,1.0,2024-09-11T04:00:00.000000000,21154.0,signal_exit,-15142.007,92.007,100.0,0
2024-09-19T15:00:00.000000000,22100.0,1,1,5120628.740999999,1.0,2024-09-27T16:00:00.000000000,22761.0,signal_exit,32955.139,94.861,100.0,0
2024-10-12T03:00:00.000000000,23073.0,1,1,5153583.88,1.0,2024-10-15T13:35:00.000000000,23248.0,roll_blackout,8653.679,96.321,100.0,0
