,equity
2024-01-02,5000000.0
2024-01-03,5000000.0
2024-01-04,5000000.0
2024-01-05,5000000.0
2024-01-08,4994964.953
2024-01-09,4994964.953
2024-01-10,4997772.438
2024-01-11,4991129.848
2024-01-12,4985544.864
2024-01-15,4985544.864
2024-01-16,4985544.864
2024-01-17,4985544.864
2024-01-18,4985544.864
2024-01-19,4985702.19
2024-01-22,4992652.19
2024-01-23,4995302.19
2024-01-24,4996952.19
2024-01-25,5001552.19
2024-01-26,5001752.19
2024-01-29,5008052.19
2024-01-30,5005852.19
2024-01-31,5003959.146
2024-02-01,5003959.146
2024-02-02,5002966.043
2024-02-05,5003066.043
2024-02-15,5032116.043
2024-02-16,5030466.043
2024-02-19,5032316.043
2024-02-20,5035922.299
2024-02-21,5035922.299
2024-02-22,5035922.299
2024-02-23,5035328.375
2024-02-26,5037828.375
2024-02-27,5031134.545
2024-02-29,5031134.545
2024-03-01,5030940.581
2024-03-04,5048590.581
2024-03-05,5052340.581
2024-03-06,5058340.581
2024-03-07,5068340.581
2024-03-08,5072440.581
2024-03-11,5069695.844
2024-03-12,5074900.994
2024-03-13,5073500.994
2024-03-14,5074100.994
2024-03-15,5070856.119
2024-03-18,5070856.119
2024-03-19,5066166.303
2024-03-20,5066166.303
2024-03-21,5070221.121
2024-03-22,5069121.121
2024-03-25,5068571.121
2024-03-26,5066225.936
2024-03-27,5066225.936
2024-03-28,5066225.936
2024-03-29,5066330.659
2024-04-01,5066730.659
2024-04-02,5078480.659
2024-04-03,5070085.303
2024-04-08,5066689.786
2024-04-09,5087889.786
2024-04-10,5086739.786
2024-04-11,5081839.786
2024-04-12,5078994.089
2024-04-15,5078994.089
2024-04-16,5079854.208
2024-04-17,5079854.208
2024-04-18,5079854.208
2024-04-19,5079259.673
2024-04-22,5080359.673
2024-04-23,5072709.673
2024-04-24,5068564.914
2024-04-25,5068564.914
2024-04-26,5068564.914
2024-04-29,5068564.914
2024-04-30,5068564.914
2024-05-02,5068564.914
2024-05-03,5065174.0
2024-05-06,5062928.354
2024-05-07,5065328.354
2024-05-08,5069078.354
2024-05-09,5063428.354
2024-05-10,5065337.001
2024-05-13,5069037.001
2024-05-14,5074641.005
2024-05-15,5074641.005
2024-05-16,5065294.449
2024-05-17,5063594.449
2024-05-20,5059098.202
2024-05-21,5059098.202
2024-05-22,5062001.678
2024-05-23,5063051.678
2024-05-24,5052855.277
2024-05-27,5052858.403
2024-05-28,5056808.403
2024-05-29,5046561.653
2024-05-30,5046561.653
2024-05-31,5046561.653
2024-06-03,5027018.6959999995
2024-06-04,5027018.6959999995
2024-06-05,5017926.04
2024-06-06,5017926.04
2024-06-07,5017926.04
2024-06-11,5017926.04
2024-06-12,5020029.037
2024-06-13,5033879.037
2024-06-14,5043279.037
2024-06-17,5041579.037
2024-06-18,5056931.252
2024-06-19,5056931.252
2024-06-20,5060132.939
2024-06-21,5051732.939
2024-06-24,5037885.005
2024-06-25,5037885.005
2024-06-26,5032637.029
2024-06-27,5026989.269
2024-06-28,5026989.269
2024-07-01,5026989.269
2024-07-02,5026989.269
2024-07-03,5034191.229
2024-07-04,5056141.229
