,equity
2024-01-02,5000000.0
2024-01-03,5000000.0
2024-01-04,5000000.0
2024-01-05,5000000.0
2024-01-08,4974824.765
2024-01-09,4974824.765
2024-01-10,4988862.19
2024-01-11,4955649.24
2024-01-12,4927724.32
2024-01-15,4927724.32
2024-01-16,4927724.32
2024-01-17,4927724.32
2024-01-18,4927724.32
2024-01-19,4928510.95
2024-01-22,4963260.95
2024-01-23,4976510.95
2024-01-24,4984760.95
2024-01-25,5007760.95
2024-01-26,5008760.95
2024-01-29,5040260.95
2024-01-30,5029260.95
2024-01-31,5019795.73
2024-02-01,5019795.73
2024-02-02,5014830.215
2024-02-05,5015330.215
2024-02-15,5160580.215
2024-02-16,5152330.215
2024-02-19,5161580.215
2024-02-20,5179611.495
2024-02-21,5179611.495
2024-02-22,5179611.495
2024-02-23,5176641.875
2024-02-26,5189141.875
2024-02-27,5155672.725
2024-02-29,5155672.725
2024-03-01,5154702.905
2024-03-04,5242952.905
2024-03-05,5261702.905
2024-03-06,5291702.905
2024-03-07,5341702.905
2024-03-08,5362202.905
2024-03-11,5348479.22
2024-03-12,5374504.97
2024-03-13,5367504.97
2024-03-14,5370504.97
2024-03-15,5354280.595
2024-03-18,5354280.595
2024-03-19,5330831.515
2024-03-20,5330831.515
2024-03-21,5351105.605
2024-03-22,5345605.605
2024-03-25,5342855.605
2024-03-26,5331129.68
2024-03-27,5331129.68
2024-03-28,5331129.68
2024-03-29,5331653.295
2024-04-01,5333653.295
2024-04-02,5392403.295
2024-04-03,5350426.515
2024-04-08,5333448.93
2024-04-09,5439448.93
2024-04-10,5433698.93
2024-04-11,5409198.93
2024-04-12,5394970.445
2024-04-15,5394970.445
2024-04-16,5399271.04
2024-04-17,5399271.04
2024-04-18,5399271.04
2024-04-19,5396298.365
2024-04-22,5401798.365
2024-04-23,5363548.365
2024-04-24,5342824.57
2024-04-25,5342824.57
2024-04-26,5342824.57
2024-04-29,5342824.57
2024-04-30,5342824.57
2024-05-02,5342824.57
2024-05-03,5325870.0
2024-05-06,5314641.77
2024-05-07,5326641.77
2024-05-08,5345391.77
2024-05-09,5317141.77
2024-05-10,5326685.005
2024-05-13,5345185.005
2024-05-14,5373205.025
2024-05-15,5373205.025
2024-05-16,5335818.801
2024-05-17,5329018.801
2024-05-20,5311033.813
2024-05-21,5311033.813
2024-05-22,5322647.717
2024-05-23,5326847.717
2024-05-24,5286062.113
2024-05-27,5286074.617
2024-05-28,5301874.617
2024-05-29,5260887.617
2024-05-30,5260887.617
2024-05-31,5260887.617
2024-06-03,5182715.789
2024-06-04,5182715.789
2024-06-05,5146345.165
2024-06-06,5146345.165
2024-06-07,5146345.165
2024-06-11,5146345.165
2024-06-12,5154757.153
2024-06-13,5210157.153
2024-06-14,5247757.153
2024-06-17,5240957.153
2024-06-18,5302366.013
2024-06-19,5302366.013
2024-06-20,5315172.761
2024-06-21,5281572.761
2024-06-24,5226181.025
2024-06-25,5226181.025
2024-06-26,5205189.121
2024-06-27,5182598.081
2024-06-28,5182598.081
2024-07-01,5182598.081
2024-07-02,5182598.081
2024-07-03,5211405.921
2024-07-04,5299205.921
