entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations
2024-01-19T12:45:00.000000000,17674.0,1,5,5000000.0,1.0,2024-01-30T17:00:00.000000000,18044.0,signal_exit,92071.41,428.59000000000003,1500.0,0
2024-02-02T08:45:00.000000000,18103.0,1,5,5092071.41,1.0,2024-02-20T13:35:00.000000000,18744.0,roll_blackout,159815.76499999998,434.235,1500.0,0
2024-02-22T16:00:00.000000000,18924.0,1,5,5251887.175000001,1.0,2024-02-27T11:45:00.000000000,18830.0,signal_exit,-23938.77,438.77,1500.0,0
2024-02-29T15:00:00.000000000,18964.0,1,5,5227948.405,1.0,2024-03-11T11:45:00.000000000,19737.0,signal_exit,192806.495,443.505,1500.0,0
2024-03-12T10:45:00.000000000,19850.0,1,5,5420754.9,1.0,2024-03-14T23:00:00.000000000,19875.0,signal_exit,5801.375,448.625,1500.0,0
2024-03-18T20:00:00.000000000,19954.0,1,5,5426556.275,1.0,2024-03-19T13:35:00.000000000,19862.0,roll_blackout,-23449.08,449.08000000000004,1500.0,0
2024-03-21T10:45:00.000000000,20182.0,1,5,5403107.195000001,1.0,2024-03-26T12:45:00.000000000,20185.0,signal_exit,298.1649999999999,451.83500000000004,1500.0,0
2024-03-29T09:45:00.000000000,20277.0,1,5,5403405.360000001,1.0,2024-04-03T10:45:00.000000000,20356.0,signal_exit,19296.835000000003,453.16499999999996,1500.0,0
2024-04-08T10:45:00.000000000,20517.0,1,5,5422702.195000001,1.0,2024-04-11T18:00:00.000000000,20697.0,signal_exit,44543.93,456.07000000000005,1500.0,0
2024-05-03T03:00:00.000000000,20490.0,1,5,5467246.125000001,1.0,2024-05-03T11:45:00.000000000,20424.0,signal_exit,-16954.57,454.57000000000005,1500.0,0
2024-05-04T02:00:00.000000000,20646.0,1,5,5450291.555000001,1.0,2024-05-09T16:00:00.000000000,20598.0,signal_exit,-12456.22,456.22,1500.0,0
2024-05-10T12:45:00.000000000,20755.0,1,5,5437835.335,1.0,2024-05-14T13:35:00.000000000,20996.0,roll_blackout,59791.244999999995,458.755,1500.0,0
2024-05-16T09:45:00.000000000,21556.0,1,5,5497626.579999999,1.0,2024-05-20T12:45:00.000000000,21247.0,signal_exit,-77714.015,464.015,1500.0,0
2024-05-22T10:45:00.000000000,21524.0,1,5,5419912.564999999,1.0,2024-05-24T03:00:00.000000000,21401.0,signal_exit,-31214.625,464.625,1500.0,0
2024-05-27T09:45:00.000000000,21874.0,1,4,5388697.939999999,1.0,2024-05-29T12:45:00.000000000,21750.0,signal_exit,-25174.496,374.496,1200.0,0
2024-06-12T12:45:00.000000000,22003.0,1,4,5363523.443999998,1.0,2024-06-18T13:35:00.000000000,22785.0,roll_blackout,156020.848,379.152,1200.0,0
2024-06-20T12:45:00.000000000,23313.0,1,4,5519544.2919999985,1.0,2024-06-21T17:00:00.000000000,22934.0,signal_exit,-76184.988,384.988,1200.0,0
2024-06-26T10:45:00.000000000,22976.0,1,4,5443359.303999999,1.0,2024-06-26T20:00:00.000000000,22760.0,signal_exit,-43582.944,382.944,1200.0,0
2024-07-03T02:00:00.000000000,23040.0,1,4,5399776.3599999985,1.0,2024-07-12T10:45:00.000000000,23940.0,signal_exit,179612.08,387.92,1200.0,0
2024-08-20T02:00:00.000000000,22545.0,1,4,5579388.439999999,1.0,2024-08-20T13:35:00.000000000,22426.0,roll_blackout,-24179.884000000002,379.884,1200.0,0
2024-09-19T15:00:00.000000000,22102.0,1,5,5555208.555999999,1.0,2024-09-27T16:00:00.000000000,22759.0,signal_exit,163775.69499999998,474.30500000000006,1500.0,0
2024-10-12T03:00:00.000000000,23075.0,1,4,5718984.250999999,1.0,2024-10-15T13:35:00.000000000,23246.0,roll_blackout,33814.716,385.284,1200.0,0
2024-10-17T16:00:00.000000000,23564.0,1,4,5752798.966999999,1.0,2024-10-21T19:00:00.000000000,23492.0,signal_exit,-14788.224,388.22400000000005,1200.0,0
2024-10-25T18:00:00.000000000,23571.0,1,4,5738010.742999999,1.0,2024-10-28T11:45:00.000000000,23307.0,signal_exit,-53187.512,387.512,1200.0,0
2024-11-07T22:00:00.000000000,23616.0,1,4,5684823.230999999,1.0,2024-11-11T10:45:00.000000000,23421.0,signal_exit,-39388.148,388.148,1200.0,0
2024-12-04T15:00:00.000000000,23278.0,1,4,5645435.082999999,1.0,2024-12-06T15:00:00.000000000,23207.0,signal_exit,-14585.939999999999,385.94000000000005,1200.0,0
2024-12-09T17:00:00.000000000,23420.0,1,4,5630849.142999999,1.0,2024-12-10T08:45:00.000000000,23225.0,signal_exit,-39386.58,386.58000000000004,1200.0,0
2024-12-24T02:00:00.000000000,23393.0,1,4,5591462.562999999,1.0,2024-12-26T18:00:00.000000000,23235.0,signal_exit,-31986.512,386.512,1200.0,0
2024-12-27T15:00:00.000000000,23385.0,1,4,5559476.050999999,1.0,2024-12-27T23:00:00.000000000,23200.0,signal_exit,-37386.340000000004,386.34000000000003,1200.0,0
2025-01-06T10:45:00.000000000,23489.0,1,4,5522089.710999999,1.0,2025-01-08T12:45:00.000000000,23452.0,signal_exit,-7787.764,387.764,1200.0,0
2025-01-22T17:00:00.000000000,23745.0,1,4,5514301.946999999,1.0,2025-02-03T10:45:00.000000000,22584.0,signal_exit,-232585.31600000002,385.31600000000003,1200.0,0
2025-02-07T15:00:00.000000000,23434.0,1,4,5281716.630999998,1.0,2025-02-08T02:00:00.000000000,23259.0,signal_exit,-35386.772,386.772,1200.0,0
2025-02-18T12:45:00.000000000,23598.0,1,4,5246329.858999998,1.0,2025-02-18T13:35:00.000000000,23651.0,roll_blackout,10211.004,388.996,1200.0,0
2025-02-21T10:45:00.000000000,23704.0,1,4,5256540.862999998,1.0,2025-02-22T03:00:00.000000000,23511.0,signal_exit,-38988.86,388.86,1200.0,0
2025-04-23T12:45:00.000000000,19597.0,1,5,5217552.002999999,1.0,2025-04-30T22:00:00.000000000,19935.0,signal_exit,84052.34,447.66,1500.0,0
2025-05-02T08:45:00.000000000,20491.0,1,5,5301604.3429999985,1.0,2025-05-05T18:00:00.000000000,20276.0,signal_exit,-54203.835,453.83500000000004,1500.0,0
2025-05-09T00:00:00.000000000,20768.0,1,5,5247400.5079999985,1.0,2025-05-19T10:45:00.000000000,21694.0,signal_exit,231037.69,462.31000000000006,1500.0,0
2025-06-04T10:45:00.000000000,21511.0,1,5,5478438.197999999,1.0,2025-06-12T20:00:00.000000000,22135.0,signal_exit,155531.77000000002,468.23,1500.0,0
2025-06-16T23:00:00.000000000,22235.0,1,5,5633969.967999999,1.0,2025-06-17T13:35:00.000000000,22145.0,roll_blackout,-22971.899999999998,471.90000000000003,1500.0,0
2025-06-24T15:00:00.000000000,22013.0,1,5,5610998.068,1.0,2025-06-27T11:45:00.000000000,22022.0,signal_exit,1779.8249999999998,470.17500000000007,1500.0,0
2025-07-01T09:45:00.000000000,22581.0,1,4,5612777.892999999,1.0,2025-07-04T12:45:00.000000000,22466.0,signal_exit,-23380.188000000002,380.188,1200.0,0
2025-07-09T21:00:00.000000000,22486.0,1,4,5589397.704999999,1.0,2025-07-14T11:45:00.000000000,22571.0,signal_exit,16619.772,380.228,1200.0,0
2025-07-15T10:45:00.000000000,22756.0,1,4,5606017.476999999,1.0,2025-07-15T13:35:00.000000000,22829.0,roll_blackout,14217.66,382.34000000000003,1200.0,0
2025-07-17T15:00:00.000000000,23330.0,1,4,5620235.136999999,1.0,2025-07-22T11:45:00.000000000,23065.0,signal_exit,-53385.58,385.58,1200.0,0
2025-07-24T00:00:00.000000000,23289.0,1,4,5566849.556999999,1.0,2025-07-29T03:00:00.000000000,23280.0,signal_exit,-2186.276,386.276,1200.0,0
2025-07-30T12:45:00.000000000,23414.0,1,4,5564663.280999999,1.0,2025-07-31T04:00:00.000000000,23285.0,signal_exit,-26186.796,386.796,1200.0,0
2025-07-31T10:45:00.000000000,23529.0,1,4,5538476.4849999985,1.0,2025-08-01T12:45:00.000000000,23341.0,signal_exit,-37987.48,387.48,1200.0,0
2025-08-04T22:00:00.000000000,23368.0,1,4,5500489.004999998,1.0,2025-08-06T18:00:00.000000000,23330.0,signal_exit,-7986.7919999999995,386.79200000000003,1200.0,0
2025-08-07T03:00:00.000000000,23508.0,1,4,5492502.212999998,1.0,2025-08-14T22:00:00.000000000,24242.0,signal_exit,146409.0,391.0,1200.0,0
2025-08-15T12:45:00.000000000,24372.0,1,4,5638911.212999998,1.0,2025-08-15T19:00:00.000000000,24294.0,signal_exit,-15994.663999999999,394.664,1200.0,0
2025-08-18T12:45:00.000000000,24441.0,1,4,5622916.548999998,1.0,2025-08-19T13:35:00.000000000,24353.0,roll_blackout,-17995.176,395.17600000000004,1200.0,0
2025-08-27T10:45:00.000000000,24492.0,1,4,5604921.372999998,1.0,2025-08-28T15:00:00.000000000,24265.0,signal_exit,-45795.028,395.028,1200.0,0
2025-09-05T21:00:00.000000000,24505.0,1,4,5559126.344999998,1.0,2025-09-15T18:00:00.000000000,25308.0,signal_exit,160200.74800000002,399.25200000000007,1200.0,0
2025-09-16T09:45:00.000000000,25593.0,1,4,5719327.0929999985,1.0,2025-09-16T13:35:00.000000000,25616.0,roll_blackout,4195.164,404.836,1200.0,0
2025-09-18T11:45:00.000000000,25702.0,1,4,5723522.256999998,1.0,2025-09-25T15:00:00.000000000,26062.0,signal_exit,71592.94399999999,407.056,1200.0,0
2025-09-30T22:00:00.000000000,26076.0,1,4,5795115.2009999985,1.0,2025-10-10T02:00:00.000000000,27111.0,signal_exit,206587.252,412.74800000000005,1200.0,0
2025-10-14T01:00:00.000000000,27271.0,1,4,6001702.452999999,1.0,2025-10-14T12:45:00.000000000,26841.0,signal_exit,-86416.448,416.448,1200.0,0
2025-10-16T09:45:00.000000000,27652.0,1,4,5915286.004999999,1.0,2025-10-17T16:00:00.000000000,27103.0,signal_exit,-110219.01999999999,419.02,1200.0,0
2025-10-20T09:45:00.000000000,27782.0,1,4,5805066.984999999,1.0,2025-10-22T11:45:00.000000000,27568.0,signal_exit,-43221.399999999994,421.4,1200.0,0
2025-10-24T01:00:00.000000000,27755.0,1,4,5761845.585,1.0,2025-10-31T23:00:00.000000000,28322.0,signal_exit,112975.692,424.308,1200.0,0
2025-11-29T01:00:00.000000000,27859.0,1,4,5874821.277000001,1.0,2025-12-01T11:45:00.000000000,27505.0,signal_exit,-71221.456,421.456,1200.0,0
