entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations
2017-07-11T10:45:00.000000000,10335.0,1,9,5000000.0,1.0,2017-07-18T13:35:00.000000000,10460.0,roll_blackout,55612.845,637.155,2700.0,460
2017-07-26T09:45:00.000000000,10414.0,1,9,5055612.845000001,1.0,2017-07-28T11:45:00.000000000,10342.0,signal_exit,-33036.804,636.804,2700.0,172
2017-08-22T22:00:00.000000000,10388.0,1,9,5022576.041000001,1.0,2017-09-07T12:45:00.000000000,10498.0,signal_exit,48862.026,637.9740000000002,2700.0,844
2017-09-11T09:45:00.000000000,10585.0,1,9,5071438.067000002,1.0,2017-09-13T11:45:00.000000000,10536.0,signal_exit,-22690.089,640.0889999999999,2700.0,150
2017-12-26T10:45:00.000000000,10439.0,-1,9,5048747.978000002,1.0,2017-12-28T10:45:00.000000000,10562.0,signal_exit,-55989.009,639.009,2700.0,176
2018-01-15T09:45:00.000000000,10926.0,1,9,4992758.969000001,1.0,2018-01-16T13:35:00.000000000,10980.0,roll_blackout,23652.846,647.154,2700.0,133
2018-02-06T09:45:00.000000000,10565.0,-1,9,5016411.815000001,1.0,2018-02-12T13:35:00.000000000,10411.0,roll_blackout,68661.216,638.784,2700.0,2
2018-03-06T15:00:00.000000000,10796.0,1,9,5085073.031000001,1.0,2018-03-16T10:45:00.000000000,10939.0,signal_exit,63704.385,645.615,2700.0,90
2018-03-22T09:45:00.000000000,11118.0,1,9,5148777.416000001,1.0,2018-03-22T17:00:00.000000000,10954.0,signal_exit,-74448.648,648.648,2700.0,0
2018-04-26T12:45:00.000000000,10482.0,-1,9,5074328.768000001,1.0,2018-04-27T17:00:00.000000000,10577.0,signal_exit,-43389.531,639.531,2700.0,1
2018-05-03T09:45:00.000000000,10537.0,-1,9,5030939.237000001,1.0,2018-05-05T01:00:00.000000000,10573.0,signal_exit,-16839.989999999998,639.99,2700.0,9
2018-05-10T23:00:00.000000000,10800.0,1,9,5014099.247000001,1.0,2018-05-15T13:35:00.000000000,10862.0,roll_blackout,27255.042,644.9580000000001,2700.0,53
2018-05-24T16:00:00.000000000,10944.0,1,9,5041354.289000001,1.0,2018-05-29T17:00:00.000000000,10890.0,signal_exit,-24946.506,646.5060000000001,2700.0,143
2018-06-01T10:45:00.000000000,10922.0,1,9,5016407.783000001,1.0,2018-06-08T16:00:00.000000000,11088.0,signal_exit,74051.91,648.09,2700.0,110
2018-06-25T23:00:00.000000000,10550.0,-1,9,5090459.693,1.0,2018-06-29T10:45:00.000000000,10617.0,signal_exit,-30790.503,640.503,2700.0,25
2018-07-19T09:45:00.000000000,10784.0,1,9,5059669.1899999995,1.0,2018-08-02T11:45:00.000000000,10901.0,signal_exit,52004.83500000001,645.165,2700.0,289
2018-08-08T09:45:00.000000000,11054.0,1,9,5111674.024999999,1.0,2018-08-10T16:00:00.000000000,10961.0,signal_exit,-42498.134999999995,648.135,2700.0,131
2018-08-29T09:45:00.000000000,11009.0,1,9,5069175.89,1.0,2018-09-03T11:45:00.000000000,10932.0,signal_exit,-35297.469,647.469,2700.0,36
2018-10-11T09:45:00.000000000,9894.0,-1,10,5033878.420999999,1.0,2018-10-16T10:45:00.000000000,9967.0,signal_exit,-37198.61,698.6099999999999,3000.0,2
2018-10-19T00:00:00.000000000,9794.0,-1,10,4996679.810999999,1.0,2018-10-19T21:00:00.000000000,9939.0,signal_exit,-73197.33,697.3299999999999,3000.0,2
2018-11-08T00:00:00.000000000,9913.0,1,9,4923482.480999999,1.0,2018-11-09T10:45:00.000000000,9783.0,signal_exit,-59127.264,627.264,2700.0,2
2018-11-15T16:00:00.000000000,9871.0,1,9,4864355.216999998,1.0,2018-11-16T16:00:00.000000000,9777.0,signal_exit,-42926.832,626.832,2700.0,1
2018-11-23T09:45:00.000000000,9664.0,-1,9,4821428.384999999,1.0,2018-11-26T10:45:00.000000000,9784.0,signal_exit,-54625.032,625.0319999999999,2700.0,24
2018-12-03T09:45:00.000000000,10084.0,1,9,4766803.352999999,1.0,2018-12-05T03:00:00.000000000,9927.0,signal_exit,-71280.09899999999,630.099,2700.0,21
2018-12-06T10:45:00.000000000,9686.0,-1,9,4695523.253999999,1.0,2018-12-11T17:00:00.000000000,9689.0,signal_exit,-1974.375,624.375,2700.0,10
2018-12-25T02:00:00.000000000,9518.0,-1,9,4693548.878999999,1.0,2018-12-27T09:45:00.000000000,9578.0,signal_exit,-27621.864,621.864,2700.0,130
2019-01-09T10:45:00.000000000,9735.0,1,9,4665927.015,1.0,2019-01-14T11:45:00.000000000,9669.0,signal_exit,-30324.636,624.636,2700.0,18
2019-01-15T10:45:00.000000000,9792.0,1,9,4635602.379,1.0,2019-01-15T13:35:00.000000000,9796.0,roll_blackout,1173.708,626.292,2700.0,0
2019-01-19T00:00:00.000000000,9892.0,1,9,4636776.087,1.0,2019-01-23T03:00:00.000000000,9812.0,signal_exit,-36627.336,627.336,2700.0,74
2019-01-25T00:00:00.000000000,9899.0,1,9,4600148.751,1.0,2019-01-29T11:45:00.000000000,9897.0,signal_exit,-1528.1639999999998,628.164,2700.0,36
2019-01-31T04:00:00.000000000,10031.0,1,9,4598620.587,1.0,2019-02-19T13:35:00.000000000,10140.0,roll_blackout,48418.461,631.539,2700.0,227
2019-02-22T16:00:00.000000000,10343.0,1,8,4647039.048,1.0,2019-02-28T01:00:00.000000000,10305.0,signal_exit,-15765.184,565.184,2400.0,108
2019-03-12T10:45:00.000000000,10367.0,1,8,4631273.864,1.0,2019-03-19T13:35:00.000000000,10500.0,roll_blackout,52633.064,566.936,2400.0,196
2019-03-21T10:45:00.000000000,10579.0,1,8,4683906.928,1.0,2019-03-25T10:45:00.000000000,10457.0,signal_exit,-49368.288,568.288,2400.0,28
2019-03-29T15:00:00.000000000,10598.0,1,8,4634538.64,1.0,2019-04-16T13:35:00.000000000,10919.0,roll_blackout,127827.864,572.136,2400.0,287
2019-04-24T00:00:00.000000000,11052.0,1,8,4762366.504,1.0,2019-04-24T22:00:00.000000000,10973.0,signal_exit,-32176.2,576.2,2400.0,28
2019-05-03T11:45:00.000000000,11059.0,1,8,4730190.304,1.0,2019-05-06T10:45:00.000000000,10853.0,signal_exit,-82975.29599999999,575.296,2400.0,16
2019-05-17T11:45:00.000000000,10446.0,-1,8,4647215.007999999,1.0,2019-05-21T11:45:00.000000000,10493.0,signal_exit,-19367.512,567.512,2400.0,8
2019-05-23T16:00:00.000000000,10278.0,-1,9,4627847.495999999,1.0,2019-05-30T10:45:00.000000000,10348.0,signal_exit,-32135.634,635.634,2700.0,117
2019-06-10T10:45:00.000000000,10539.0,1,8,4595711.861999999,1.0,2019-06-14T21:00:00.000000000,10492.0,signal_exit,-19368.248000000003,568.248,2400.0,104
2019-07-01T09:45:00.000000000,10762.0,1,8,4576343.613999999,1.0,2019-07-05T23:00:00.000000000,10659.0,signal_exit,-41771.367999999995,571.3679999999999,2400.0,224
2019-07-10T21:00:00.000000000,10782.0,1,8,4534572.245999999,1.0,2019-07-16T13:35:00.000000000,10878.0,roll_blackout,37826.72,573.28,2400.0,114
2019-07-19T03:00:00.000000000,10725.0,1,8,4572398.965999999,1.0,2019-07-29T10:45:00.000000000,10760.0,signal_exit,13428.12,571.8800000000001,2400.0,161
2019-08-29T16:00:00.000000000,10473.0,1,8,4585827.085999999,1.0,2019-09-17T13:35:00.000000000,10860.0,roll_blackout,154229.33599999998,570.664,2400.0,392
2019-10-17T16:00:00.000000000,11199.0,1,8,4740056.421999999,1.0,2019-11-08T22:00:00.000000000,11583.0,signal_exit,153017.744,582.256,2400.0,502
2019-11-18T10:45:00.000000000,11568.0,1,8,4893074.165999999,1.0,2019-11-19T13:35:00.000000000,11644.0,roll_blackout,29814.304,585.6959999999999,2400.0,53
2019-11-26T09:45:00.000000000,11643.0,1,8,4922888.47,1.0,2019-11-29T10:45:00.000000000,11533.0,signal_exit,-44585.408,585.408,2400.0,138
2019-12-06T09:45:00.000000000,11653.0,1,8,4878303.061999999,1.0,2019-12-10T18:00:00.000000000,11572.0,signal_exit,-32985.799999999996,585.8,2400.0,59
2019-12-11T12:45:00.000000000,11687.0,1,8,4845317.261999998,1.0,2019-12-17T13:35:00.000000000,12091.0,roll_blackout,161009.77599999998,590.2239999999999,2400.0,82
2020-01-30T10:45:00.000000000,11522.0,-1,8,5006327.037999998,1.0,2020-02-04T11:45:00.000000000,11538.0,signal_exit,-6984.4800000000005,584.48,2400.0,15
2020-02-07T19:00:00.000000000,11525.0,-1,8,4999342.557999998,1.0,2020-02-11T10:45:00.000000000,11690.0,signal_exit,-66585.72,585.72,2400.0,10
2020-02-24T17:00:00.000000000,11452.0,-1,8,4932756.837999999,1.0,2020-03-03T10:45:00.000000000,11323.0,signal_exit,51017.8,582.2,2400.0,0
