entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations
2017-07-11T10:45:00.000000000,10333.0,1,9,5000000.0,1.0,2017-07-18T13:35:00.000000000,10462.0,roll_blackout,57412.844999999994,637.155,900.0,460
2017-07-26T09:45:00.000000000,10412.0,1,9,5057412.845,1.0,2017-07-28T11:45:00.000000000,10344.0,signal_exit,-31236.804,636.804,900.0,172
2017-08-22T22:00:00.000000000,10386.0,1,9,5026176.041,1.0,2017-09-07T12:45:00.000000000,10500.0,signal_exit,50662.026,637.974,900.0,844
2017-09-11T09:45:00.000000000,10583.0,1,9,5076838.067,1.0,2017-09-13T11:45:00.000000000,10538.0,signal_exit,-20890.089,640.0889999999999,900.0,150
2018-01-15T09:45:00.000000000,10924.0,1,9,5055947.977999999,1.0,2018-01-16T13:35:00.000000000,10982.0,roll_blackout,25452.846,647.154,900.0,133
2018-03-06T15:00:00.000000000,10794.0,1,9,5081400.823999999,1.0,2018-03-16T10:45:00.000000000,10941.0,signal_exit,65504.38500000001,645.615,900.0,90
2018-03-22T09:45:00.000000000,11116.0,1,9,5146905.209,1.0,2018-03-22T17:00:00.000000000,10956.0,signal_exit,-72648.648,648.648,900.0,0
2018-05-10T23:00:00.000000000,10798.0,1,9,5074256.561,1.0,2018-05-15T13:35:00.000000000,10864.0,roll_blackout,29055.041999999998,644.9580000000001,900.0,53
2018-05-24T16:00:00.000000000,10942.0,1,9,5103311.603,1.0,2018-05-29T17:00:00.000000000,10892.0,signal_exit,-23146.505999999998,646.5060000000001,900.0,143
2018-06-01T10:45:00.000000000,10920.0,1,9,5080165.097,1.0,2018-06-08T16:00:00.000000000,11090.0,signal_exit,75851.91,648.0900000000001,900.0,110
2018-07-19T09:45:00.000000000,10782.0,1,9,5156017.007,1.0,2018-08-02T11:45:00.000000000,10903.0,signal_exit,53804.835,645.165,900.0,289
2018-08-08T09:45:00.000000000,11052.0,1,9,5209821.842,1.0,2018-08-10T16:00:00.000000000,10963.0,signal_exit,-40698.135,648.135,900.0,131
2018-08-29T09:45:00.000000000,11007.0,1,9,5169123.7069999995,1.0,2018-09-03T11:45:00.000000000,10934.0,signal_exit,-33497.469000000005,647.469,900.0,36
2018-11-08T00:00:00.000000000,9911.0,1,10,5135626.237999999,1.0,2018-11-09T10:45:00.000000000,9785.0,signal_exit,-63696.96,696.96,1000.0,2
2018-11-15T16:00:00.000000000,9869.0,1,10,5071929.277999999,1.0,2018-11-16T16:00:00.000000000,9779.0,signal_exit,-45696.48,696.48,1000.0,1
2018-12-03T09:45:00.000000000,10082.0,1,9,5026232.797999999,1.0,2018-12-05T03:00:00.000000000,9929.0,signal_exit,-69480.099,630.0989999999999,900.0,21
2019-01-09T10:45:00.000000000,9733.0,1,10,4956752.698999999,1.0,2019-01-14T11:45:00.000000000,9671.0,signal_exit,-31694.04,694.04,1000.0,18
2019-01-15T10:45:00.000000000,9790.0,1,10,4925058.658999999,1.0,2019-01-15T13:35:00.000000000,9798.0,roll_blackout,3304.12,695.88,1000.0,0
