period,return,ending_equity
2017-07,0.0,5000000.0
2017-08,0.0,5000000.0
2017-09,0.0,5000000.0
2017-10,0.0,5000000.0
2017-11,0.0,5000000.0
2017-12,-0.010837801799999935,4945810.991
2018-01,0.0,4945810.991
2018-02,0.014246645520465728,5016272.207
2018-03,0.0,5016272.207
2018-04,-0.00829092387410002,4974682.676
2018-05,-0.0030233064055642522,4959642.686
2018-06,-0.00584528056463296,4930652.183
2018-07,0.0,4930652.183
2018-08,0.0,4930652.183
2018-09,0.0,4930652.183
2018-10,-0.020864598674126378,4827776.104
2018-11,-0.010941897648532817,4774951.072
2018-12,-0.006045158278011331,4746085.737
2019-01,0.0,4746085.737
2019-02,0.0,4746085.737
2019-03,0.0,4746085.737
2019-04,0.0,4746085.737
2019-05,-0.010603281901900408,4695761.652
2019-06,0.0,4695761.652
2019-07,0.0,4695761.652
2019-08,0.0,4695761.652
2019-09,0.0,4695761.652
2019-10,0.0,4695761.652
2019-11,0.0,4695761.652
2019-12,0.0,4695761.652
2020-01,0.004708034529517402,4717869.46
2020-02,-0.0043175505750427945,4697499.82
2020-03,0.13968490157387592,5353669.62
2020-04,0.0,5353669.62
2020-05,-0.013148764118171452,5283275.481
2020-06,0.0,5283275.481
2020-07,0.0,5283275.481
2020-08,0.0,5283275.481
2020-09,-0.015710397895869144,5200273.121
2020-10,0.015249025225188673,5279572.217
2020-11,-0.01263372054751466,5212871.577
2020-12,0.0,5212871.577
