entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations
2017-12-26T10:45:00.000000000,10441.0,-1,9,5000000.0,1.0,2017-12-28T10:45:00.000000000,10560.0,signal_exit,-54189.009,639.009,900.0,176
2018-02-06T09:45:00.000000000,10567.0,-1,9,4945810.991,1.0,2018-02-12T13:35:00.000000000,10409.0,roll_blackout,70461.216,638.784,900.0,2
2018-04-26T12:45:00.000000000,10484.0,-1,9,5016272.207,1.0,2018-04-27T17:00:00.000000000,10575.0,signal_exit,-41589.531,639.531,900.0,1
2018-05-03T09:45:00.000000000,10539.0,-1,9,4974682.676000001,1.0,2018-05-05T01:00:00.000000000,10571.0,signal_exit,-15039.99,639.99,900.0,9
2018-06-25T23:00:00.000000000,10552.0,-1,9,4959642.686000001,1.0,2018-06-29T10:45:00.000000000,10615.0,signal_exit,-28990.503,640.503,900.0,25
2018-10-11T09:45:00.000000000,9896.0,-1,9,4930652.183,1.0,2018-10-16T10:45:00.000000000,9965.0,signal_exit,-31678.749,628.749,900.0,2
2018-10-19T00:00:00.000000000,9796.0,-1,10,4898973.434,1.0,2018-10-19T21:00:00.000000000,9937.0,signal_exit,-71197.33,697.3299999999999,1000.0,2
2018-11-23T09:45:00.000000000,9666.0,-1,9,4827776.104,1.0,2018-11-26T10:45:00.000000000,9782.0,signal_exit,-52825.032,625.0319999999999,900.0,24
2018-12-06T10:45:00.000000000,9688.0,-1,9,4774951.072000001,1.0,2018-12-11T17:00:00.000000000,9687.0,signal_exit,-174.375,624.375,900.0,10
2018-12-25T02:00:00.000000000,9520.0,-1,10,4774776.697000001,1.0,2018-12-27T09:45:00.000000000,9576.0,signal_exit,-28690.96,690.96,1000.0,130
2019-05-17T11:45:00.000000000,10448.0,-1,9,4746085.737000001,1.0,2019-05-21T11:45:00.000000000,10491.0,signal_exit,-19988.451,638.451,900.0,8
2019-05-23T16:00:00.000000000,10280.0,-1,9,4726097.286000001,1.0,2019-05-30T10:45:00.000000000,10346.0,signal_exit,-30335.634000000002,635.634,900.0,117
2020-01-30T10:45:00.000000000,11524.0,-1,8,4695761.652000002,1.0,2020-02-04T11:45:00.000000000,11536.0,signal_exit,-5384.48,584.48,800.0,15
2020-02-07T19:00:00.000000000,11527.0,-1,8,4690377.172000002,1.0,2020-02-11T10:45:00.000000000,11688.0,signal_exit,-64985.72,585.72,800.0,10
2020-02-24T17:00:00.000000000,11454.0,-1,8,4625391.452000002,1.0,2020-03-03T10:45:00.000000000,11321.0,signal_exit,52617.8,582.2,800.0,0
2020-03-06T16:00:00.000000000,11253.0,-1,8,4678009.252000002,1.0,2020-03-11T08:45:00.000000000,10980.0,signal_exit,108622.136,577.864,800.0,0
2020-03-11T15:00:00.000000000,10820.0,-1,8,4786631.388000002,1.0,2020-03-17T13:35:00.000000000,9401.0,roll_blackout,567038.232,561.768,800.0,0
2020-05-22T16:00:00.000000000,10708.0,-1,9,5353669.620000003,1.0,2020-05-25T18:00:00.000000000,10863.0,signal_exit,-70394.13900000001,644.1389999999999,900.0,6
2020-08-31T15:00:00.000000000,12566.0,-1,8,5283275.4810000025,1.0,2020-09-02T00:00:00.000000000,12704.0,signal_exit,-55802.159999999996,602.1600000000001,800.0,13
2020-09-04T00:00:00.000000000,12572.0,-1,8,5227473.321000002,1.0,2020-09-08T11:45:00.000000000,12663.0,signal_exit,-37001.88,601.88,800.0,39
2020-09-24T03:00:00.000000000,12408.0,-1,8,5190471.441000002,1.0,2020-09-28T10:45:00.000000000,12382.0,signal_exit,9801.68,598.32,800.0,5
2020-10-28T21:00:00.000000000,12613.0,-1,8,5200273.121000002,1.0,2020-11-02T19:00:00.000000000,12580.0,signal_exit,12598.456,601.544,800.0,0
