,equity
2021-01-04,5006410.255
2021-01-05,5011560.255
2021-01-06,5008260.255
2021-01-07,5024210.255
2021-01-08,5035410.255
2021-01-11,5039410.255
2021-01-12,5037360.255
2021-01-13,5050910.255
2021-01-14,5049160.255
2021-01-15,5044410.255
2021-01-18,5046719.574
2021-01-19,5046719.574
2021-01-20,5046719.574
2021-01-21,5049178.495
2021-01-22,5041928.495
2021-01-25,5033987.669
2021-01-26,5033987.669
2021-01-27,5033987.669
2021-01-28,5033987.669
2021-01-29,5033987.669
2021-02-01,5033987.669
2021-02-02,5033987.669
2021-02-03,5033987.669
2021-02-04,5033987.669
2021-02-05,5033987.669
2021-02-17,5033987.669
2021-02-18,5033987.669
2021-02-19,5033987.669
2021-02-22,5033987.669
2021-02-23,5033987.669
2021-02-24,5033987.669
2021-02-25,5033987.669
2021-02-26,5033987.669
2021-03-02,5033987.669
2021-03-03,5033987.669
2021-03-04,5033987.669
2021-03-05,5033987.669
2021-03-08,5033987.669
2021-03-09,5033987.669
2021-03-10,5033987.669
2021-03-11,5033987.669
2021-03-12,5033987.669
2021-03-15,5033987.669
2021-03-16,5033987.669
2021-03-17,5033987.669
2021-03-18,5033987.669
2021-03-19,5033987.669
2021-03-22,5033987.669
2021-03-23,5033987.669
2021-03-24,5033987.669
2021-03-25,5033987.669
2021-03-26,5033987.669
2021-03-29,5033987.669
2021-03-30,5033987.669
2021-03-31,5033987.669
2021-04-01,5033987.669
2021-04-06,5029895.857
2021-04-07,5031745.857
2021-04-08,5039845.857
2021-04-09,5035395.857
2021-04-12,5035045.857
2021-04-13,5033095.857
2021-04-14,5034354.036
2021-04-15,5034354.036
2021-04-16,5034354.036
2021-04-19,5037811.835
2021-04-20,5040219.515
2021-04-21,5040219.515
2021-04-22,5032677.256
2021-04-23,5031935.161
2021-04-26,5031935.161
2021-04-27,5031935.161
2021-04-28,5031935.161
2021-04-29,5031242.577
2021-05-03,5018700.256
2021-05-04,5018700.256
2021-05-05,5018700.256
2021-05-06,5018700.256
2021-05-07,5018700.256
2021-05-10,5018700.256
2021-05-11,5018700.256
2021-05-12,5018700.256
2021-05-13,5018700.256
2021-05-14,5018700.256
2021-05-17,5018700.256
2021-05-18,5018700.256
2021-05-19,5018700.256
2021-05-20,5018700.256
2021-05-21,5018700.256
2021-05-24,5018700.256
2021-05-25,5018700.256
2021-05-26,5018700.256
2021-05-27,5018700.256
2021-05-28,5024158.503
2021-05-31,5031658.503
2021-06-01,5037508.503
2021-06-02,5035908.503
2021-06-03,5042508.503
2021-06-04,5036116.4
2021-06-07,5036116.4
2021-06-08,5036116.4
2021-06-09,5036116.4
2021-06-10,5036116.4
2021-06-11,5033074.121
2021-06-15,5041581.731
2021-06-16,5041581.731
2021-06-17,5041581.731
2021-06-18,5041581.731
2021-06-21,5041489.77
2021-06-22,5038189.77
2021-06-23,5027197.523
2021-06-24,5027197.523
2021-06-25,5027205.105
2021-06-28,5033005.105
2021-06-29,5032705.105
2021-06-30,5042005.105
2021-07-01,5038555.105
2021-07-02,5038905.105
2021-07-05,5051155.105
2021-07-06,5050155.105
2021-07-07,5047755.105
2021-07-08,5046212.305
2021-07-09,5046212.305
2021-07-12,5040419.366
2021-07-13,5042669.366
2021-07-14,5042919.366
2021-07-15,5050319.366
2021-07-16,5042376.502
2021-07-19,5042376.502
2021-07-20,5046041.343
2021-07-21,5046041.343
2021-07-22,5046041.343
2021-07-23,5046041.343
2021-07-26,5049849.064
2021-07-27,5051299.064
2021-07-28,5061699.064
2021-07-29,5047906.824
2021-07-30,5047906.824
2021-08-02,5047906.824
2021-08-03,5047906.824
2021-08-04,5047906.824
2021-08-05,5047906.824
2021-08-06,5047906.824
2021-08-09,5047906.824
2021-08-10,5047906.824
2021-08-11,5044464.721
2021-08-12,5045164.721
2021-08-13,5056314.721
2021-08-16,5064414.721
2021-08-17,5072023.102
2021-08-18,5072023.102
2021-08-19,5072023.102
2021-08-20,5072023.102
2021-08-23,5072023.102
2021-08-24,5072023.102
2021-08-25,5072023.102
2021-08-26,5072023.102
2021-08-27,5072023.102
2021-08-30,5072023.102
2021-08-31,5072023.102
2021-09-01,5072230.631
2021-09-02,5064430.631
2021-09-03,5073880.631
2021-09-06,5073230.631
2021-09-07,5067788.243
2021-09-08,5067788.243
2021-09-09,5067788.243
2021-09-10,5067788.243
2021-09-13,5067788.243
2021-09-14,5064853.29
2021-09-15,5064853.29
2021-09-16,5064853.29
2021-09-17,5064853.29
2021-09-22,5058111.524
2021-09-23,5049111.524
2021-09-24,5045119.365
2021-09-27,5045119.365
2021-09-28,5045119.365
2021-09-29,5052577.392
2021-09-30,5047877.392
2021-10-01,5067877.392
2021-10-04,5075827.392
2021-10-05,5073827.392
2021-10-06,5075777.392
2021-10-07,5059135.701
2021-10-08,5059135.701
2021-10-12,5059135.701
2021-10-13,5059135.701
2021-10-14,5059135.701
2021-10-15,5059135.701
2021-10-18,5059135.701
2021-10-19,5058301.874
2021-10-20,5058301.874
2021-10-21,5049709.89
2021-10-22,5050718.056
2021-10-25,5050718.056
2021-10-26,5055226.099
2021-10-27,5056376.099
