entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations
2021-06-21T09:45:00.000000000,16961.0,-1,5,5000000.0,1.0,2021-06-23T10:45:00.000000000,17247.0,signal_exit,-71921.04,421.04,500.0,7
2021-07-19T22:00:00.000000000,17617.0,-1,5,4928078.96,1.0,2021-07-20T13:35:00.000000000,17542.0,roll_blackout,18324.205,425.7950000000001,500.0,0
2021-07-26T11:45:00.000000000,17279.0,-1,5,4946403.165,1.0,2021-07-29T12:45:00.000000000,17240.0,signal_exit,9327.404999999999,422.595,500.0,9
2021-08-11T12:45:00.000000000,17103.0,-1,5,4955730.57,1.0,2021-08-17T13:35:00.000000000,16619.0,roll_blackout,120581.39,418.61,500.0,51
2021-09-22T10:45:00.000000000,16766.0,-1,6,5076311.960000001,1.0,2021-09-24T00:00:00.000000000,17159.0,signal_exit,-118403.55,503.55000000000007,600.0,14
2021-09-28T23:00:00.000000000,16973.0,-1,5,4957908.410000001,1.0,2021-10-07T09:45:00.000000000,16691.0,signal_exit,70081.68,418.32000000000005,500.0,14
2021-11-27T01:00:00.000000000,17161.0,-1,5,5027990.090000001,1.0,2021-11-30T10:45:00.000000000,17475.0,signal_exit,-78923.18,423.18,500.0,12
2022-01-21T09:45:00.000000000,17932.0,-1,5,4949066.910000001,1.0,2022-02-07T10:45:00.000000000,17722.0,signal_exit,52071.729999999996,428.27000000000004,500.0,1
2022-03-07T09:45:00.000000000,17131.0,-1,5,5001138.640000001,1.0,2022-03-09T19:00:00.000000000,17111.0,signal_exit,4578.79,421.21000000000004,500.0,0
2022-03-12T04:00:00.000000000,17156.0,-1,5,5005717.430000001,1.0,2022-03-14T10:45:00.000000000,17230.0,signal_exit,-18921.93,421.93000000000006,500.0,0
2022-03-15T09:45:00.000000000,16918.0,-1,5,4986795.5,1.0,2022-03-15T13:35:00.000000000,16900.0,roll_blackout,4080.91,419.09000000000003,500.0,0
2022-04-15T09:45:00.000000000,17073.0,-1,5,4990876.41,1.0,2022-04-19T13:35:00.000000000,16998.0,roll_blackout,18329.644999999997,420.355,500.0,47
2022-04-22T09:45:00.000000000,16900.0,-1,5,5009206.055,1.0,2022-04-28T17:00:00.000000000,16495.0,signal_exit,100833.025,416.975,500.0,0
2022-05-06T00:00:00.000000000,16347.0,-1,6,5110039.08,1.0,2022-05-13T21:00:00.000000000,15886.0,signal_exit,137806.602,493.398,600.0,2
2022-06-16T16:00:00.000000000,15244.0,-1,6,5247845.682,1.0,2022-06-21T12:45:00.000000000,15346.0,signal_exit,-31083.54,483.54,600.0,18
2022-06-29T03:00:00.000000000,15057.0,-1,6,5216762.142,1.0,2022-07-07T11:45:00.000000000,14283.0,signal_exit,231723.96,476.04,600.0,22
2022-07-12T09:45:00.000000000,14011.0,-1,7,5448486.102,1.0,2022-07-13T11:45:00.000000000,14344.0,signal_exit,-117098.485,548.485,700.0,1
2022-09-14T03:00:00.000000000,14539.0,-1,7,5331387.617000001,1.0,2022-09-20T13:35:00.000000000,14552.0,roll_blackout,-5103.637,553.637,700.0,1
2022-09-22T09:45:00.000000000,14138.0,-1,7,5326283.98,1.0,2022-10-04T00:00:00.000000000,13439.0,signal_exit,244106.961,543.039,700.0,1
2022-10-08T01:00:00.000000000,13465.0,-1,8,5570390.941000001,1.0,2022-10-14T01:00:00.000000000,13112.0,signal_exit,140587.384,612.616,800.0,3
