entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations,raw_entry,raw_exit,mfe_points,mae_points,holding_calendar_days,holding_observation_minutes,mfe_mae_exit_bar_included
2024-01-23T16:00:00.000000000,17909.0,1,5,5000000.0,1.0,2024-01-30T17:00:00.000000000,18046.0,signal_exit,33820.225,429.77500000000003,500.0,0,17908.0,18047.0,244.0,45.0,7.041666666666667,5755,False
2024-02-15T09:45:00.000000000,18578.0,1,5,5033820.225,1.0,2024-02-20T13:35:00.000000000,18746.0,roll_blackout,41563.38,436.62,500.0,0,18577.0,18747.0,175.0,17.0,5.159722222222222,3585,False
2024-03-21T10:45:00.000000000,20180.0,1,5,5075383.6049999995,1.0,2024-03-26T12:45:00.000000000,20187.0,signal_exit,1298.165,451.83500000000004,500.0,0,20179.0,20188.0,280.0,141.0,5.083333333333333,3525,False
2024-03-29T09:45:00.000000000,20275.0,1,5,5076681.77,1.0,2024-04-03T10:45:00.000000000,20358.0,signal_exit,20296.835,453.1650000000001,500.0,0,20274.0,20359.0,280.0,38.0,5.041666666666667,3459,False
2024-05-03T03:00:00.000000000,20488.0,1,4,5096978.6049999995,1.0,2024-05-03T11:45:00.000000000,20426.0,signal_exit,-12763.655999999999,363.656,400.0,0,20487.0,20427.0,110.0,106.0,0.3645833333333333,299,False
2024-05-08T11:45:00.000000000,20720.0,1,4,5084214.949,1.0,2024-05-09T16:00:00.000000000,20600.0,signal_exit,-24365.280000000002,365.28,400.0,0,20719.0,20601.0,44.0,135.0,1.1770833333333333,1315,False
2024-05-10T12:45:00.000000000,20753.0,1,4,5059849.669,1.0,2024-05-14T13:35:00.000000000,20998.0,roll_blackout,48632.996,367.004,400.0,0,20752.0,20999.0,259.0,1.0,4.034722222222222,2294,False
2024-05-28T11:45:00.000000000,21965.0,1,4,5108482.665,1.0,2024-05-29T12:45:00.000000000,21752.0,signal_exit,-42974.868,374.86800000000005,400.0,0,21964.0,21753.0,30.0,229.0,1.0416666666666667,1196,False
2024-06-14T15:00:00.000000000,22501.0,1,4,5065507.796999999,1.0,2024-06-18T13:35:00.000000000,22787.0,roll_blackout,56818.848,381.15200000000004,400.0,0,22500.0,22788.0,312.0,137.0,3.9409722222222223,2264,False
2024-07-03T02:00:00.000000000,23038.0,1,4,5122326.645,1.0,2024-07-12T10:45:00.000000000,23942.0,signal_exit,180412.08,387.92,400.0,0,23037.0,23943.0,1412.0,57.0,9.364583333333334,8245,False
2024-09-24T15:00:00.000000000,22554.0,1,4,5302738.725,1.0,2024-09-27T16:00:00.000000000,22761.0,signal_exit,41018.74,381.26,400.0,0,22553.0,22762.0,842.0,49.0,3.0416666666666665,3473,False
2024-10-14T16:00:00.000000000,23091.0,1,4,5343757.465,1.0,2024-10-15T13:35:00.000000000,23248.0,roll_blackout,31014.644,385.356,400.0,0,23090.0,23249.0,296.0,73.0,0.8993055555555556,1063,False
2024-10-17T16:00:00.000000000,23562.0,1,4,5374772.109,1.0,2024-10-21T19:00:00.000000000,23494.0,signal_exit,-13988.224,388.224,400.0,0,23561.0,23495.0,427.0,75.0,4.125,2460,False
2024-10-25T22:00:00.000000000,23673.0,1,4,5360783.885000001,1.0,2024-10-28T11:45:00.000000000,23309.0,signal_exit,-73187.928,387.928,400.0,0,23672.0,23310.0,37.0,412.0,2.5729166666666665,598,False
2024-11-08T16:00:00.000000000,23817.0,1,4,5287595.957000001,1.0,2024-11-11T10:45:00.000000000,23423.0,signal_exit,-79188.95999999999,388.96000000000004,400.0,0,23816.0,23424.0,24.0,507.0,2.78125,899,False
2024-12-04T15:00:00.000000000,23276.0,1,4,5208406.997000001,1.0,2024-12-06T15:00:00.000000000,23209.0,signal_exit,-13785.939999999999,385.94000000000005,400.0,0,23275.0,23210.0,178.0,141.0,2.0,2272,False
2024-12-09T23:00:00.000000000,23458.0,1,4,5194621.057000001,1.0,2024-12-10T08:45:00.000000000,23227.0,signal_exit,-46586.740000000005,386.74,400.0,0,23457.0,23228.0,20.0,241.0,0.40625,359,False
2024-12-25T18:00:00.000000000,23378.0,1,4,5148034.317000001,1.0,2024-12-26T18:00:00.000000000,23237.0,signal_exit,-28586.46,386.46000000000004,400.0,0,23377.0,23238.0,44.0,174.0,1.0,988,False
2025-01-22T17:00:00.000000000,23743.0,1,4,5119447.857000001,1.0,2025-02-03T10:45:00.000000000,22586.0,signal_exit,-231785.31600000002,385.31600000000003,400.0,0,23742.0,22587.0,99.0,1203.0,11.739583333333334,838,False
2025-02-07T15:00:00.000000000,23432.0,1,4,4887662.541000001,1.0,2025-02-08T02:00:00.000000000,23261.0,signal_exit,-34586.772000000004,386.77200000000005,400.0,0,23431.0,23262.0,97.0,198.0,0.4583333333333333,656,False
2025-02-18T12:45:00.000000000,23596.0,1,4,4853075.769000001,1.0,2025-02-18T13:35:00.000000000,23653.0,roll_blackout,11011.004,388.99600000000004,400.0,0,23595.0,23654.0,61.0,3.0,0.034722222222222224,50,False
2025-04-25T01:00:00.000000000,19887.0,1,4,4864086.773000002,1.0,2025-04-30T22:00:00.000000000,19937.0,signal_exit,9640.704,359.296,400.0,0,19886.0,19938.0,382.0,135.0,5.875,4373,False
2025-05-02T08:45:00.000000000,20489.0,1,4,4873727.477000002,1.0,2025-05-05T18:00:00.000000000,20278.0,signal_exit,-42563.068,363.06800000000004,400.0,0,20488.0,20279.0,412.0,282.0,3.3854166666666665,1620,False
2025-05-12T09:45:00.000000000,21056.0,1,4,4831164.409000002,1.0,2025-05-19T10:45:00.000000000,21696.0,signal_exit,127628.992,371.008,400.0,0,21055.0,21697.0,875.0,53.0,7.041666666666667,5745,False
2025-06-04T10:45:00.000000000,21509.0,1,4,4958793.4010000015,1.0,2025-06-12T20:00:00.000000000,22137.0,signal_exit,125225.41600000001,374.584,400.0,0,21508.0,22138.0,985.0,55.0,8.385416666666666,7260,False
2025-06-25T20:00:00.000000000,22187.0,1,4,5084018.817000001,1.0,2025-06-27T11:45:00.000000000,22024.0,signal_exit,-32976.844,376.844,400.0,0,22186.0,22025.0,77.0,188.0,1.65625,1841,False
2025-07-01T09:45:00.000000000,22579.0,1,4,5051041.973000001,1.0,2025-07-04T12:45:00.000000000,22468.0,signal_exit,-22580.188,380.188,400.0,0,22578.0,22469.0,296.0,370.0,3.125,3554,False
2025-07-11T15:00:00.000000000,22746.0,1,4,5028461.785000001,1.0,2025-07-14T11:45:00.000000000,22573.0,signal_exit,-34981.276,381.276,400.0,0,22745.0,22574.0,7.0,212.0,2.8645833333333335,1011,False
2025-07-15T10:45:00.000000000,22754.0,1,4,4993480.509000001,1.0,2025-07-15T13:35:00.000000000,22831.0,roll_blackout,15017.66,382.34000000000003,400.0,0,22753.0,22832.0,105.0,32.0,0.11805555555555555,170,False
2025-07-17T15:00:00.000000000,23328.0,1,4,5008498.169000001,1.0,2025-07-22T11:45:00.000000000,23067.0,signal_exit,-52585.579999999994,385.58000000000004,400.0,0,23327.0,23068.0,87.0,280.0,4.864583333333333,3258,False
2025-08-07T03:00:00.000000000,23506.0,1,4,4955912.589000001,1.0,2025-08-14T22:00:00.000000000,24244.0,signal_exit,147209.0,391.0,400.0,0,23505.0,24245.0,935.0,35.0,7.791666666666667,6450,False
2025-08-27T10:45:00.000000000,24490.0,1,4,5103121.589000001,1.0,2025-08-28T15:00:00.000000000,24267.0,signal_exit,-44995.028,395.028,400.0,0,24489.0,24268.0,3.0,286.0,1.1770833333333333,1319,False
2025-09-09T09:45:00.000000000,24729.0,1,4,5058126.561000001,1.0,2025-09-15T18:00:00.000000000,25310.0,signal_exit,115799.844,400.156,400.0,0,24728.0,25311.0,747.0,28.0,6.34375,4960,False
