,equity
2024-01-02,5000000.0
2024-01-03,5000000.0
2024-01-04,5000000.0
2024-01-05,5000000.0
2024-01-08,5000000.0
2024-01-09,5000000.0
2024-01-10,5000000.0
2024-01-11,5000000.0
2024-01-12,5000000.0
2024-01-15,5000000.0
2024-01-16,5000000.0
2024-01-17,5000000.0
2024-01-18,5000000.0
2024-01-19,5000000.0
2024-01-22,5000000.0
2024-01-23,5000000.0
2024-01-24,4999557.089
2024-01-25,5004157.089
2024-01-26,5004357.089
2024-01-29,5010657.089
2024-01-30,5008457.089
2024-01-31,5006564.045
2024-02-01,5006564.045
2024-02-02,5006564.045
2024-02-05,5006564.045
2024-02-15,5010870.465
2024-02-16,5009220.465
2024-02-19,5011070.465
2024-02-20,5014676.721
2024-02-21,5014676.721
2024-02-22,5014676.721
2024-02-23,5014676.721
2024-02-26,5014676.721
2024-02-27,5014676.721
2024-02-29,5014676.721
2024-03-01,5014676.721
2024-03-04,5014676.721
2024-03-05,5014676.721
2024-03-06,5014676.721
2024-03-07,5014676.721
2024-03-08,5014676.721
2024-03-11,5014676.721
2024-03-12,5014676.721
2024-03-13,5014676.721
2024-03-14,5014676.721
2024-03-15,5014676.721
2024-03-18,5014676.721
2024-03-19,5014676.721
2024-03-20,5014676.721
2024-03-21,5018731.539
2024-03-22,5017631.539
2024-03-25,5017081.539
2024-03-26,5014736.354
2024-03-27,5014736.354
2024-03-28,5014736.354
2024-03-29,5014841.077
2024-04-01,5015241.077
2024-04-02,5026991.077
2024-04-03,5018595.721
2024-04-08,5018595.721
2024-04-09,5018595.721
2024-04-10,5018595.721
2024-04-11,5018595.721
2024-04-12,5018595.721
2024-04-15,5018595.721
2024-04-16,5018595.721
2024-04-17,5018595.721
2024-04-18,5018595.721
2024-04-19,5018595.721
2024-04-22,5018595.721
2024-04-23,5018595.721
2024-04-24,5018595.721
2024-04-25,5018595.721
2024-04-26,5018595.721
2024-04-29,5018595.721
2024-04-30,5018595.721
2024-05-02,5018595.721
2024-05-03,5015204.807
2024-05-06,5015204.807
2024-05-07,5015204.807
2024-05-08,5015309.085
2024-05-09,5009659.085
2024-05-10,5011567.732
2024-05-13,5015267.732
2024-05-14,5020871.736
2024-05-15,5020871.736
2024-05-16,5020871.736
2024-05-17,5020871.736
2024-05-20,5020871.736
2024-05-21,5020871.736
2024-05-22,5020871.736
2024-05-23,5020871.736
2024-05-24,5020871.736
2024-05-27,5020871.736
2024-05-28,5020174.769
2024-05-29,5009928.019
2024-05-30,5009928.019
2024-05-31,5009928.019
2024-06-03,5009928.019
2024-06-04,5009928.019
2024-06-05,5009928.019
2024-06-06,5009928.019
2024-06-07,5009928.019
2024-06-11,5009928.019
2024-06-12,5009928.019
2024-06-13,5009928.019
2024-06-14,5009928.019
2024-06-17,5008580.516
2024-06-18,5023932.731
2024-06-19,5023932.731
2024-06-20,5023932.731
2024-06-21,5023932.731
2024-06-24,5023932.731
2024-06-25,5023932.731
2024-06-26,5023932.731
2024-06-27,5023932.731
2024-06-28,5023932.731
2024-07-01,5023932.731
2024-07-02,5023932.731
2024-07-03,5031134.691
2024-07-04,5053084.691
