entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations
2024-01-05T19:00:00.000000000,17474.0,-1,5,5000000.0,1.0,2024-01-06T01:00:00.000000000,17573.0,signal_exit,-25175.235,425.235,1500.0,0
2024-01-12T00:00:00.000000000,17437.0,-1,5,4974824.765,1.0,2024-01-12T11:45:00.000000000,17547.0,signal_exit,-27924.920000000002,424.91999999999996,1500.0,0
2024-04-16T10:45:00.000000000,19950.0,-1,4,4946899.845,1.0,2024-04-16T13:35:00.000000000,19931.0,roll_blackout,3440.4759999999997,359.524,1200.0,0
2024-07-26T09:45:00.000000000,22030.0,-1,4,4950340.3209999995,1.0,2024-07-30T21:00:00.000000000,22290.0,signal_exit,-52377.280000000006,377.28000000000003,1200.0,0
2024-08-02T01:00:00.000000000,22182.0,-1,4,4897963.040999999,1.0,2024-08-07T10:45:00.000000000,21204.0,signal_exit,195226.456,373.544,1200.0,0
2024-09-03T22:00:00.000000000,21810.0,-1,4,5093189.4969999995,1.0,2024-09-10T01:00:00.000000000,21301.0,signal_exit,101427.556,372.444,1200.0,0
2024-10-30T20:00:00.000000000,22812.0,-1,4,5194617.052999999,1.0,2024-11-01T23:00:00.000000000,22936.0,signal_exit,-25182.992,382.992,1200.0,0
2024-11-12T18:00:00.000000000,22691.0,-1,4,5169434.061,1.0,2024-11-15T21:00:00.000000000,22825.0,signal_exit,-27182.064,382.064,1200.0,0
2024-11-16T00:00:00.000000000,22608.0,-1,4,5142251.9969999995,1.0,2024-11-19T10:45:00.000000000,22759.0,signal_exit,-30581.468,381.468,1200.0,0
2024-11-21T16:00:00.000000000,22486.0,-1,4,5111670.528999999,1.0,2024-11-22T03:00:00.000000000,22830.0,signal_exit,-69181.26400000001,381.264,1200.0,0
2024-11-27T12:45:00.000000000,22464.0,-1,4,5042489.264999999,1.0,2024-11-30T00:00:00.000000000,22514.0,signal_exit,-10379.912,379.91200000000003,1200.0,0
2024-12-20T11:45:00.000000000,22651.0,-1,4,5032109.352999999,1.0,2024-12-23T10:45:00.000000000,23172.0,signal_exit,-104583.292,383.29200000000003,1200.0,0
2025-01-02T09:45:00.000000000,22898.0,-1,4,4927526.060999999,1.0,2025-01-03T11:45:00.000000000,23035.0,signal_exit,-27783.732,383.73199999999997,1200.0,0
2025-01-13T09:45:00.000000000,22526.0,-1,4,4899742.328999999,1.0,2025-01-14T13:35:00.000000000,22752.0,roll_blackout,-45581.112,381.112,1200.0,0
2025-02-14T17:00:00.000000000,23104.0,-1,4,4854161.216999998,1.0,2025-02-17T09:45:00.000000000,23443.0,signal_exit,-68186.188,386.188,1200.0,0
2025-03-08T01:00:00.000000000,22280.0,-1,4,4785975.028999998,1.0,2025-03-12T11:45:00.000000000,22279.0,signal_exit,-178.23600000000002,378.236,1200.0,0
2025-03-13T12:45:00.000000000,22008.0,-1,4,4785796.792999998,1.0,2025-03-14T23:00:00.000000000,22133.0,signal_exit,-25376.564,376.564,1200.0,0
2025-03-21T16:00:00.000000000,22126.0,-1,4,4760420.228999998,1.0,2025-03-24T08:45:00.000000000,22305.0,signal_exit,-36177.724,377.72400000000005,1200.0,0
2025-03-27T00:00:00.000000000,22087.0,-1,4,4724242.504999999,1.0,2025-04-02T01:00:00.000000000,21322.0,signal_exit,152626.364,373.636,1200.0,0
2025-04-22T00:00:00.000000000,18788.0,-1,5,4876868.868999999,1.0,2025-04-23T10:45:00.000000000,19505.0,signal_exit,-179691.465,441.46500000000003,1500.0,0
2025-11-07T01:00:00.000000000,27637.0,-1,3,4697177.403999998,1.0,2025-11-10T11:45:00.000000000,27924.0,signal_exit,-43366.683,316.683,900.0,0
2025-11-14T00:00:00.000000000,27689.0,-1,3,4653810.720999998,1.0,2025-11-18T13:35:00.000000000,26812.0,roll_blackout,131236.497,313.503,900.0,0
2026-03-12T23:00:00.000000000,32728.0,-1,2,4785047.2179999985,1.0,2026-03-13T22:00:00.000000000,33493.0,signal_exit,-76732.44200000001,232.442,600.0,0
2026-03-19T17:00:00.000000000,33180.0,-1,2,4708314.775999999,1.0,2026-03-23T22:00:00.000000000,33629.0,signal_exit,-45133.618,233.618,600.0,0
2026-03-26T23:00:00.000000000,33055.0,-1,2,4663181.157999998,1.0,2026-04-01T02:00:00.000000000,32853.0,signal_exit,19968.184,231.816,600.0,0
2026-07-14T09:45:00.000000000,44792.0,-1,2,4683149.341999997,1.0,2026-07-14T13:35:00.000000000,44830.0,roll_blackout,-4079.2439999999997,279.244,600.0,0
2026-07-16T18:00:00.000000000,44640.0,-1,2,4679070.097999997,1.0,2026-07-21T11:45:00.000000000,44165.0,signal_exit,47222.39,277.61,600.0,10
2026-07-24T22:00:00.000000000,43547.0,-1,2,4726292.487999997,1.0,2026-07-30T23:00:00.000000000,41575.0,signal_exit,196929.756,270.244,600.0,4
