entry_time,exit_time,side,contracts,entry,exit,net_ntd,fees_ntd,slippage_ntd,reason,gap_observations,entry_nav
2017-07-03T17:00:00.000000000,2017-07-04T12:45:00.000000000,1,1,10298.0,10237.0,-3120.5350000000003,70.53500000000001,100.0,signal_exit,67,5000000.0
2017-07-07T08:45:00.000000000,2017-07-11T10:45:00.000000000,-1,1,10224.0,10333.0,-5520.557000000001,70.55699999999999,100.0,signal_exit,162,4996879.465
2017-07-12T09:45:00.000000000,2017-07-18T13:35:00.000000000,1,1,10366.0,10462.0,4729.172,70.828,100.0,roll_blackout,366,4991358.908
2017-07-20T08:45:00.000000000,2017-07-21T10:45:00.000000000,1,1,10412.0,10339.0,-3720.751,70.751,100.0,signal_exit,86,4996088.08
2017-07-24T22:00:00.000000000,2017-07-25T10:45:00.000000000,1,1,10365.0,10350.0,-820.7149999999999,70.715,100.0,signal_exit,56,4992367.329
2017-07-25T12:45:00.000000000,2017-07-26T15:00:00.000000000,1,1,10368.0,10328.0,-2070.6960000000004,70.696,100.0,signal_exit,101,4991546.614
2017-07-27T10:45:00.000000000,2017-07-28T10:45:00.000000000,1,1,10435.0,10353.0,-4170.7880000000005,70.78800000000001,100.0,signal_exit,68,4989475.918
2017-08-01T10:45:00.000000000,2017-08-01T16:00:00.000000000,1,1,10411.0,10375.0,-1870.786,70.786,100.0,signal_exit,1,4985305.13
2017-08-01T18:00:00.000000000,2017-08-03T23:00:00.000000000,1,1,10384.0,10406.0,1029.21,70.79,100.0,signal_exit,191,4983434.344
2017-08-04T10:45:00.000000000,2017-08-09T10:45:00.000000000,1,1,10445.0,10465.0,929.09,70.91000000000001,100.0,signal_exit,304,4984463.554
2017-08-10T12:45:00.000000000,2017-08-15T11:45:00.000000000,-1,1,10327.0,10298.0,1379.375,70.625,100.0,signal_exit,115,4985392.643999999
2017-08-17T08:45:00.000000000,2017-08-17T10:45:00.000000000,-1,1,10257.0,10320.0,-3220.577,70.577,100.0,signal_exit,0,4986772.018999999
2017-08-18T02:00:00.000000000,2017-08-19T01:00:00.000000000,-1,1,10258.0,10273.0,-820.5310000000001,70.531,100.0,signal_exit,18,4983551.442
2017-08-19T03:00:00.000000000,2017-08-21T12:45:00.000000000,-1,1,10261.0,10270.0,-520.5310000000001,70.531,100.0,signal_exit,10,4982730.910999999
2017-08-24T10:45:00.000000000,2017-08-29T10:45:00.000000000,1,1,10448.0,10453.0,179.09900000000002,70.901,100.0,signal_exit,206,4982210.379999999
2017-08-30T04:00:00.000000000,2017-09-04T15:00:00.000000000,1,1,10490.0,10543.0,2578.967,71.033,100.0,signal_exit,257,4982389.478999999
2017-09-05T16:00:00.000000000,2017-09-06T00:00:00.000000000,1,1,10583.0,10553.0,-1571.136,71.136,100.0,signal_exit,43,4984968.4459999995
2017-09-08T20:00:00.000000000,2017-09-13T10:45:00.000000000,1,1,10565.0,10528.0,-1921.093,71.093,100.0,signal_exit,205,4983397.31
2017-09-13T22:00:00.000000000,2017-09-15T15:00:00.000000000,-1,1,10501.0,10567.0,-3371.068,71.06800000000001,100.0,signal_exit,146,4981476.216999999
2017-09-15T16:00:00.000000000,2017-09-19T13:35:00.000000000,1,1,10570.0,10577.0,278.85299999999995,71.14699999999999,100.0,roll_blackout,209,4978105.148999999
2017-09-21T08:45:00.000000000,2017-09-21T20:00:00.000000000,-1,1,10504.0,10578.0,-3771.082,71.08200000000001,100.0,signal_exit,48,4978384.001999999
2017-09-21T20:00:00.000000000,2017-09-21T23:00:00.000000000,1,1,10578.0,10564.0,-771.142,71.142,100.0,signal_exit,8,4974612.919999999
2017-09-22T02:00:00.000000000,2017-09-22T10:45:00.000000000,1,1,10570.0,10452.0,-5971.022,71.02199999999999,100.0,signal_exit,36,4973841.777999999
2017-09-22T10:45:00.000000000,2017-09-28T02:00:00.000000000,-1,1,10452.0,10334.0,5829.214,70.786,100.0,signal_exit,233,4967870.755999999
2017-09-28T10:45:00.000000000,2017-09-29T12:45:00.000000000,-1,1,10296.0,10312.0,-870.608,70.608,100.0,signal_exit,70,4973699.969999999
2017-10-05T20:00:00.000000000,2017-10-17T13:35:00.000000000,1,1,10516.0,10721.0,10178.763,71.23700000000001,100.0,roll_blackout,698,4972829.361999999
2017-10-19T08:45:00.000000000,2017-10-19T17:00:00.000000000,1,1,10749.0,10719.0,-1571.4679999999998,71.468,100.0,signal_exit,0,4983008.124999999
2017-10-20T11:45:00.000000000,2017-10-23T16:00:00.000000000,1,1,10758.0,10731.0,-1421.489,71.489,100.0,signal_exit,66,4981436.656999999
2017-10-23T19:00:00.000000000,2017-10-23T21:00:00.000000000,1,1,10742.0,10737.0,-321.47900000000004,71.47900000000001,100.0,signal_exit,20,4980015.167999999
2017-10-24T10:45:00.000000000,2017-10-25T15:00:00.000000000,1,1,10740.0,10740.0,-71.48,71.48,100.0,signal_exit,95,4979693.688999998
2017-10-26T20:00:00.000000000,2017-10-27T12:45:00.000000000,1,1,10746.0,10733.0,-721.479,71.47900000000001,100.0,signal_exit,66,4979622.208999998
2017-10-28T01:00:00.000000000,2017-11-02T16:00:00.000000000,1,1,10749.0,10781.0,1528.47,71.53,100.0,signal_exit,278,4978900.729999998
2017-11-03T08:45:00.000000000,2017-11-03T10:45:00.000000000,1,1,10807.0,10767.0,-2071.574,71.57400000000001,100.0,signal_exit,0,4980429.199999997
2017-11-07T09:45:00.000000000,2017-11-09T15:00:00.000000000,1,1,10798.0,10732.0,-3371.5299999999997,71.53,100.0,signal_exit,215,4978357.625999997
