,equity
2017-07-03,5000000.0
2017-07-04,4971915.185
2017-07-05,4971915.185
2017-07-06,4971915.185
2017-07-07,4981048.169
2017-07-10,4977898.169
2017-07-11,4922230.172
2017-07-12,4909761.878
2017-07-13,4946211.878
2017-07-14,4938561.878
2017-07-17,4953411.878
2017-07-18,4964792.72
2017-07-19,4964792.72
2017-07-20,4954574.012
2017-07-21,4931305.961
2017-07-24,4931305.961
2017-07-25,4921351.214
2017-07-26,4906051.214
2017-07-27,4910814.347
2017-07-28,4867746.17
2017-07-31,4867746.17
2017-08-01,4847627.471
2017-08-02,4881640.64
2017-08-03,4860490.64
2017-08-04,4857152.981
2017-08-07,4897652.981
2017-08-08,4896302.981
2017-08-09,4868533.796
2017-08-10,4867765.853
2017-08-11,4880365.853
2017-08-14,4911415.853
2017-08-15,4880948.171
2017-08-16,4880948.171
2017-08-17,4851962.978
2017-08-18,4851195.656
2017-08-21,4839893.42
2017-08-22,4839893.42
2017-08-23,4839893.42
2017-08-24,4840024.388
2017-08-25,4857124.388
2017-08-28,4858474.388
2017-08-29,4841505.311
2017-08-30,4859635.901
2017-08-31,4868635.901
2017-09-01,4879885.901
2017-09-04,4869085.901
2017-09-05,4864716.014
2017-09-06,4850575.79
2017-09-07,4850575.79
2017-09-08,4850575.79
2017-09-11,4850255.705
2017-09-12,4861505.705
2017-09-13,4833285.953
2017-09-14,4820366.444
2017-09-15,4803716.444
2017-09-18,4832326.211
2017-09-19,4805456.018
2017-09-20,4805456.018
2017-09-21,4773186.482
2017-09-22,4719067.736
2017-09-25,4764067.736
2017-09-26,4795117.736
2017-09-27,4770367.736
2017-09-28,4761632.066
2017-09-29,4755464.258
2017-09-30,4755464.258
2017-10-02,4755464.258
2017-10-03,4755464.258
2017-10-05,4755464.258
2017-10-06,4758744.614
2017-10-11,4807794.614
2017-10-12,4836594.614
2017-10-13,4842894.614
2017-10-16,4863594.614
2017-10-17,4847073.125
2017-10-18,4847073.125
2017-10-19,4852151.384
2017-10-20,4822243.849
2017-10-23,4823843.849
2017-10-24,4820300.249
2017-10-25,4818300.249
2017-10-26,4818414.329
2017-10-27,4812642.497
2017-10-30,4811956.505
2017-10-31,4825956.505
2017-11-01,4836356.505
2017-11-02,4825156.505
2017-11-03,4808297.665
2017-11-06,4808297.665
2017-11-07,4818811.281
2017-11-08,4810411.281
2017-11-09,4778011.281
2017-11-10,4768639.849
2017-11-13,4782639.849
2017-11-14,4786754.393
2017-11-15,4786754.393
2017-11-16,4768563.494
2017-11-17,4768563.494
2017-11-20,4768563.494
2017-11-21,4780277.43
2017-11-22,4795877.43
2017-11-23,4807477.43
2017-11-24,4807477.43
2017-11-27,4773191.262
2017-11-28,4773191.262
2017-11-29,4773191.262
2017-11-30,4773191.262
2017-12-01,4763871.006
2017-12-04,4748700.273
2017-12-05,4754415.569
2017-12-06,4829215.569
2017-12-07,4839615.569
2017-12-08,4824815.569
2017-12-11,4819732.297
2017-12-12,4809513.607
2017-12-13,4804769.482
2017-12-14,4804769.482
2017-12-15,4804769.482
2017-12-18,4804769.482
2017-12-19,4804769.482
2017-12-20,4804769.482
2017-12-21,4806250.045
2017-12-22,4804580.599
2017-12-25,4801560.811
2017-12-26,4773922.873
2017-12-27,4746922.873
2017-12-28,4743069.028
2017-12-29,4772669.028
2018-01-02,4801869.028
2018-01-03,4833869.028
2018-01-04,4853069.028
2018-01-05,4861069.028
2018-01-08,4872669.028
2018-01-09,4870669.028
2018-01-10,4862782.132
2018-01-11,4862782.132
2018-01-12,4860095.076
2018-01-15,4891695.076
2018-01-16,4902207.22
2018-01-17,4902207.22
2018-01-18,4897918.708
2018-01-19,4931918.708
2018-01-22,4965118.708
2018-01-23,4966318.708
2018-01-24,4916429.9
2018-01-25,4916429.9
2018-01-26,4907051.132
2018-01-29,4898761.404
2018-01-30,4860072.604
2018-01-31,4860072.604
2018-02-01,4860072.604
2018-02-02,4860072.604
2018-02-05,4916584.044
2018-02-06,5128184.044
2018-02-07,5080984.044
2018-02-08,5080584.044
2018-02-09,5146584.044
2018-02-12,5123900.772
2018-02-21,5123900.772
2018-02-22,5123900.772
2018-02-23,5123900.772
2018-02-26,5123900.772
2018-02-27,5123900.772
2018-03-01,5123900.772
2018-03-02,5123900.772
2018-03-05,5118180.165
2018-03-06,5097736.971
2018-03-07,5063986.971
2018-03-08,5116636.971
2018-03-09,5132836.971
2018-03-12,5204386.971
2018-03-13,5238586.971
2018-03-14,5207536.971
2018-03-15,5188438.53
2018-03-16,5188564.152
2018-03-19,5184639.828
2018-03-20,5176665.729
2018-03-21,5176665.729
2018-03-22,5157441.45
2018-03-23,5152296.033
2018-03-26,5104596.033
2018-03-27,5054577.102
2018-03-28,5067304.461
2018-03-29,5058304.461
2018-03-30,5026031.262
2018-03-31,5026031.262
2018-04-02,5026031.262
2018-04-03,4993759.845
2018-04-09,4943036.781
2018-04-10,4943036.781
2018-04-11,4947663.069
2018-04-12,4922589.7530000005
2018-04-13,4909614.593
2018-04-16,4898239.385
2018-04-17,4850464.905
2018-04-18,4850464.905
2018-04-19,4808402.649
2018-04-20,4762629.497
2018-04-23,4800229.497
2018-04-24,4844629.497
2018-04-25,4863829.497
2018-04-26,4887429.497
2018-04-27,4853429.497
2018-04-30,4848744.921
2018-05-02,4848744.921
2018-05-03,4872274.89
2018-05-04,4864624.89
2018-05-07,4842704.751
2018-05-08,4842704.751
2018-05-09,4859483.757
2018-05-10,4886033.757
2018-05-11,4930133.757
2018-05-14,4973783.757
2018-05-15,4931160.981
2018-05-16,4931160.981
2018-05-17,4899465.024
2018-05-18,4899465.024
2018-05-21,4908377.488
2018-05-22,4891177.488
2018-05-23,4869690.536
2018-05-24,4869690.536
2018-05-25,4844428.784
2018-05-28,4864828.784
2018-05-29,4840541.4
2018-05-30,4889054.224
2018-05-31,4852254.224
2018-06-01,4830479.544
2018-06-04,4898479.544
2018-06-05,4892079.544
2018-06-06,4944479.544
2018-06-07,4955279.544
2018-06-08,4919390.44
2018-06-11,4919390.44
2018-06-12,4919390.44
2018-06-13,4919390.44
2018-06-14,4919390.44
2018-06-15,4919390.44
2018-06-19,4925944.366
2018-06-20,4925944.366
2018-06-21,4933722.85
2018-06-22,4956672.85
2018-06-25,4988622.85
2018-06-26,4985022.85
2018-06-27,5002122.85
2018-06-28,4999232.572
2018-06-29,4985412.595
2018-07-02,4985412.595
2018-07-03,4985412.595
2018-07-04,4985412.595
2018-07-05,4999492.807
2018-07-06,4981942.807
2018-07-09,4940351.188
2018-07-10,4961951.188
2018-07-11,4920551.188
2018-07-12,4975901.188
2018-07-13,5024501.188
2018-07-16,5009651.188
2018-07-17,4985479.33
2018-07-18,4985479.33
2018-07-19,4968957.517
2018-07-20,5015307.517
2018-07-23,5018007.517
2018-07-24,5036457.517
2018-07-25,5033757.517
2018-07-26,5056257.517
2018-07-27,5090907.517
2018-07-30,5067507.517
2018-07-31,5064160.138
2018-08-01,5090260.138
2018-08-02,5025137.011
2018-08-03,5025137.011
2018-08-06,5013112.939
2018-08-07,4990415.2360000005
2018-08-08,5026865.2360000005
2018-08-09,5012465.2360000005
2018-08-10,5008991.146
2018-08-13,5038818.73
2018-08-14,5009696.341
2018-08-15,5009696.341
2018-08-16,4972925.86
2018-08-17,4970033.035
2018-08-20,4959361.87
2018-08-21,4959361.87
2018-08-22,4959361.87
2018-08-23,4959361.87
2018-08-24,4959361.87
2018-08-27,4959361.87
2018-08-28,4989188.887
2018-08-29,5029688.887
2018-08-30,5020238.887
2018-08-31,4996965.139
2018-09-03,4996965.139
2018-09-04,4996965.139
2018-09-05,4953693.229
2018-09-06,4925920.228
2018-09-07,4909397.947
2018-09-10,4959347.947
2018-09-11,4956647.947
2018-09-12,4962947.947
2018-09-13,4966997.947
2018-09-14,4958576.332
2018-09-17,4958576.332
2018-09-18,4958576.332
2018-09-19,4958576.332
2018-09-20,4958576.332
2018-09-21,4972202.845
2018-09-25,4975352.845
2018-09-26,4971302.845
2018-09-27,4955805.286
2018-09-28,4944681.664
2018-10-01,4941593.56
2018-10-02,4900219.296
2018-10-03,4909419.296
2018-10-04,4974219.296
2018-10-05,5049419.296
2018-10-08,5067419.296
2018-10-09,5067819.296
2018-10-11,5395019.296
2018-10-12,5272619.296
2018-10-15,5307819.296
2018-10-16,5265539.576
2018-10-17,5265539.576
2018-10-18,5277690.486
2018-10-19,5267190.486
2018-10-22,5250841.116
2018-10-23,5328992.266
2018-10-24,5335492.266
2018-10-25,5449992.266
2018-10-26,5480992.266
2018-10-29,5456492.266
2018-10-30,5353538.281
2018-10-31,5353538.281
2018-11-01,5353538.281
2018-11-02,5353538.281
2018-11-05,5286341.491
2018-11-06,5286341.491
2018-11-07,5279492.881
2018-11-08,5317492.881
2018-11-09,5247645.031
2018-11-12,5247645.031
2018-11-13,5247645.031
2018-11-14,5247645.031
2018-11-15,5249796.811
2018-11-16,5227796.811
2018-11-19,5212753.201
2018-11-20,5192556.791
2018-11-21,5192556.791
2018-11-22,5204209.411
2018-11-23,5251209.411
2018-11-26,5169861.591
2018-11-27,5092472.431
2018-11-28,5112624.141
2018-11-29,5116124.141
2018-11-30,5104124.141
2018-12-03,5114424.971
2018-12-04,5074424.971
2018-12-05,5017575.681
2018-12-06,5024228.801
2018-12-07,4988228.801
2018-12-10,5048228.801
2018-12-11,5017728.801
2018-12-12,5016381.911
2018-12-13,5016381.911
2018-12-14,4994535.041
2018-12-17,4964535.041
2018-12-18,4999687.851
2018-12-19,4999687.851
2018-12-20,4997341.481
2018-12-21,4987841.481
2018-12-22,5025341.481
2018-12-24,5007841.481
2018-12-25,5079341.481
2018-12-26,5088341.481
2018-12-27,5042495.981
2018-12-28,5042495.981
2019-01-02,5045650.551
2019-01-03,5093650.551
2019-01-04,5130150.551
2019-01-07,5042305.131
2019-01-08,5042305.131
2019-01-09,5029457.801
2019-01-10,5022457.801
2019-01-11,5050457.801
2019-01-14,5010611.091
2019-01-15,5013915.211
2019-01-16,5013915.211
2019-01-17,5014067.431
2019-01-18,5021372.181
2019-01-21,5044372.181
2019-01-22,5034872.181
2019-01-23,5022523.951
2019-01-24,5022523.951
2019-01-25,5073675.301
2019-01-28,5082175.301
2019-01-29,5031326.461
2019-01-30,5031326.461
2019-02-11,5024976.351
2019-02-12,5067476.351
2019-02-13,5067476.351
2019-02-14,5065476.351
2019-02-15,5029924.541
2019-02-18,5050308.74
2019-02-19,5053142.462
2019-02-20,5053142.462
2019-02-21,5083425.158
2019-02-22,5077125.158
2019-02-25,5103225.158
2019-02-26,5097375.158
2019-02-27,5091657.071
2019-03-04,5091657.071
2019-03-05,5091657.071
2019-03-06,5091657.071
2019-03-07,5060871.59
2019-03-08,5060871.59
2019-03-11,5039854.943
2019-03-12,5013119.228
2019-03-13,5020769.228
2019-03-14,5008619.228
2019-03-15,5008882.514
2019-03-18,5037232.514
2019-03-19,5048162.996
2019-03-20,5048162.996
2019-03-21,5070793.1450000005
2019-03-22,5081143.1450000005
2019-03-25,5038523.474
2019-03-26,5038523.474
2019-03-27,5019694.493
2019-03-28,5019694.493
2019-03-29,5047274.669
2019-04-01,5065274.669
2019-04-02,5082374.669
2019-04-03,5090024.669
2019-04-08,5124674.669
2019-04-09,5157524.669
2019-04-10,5166074.669
2019-04-11,5142352.379
2019-04-12,5142352.379
2019-04-15,5155529.765
2019-04-16,5175456.476
2019-04-17,5175456.476
2019-04-18,5137332.269
2019-04-19,5152182.269
2019-04-22,5143110.7190000005
2019-04-23,5135838.989
2019-04-24,5129088.989
2019-04-25,5117641.025
2019-04-26,5098867.115
2019-04-29,5098867.115
2019-04-30,5098867.115
2019-05-02,5098867.115
2019-05-03,5142643.169
2019-05-06,5034447.779
2019-05-07,4983597.779
2019-05-08,5018247.779
2019-05-09,5084397.779
2019-05-10,5084847.779
2019-05-13,5160897.779
2019-05-14,5175427.892
2019-05-15,5175427.892
2019-05-16,5175427.892
2019-05-17,5178518.978
2019-05-20,5168618.978
2019-05-21,5142199.559
2019-05-22,5142199.559
2019-05-23,5135131.904
2019-05-24,5119831.904
2019-05-27,5124781.904
2019-05-28,5120863.835
2019-05-29,5132245.982
2019-05-30,5107177.868
2019-05-31,5107177.868
2019-06-03,5117208.836
2019-06-04,5092458.836
2019-06-05,5101721.042
2019-06-06,5082052.325
2019-06-10,5082632.492
2019-06-11,5106482.492
2019-06-12,5106482.492
2019-06-13,5089512.497
2019-06-14,5089512.497
2019-06-17,5084242.493
2019-06-18,5087072.525
2019-06-19,5087072.525
2019-06-20,5093502.341
2019-06-21,5090802.341
2019-06-24,5107902.341
2019-06-25,5094082.004
2019-06-26,5094082.004
2019-06-27,5090161.334
2019-06-28,5071261.334
2019-07-01,5155411.334
2019-07-02,5147311.334
2019-07-03,5097940.574
2019-07-04,5097940.574
2019-07-05,5085148.001
2019-07-08,5049663.377
2019-07-09,5049663.377
2019-07-10,5049663.377
2019-07-11,5054741.159
2019-07-12,5052941.159
2019-07-15,5070491.159
2019-07-16,5084118.239
2019-07-17,5084118.239
2019-07-18,5084118.239
2019-07-19,5108547.038
2019-07-22,5131047.038
2019-07-23,5135097.038
2019-07-24,5135547.038
2019-07-25,5131302.62
2019-07-26,5116580.51
2019-07-29,5116580.51
2019-07-30,5094142.0430000005
2019-07-31,5073570.815
2019-08-01,5115420.815
2019-08-02,5194170.815
2019-08-05,5234670.815
2019-08-06,5256270.815
2019-08-07,5249070.815
2019-08-08,5187395.819
2019-08-12,5187395.819
2019-08-13,5194990.514
2019-08-14,5145171.446
2019-08-15,5171853.197
2019-08-16,5126084.579
2019-08-19,5126084.579
2019-08-20,5136245.345
2019-08-21,5136245.345
2019-08-22,5107256.21
2019-08-23,5107256.21
2019-08-26,5085467.615
