,equity
2017-07-03,5000000.0
2017-07-04,4996679.465
2017-07-05,4996679.465
2017-07-06,4996679.465
2017-07-07,4997594.243
2017-07-10,4997244.243
2017-07-11,4990958.908
2017-07-12,4989473.54
2017-07-13,4993523.54
2017-07-14,4992673.54
2017-07-17,4994323.54
2017-07-18,4995488.08
2017-07-19,4995488.08
2017-07-20,4994252.666
2017-07-21,4991567.329
2017-07-24,4991567.329
2017-07-25,4990161.244
2017-07-26,4988461.244
2017-07-27,4988790.481
2017-07-28,4983905.13
2017-07-31,4983905.13
2017-08-01,4981569.717
2017-08-02,4985148.958
2017-08-03,4982798.958
2017-08-04,4982228.107
2017-08-07,4986728.107
2017-08-08,4986578.107
2017-08-09,4983392.644
2017-08-10,4983207.319
2017-08-11,4984607.319
2017-08-14,4988057.319
2017-08-15,4984572.019
2017-08-16,4984572.019
2017-08-17,4981151.442
2017-08-18,4980966.186
2017-08-21,4979410.38
2017-08-22,4979410.38
2017-08-23,4979410.38
2017-08-24,4979324.93
2017-08-25,4981224.93
2017-08-28,4981374.93
2017-08-29,4979389.479
2017-08-30,4981303.987
2017-08-31,4982303.987
2017-09-01,4983553.987
2017-09-04,4982353.987
2017-09-05,4981768.446
2017-09-06,4979997.31
2017-09-07,4979997.31
2017-09-08,4979997.31
2017-09-11,4979861.743
2017-09-12,4981111.743
2017-09-13,4977876.217
2017-09-14,4976340.718
2017-09-15,4974490.718
2017-09-18,4977469.577
2017-09-19,4974384.002
2017-09-20,4974384.002
2017-09-21,4970698.5
2017-09-22,4964085.306
2017-09-25,4969085.306
2017-09-26,4972535.306
2017-09-27,4969785.306
2017-09-28,4968614.676
2017-09-29,4967829.362
2017-09-30,4967829.362
2017-10-02,4967829.362
2017-10-03,4967829.362
2017-10-05,4967829.362
2017-10-06,4968093.844
2017-10-11,4973543.844
2017-10-12,4976743.844
2017-10-13,4977443.844
2017-10-16,4979743.844
2017-10-17,4977808.125
2017-10-18,4977808.125
2017-10-19,4978272.374
2017-10-20,4974600.897
2017-10-23,4974800.897
2017-10-24,4973957.947
2017-10-25,4973707.947
2017-10-26,4973622.209
2017-10-27,4972700.73
2017-10-30,4972514.979
2017-10-31,4974264.979
2017-11-01,4975564.979
2017-11-02,4974164.979
2017-11-03,4971757.626
2017-11-06,4971757.626
2017-11-07,4972971.826
2017-11-08,4971921.826
2017-11-09,4967871.826
2017-11-10,4966500.401
2017-11-13,4968250.401
2017-11-14,4968664.717
2017-11-15,4968664.717
2017-11-16,4966443.506
2017-11-17,4966443.506
2017-11-20,4966443.506
2017-11-21,4967807.746
2017-11-22,4969757.746
2017-11-23,4971207.746
2017-11-24,4971207.746
2017-11-27,4966821.977
2017-11-28,4966821.977
2017-11-29,4966821.977
2017-11-30,4966821.977
2017-12-01,4965686.395
2017-12-04,4963900.756
2017-12-05,4964515.17
2017-12-06,4973865.17
2017-12-07,4975165.17
2017-12-08,4973315.17
2017-12-11,4972579.759
2017-12-12,4971344.351
