,equity
2017-07-03,5000000.0
2017-07-04,4971915.185
2017-07-05,4971915.185
2017-07-06,4971915.185
2017-07-07,4971915.185
2017-07-10,4971915.185
2017-07-11,4971915.185
2017-07-12,4959446.891
2017-07-13,4995896.891
2017-07-14,4988246.891
2017-07-17,5003096.891
2017-07-18,5014477.733
2017-07-19,5014477.733
2017-07-20,5004259.025
2017-07-21,4980990.974
2017-07-24,4980990.974
2017-07-25,4971036.227
2017-07-26,4955736.227
2017-07-27,4960499.36
2017-07-28,4917431.183
2017-07-31,4917431.183
2017-08-01,4897312.484
2017-08-02,4931325.653
2017-08-03,4910175.653
2017-08-04,4906837.994
2017-08-07,4947337.994
2017-08-08,4945987.994
2017-08-09,4918218.809
2017-08-10,4918218.809
2017-08-11,4918218.809
2017-08-14,4918218.809
2017-08-15,4918218.809
2017-08-16,4918218.809
2017-08-17,4918218.809
2017-08-18,4918218.809
2017-08-21,4918218.809
2017-08-22,4918218.809
2017-08-23,4918218.809
2017-08-24,4918349.777
2017-08-25,4935449.777
2017-08-28,4936799.777
2017-08-29,4919830.7
2017-08-30,4937961.29
2017-08-31,4946961.29
2017-09-01,4958211.29
2017-09-04,4947411.29
2017-09-05,4943041.403
2017-09-06,4928901.179
2017-09-07,4928901.179
2017-09-08,4928901.179
2017-09-11,4928581.094
2017-09-12,4939831.094
2017-09-13,4911611.342
2017-09-14,4911611.342
2017-09-15,4911611.342
2017-09-18,4940991.212
2017-09-19,4914121.019
2017-09-20,4914121.019
2017-09-21,4914121.019
2017-09-22,4853441.543
2017-09-25,4853441.543
2017-09-26,4853441.543
2017-09-27,4853441.543
2017-09-28,4853441.543
2017-09-29,4853441.543
2017-09-30,4853441.543
2017-10-02,4853441.543
2017-10-03,4853441.543
2017-10-05,4853441.543
2017-10-06,4856721.899
2017-10-11,4905771.899
2017-10-12,4934571.899
2017-10-13,4940871.899
2017-10-16,4961571.899
2017-10-17,4945050.41
2017-10-18,4945050.41
2017-10-19,4950128.669
2017-10-20,4918885.376
2017-10-23,4920685.376
2017-10-24,4916698.826
2017-10-25,4914448.826
2017-10-26,4914577.166
2017-10-27,4908083.8549999995
2017-10-30,4907312.114
2017-10-31,4923062.114
2017-11-01,4934762.114
2017-11-02,4922162.114
2017-11-03,4903195.919
2017-11-06,4903195.919
2017-11-07,4915023.737
2017-11-08,4905573.737
2017-11-09,4869123.737
2017-11-10,4872852.149
2017-11-13,4872852.149
2017-11-14,4872852.149
2017-11-15,4872852.149
2017-11-16,4872852.149
2017-11-17,4872852.149
2017-11-20,4872852.149
2017-11-21,4886030.327
2017-11-22,4903580.327
2017-11-23,4916630.327
2017-11-24,4916630.327
2017-11-27,4878058.388
2017-11-28,4878058.388
2017-11-29,4878058.388
2017-11-30,4878058.388
2017-12-01,4878058.388
2017-12-04,4878058.388
2017-12-05,4878058.388
2017-12-06,4878058.388
2017-12-07,4878058.388
2017-12-08,4878058.388
2017-12-11,4878058.388
2017-12-12,4878058.388
2017-12-13,4878058.388
2017-12-14,4878058.388
2017-12-15,4878058.388
2017-12-18,4878058.388
2017-12-19,4878058.388
2017-12-20,4878058.388
2017-12-21,4879538.951
2017-12-22,4877869.505
2017-12-25,4874849.717
2017-12-26,4836280.748
2017-12-27,4836280.748
2017-12-28,4836860.708
2017-12-29,4870160.708
2018-01-02,4903010.708
2018-01-03,4939010.708
2018-01-04,4960610.708
2018-01-05,4969610.708
2018-01-08,4982660.708
2018-01-09,4980410.708
2018-01-10,4971537.95
2018-01-11,4971537.95
2018-01-12,4968515.012
2018-01-15,5004065.012
2018-01-16,5015891.174
2018-01-17,5015891.174
2018-01-18,5011066.598
2018-01-19,5049316.598
2018-01-22,5086666.598
2018-01-23,5088016.598
2018-01-24,5031891.689
2018-01-25,5031891.689
2018-01-26,5022512.921
2018-01-29,5014223.193
2018-01-30,4975534.393
2018-01-31,4975534.393
2018-02-01,4975534.393
2018-02-02,4975534.393
2018-02-05,4975534.393
2018-02-06,4975534.393
2018-02-07,4975534.393
2018-02-08,4975534.393
2018-02-09,4975534.393
2018-02-12,4975534.393
2018-02-21,4975534.393
2018-02-22,4975534.393
2018-02-23,4975534.393
2018-02-26,4975534.393
2018-02-27,4975534.393
2018-03-01,4975534.393
2018-03-02,4975534.393
2018-03-05,4975534.393
2018-03-06,4985112.508
2018-03-07,4951362.508
2018-03-08,5004012.508
2018-03-09,5020212.508
2018-03-12,5091762.508
2018-03-13,5125962.508
2018-03-14,5094912.508
2018-03-15,5075814.067
2018-03-16,5075939.689
2018-03-19,5072015.365
2018-03-20,5064041.266
2018-03-21,5064041.266
2018-03-22,5044816.987
2018-03-23,5029643.383
2018-03-26,5029643.383
2018-03-27,5029643.383
2018-03-28,5029643.383
2018-03-29,5029643.383
2018-03-30,5029643.383
2018-03-31,5029643.383
2018-04-02,5029643.383
2018-04-03,5029643.383
2018-04-09,5029643.383
2018-04-10,5029643.383
2018-04-11,5034269.671
2018-04-12,5009196.3549999995
2018-04-13,4994599.3
2018-04-16,4981802.191
2018-04-17,4928055.901
2018-04-18,4928055.901
2018-04-19,4927768.149
2018-04-20,4868681.573
2018-04-23,4868681.573
2018-04-24,4868681.573
2018-04-25,4868681.573
2018-04-26,4868681.573
2018-04-27,4868681.573
2018-04-30,4868681.573
2018-05-02,4868681.573
2018-05-03,4868681.573
2018-05-04,4868681.573
2018-05-07,4868681.573
2018-05-08,4868681.573
2018-05-09,4885460.579
2018-05-10,4912010.579
2018-05-11,4956110.579
2018-05-14,4999760.579
2018-05-15,4957137.803
2018-05-16,4957137.803
2018-05-17,4925441.846
2018-05-18,4925441.846
2018-05-21,4935468.368
2018-05-22,4916118.368
2018-05-23,4891945.547
2018-05-24,4891945.547
2018-05-25,4866683.795
2018-05-28,4887083.795
2018-05-29,4862796.411
2018-05-30,4862796.411
2018-05-31,4862796.411
2018-06-01,4862509.091
2018-06-04,4930509.091
2018-06-05,4924109.091
2018-06-06,4976509.091
2018-06-07,4987309.091
2018-06-08,4951419.987
2018-06-11,4951419.987
2018-06-12,4951419.987
2018-06-13,4951419.987
2018-06-14,4951419.987
2018-06-15,4951419.987
2018-06-19,4951419.987
2018-06-20,4951419.987
2018-06-21,4951419.987
2018-06-22,4951419.987
2018-06-25,4951419.987
2018-06-26,4951419.987
2018-06-27,4951419.987
2018-06-28,4951419.987
2018-06-29,4951419.987
2018-07-02,4951419.987
2018-07-03,4951419.987
2018-07-04,4951419.987
2018-07-05,4951419.987
2018-07-06,4951419.987
2018-07-09,4948848.993
2018-07-10,4970448.993
2018-07-11,4929048.993
2018-07-12,4984398.993
2018-07-13,5032998.993
2018-07-16,5018148.993
2018-07-17,4993977.135
2018-07-18,4993977.135
2018-07-19,4977455.322
2018-07-20,5023805.322
2018-07-23,5026505.322
2018-07-24,5044955.322
2018-07-25,5042255.322
2018-07-26,5064755.322
2018-07-27,5099405.322
2018-07-30,5076005.322
2018-07-31,5072657.943
2018-08-01,5098757.943
2018-08-02,5033634.816
2018-08-03,5033634.816
2018-08-06,5021610.744
2018-08-07,4998913.041
2018-08-08,5035363.041
2018-08-09,5020963.041
2018-08-10,5017488.951
2018-08-13,5017488.951
2018-08-14,5017488.951
2018-08-15,5017488.951
2018-08-16,5017488.951
2018-08-17,5017488.951
2018-08-20,5017488.951
2018-08-21,5017488.951
2018-08-22,5017488.951
2018-08-23,5017488.951
2018-08-24,5017488.951
2018-08-27,5017488.951
2018-08-28,5047315.968
2018-08-29,5087815.968
2018-08-30,5078365.968
2018-08-31,5055092.22
2018-09-03,5055092.22
2018-09-04,5055092.22
2018-09-05,5011820.31
2018-09-06,4984047.309
2018-09-07,4984047.309
2018-09-10,4984047.309
2018-09-11,4984047.309
2018-09-12,4984047.309
2018-09-13,4984047.309
2018-09-14,4984047.309
2018-09-17,4984047.309
2018-09-18,4984047.309
2018-09-19,4984047.309
2018-09-20,4984047.309
2018-09-21,4997673.822
2018-09-25,5000823.822
2018-09-26,4996773.822
2018-09-27,4981276.263
2018-09-28,4970152.641
2018-10-01,4966678.524
2018-10-02,4917755.442
2018-10-03,4917755.442
2018-10-04,4917755.442
2018-10-05,4917755.442
2018-10-08,4917755.442
2018-10-09,4917755.442
2018-10-11,4917755.442
2018-10-12,4917755.442
2018-10-15,4917755.442
2018-10-16,4917755.442
2018-10-17,4917755.442
2018-10-18,4917755.442
2018-10-19,4917755.442
2018-10-22,4917755.442
2018-10-23,4917755.442
2018-10-24,4917755.442
2018-10-25,4917755.442
2018-10-26,4917755.442
2018-10-29,4917755.442
2018-10-30,4917755.442
2018-10-31,4917755.442
2018-11-01,4917755.442
2018-11-02,4917755.442
2018-11-05,4857278.331
2018-11-06,4857278.331
2018-11-07,4851114.5819999995
2018-11-08,4885314.5819999995
2018-11-09,4822451.517
2018-11-12,4822451.517
2018-11-13,4822451.517
2018-11-14,4822451.517
2018-11-15,4824388.119
2018-11-16,4804588.119
2018-11-19,4802475.108
2018-11-20,4784298.339
2018-11-21,4784298.339
2018-11-22,4784298.339
2018-11-23,4784298.339
2018-11-26,4784298.339
2018-11-27,4734622.92
2018-11-28,4752759.459
2018-11-29,4755909.459
2018-11-30,4745109.459
2018-12-03,4754380.206
2018-12-04,4718380.206
2018-12-05,4667215.845
2018-12-06,4667215.845
2018-12-07,4667215.845
2018-12-10,4667215.845
2018-12-11,4667215.845
2018-12-12,4667215.845
2018-12-13,4667215.845
2018-12-14,4667215.845
2018-12-17,4667215.845
2018-12-18,4667215.845
2018-12-19,4667215.845
2018-12-20,4667215.845
2018-12-21,4667215.845
2018-12-22,4667215.845
2018-12-24,4667215.845
2018-12-25,4667215.845
2018-12-26,4667215.845
2018-12-27,4667215.845
2018-12-28,4667215.845
2019-01-02,4667215.845
2019-01-03,4667215.845
2019-01-04,4667215.845
2019-01-07,4667215.845
2019-01-08,4667215.845
2019-01-09,4655653.248
2019-01-10,4649353.248
2019-01-11,4674553.248
2019-01-14,4638691.209
2019-01-15,4641664.916999999
2019-01-16,4641664.916999999
2019-01-17,4641801.915
2019-01-18,4648376.1899999995
2019-01-21,4669076.1899999995
2019-01-22,4660526.1899999995
2019-01-23,4649412.783
2019-01-24,4649412.783
2019-01-25,4695448.998
2019-01-28,4703098.998
2019-01-29,4657335.042
2019-01-30,4657335.042
2019-02-11,4651619.943
2019-02-12,4689869.943
2019-02-13,4689869.943
2019-02-14,4688069.943
2019-02-15,4656073.314
2019-02-18,4676457.513
2019-02-19,4679291.235
2019-02-20,4679291.235
2019-02-21,4709573.931
2019-02-22,4703273.931
2019-02-25,4729373.931
2019-02-26,4723523.931
2019-02-27,4717805.844
2019-03-04,4717805.844
2019-03-05,4717805.844
2019-03-06,4717805.844
2019-03-07,4687020.363
2019-03-08,4687020.363
2019-03-11,4687020.363
2019-03-12,4679052.078
2019-03-13,4686702.078
2019-03-14,4674552.078
2019-03-15,4674650.774
2019-03-18,4699850.774
2019-03-19,4709566.758
2019-03-20,4709566.758
2019-03-21,4729682.446
2019-03-22,4738882.446
2019-03-25,4700998.294
2019-03-26,4700998.294
2019-03-27,4684261.422
2019-03-28,4684261.422
2019-03-29,4708777.134
2019-04-01,4724777.134
2019-04-02,4739977.134
2019-04-03,4746777.134
2019-04-08,4777577.134
2019-04-09,4806777.134
2019-04-10,4814377.134
2019-04-11,4793290.654
2019-04-12,4793290.654
2019-04-15,4805003.886
2019-04-16,4822716.518
2019-04-17,4822716.518
2019-04-18,4788828.334
2019-04-19,4802028.334
2019-04-22,4793964.734
2019-04-23,4787500.974
2019-04-24,4781500.974
2019-04-25,4771325.006
2019-04-26,4754637.086
2019-04-29,4754637.086
2019-04-30,4754637.086
2019-05-02,4754637.086
2019-05-03,4793549.134
2019-05-06,4698462.294
2019-05-07,4698462.294
2019-05-08,4698462.294
2019-05-09,4698462.294
2019-05-10,4698462.294
2019-05-13,4698462.294
2019-05-14,4698462.294
2019-05-15,4698462.294
2019-05-16,4698462.294
2019-05-17,4698462.294
2019-05-20,4698462.294
2019-05-21,4698462.294
2019-05-22,4698462.294
2019-05-23,4698462.294
2019-05-24,4698462.294
2019-05-27,4698462.294
2019-05-28,4698462.294
2019-05-29,4698462.294
2019-05-30,4698462.294
2019-05-31,4698462.294
2019-06-03,4707378.71
2019-06-04,4685378.71
2019-06-05,4693611.782
2019-06-06,4676128.478
2019-06-10,4676644.182
2019-06-11,4697844.182
2019-06-12,4697844.182
2019-06-13,4682759.742
2019-06-14,4682759.742
2019-06-17,4678075.294
2019-06-18,4680590.8780000005
2019-06-19,4680590.8780000005
2019-06-20,4686306.27
2019-06-21,4683906.27
2019-06-24,4699106.27
2019-06-25,4686821.526
2019-06-26,4686821.526
2019-06-27,4683336.486
2019-06-28,4666536.486
2019-07-01,4741336.486
2019-07-02,4734136.486
2019-07-03,4690251.366
2019-07-04,4690251.366
2019-07-05,4678880.19
2019-07-08,4647338.302
2019-07-09,4647338.302
2019-07-10,4647338.302
2019-07-11,4651851.886
2019-07-12,4650251.886
2019-07-15,4665851.886
2019-07-16,4677964.846
2019-07-17,4677964.846
2019-07-18,4677964.846
2019-07-19,4699679.334
2019-07-22,4719679.334
2019-07-23,4723279.334
2019-07-24,4723679.334
2019-07-25,4719906.518
2019-07-26,4706820.198
2019-07-29,4706820.198
2019-07-30,4686874.894
2019-07-31,4686874.894
2019-08-01,4686874.894
2019-08-02,4686874.894
2019-08-05,4686874.894
2019-08-06,4686874.894
2019-08-07,4686874.894
2019-08-08,4686874.894
2019-08-12,4686874.894
2019-08-13,4686874.894
2019-08-14,4686874.894
2019-08-15,4686874.894
2019-08-16,4686874.894
2019-08-19,4686874.894
2019-08-20,4695906.686
2019-08-21,4695906.686
2019-08-22,4670138.566
2019-08-23,4670138.566
2019-08-26,4650770.926
