,equity
2017-07-03,5000000.0
2017-07-04,4996679.465
2017-07-05,4996679.465
2017-07-06,4996679.465
2017-07-07,4996679.465
2017-07-10,4996679.465
2017-07-11,4996679.465
2017-07-12,4995194.097
2017-07-13,4999244.097
2017-07-14,4998394.097
2017-07-17,5000044.097
2017-07-18,5001208.637
2017-07-19,5001208.637
2017-07-20,4999973.223
2017-07-21,4997287.886
2017-07-24,4997287.886
2017-07-25,4995881.801
2017-07-26,4994181.801
2017-07-27,4994511.038
2017-07-28,4989625.687
2017-07-31,4989625.687
2017-08-01,4987290.274
2017-08-02,4990869.515
2017-08-03,4988519.515
2017-08-04,4987948.664
2017-08-07,4992448.664
2017-08-08,4992298.664
2017-08-09,4989113.201
2017-08-10,4989113.201
2017-08-11,4989113.201
2017-08-14,4989113.201
2017-08-15,4989113.201
2017-08-16,4989113.201
2017-08-17,4989113.201
2017-08-18,4989113.201
2017-08-21,4989113.201
2017-08-22,4989113.201
2017-08-23,4989113.201
2017-08-24,4989027.751
2017-08-25,4990927.751
2017-08-28,4991077.751
2017-08-29,4989092.3
2017-08-30,4991006.808
2017-08-31,4992006.808
2017-09-01,4993256.808
2017-09-04,4992056.808
2017-09-05,4991471.267
2017-09-06,4989700.131
2017-09-07,4989700.131
2017-09-08,4989700.131
2017-09-11,4989564.564
2017-09-12,4990814.564
2017-09-13,4987579.038
2017-09-14,4987579.038
2017-09-15,4987579.038
2017-09-18,4990743.466
2017-09-19,4987657.891
2017-09-20,4987657.891
2017-09-21,4987657.891
2017-09-22,4980515.727
2017-09-25,4980515.727
2017-09-26,4980515.727
2017-09-27,4980515.727
2017-09-28,4980515.727
2017-09-29,4980515.727
2017-09-30,4980515.727
2017-10-02,4980515.727
2017-10-03,4980515.727
2017-10-05,4980515.727
2017-10-06,4980780.209
2017-10-11,4986230.209
2017-10-12,4989430.209
2017-10-13,4990130.209
2017-10-16,4992430.209
2017-10-17,4990494.49
2017-10-18,4990494.49
2017-10-19,4990958.739
2017-10-20,4987287.262
2017-10-23,4987487.262
2017-10-24,4986644.312
2017-10-25,4986394.312
2017-10-26,4986308.574
2017-10-27,4985387.095
2017-10-30,4985201.344
2017-10-31,4986951.344
2017-11-01,4988251.344
2017-11-02,4986851.344
2017-11-03,4984443.991
2017-11-06,4984443.991
2017-11-07,4985658.191
2017-11-08,4984608.191
2017-11-09,4980558.191
2017-11-10,4980872.461
2017-11-13,4980872.461
2017-11-14,4980872.461
2017-11-15,4980872.461
2017-11-16,4980872.461
2017-11-17,4980872.461
2017-11-20,4980872.461
2017-11-21,4982236.701
2017-11-22,4984186.701
2017-11-23,4985636.701
2017-11-24,4985636.701
2017-11-27,4981250.932
2017-11-28,4981250.932
2017-11-29,4981250.932
2017-11-30,4981250.932
2017-12-01,4981250.932
2017-12-04,4981250.932
2017-12-05,4981250.932
2017-12-06,4981250.932
2017-12-07,4981250.932
2017-12-08,4981250.932
2017-12-11,4981250.932
2017-12-12,4981250.932
