,equity
2017-07-03,5000000.0
2017-07-04,5000000.0
2017-07-05,5000000.0
2017-07-06,5000000.0
2017-07-07,5000914.778
2017-07-10,5000564.778
2017-07-11,4994279.443
2017-07-12,4994279.443
2017-07-13,4994279.443
2017-07-14,4994279.443
2017-07-17,4994279.443
2017-07-18,4994279.443
2017-07-19,4994279.443
2017-07-20,4994279.443
2017-07-21,4994279.443
2017-07-24,4994279.443
2017-07-25,4994279.443
2017-07-26,4994279.443
2017-07-27,4994279.443
2017-07-28,4994279.443
2017-07-31,4994279.443
2017-08-01,4994279.443
2017-08-02,4994279.443
2017-08-03,4994279.443
2017-08-04,4994279.443
2017-08-07,4994279.443
2017-08-08,4994279.443
2017-08-09,4994279.443
2017-08-10,4994094.118
2017-08-11,4995494.118
2017-08-14,4998944.118
2017-08-15,4995458.818
2017-08-16,4995458.818
2017-08-17,4992038.241
2017-08-18,4991852.985
2017-08-21,4990297.179
2017-08-22,4990297.179
2017-08-23,4990297.179
2017-08-24,4990297.179
2017-08-25,4990297.179
2017-08-28,4990297.179
2017-08-29,4990297.179
2017-08-30,4990297.179
2017-08-31,4990297.179
2017-09-01,4990297.179
2017-09-04,4990297.179
2017-09-05,4990297.179
2017-09-06,4990297.179
2017-09-07,4990297.179
2017-09-08,4990297.179
2017-09-11,4990297.179
2017-09-12,4990297.179
2017-09-13,4990297.179
2017-09-14,4988761.68
2017-09-15,4986911.68
2017-09-18,4986726.111
2017-09-19,4986726.111
2017-09-20,4986726.111
2017-09-21,4983040.609
2017-09-22,4983569.579
2017-09-25,4988569.579
2017-09-26,4992019.579
2017-09-27,4989269.579
2017-09-28,4988098.949
2017-09-29,4987313.635
2017-09-30,4987313.635
2017-10-02,4987313.635
2017-10-03,4987313.635
2017-10-05,4987313.635
2017-10-06,4987313.635
2017-10-11,4987313.635
2017-10-12,4987313.635
2017-10-13,4987313.635
2017-10-16,4987313.635
2017-10-17,4987313.635
2017-10-18,4987313.635
2017-10-19,4987313.635
2017-10-20,4987313.635
2017-10-23,4987313.635
2017-10-24,4987313.635
2017-10-25,4987313.635
2017-10-26,4987313.635
2017-10-27,4987313.635
2017-10-30,4987313.635
2017-10-31,4987313.635
2017-11-01,4987313.635
2017-11-02,4987313.635
2017-11-03,4987313.635
2017-11-06,4987313.635
2017-11-07,4987313.635
2017-11-08,4987313.635
2017-11-09,4987313.635
2017-11-10,4985627.94
2017-11-13,4987377.94
2017-11-14,4987792.256
2017-11-15,4987792.256
2017-11-16,4985571.045
2017-11-17,4985571.045
2017-11-20,4985571.045
2017-11-21,4985571.045
2017-11-22,4985571.045
2017-11-23,4985571.045
2017-11-24,4985571.045
2017-11-27,4985571.045
2017-11-28,4985571.045
2017-11-29,4985571.045
2017-11-30,4985571.045
2017-12-01,4984435.463
2017-12-04,4982649.824
2017-12-05,4983264.238
2017-12-06,4992614.238
2017-12-07,4993914.238
2017-12-08,4992064.238
2017-12-11,4991328.827
2017-12-12,4990093.419
2017-12-13,4989066.292
2017-12-14,4989066.292
2017-12-15,4989066.292
2017-12-18,4989066.292
