,equity
2021-01-04,5009760.322
2021-01-05,5014910.322
2021-01-06,5011610.322
2021-01-07,5027560.322
2021-01-08,5038760.322
2021-01-11,5042760.322
2021-01-12,5040710.322
2021-01-13,5054260.322
2021-01-14,5052510.322
2021-01-15,5047760.322
2021-01-18,5051219.618
2021-01-19,5055887.929
2021-01-20,5055887.929
2021-01-21,5072097.125
2021-01-22,5064847.125
2021-01-25,5056724.387
2021-01-26,5056724.387
2021-01-27,5056724.387
2021-01-28,5063833.861
2021-01-29,5079233.861
2021-02-01,5064983.861
2021-02-02,5062793.458
2021-02-03,5062793.458
2021-02-04,5062793.458
2021-02-05,5062793.458
2021-02-17,5062793.458
2021-02-18,5063002.083
2021-02-19,5059702.083
2021-02-22,5063252.083
2021-02-23,5057128.122
2021-02-24,5051695.395
2021-02-25,5053454.043
2021-02-26,5043912.845
2021-03-02,5043912.845
2021-03-03,5043912.845
2021-03-04,5043912.845
2021-03-05,5048721.893
2021-03-08,5050671.893
2021-03-09,5050371.893
2021-03-10,5048131.027
2021-03-11,5048131.027
2021-03-12,5046889.781
2021-03-15,5045789.781
2021-03-16,5051048.475
2021-03-17,5051048.475
2021-03-18,5045057.117
2021-03-19,5042615.926
2021-03-22,5042615.926
2021-03-23,5038774.73
2021-03-24,5035033.684
2021-03-25,5027842.795
2021-03-26,5026110.442
2021-03-29,5032260.442
2021-03-30,5037660.442
2021-03-31,5032810.442
2021-04-01,5034477.524
2021-04-06,5043477.524
2021-04-07,5045327.524
2021-04-08,5053427.524
2021-04-09,5048977.524
2021-04-12,5048627.524
2021-04-13,5037809.974
2021-04-14,5039068.153
2021-04-15,5044092.501
2021-04-16,5048442.501
2021-04-19,5054092.501
2021-04-20,5056500.181
2021-04-21,5056500.181
2021-04-22,5048957.922
2021-04-23,5051023.627
2021-04-26,5064673.627
2021-04-27,5066723.627
2021-04-28,5064823.627
2021-04-29,5066723.627
2021-05-03,5054181.306
2021-05-04,5043039.595
2021-05-05,5051239.595
2021-05-06,5035105.689
2021-05-07,5033263.709
2021-05-10,5033263.709
2021-05-11,5058821.641
2021-05-12,5102021.641
2021-05-13,5108321.641
2021-05-14,5098021.641
2021-05-17,5102790.347
2021-05-18,5065849.346
2021-05-19,5065849.346
2021-05-20,5065849.346
2021-05-21,5065849.346
2021-05-24,5065849.346
2021-05-25,5065849.346
2021-05-26,5069857.811
2021-05-27,5059066.41
2021-05-28,5072974.826
2021-05-31,5080474.826
2021-06-01,5086324.826
2021-06-02,5084724.826
2021-06-03,5091324.826
2021-06-04,5083948.409
2021-06-07,5074114.238
2021-06-08,5066195.697
2021-06-09,5066195.697
2021-06-10,5066195.697
2021-06-11,5070053.556
2021-06-15,5078561.166
2021-06-16,5078561.166
2021-06-17,5078561.166
