entry_time,exit_time,side,contracts,entry,exit,net_ntd,fees_ntd,slippage_ntd,reason,gap_observations,entry_nav
2020-12-31T15:00:00.000000000,2021-01-15T20:00:00.000000000,1,1,14680.0,15702.0,51019.617999999995,80.38199999999999,300.0,signal_exit,86,5000000.0
2021-01-19T10:45:00.000000000,2021-01-19T13:35:00.000000000,1,1,15799.0,15890.0,4468.311,81.68900000000001,300.0,roll_blackout,0,5051019.618
2021-01-21T08:45:00.000000000,2021-01-22T17:00:00.000000000,1,1,15806.0,15879.0,3568.315,81.685,300.0,signal_exit,11,5055487.929
2021-01-25T08:45:00.000000000,2021-01-25T10:45:00.000000000,1,1,15959.0,15898.0,-3131.857,81.85700000000001,300.0,signal_exit,0,5059056.244
2021-01-27T22:00:00.000000000,2021-02-01T18:00:00.000000000,-1,1,15524.0,15405.0,5869.071,80.929,300.0,signal_exit,0,5055924.387
2021-02-18T08:45:00.000000000,2021-02-22T17:00:00.000000000,1,1,16377.0,16288.0,-4532.665,82.665,300.0,signal_exit,8,5061793.458000001
2021-02-23T02:00:00.000000000,2021-02-23T09:45:00.000000000,1,1,16350.0,16321.0,-1532.671,82.671,300.0,signal_exit,4,5057260.7930000005
2021-02-23T15:00:00.000000000,2021-02-23T19:00:00.000000000,1,1,16419.0,16308.0,-5632.727,82.72699999999999,300.0,signal_exit,0,5055728.122
2021-02-25T09:45:00.000000000,2021-02-26T02:00:00.000000000,1,1,16354.0,16196.0,-7982.55,82.55,300.0,signal_exit,0,5050095.3950000005
2021-03-04T22:00:00.000000000,2021-03-09T19:00:00.000000000,-1,1,15950.0,15868.0,4018.182,81.818,300.0,signal_exit,0,5042112.845000001
2021-03-12T02:00:00.000000000,2021-03-16T13:35:00.000000000,1,1,16248.0,16304.0,2717.448,82.552,300.0,roll_blackout,15,5046131.027000001
2021-03-18T10:45:00.000000000,2021-03-18T17:00:00.000000000,1,1,16360.0,16189.0,-8632.549,82.54899999999999,300.0,signal_exit,0,5048848.475000001
2021-03-22T23:00:00.000000000,2021-03-24T04:00:00.000000000,1,1,16198.0,16044.0,-7782.242000000001,82.242,300.0,signal_exit,7,5040215.926000001
2021-03-25T08:45:00.000000000,2021-03-26T08:45:00.000000000,-1,1,15887.0,16098.0,-10631.985,81.985,300.0,signal_exit,7,5032433.684000001
2021-03-26T11:45:00.000000000,2021-03-31T15:00:00.000000000,1,1,16259.0,16410.0,7467.331000000001,82.669,300.0,signal_exit,20,5021801.699000001
2021-03-31T23:00:00.000000000,2021-04-12T15:00:00.000000000,1,1,16508.0,16842.0,16616.65,83.35000000000001,300.0,signal_exit,107,5029269.030000001
2021-04-12T21:00:00.000000000,2021-04-12T23:00:00.000000000,1,1,16872.0,16842.0,-1583.714,83.714,300.0,signal_exit,0,5045885.680000002
2021-04-13T09:45:00.000000000,2021-04-13T16:00:00.000000000,1,1,16994.0,16819.0,-8833.813,83.813,300.0,signal_exit,0,5044301.966000002
