,equity
2021-01-04,5057961.92
2021-01-05,5088861.92
2021-01-06,5069061.92
2021-01-07,5164761.92
2021-01-08,5231961.92
2021-01-11,5255961.92
2021-01-12,5243661.92
2021-01-13,5324961.92
2021-01-14,5314461.92
2021-01-15,5285961.92
2021-01-18,5306117.708
2021-01-19,5332927.574
2021-01-20,5332927.574
2021-01-21,5429582.738
2021-01-22,5386082.738
2021-01-25,5335546.322
2021-01-26,5335546.322
2021-01-27,5335546.322
2021-01-28,5377603.178
2021-01-29,5470003.178
2021-02-01,5384503.178
2021-02-02,5370760.748
2021-02-03,5370760.748
2021-02-04,5370760.748
2021-02-05,5370760.748
2021-02-17,5370760.748
2021-02-18,5371412.486
2021-02-19,5351612.486
2021-02-22,5372912.486
2021-02-23,5334368.732
2021-02-24,5300572.37
2021-02-25,5310524.246
2021-02-26,5252677.07
2021-03-02,5252677.07
2021-03-03,5252677.07
2021-03-04,5252677.07
2021-03-05,5280931.37
2021-03-08,5292631.37
2021-03-09,5290831.37
2021-03-10,5276786.1620000005
2021-03-11,5276786.1620000005
2021-03-12,5268738.674
2021-03-15,5262138.674
2021-03-16,5293090.85
2021-03-17,5293090.85
2021-03-18,5256542.69
2021-03-19,5241295.556
2021-03-22,5241295.556
2021-03-23,5217648.368
2021-03-24,5194602.104
2021-03-25,5150856.782
2021-03-26,5139262.64
2021-03-29,5176162.64
2021-03-30,5208562.64
2021-03-31,5179462.64
2021-04-01,5188265.132
2021-04-06,5242265.132
2021-04-07,5253365.132
2021-04-08,5301965.132
2021-04-09,5275265.132
2021-04-12,5273165.132
2021-04-13,5205859.832
2021-04-14,5212808.918
2021-04-15,5241154.994
2021-04-16,5267254.994
2021-04-19,5301154.994
2021-04-20,5315001.086
2021-04-21,5315001.086
2021-04-22,5269147.52
2021-04-23,5280341.75
2021-04-26,5362241.75
2021-04-27,5374541.75
2021-04-28,5363141.75
2021-04-29,5374541.75
2021-05-03,5298687.836
2021-05-04,5231237.582
2021-05-05,5280437.582
2021-05-06,5182434.146
2021-05-07,5170782.254
2021-05-10,5170782.254
2021-05-11,5323529.858
2021-05-12,5582729.858
2021-05-13,5620529.858
2021-05-14,5558729.858
2021-05-17,5594901.655
2021-05-18,5335614.634
2021-05-19,5335614.634
2021-05-20,5335614.634
2021-05-21,5335614.634
2021-05-24,5335614.634
2021-05-25,5335614.634
2021-05-26,5359065.4120000005
2021-05-27,5293717.018
2021-05-28,5376567.502
2021-05-31,5421567.502
2021-06-01,5456667.502
2021-06-02,5447067.502
2021-06-03,5486667.502
2021-06-04,5440609.012
2021-06-07,5380403.986
2021-06-08,5330492.74
2021-06-09,5330492.74
2021-06-10,5330492.74
2021-06-11,5353039.882
2021-06-15,5403485.5540000005
2021-06-16,5403485.5540000005
2021-06-17,5403485.5540000005
2021-06-18,5395431.886
2021-06-21,5381378.65
2021-06-22,5382926.446
2021-06-23,5328719.572
2021-06-24,5347919.572
2021-06-25,5372819.572
2021-06-28,5407619.572
2021-06-29,5405819.572
2021-06-30,5461619.572
2021-07-01,5440919.572
2021-07-02,5421208.15
2021-07-05,5494708.15
2021-07-06,5488708.15
2021-07-07,5474308.15
2021-07-08,5471136.706
2021-07-09,5471136.706
2021-07-12,5478079.906
2021-07-13,5491579.906
2021-07-14,5493079.906
2021-07-15,5537479.906
2021-07-16,5495222.614
2021-07-19,5482107.754
2021-07-20,5502896.8
2021-07-21,5502896.8
2021-07-22,5511942.172
2021-07-23,5494978.486
2021-07-26,5517224.824
2021-07-27,5525924.824
2021-07-28,5588324.824
2021-07-29,5513971.552
2021-07-30,5513971.552
2021-08-02,5513971.552
2021-08-03,5513971.552
2021-08-04,5540116.654
2021-08-05,5531416.654
2021-08-06,5486251.954
2021-08-09,5486251.954
2021-08-10,5486251.954
2021-08-11,5500398.64
2021-08-12,5504598.64
2021-08-13,5571498.64
2021-08-16,5620098.64
2021-08-17,5665148.914
2021-08-18,5665148.914
2021-08-19,5748599.266
2021-08-20,5789399.266
2021-08-23,5646049.246
2021-08-24,5646049.246
2021-08-25,5646049.246
2021-08-26,5601096.382
2021-08-27,5653596.382
2021-08-30,5704296.382
2021-08-31,5739696.382
2021-09-01,5745396.382
2021-09-02,5697142.486
2021-09-03,5688669.88
2021-09-06,5684769.88
