entry_time,exit_time,side,contracts,entry,exit,net_ntd,fees_ntd,slippage_ntd,reason,gap_observations
2020-12-31T15:00:00.000000000,2021-01-15T20:00:00.000000000,1,6,14680.0,15702.0,306117.708,482.292,1800.0,signal_exit,86
2021-01-19T10:45:00.000000000,2021-01-19T13:35:00.000000000,1,6,15799.0,15890.0,26809.866,490.134,1800.0,roll_blackout,0
2021-01-21T08:45:00.000000000,2021-01-22T17:00:00.000000000,1,6,15806.0,15879.0,21409.89,490.11,1800.0,signal_exit,11
2021-01-25T08:45:00.000000000,2021-01-25T10:45:00.000000000,1,6,15959.0,15898.0,-18791.142,491.14200000000005,1800.0,signal_exit,0
2021-01-27T22:00:00.000000000,2021-02-01T18:00:00.000000000,-1,6,15524.0,15405.0,35214.426,485.574,1800.0,signal_exit,0
2021-02-18T08:45:00.000000000,2021-02-22T17:00:00.000000000,1,6,16377.0,16288.0,-27195.99,495.99,1800.0,signal_exit,8
2021-02-23T02:00:00.000000000,2021-02-23T09:45:00.000000000,1,6,16350.0,16321.0,-9196.026,496.026,1800.0,signal_exit,4
2021-02-23T15:00:00.000000000,2021-02-23T19:00:00.000000000,1,6,16419.0,16308.0,-33796.362,496.362,1800.0,signal_exit,0
2021-02-25T09:45:00.000000000,2021-02-26T02:00:00.000000000,1,6,16354.0,16196.0,-47895.3,495.2999999999999,1800.0,signal_exit,0
2021-03-04T22:00:00.000000000,2021-03-09T19:00:00.000000000,-1,6,15950.0,15868.0,24109.092,490.908,1800.0,signal_exit,0
2021-03-12T02:00:00.000000000,2021-03-16T13:35:00.000000000,1,6,16248.0,16304.0,16304.687999999998,495.312,1800.0,roll_blackout,15
2021-03-18T10:45:00.000000000,2021-03-18T17:00:00.000000000,1,6,16360.0,16189.0,-51795.294,495.294,1800.0,signal_exit,0
2021-03-22T23:00:00.000000000,2021-03-24T04:00:00.000000000,1,6,16198.0,16044.0,-46693.452000000005,493.452,1800.0,signal_exit,7
2021-03-25T08:45:00.000000000,2021-03-26T08:45:00.000000000,-1,6,15887.0,16098.0,-63791.91,491.91,1800.0,signal_exit,7
2021-03-26T11:45:00.000000000,2021-03-31T15:00:00.000000000,1,6,16259.0,16410.0,44803.986,496.014,1800.0,signal_exit,20
2021-03-31T23:00:00.000000000,2021-04-12T15:00:00.000000000,1,6,16508.0,16842.0,99699.9,500.1,1800.0,signal_exit,107
2021-04-12T21:00:00.000000000,2021-04-12T23:00:00.000000000,1,6,16872.0,16842.0,-9502.284,502.284,1800.0,signal_exit,0
2021-04-13T09:45:00.000000000,2021-04-13T16:00:00.000000000,1,6,16994.0,16819.0,-53002.878,502.878,1800.0,signal_exit,0
2021-04-14T16:00:00.000000000,2021-04-15T04:00:00.000000000,1,6,16889.0,16840.0,-15202.374000000002,502.374,1800.0,signal_exit,10
2021-04-15T10:45:00.000000000,2021-04-20T13:35:00.000000000,1,6,16925.0,17318.0,117394.542,505.458,1800.0,roll_blackout,48
2021-04-22T08:45:00.000000000,2021-04-22T15:00:00.000000000,1,6,17261.0,17093.0,-50906.124,506.124,1800.0,signal_exit,0
2021-04-23T11:45:00.000000000,2021-05-03T10:45:00.000000000,1,6,17202.0,17319.0,34592.874,507.126,1800.0,signal_exit,76
2021-05-04T10:45:00.000000000,2021-05-06T10:45:00.000000000,-1,6,16709.0,17028.0,-96202.422,502.422,1800.0,signal_exit,10
2021-05-06T12:45:00.000000000,2021-05-06T17:00:00.000000000,-1,6,16878.0,16982.0,-31703.16,503.16,1800.0,signal_exit,0
2021-05-11T03:00:00.000000000,2021-05-14T21:00:00.000000000,-1,6,17066.0,15855.0,362802.474,497.52600000000007,1800.0,signal_exit,2
2021-05-17T10:45:00.000000000,2021-05-18T10:45:00.000000000,-1,7,15439.0,16003.0,-197970.094,570.094,2100.0,signal_exit,1
2021-05-26T01:00:00.000000000,2021-05-27T10:45:00.000000000,1,6,16537.0,16399.0,-41897.616,497.616,1800.0,signal_exit,5
2021-05-27T20:00:00.000000000,2021-06-03T21:00:00.000000000,1,6,16586.0,17120.0,159697.764,502.236,1800.0,signal_exit,54
2021-06-04T00:00:00.000000000,2021-06-04T04:00:00.000000000,1,6,17168.0,17127.0,-12805.77,505.77,1800.0,signal_exit,0
2021-06-04T23:00:00.000000000,2021-06-07T10:45:00.000000000,1,6,17185.0,16986.0,-60205.026,505.02600000000007,1800.0,signal_exit,0
2021-06-07T17:00:00.000000000,2021-06-08T01:00:00.000000000,1,6,17177.0,17129.0,-14905.836,505.83600000000007,1800.0,signal_exit,2
2021-06-08T04:00:00.000000000,2021-06-08T10:45:00.000000000,1,6,17175.0,17060.0,-35005.41,505.41,1800.0,signal_exit,2
2021-06-10T20:00:00.000000000,2021-06-15T13:35:00.000000000,1,6,17143.0,17388.0,72992.81400000001,507.186,1800.0,roll_blackout,23
2021-06-17T15:00:00.000000000,2021-06-18T16:00:00.000000000,1,6,17278.0,17206.0,-22106.904,506.90400000000005,1800.0,signal_exit,7
2021-06-22T11:45:00.000000000,2021-06-23T09:45:00.000000000,-1,6,17034.0,17230.0,-59305.583999999995,505.58400000000006,1800.0,signal_exit,2
2021-06-23T10:45:00.000000000,2021-07-02T01:00:00.000000000,1,6,17249.0,17583.0,99691.008,508.992,1800.0,signal_exit,78
2021-07-02T08:45:00.000000000,2021-07-07T15:00:00.000000000,1,6,17654.0,17840.0,55287.036,512.9639999999999,1800.0,signal_exit,68
2021-07-07T17:00:00.000000000,2021-07-08T00:00:00.000000000,1,6,17876.0,17858.0,-5914.404,514.404,1800.0,signal_exit,1
2021-07-10T01:00:00.000000000,2021-07-16T00:00:00.000000000,1,6,17800.0,17882.0,24085.908,514.092,1800.0,signal_exit,50
2021-07-16T16:00:00.000000000,2021-07-17T00:00:00.000000000,1,6,17926.0,17884.0,-13114.86,514.86,1800.0,signal_exit,5
2021-07-19T22:00:00.000000000,2021-07-20T13:35:00.000000000,-1,6,17615.0,17544.0,20789.046,510.9539999999999,1800.0,roll_blackout,0
2021-07-22T08:45:00.000000000,2021-07-22T19:00:00.000000000,-1,6,17438.0,17439.0,-809.2620000000001,509.26200000000006,1800.0,signal_exit,0
2021-07-22T22:00:00.000000000,2021-07-23T03:00:00.000000000,-1,6,17410.0,17432.0,-7109.052,509.052,1800.0,signal_exit,1
2021-07-26T11:45:00.000000000,2021-07-29T11:45:00.000000000,-1,6,17277.0,17212.0,18993.066,506.934,1800.0,signal_exit,9
2021-08-03T18:00:00.000000000,2021-08-05T20:00:00.000000000,1,6,17483.0,17483.0,-509.7960000000001,509.7960000000001,1800.0,signal_exit,28
2021-08-05T23:00:00.000000000,2021-08-06T10:45:00.000000000,1,6,17528.0,17439.0,-27209.802000000003,509.802,1800.0,signal_exit,13
2021-08-11T00:00:00.000000000,2021-08-17T13:35:00.000000000,-1,6,17219.0,16621.0,178896.96,503.04,1800.0,roll_blackout,55
2021-08-19T08:45:00.000000000,2021-08-23T10:45:00.000000000,-1,6,16608.0,16670.0,-19099.668,499.668,1800.0,signal_exit,4
2021-08-26T00:00:00.000000000,2021-09-02T12:45:00.000000000,1,6,17144.0,17316.0,51093.24,506.7600000000001,1800.0,signal_exit,96
2021-09-02T17:00:00.000000000,2021-09-02T19:00:00.000000000,1,6,17403.0,17390.0,-4408.758,508.758,1800.0,signal_exit,3
2021-09-03T00:00:00.000000000,2021-09-03T03:00:00.000000000,1,6,17420.0,17394.0,-8308.884,508.884,1800.0,signal_exit,1
2021-09-03T11:45:00.000000000,2021-09-07T10:45:00.000000000,1,6,17494.0,17445.0,-15209.634,509.634,1800.0,signal_exit,74
2021-09-10T18:00:00.000000000,2021-09-14T13:35:00.000000000,1,6,17479.0,17446.0,-10409.55,509.5499999999999,1800.0,roll_blackout,27
