,equity
2021-01-04,5009760.322
2021-01-05,5014910.322
2021-01-06,5011610.322
2021-01-07,5027560.322
2021-01-08,5038760.322
2021-01-11,5042760.322
2021-01-12,5040710.322
2021-01-13,5054260.322
2021-01-14,5052510.322
2021-01-15,5047760.322
2021-01-18,5051219.618
2021-01-19,5055887.929
2021-01-20,5055887.929
2021-01-21,5072097.125
2021-01-22,5064847.125
2021-01-25,5056724.387
2021-01-26,5056724.387
2021-01-27,5056724.387
2021-01-28,5056724.387
2021-01-29,5056724.387
2021-02-01,5056724.387
2021-02-02,5056724.387
2021-02-03,5056724.387
2021-02-04,5056724.387
2021-02-05,5056724.387
2021-02-17,5056724.387
2021-02-18,5056933.012
2021-02-19,5053633.012
2021-02-22,5057183.012
2021-02-23,5051059.051
2021-02-24,5045626.324
2021-02-25,5047384.972
2021-02-26,5037843.774
2021-03-02,5037843.774
2021-03-03,5037843.774
2021-03-04,5037843.774
2021-03-05,5037843.774
2021-03-08,5037843.774
2021-03-09,5037843.774
2021-03-10,5037843.774
2021-03-11,5037843.774
2021-03-12,5036602.528
2021-03-15,5035502.528
2021-03-16,5040761.222
2021-03-17,5040761.222
2021-03-18,5034769.864
2021-03-19,5032328.673
2021-03-22,5032328.673
2021-03-23,5028487.477
2021-03-24,5024746.431
2021-03-25,5024746.431
2021-03-26,5026255.174
2021-03-29,5032405.174
2021-03-30,5037805.174
2021-03-31,5032955.174
2021-04-01,5034622.256
2021-04-06,5043622.256
2021-04-07,5045472.256
2021-04-08,5053572.256
2021-04-09,5049122.256
2021-04-12,5048772.256
2021-04-13,5037954.706
2021-04-14,5039212.885
2021-04-15,5044237.233
2021-04-16,5048587.233
2021-04-19,5054237.233
2021-04-20,5056644.913
2021-04-21,5056644.913
2021-04-22,5049102.654
2021-04-23,5051168.359
2021-04-26,5064818.359
2021-04-27,5066868.359
2021-04-28,5064968.359
2021-04-29,5066868.359
2021-05-03,5054326.038
2021-05-04,5054326.038
2021-05-05,5054326.038
2021-05-06,5054326.038
2021-05-07,5054326.038
2021-05-10,5054326.038
2021-05-11,5054326.038
2021-05-12,5054326.038
2021-05-13,5054326.038
2021-05-14,5054326.038
2021-05-17,5054326.038
2021-05-18,5054326.038
2021-05-19,5054326.038
2021-05-20,5054326.038
2021-05-21,5054326.038
2021-05-24,5054326.038
2021-05-25,5054326.038
2021-05-26,5058334.503
2021-05-27,5047543.102
2021-05-28,5061451.518
2021-05-31,5068951.518
2021-06-01,5074801.518
2021-06-02,5073201.518
2021-06-03,5079801.518
2021-06-04,5072425.101
2021-06-07,5062590.93
2021-06-08,5054672.389
2021-06-09,5054672.389
2021-06-10,5054672.389
2021-06-11,5058530.248
2021-06-15,5067037.858
2021-06-16,5067037.858
2021-06-17,5067037.858
