entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations
2020-12-31T15:00:00.000000000,14680.0,1,1,5000000.0,1.0,2021-01-15T20:00:00.000000000,15702.0,signal_exit,51019.617999999995,80.38199999999999,300.0,86
2021-01-19T10:45:00.000000000,15799.0,1,1,5051019.618,1.0,2021-01-19T13:35:00.000000000,15890.0,roll_blackout,4468.311,81.68900000000001,300.0,0
2021-01-21T08:45:00.000000000,15806.0,1,1,5055487.929,1.0,2021-01-22T17:00:00.000000000,15879.0,signal_exit,3568.315,81.685,300.0,11
2021-01-25T08:45:00.000000000,15959.0,1,1,5059056.244,1.0,2021-01-25T10:45:00.000000000,15898.0,signal_exit,-3131.857,81.85700000000001,300.0,0
2021-02-18T08:45:00.000000000,16377.0,1,1,5055924.387,1.0,2021-02-22T17:00:00.000000000,16288.0,signal_exit,-4532.665,82.665,300.0,8
2021-02-23T02:00:00.000000000,16350.0,1,1,5051391.722,1.0,2021-02-23T09:45:00.000000000,16321.0,signal_exit,-1532.671,82.671,300.0,4
2021-02-23T15:00:00.000000000,16419.0,1,1,5049859.051,1.0,2021-02-23T19:00:00.000000000,16308.0,signal_exit,-5632.727,82.72699999999999,300.0,0
2021-02-25T09:45:00.000000000,16354.0,1,1,5044226.324,1.0,2021-02-26T02:00:00.000000000,16196.0,signal_exit,-7982.55,82.55,300.0,0
2021-03-12T02:00:00.000000000,16248.0,1,1,5036243.774,1.0,2021-03-16T13:35:00.000000000,16304.0,roll_blackout,2717.448,82.552,300.0,15
2021-03-18T10:45:00.000000000,16360.0,1,1,5038961.222,1.0,2021-03-18T17:00:00.000000000,16189.0,signal_exit,-8632.549,82.54899999999999,300.0,0
2021-03-22T23:00:00.000000000,16198.0,1,1,5030328.673,1.0,2021-03-24T04:00:00.000000000,16044.0,signal_exit,-7782.242000000001,82.242,300.0,7
2021-03-26T11:45:00.000000000,16259.0,1,1,5022546.431000001,1.0,2021-03-31T15:00:00.000000000,16410.0,signal_exit,7467.331000000001,82.669,300.0,20
2021-03-31T23:00:00.000000000,16508.0,1,1,5030013.762000001,1.0,2021-04-12T15:00:00.000000000,16842.0,signal_exit,16616.65,83.35000000000001,300.0,107
2021-04-12T21:00:00.000000000,16872.0,1,1,5046630.412000001,1.0,2021-04-12T23:00:00.000000000,16842.0,signal_exit,-1583.714,83.714,300.0,0
2021-04-13T09:45:00.000000000,16994.0,1,1,5045046.698000002,1.0,2021-04-13T16:00:00.000000000,16819.0,signal_exit,-8833.813,83.813,300.0,0
2021-04-14T16:00:00.000000000,16889.0,1,1,5036212.885000002,1.0,2021-04-15T04:00:00.000000000,16840.0,signal_exit,-2533.7290000000003,83.729,300.0,10
2021-04-15T10:45:00.000000000,16925.0,1,1,5033679.156000001,1.0,2021-04-20T13:35:00.000000000,17318.0,roll_blackout,19565.757,84.243,300.0,48
2021-04-22T08:45:00.000000000,17261.0,1,1,5053244.913000002,1.0,2021-04-22T15:00:00.000000000,17093.0,signal_exit,-8484.354,84.354,300.0,0
2021-04-23T11:45:00.000000000,17202.0,1,1,5044760.559000001,1.0,2021-05-03T10:45:00.000000000,17319.0,signal_exit,5765.479,84.521,300.0,76
2021-05-26T01:00:00.000000000,16537.0,1,1,5050526.038000002,1.0,2021-05-27T10:45:00.000000000,16399.0,signal_exit,-6982.936000000001,82.936,300.0,5
2021-05-27T20:00:00.000000000,16586.0,1,1,5043543.102000002,1.0,2021-06-03T21:00:00.000000000,17120.0,signal_exit,26616.293999999998,83.706,300.0,54
2021-06-04T00:00:00.000000000,17168.0,1,1,5070159.396000002,1.0,2021-06-04T04:00:00.000000000,17127.0,signal_exit,-2134.295,84.295,300.0,0
2021-06-04T23:00:00.000000000,17185.0,1,1,5068025.101000002,1.0,2021-06-07T10:45:00.000000000,16986.0,signal_exit,-10034.171,84.171,300.0,0
2021-06-07T17:00:00.000000000,17177.0,1,1,5057990.930000002,1.0,2021-06-08T01:00:00.000000000,17129.0,signal_exit,-2484.306,84.30600000000001,300.0,2
2021-06-08T04:00:00.000000000,17175.0,1,1,5055506.624000002,1.0,2021-06-08T10:45:00.000000000,17060.0,signal_exit,-5834.235000000001,84.235,300.0,2
2021-06-10T20:00:00.000000000,17143.0,1,1,5049672.389000001,1.0,2021-06-15T13:35:00.000000000,17388.0,roll_blackout,12165.469000000003,84.531,300.0,23
2021-06-17T15:00:00.000000000,17278.0,1,1,5061837.858000001,1.0,2021-06-18T16:00:00.000000000,17206.0,signal_exit,-3684.4840000000004,84.48400000000001,300.0,7
2021-06-23T10:45:00.000000000,17249.0,1,1,5058153.374000001,1.0,2021-07-02T01:00:00.000000000,17583.0,signal_exit,16615.167999999998,84.83200000000001,300.0,78
2021-07-02T08:45:00.000000000,17654.0,1,1,5074768.542,1.0,2021-07-07T15:00:00.000000000,17840.0,signal_exit,9214.506,85.49399999999999,300.0,68
2021-07-07T17:00:00.000000000,17876.0,1,1,5083983.048,1.0,2021-07-08T00:00:00.000000000,17858.0,signal_exit,-985.734,85.734,300.0,1
2021-07-10T01:00:00.000000000,17800.0,1,1,5082997.314,1.0,2021-07-16T00:00:00.000000000,17882.0,signal_exit,4014.3179999999998,85.682,300.0,50
2021-07-16T16:00:00.000000000,17926.0,1,1,5087011.632,1.0,2021-07-17T00:00:00.000000000,17884.0,signal_exit,-2185.81,85.81,300.0,5
2021-08-03T18:00:00.000000000,17483.0,1,1,5084825.822000001,1.0,2021-08-05T20:00:00.000000000,17483.0,signal_exit,-84.96600000000001,84.96600000000001,300.0,28
2021-08-05T23:00:00.000000000,17528.0,1,1,5084740.856000001,1.0,2021-08-06T10:45:00.000000000,17439.0,signal_exit,-4534.967000000001,84.967,300.0,13
2021-08-26T00:00:00.000000000,17144.0,1,1,5080205.889,1.0,2021-09-02T12:45:00.000000000,17316.0,signal_exit,8515.539999999999,84.46000000000001,300.0,96
2021-09-02T17:00:00.000000000,17403.0,1,1,5088721.4290000005,1.0,2021-09-02T19:00:00.000000000,17390.0,signal_exit,-734.793,84.793,300.0,3
2021-09-03T00:00:00.000000000,17420.0,1,1,5087986.636000001,1.0,2021-09-03T03:00:00.000000000,17394.0,signal_exit,-1384.814,84.81400000000001,300.0,1
2021-09-03T11:45:00.000000000,17494.0,1,1,5086601.822000001,1.0,2021-09-07T10:45:00.000000000,17445.0,signal_exit,-2534.939,84.93900000000001,300.0,74
2021-09-10T18:00:00.000000000,17479.0,1,1,5084066.883,1.0,2021-09-14T13:35:00.000000000,17446.0,roll_blackout,-1734.925,84.925,300.0,27
2021-10-15T17:00:00.000000000,16805.0,1,1,5082331.958000001,1.0,2021-10-19T13:35:00.000000000,16904.0,roll_blackout,4866.291,83.70899999999999,300.0,24
2021-10-21T08:45:00.000000000,16882.0,1,1,5087198.249000001,1.0,2021-10-21T15:00:00.000000000,16807.0,signal_exit,-3833.6890000000003,83.68900000000001,300.0,0
2021-10-25T12:45:00.000000000,16913.0,1,1,5083364.5600000005,1.0,2021-10-29T10:45:00.000000000,16937.0,signal_exit,1116.1499999999999,83.85,300.0,73
2021-11-01T10:45:00.000000000,17049.0,1,1,5084480.710000001,1.0,2021-11-04T15:00:00.000000000,17064.0,signal_exit,665.8870000000001,84.11300000000001,300.0,55
2021-11-04T23:00:00.000000000,17108.0,1,1,5085146.597000001,1.0,2021-11-05T01:00:00.000000000,17096.0,signal_exit,-684.2040000000001,84.20400000000001,300.0,1
2021-11-05T03:00:00.000000000,17150.0,1,1,5084462.393000001,1.0,2021-11-11T03:00:00.000000000,17459.0,signal_exit,15365.391000000001,84.60900000000001,300.0,29
2021-11-12T01:00:00.000000000,17544.0,1,1,5099827.784000001,1.0,2021-11-12T03:00:00.000000000,17524.0,signal_exit,-1085.068,85.068,300.0,2
2021-11-12T10:45:00.000000000,17622.0,1,1,5098742.716000001,1.0,2021-11-12T17:00:00.000000000,17533.0,signal_exit,-4535.155,85.155,300.0,0
2021-11-12T23:00:00.000000000,17543.0,1,1,5094207.561000001,1.0,2021-11-16T13:35:00.000000000,17683.0,roll_blackout,6914.774,85.22600000000001,300.0,43
2021-11-18T08:45:00.000000000,17772.0,1,1,5101122.335000001,1.0,2021-11-19T19:00:00.000000000,17756.0,signal_exit,-885.5279999999999,85.52800000000002,300.0,22
2021-11-22T10:45:00.000000000,17835.0,1,1,5100236.807000001,1.0,2021-11-23T02:00:00.000000000,17782.0,signal_exit,-2735.617,85.617,300.0,11
2021-12-07T17:00:00.000000000,17838.0,1,1,5097501.190000001,1.0,2021-12-10T08:45:00.000000000,17805.0,signal_exit,-1735.643,85.64299999999999,300.0,33
2021-12-21T15:00:00.000000000,17815.0,1,1,5095765.547000001,1.0,2022-01-06T08:45:00.000000000,18342.0,signal_exit,26263.842999999997,86.157,300.0,322
2022-01-12T02:00:00.000000000,18343.0,1,1,5122029.3900000015,1.0,2022-01-14T10:45:00.000000000,18317.0,signal_exit,-1386.6599999999999,86.66000000000001,300.0,9
2022-01-17T09:45:00.000000000,18510.0,1,1,5120642.730000001,1.0,2022-01-18T13:35:00.000000000,18362.0,roll_blackout,-7486.871999999999,86.87200000000001,300.0,35
2022-02-11T17:00:00.000000000,18331.0,1,1,5113155.858000001,1.0,2022-02-12T04:00:00.000000000,18161.0,signal_exit,-8586.492,86.492,300.0,1
2022-02-17T08:45:00.000000000,18272.0,1,1,5104569.366000001,1.0,2022-02-18T08:45:00.000000000,18062.0,signal_exit,-10586.334,86.334,300.0,2
2022-02-18T18:00:00.000000000,18220.0,1,1,5093983.0320000015,1.0,2022-02-18T23:00:00.000000000,18168.0,signal_exit,-2686.388,86.38799999999999,300.0,6
2022-03-21T22:00:00.000000000,17503.0,1,1,5091296.644000001,1.0,2022-03-25T11:45:00.000000000,17613.0,signal_exit,5414.884,85.116,300.0,8
